Disease,Known Drugs,CMAP Only,TAHOE Only,Both Methods,Total Recovered
Inclusion Body Myositis,8,1,0,0,1
Discoid Lupus Erythematosus,9,1,1,0,2
Psoriatic Arthritis,47,1,3,2,6
Childhood Type Dermatomyositis,29,0,2,0,2
Sjogren'S Syndrome,39,3,3,0,6
Psoriasis Vulgaris,150,11,10,3,24
Autoimmune Thrombocytopenic Purpura,56,3,7,0,10
Colitis,124,1,9,0,10
Scleroderma,67,7,2,1,10
Psoriasis,150,4,12,2,18
Inflammatory Bowel Disease,33,1,5,1,7
Ankylosing Spondylitis,43,0,7,1,8
Crohn'S Disease,104,3,8,0,11
Relapsing-Remitting Multiple Sclerosis,79,9,3,0,12
Rheumatoid Arthritis,240,19,10,4,33
Systemic Lupus Erythematosus,118,9,5,1,15
Ulcerative Colitis,115,8,4,0,12
Multiple Sclerosis,182,22,2,2,26
Type 1 Diabetes Mellitus,138,11,2,1,14
Arthritis,353,6,8,0,14
