drug,source,phase,cmap_score,tahoe_score
DEXAMETHASONE,BOTH,4.0,-0.122775243372578,-0.225714821375864
DIPHENHYDRAMINE,BOTH,3.0,-0.184811003242853,-0.217980474626077
ACETAZOLAMIDE,CMAP_ONLY,2.0,-0.174087554915704,
AMANTADINE,CMAP_ONLY,3.0,-0.182743768142898,
AMILORIDE,CMAP_ONLY,2.0,-0.13842142849816,
BACLOFEN,CMAP_ONLY,4.0,-0.170554726142488,
CELECOXIB,CMAP_ONLY,2.0,-0.143764331397799,
DEXTROMETHORPHAN,CMAP_ONLY,3.0,-0.123598281733565,
DOMPERIDONE,CMAP_ONLY,2.0,-0.128810024402137,
ERGOCALCIFEROL,CMAP_ONLY,3.0,-0.180773261620544,
ESTRADIOL,CMAP_ONLY,3.0,-0.185966440298356,
GUANABENZ,CMAP_ONLY,1.0,-0.119297632347496,
MELATONIN,CMAP_ONLY,2.0,-0.139002947393365,
MEMANTINE,CMAP_ONLY,3.0,-0.162654739142191,
METHOTREXATE,CMAP_ONLY,3.0,-0.174770975025658,
METHYLPREDNISOLONE,CMAP_ONLY,4.0,-0.122044869812577,
NALTREXONE,CMAP_ONLY,3.0,-0.107726115214739,
NAPROXEN,CMAP_ONLY,3.0,-0.199008963045016,
PIOGLITAZONE,CMAP_ONLY,1.0,-0.143921180377249,
PREDNISOLONE,CMAP_ONLY,4.0,-0.13183301049889,
RILUZOLE,CMAP_ONLY,2.0,-0.186075599509303,
ROLIPRAM,CMAP_ONLY,2.0,-0.15745611696723,
SIROLIMUS,CMAP_ONLY,1.0,-0.193650793809411,
TOPIRAMATE,CMAP_ONLY,2.0,-0.131631785183986,
CYTARABINE,TAHOE_ONLY,2.0,,-0.209828611679922
HYDROXYUREA,TAHOE_ONLY,2.0,,-0.313302004961814
