Disease,Known Drugs,CMAP Only,TAHOE Only,Both Methods,Total Recovered
Scleroderma,224,2,1,0,3
Autoimmune Thrombocytopenic Purpura,605,2,11,0,13
Psoriasis,150,11,10,4,25
Psoriatic Arthritis,630,0,6,0,6
Inclusion Body Myositis,69,0,1,0,1
Discoid Lupus Erythematosus,84,0,2,0,2
Dermatomyositis,29,0,2,0,2
Sjogren's syndrome,304,4,4,0,8
Inflammatory Bowel Disease,538,0,5,1,6
Ankylosing Spondylitis,634,0,7,0,7
Crohn's disease,1283,2,9,0,11
Relapsing-Remitting Multiple Sclerosis,816,6,6,0,12
Rheumatoid Arthritis,2397,6,14,2,22
Systemic Lupus Erythematosus,1071,7,8,1,16
Ulcerative Colitis,1192,3,5,0,8
Multiple Sclerosis,1885,11,6,1,18
juvenile idiopathic arthritis (sJIA),41,0,3,0,3
Type 1 Diabetes Mellitus,1788,8,2,0,10
