disease,known_drugs,available_cmap,available_tahoe,recovered_cmap,recovered_tahoe,cmap_recovery_rate,tahoe_recovery_rate,total_recovered
scleroderma,224,4,1,2,1,50.0,100.0,3
autoimmune thrombocytopenic purpura,605,16,11,2,11,12.5,100.0,13
psoriasis,150,20,14,15,14,75.0,100.0,25
psoriatic arthritis,630,9,6,0,6,0.0,100.0,6
inclusion body myositis,69,1,1,0,1,0.0,100.0,1
discoid lupus erythematosus,84,1,2,0,2,0.0,100.0,2
dermatomyositis,29,4,2,0,2,0.0,100.0,2
Sjogren's syndrome,304,6,4,4,4,66.7,100.0,8
inflammatory bowel disease,538,11,7,1,6,9.1,85.7,6
ankylosing spondylitis,634,12,9,0,7,0.0,77.8,7
Crohn's disease,1283,27,12,2,9,7.4,75.0,11
relapsing-remitting multiple sclerosis,816,19,9,6,6,31.6,66.7,12
rheumatoid arthritis,2397,45,25,8,16,17.8,64.0,22
systemic lupus erythematosus,1071,20,15,8,9,40.0,60.0,16
ulcerative colitis,1192,24,10,3,5,12.5,50.0,8
multiple sclerosis,1885,43,16,12,7,27.9,43.8,18
juvenile idiopathic arthritis (sJIA),41,11,8,0,3,0.0,37.5,3
type 1 diabetes mellitus,1788,31,12,8,2,25.8,16.7,10
