drug,source,phase,cmap_score,tahoe_score
DEXAMETHASONE,BOTH,4.0,-0.175172953591353,-0.274207349583523
METHOTREXATE,BOTH,4.0,-0.24112155329855,-0.246776269617242
PACLITAXEL,BOTH,2.0,-0.219073906429964,-0.268161579790116
BETAMETHASONE,CMAP_ONLY,3.0,-0.162992419622654,
FAMOTIDINE,CMAP_ONLY,1.0,-0.139521410001731,
FLUOCINONIDE,CMAP_ONLY,0.5,-0.164429040577608,
HYDROCORTISONE,CMAP_ONLY,4.0,-0.138997609532539,
METFORMIN,CMAP_ONLY,3.0,-0.178771574765338,
NALTREXONE,CMAP_ONLY,1.0,-0.136083104849181,
NORTRIPTYLINE,CMAP_ONLY,2.0,-0.135523791337266,
PIOGLITAZONE,CMAP_ONLY,2.0,-0.148742354633786,
PREDNICARBATE,CMAP_ONLY,1.0,-0.152662893084569,
PREDNISOLONE,CMAP_ONLY,4.0,-0.155806541448355,
THALIDOMIDE,CMAP_ONLY,2.0,-0.135161828877055,
BELUMOSUDIL,TAHOE_ONLY,2.0,,-0.209171533092454
BETAMETHASONE DIPROPIONATE,TAHOE_ONLY,4.0,,-0.245297071058381
BEXAROTENE,TAHOE_ONLY,2.0,,-0.221787712120762
CLOBETASOL PROPIONATE,TAHOE_ONLY,4.0,,-0.274740733130641
DIMETHYL FUMARATE,TAHOE_ONLY,3.0,,-0.263342663873297
ERLOTINIB,TAHOE_ONLY,2.0,,-0.235300886053739
OMEPRAZOLE,TAHOE_ONLY,1.0,,-0.178788483064005
TAZAROTENE,TAHOE_ONLY,4.0,,-0.207625043537784
TOFACITINIB,TAHOE_ONLY,3.0,,-0.248691245988986
TRIAMCINOLONE,TAHOE_ONLY,2.0,,-0.265339885178584
