drug,source,phase,cmap_score,tahoe_score
METHOTREXATE,BOTH,1.0,-0.271052626372148,-0.364994494808625
BUSPIRONE,CMAP_ONLY,0.5,-0.201498239466273,
ILOPROST,CMAP_ONLY,2.0,-0.22086646953884,
LIDOCAINE,CMAP_ONLY,2.0,-0.30004038847616,
METHYLPREDNISOLONE,CMAP_ONLY,3.0,-0.230465213757063,
SIROLIMUS,CMAP_ONLY,2.0,-0.276351755774979,
THALIDOMIDE,CMAP_ONLY,1.0,-0.263271008450684,
VALPROIC ACID,CMAP_ONLY,1.0,-0.272798789999608,
BELUMOSUDIL,TAHOE_ONLY,2.0,,-0.363313541115087
SILDENAFIL,TAHOE_ONLY,3.0,,-0.372880784935123
