drug,source,phase,cmap_score,tahoe_score
AZATHIOPRINE,CMAP_ONLY,3.0,-0.0955119964694522,
DOXYCYCLINE,CMAP_ONLY,2.0,-0.0964062645494808,
HYDROCORTISONE,CMAP_ONLY,4.0,-0.105501281034744,
MELATONIN,CMAP_ONLY,2.0,-0.122549291623279,
METFORMIN,CMAP_ONLY,2.0,-0.140759398480941,
PREDNISONE,CMAP_ONLY,4.0,-0.112275206615887,
ROSIGLITAZONE,CMAP_ONLY,2.0,-0.149044158150777,
THALIDOMIDE,CMAP_ONLY,3.0,-0.119598268020438,
ALLOPURINOL,TAHOE_ONLY,3.0,,-0.149998854223812
BUDESONIDE,TAHOE_ONLY,4.0,,-0.159213892430026
DEXAMETHASONE,TAHOE_ONLY,4.0,,-0.16818351227878
FILGOTINIB,TAHOE_ONLY,3.0,,-0.167504869696813
