"disease","filename","genes_before_standardization","genes_after_standardization","genes_after_shared_gene_filter","change_standardization","change_filtering","total_change","retention_after_standardization_pct","retention_after_filtering_pct","retention_total_pct"
"Acute_Lung_Injury","Acute_Lung_Injury_signature.csv",595,270,236,-325,-34,-359,45.38,87.41,39.66
"Alzheimer's_disease","Alzheimer's_disease_signature.csv",1795,881,636,-914,-245,-1159,49.08,72.19,35.43
"Barrett's_esophagus","Barrett's_esophagus_signature.csv",1204,418,332,-786,-86,-872,34.72,79.43,27.57
"Cardiomyopathy","Cardiomyopathy_signature.csv",839,302,264,-537,-38,-575,36,87.42,31.47
"Crohn's_disease","Crohn's_disease_signature.csv",1844,644,574,-1200,-70,-1270,34.92,89.13,31.13
"Diabetic_Nephropathy","Diabetic_Nephropathy_signature.csv",599,181,169,-418,-12,-430,30.22,93.37,28.21
"Duchenne_muscular_dystrophy","Duchenne_muscular_dystrophy_signature.csv",595,242,223,-353,-19,-372,40.67,92.15,37.48
"Eczema","Eczema_signature.csv",595,162,148,-433,-14,-447,27.23,91.36,24.87
"Human_immunodeficiency_virus_infectious_disease","Human_immunodeficiency_virus_infectious_disease_signature.csv",1306,619,561,-687,-58,-745,47.4,90.63,42.96
"Huntington's_disease","Huntington's_disease_signature.csv",2197,481,366,-1716,-115,-1831,21.89,76.09,16.66
"Ischemic_stroke","Ischemic_stroke_signature.csv",593,287,229,-306,-58,-364,48.4,79.79,38.62
"NASH","NASH_signature.csv",596,467,350,-129,-117,-246,78.36,74.95,58.72
"Nicotine_addiction","Nicotine_addiction_signature.csv",596,185,147,-411,-38,-449,31.04,79.46,24.66
"Parkinson's_disease","Parkinson's_disease_signature.csv",1908,457,361,-1451,-96,-1547,23.95,78.99,18.92
"Psoriasis_vulgaris","Psoriasis_vulgaris_signature.csv",1428,491,406,-937,-85,-1022,34.38,82.69,28.43
"Schizophrenia","Schizophrenia_signature.csv",4867,2525,1667,-2342,-858,-3200,51.88,66.02,34.25
"Septic_Shock","Septic_Shock_signature.csv",599,229,142,-370,-87,-457,38.23,62.01,23.71
"Sjogren's_syndrome","Sjogren's_syndrome_signature.csv",824,351,270,-473,-81,-554,42.6,76.92,32.77
"Squamous_cell_carcinoma_of_mouth","Squamous_cell_carcinoma_of_mouth_signature.csv",596,70,66,-526,-4,-530,11.74,94.29,11.07
"Waldenstrom_Macroglobulinemia","Waldenstrom_Macroglobulinemia_signature.csv",884,293,248,-591,-45,-636,33.14,84.64,28.05
"acne","acne_signature.csv",1020,373,334,-647,-39,-686,36.57,89.54,32.75
"actinic_keratosis","actinic_keratosis_signature.csv",594,209,178,-385,-31,-416,35.19,85.17,29.97
"acute_T_cell_leukemia","acute_T_cell_leukemia_signature.csv",600,211,163,-389,-48,-437,35.17,77.25,27.17
"acute_myeloid_leukemia","acute_myeloid_leukemia_signature.csv",1221,360,319,-861,-41,-902,29.48,88.61,26.13
"acute_myocardial_infarction","acute_myocardial_infarction_signature.csv",596,239,180,-357,-59,-416,40.1,75.31,30.2
"adenosquamous_cell_lung_carcinoma","adenosquamous_cell_lung_carcinoma_signature.csv",599,150,113,-449,-37,-486,25.04,75.33,18.86
"alcohol_abuse","alcohol_abuse_signature.csv",599,373,197,-226,-176,-402,62.27,52.82,32.89
"amyotrophic_lateral_sclerosis","amyotrophic_lateral_sclerosis_signature.csv",740,126,112,-614,-14,-628,17.03,88.89,15.14
"anaplastic_thyroid_carcinoma","anaplastic_thyroid_carcinoma_signature.csv",597,240,192,-357,-48,-405,40.2,80,32.16
"anemia","anemia_signature.csv",1034,375,298,-659,-77,-736,36.27,79.47,28.82
"ankylosing_spondylitis","ankylosing_spondylitis_signature.csv",596,308,218,-288,-90,-378,51.68,70.78,36.58
"arthritis","arthritis_signature.csv",2068,886,480,-1182,-406,-1588,42.84,54.18,23.21
"asthma","asthma_signature.csv",3365,877,557,-2488,-320,-2808,26.06,63.51,16.55
"astrocytoma","astrocytoma_signature.csv",751,371,292,-380,-79,-459,49.4,78.71,38.88
"atherosclerosis","atherosclerosis_signature.csv",1034,407,316,-627,-91,-718,39.36,77.64,30.56
"atopic_dermatitis","atopic_dermatitis_signature.csv",1168,456,350,-712,-106,-818,39.04,76.75,29.97
"autism_spectrum_disorder","autism_spectrum_disorder_signature.csv",4292,2043,1428,-2249,-615,-2864,47.6,69.9,33.27
"autistic_disorder","autistic_disorder_signature.csv",1407,482,269,-925,-213,-1138,34.26,55.81,19.12
"autoimmune_thrombocytopenic_purpura","autoimmune_thrombocytopenic_purpura_signature.csv",596,111,95,-485,-16,-501,18.62,85.59,15.94
"bipolar_disorder","bipolar_disorder_signature.csv",3284,1611,1172,-1673,-439,-2112,49.06,72.75,35.69
"breast_adenocarcinoma","breast_adenocarcinoma_signature.csv",598,436,330,-162,-106,-268,72.91,75.69,55.18
"breast_cancer","breast_cancer_signature.csv",3769,1468,1114,-2301,-354,-2655,38.95,75.89,29.56
"bronchopulmonary_dysplasia","bronchopulmonary_dysplasia_signature.csv",871,234,185,-637,-49,-686,26.87,79.06,21.24
"cervical_cancer","cervical_cancer_signature.csv",817,262,232,-555,-30,-585,32.07,88.55,28.4
"cervix_carcinoma","cervix_carcinoma_signature.csv",599,2,2,-597,0,-597,0.33,100,0.33
"chronic_lymphocytic_leukemia","chronic_lymphocytic_leukemia_signature.csv",970,405,354,-565,-51,-616,41.75,87.41,36.49
"chronic_myeloid_leukemia","chronic_myeloid_leukemia_signature.csv",1579,810,633,-769,-177,-946,51.3,78.15,40.09
"chronic_obstructive_pulmonary_disease","chronic_obstructive_pulmonary_disease_signature.csv",1338,366,315,-972,-51,-1023,27.35,86.07,23.54
"colitis","colitis_signature.csv",599,296,261,-303,-35,-338,49.42,88.18,43.57
"colon_cancer","colon_cancer_signature.csv",1013,533,412,-480,-121,-601,52.62,77.3,40.67
"colorectal_adenocarcinoma","colorectal_adenocarcinoma_signature.csv",597,276,250,-321,-26,-347,46.23,90.58,41.88
"colorectal_cancer","colorectal_cancer_signature.csv",599,366,286,-233,-80,-313,61.1,78.14,47.75
"cystic_fibrosis","cystic_fibrosis_signature.csv",594,221,191,-373,-30,-403,37.21,86.43,32.15
"dermatomyositis","dermatomyositis_signature.csv",1187,485,389,-702,-96,-798,40.86,80.21,32.77
"diabetes_mellitus","diabetes_mellitus_signature.csv",2871,1404,926,-1467,-478,-1945,48.9,65.95,32.25
"ductal_carcinoma_in_situ","ductal_carcinoma_in_situ_signature.csv",596,235,185,-361,-50,-411,39.43,78.72,31.04
"endometrial_cancer","endometrial_cancer_signature.csv",1493,522,386,-971,-136,-1107,34.96,73.95,25.85
"endometriosis","endometriosis_signature.csv",1759,735,576,-1024,-159,-1183,41.79,78.37,32.75
"esophagus_adenocarcinoma","esophagus_adenocarcinoma_signature.csv",596,265,239,-331,-26,-357,44.46,90.19,40.1
"esophagus_squamous_cell_carcinoma","esophagus_squamous_cell_carcinoma_signature.csv",1017,440,371,-577,-69,-646,43.26,84.32,36.48
