gene_symbol,logfc_dz:393,logfc_dz:149,logfc_dz:945,logfc_dz:947,logfc_dz:946,logfc_dz:883,mean_logfc,median_logfc,common_experiment,organism,signature_type
SERPINE2,,,,,,0.2426650524139404,0.2426650524139404,0.2426650524139404,0.2426650524139404,human,UP
HBA2,0.2386410683393478,-0.0264949332922697,0.2164665460586547,0.2098027765750885,0.1691019237041473,,0.1615034762769937,0.2098027765750885,,human,UP
DPYSL3,,,,,,0.1551137268543243,0.1551137268543243,0.1551137268543243,0.1551137268543243,human,UP
HSPA8,0.133797600865364,0.0593062527477741,0.1101422011852264,0.1165640726685524,,,0.1049525318667292,0.1133531369268894,,human,UP
SH3KBP1,0.0693799778819084,0.1585207730531692,0.1804566830396652,0.1639210879802703,-0.0868922397494316,,0.0970772564411163,0.1585207730531692,,human,UP
SFRP2,,,,,,0.0957144945859909,0.0957144945859909,0.0957144945859909,0.0957144945859909,human,UP
LDHA,0.1420271098613739,,0.031062576919794,0.0975102186203002,0.078895479440689,,0.0873738462105393,0.0882028490304946,,human,UP
KLF2,,,,,,0.0872797742486,0.0872797742486,0.0872797742486,0.0872797742486,human,UP
SLPI,0.1051571294665336,0.035751212388277,0.2393216341733932,,,-0.0648063048720359,0.078855917789042,0.0704541709274053,-0.0648063048720359,human,UP
APOE,,,,,,0.0779925659298896,0.0779925659298896,0.0779925659298896,0.0779925659298896,human,UP
THBS2,,,,,,0.0764662995934486,0.0764662995934486,0.0764662995934486,0.0764662995934486,human,UP
FTL,0.0400401502847671,0.0754816159605979,0.0670012906193733,0.0432892069220542,-0.0209939889609813,0.2197458893060684,0.0707606940219799,0.0551452487707138,0.2197458893060684,human,UP
PDGFRL,,,,,,0.0705100372433662,0.0705100372433662,0.0705100372433662,0.0705100372433662,human,UP
RNASE1,,,,,,0.0688793733716011,0.0688793733716011,0.0688793733716011,0.0688793733716011,human,UP
HBB,0.0833087712526321,,0.0645167529582977,0.080579750239849,0.0578327998518943,0.052462313324213,0.0677400775253772,0.0645167529582977,0.052462313324213,human,UP
AEBP1,,,,,,0.0642967224121093,0.0642967224121093,0.0642967224121093,0.0642967224121093,human,UP
GPNMB,,,,,,0.0630856156349182,0.0630856156349182,0.0630856156349182,0.0630856156349182,human,UP
C7,,0.0341290347278118,,,,0.0903300642967224,0.0622295495122671,0.0622295495122671,0.0903300642967224,human,UP
COX2,-0.0232765451073646,0.1107450351119041,0.0425416305661201,0.110554315149784,,,0.0601411089301109,0.0765479728579521,,human,UP
RPS17,0.0521919876337051,,0.0491817146539688,0.0768441930413246,,,0.0594059651096661,0.0521919876337051,,human,UP
ND2,,0.0310585163533687,0.0604256056249141,0.0815659835934639,,,0.0576833685239156,0.0604256056249141,,human,UP
TOMM7,,,,,,0.0576442517340183,0.0576442517340183,0.0576442517340183,0.0576442517340183,human,UP
CD68,,,,,,0.0576318614184856,0.0576318614184856,0.0576318614184856,0.0576318614184856,human,UP
BGN,,,,,,0.0573322176933288,0.0573322176933288,0.0573322176933288,0.0573322176933288,human,UP
WIF1,,0.0561417043209075,,,,,0.0561417043209075,0.0561417043209075,,human,UP
RBP1,,,,,,0.054556343704462,0.054556343704462,0.054556343704462,0.054556343704462,human,UP
LDHB,0.046256948262453,,,0.0453284159302711,0.0664576217532157,,0.0526809953153133,0.046256948262453,,human,UP
THBS1,,,,,,0.0514451675117015,0.0514451675117015,0.0514451675117015,0.0514451675117015,human,UP
RPS26,0.0157973617315292,0.1051045060157775,0.0418685637414455,0.0448746941983699,0.0424585677683353,,0.0500207386910915,0.0424585677683353,,human,UP
HLA-DPA1,,,,,,0.0499523282051086,0.0499523282051086,0.0499523282051086,0.0499523282051086,human,UP
HSP90AA1,0.0833405330777168,0.031590674072504,0.0659801512956619,0.0428838394582271,0.0255194883793592,,0.0498629372566938,0.0428838394582271,,human,UP
RPS5,0.0835137963294982,0.0757829770445823,0.0286913998425006,0.1136502549052238,-0.0295477285981178,0.0263746101409196,0.0497442182774345,0.0522371884435415,0.0263746101409196,human,UP
IGKV4-1,,0.0491786710917949,,,,,0.0491786710917949,0.0491786710917949,,human,UP
PIM1,,,,,,0.0484171137213707,0.0484171137213707,0.0484171137213707,0.0484171137213707,human,UP
RPS2,,0.0413172729313373,,0.0599405094981193,0.043691799044609,,0.0483165271580219,0.043691799044609,,human,UP
FOS,0.1231256127357482,-0.037888266146183,0.0197636019438505,0.1100828424096107,0.0307183265686035,0.043531235307455,0.0482222254698475,0.0371247809380292,0.043531235307455,human,UP
SRP9,0.0193687099963426,0.0801924765110015,0.0443296805024147,,,,0.0479636223365863,0.0443296805024147,,human,UP
C1QB,,,,,,0.0473350100219249,0.0473350100219249,0.0473350100219249,0.0473350100219249,human,UP
IGJ,,,,,,0.0472105108201503,0.0472105108201503,0.0472105108201503,0.0472105108201503,human,UP
GM2A,,,,,,0.0471106320619583,0.0471106320619583,0.0471106320619583,0.0471106320619583,human,UP
CD74,,,,,,0.0460420362651348,0.0460420362651348,0.0460420362651348,0.0460420362651348,human,UP
SPARC,0.0540255233645439,,0.048315018415451,0.0492377914488315,,0.0324874408543109,0.0460164435207843,0.0487764049321413,0.0324874408543109,human,UP
YBX1,0.0729509517550468,0.0383237488567829,0.0405109860002994,0.050439927726984,0.0265699326992034,,0.0457591094076633,0.0405109860002994,,human,UP
RPL18AP3,0.0268742144107818,,0.0641598626971244,,,,0.0455170385539531,0.0455170385539531,,human,UP
RAN,0.0615536794066429,,0.0307858549058437,0.0470097698271274,0.0418512187898159,,0.0453001307323575,0.0444304943084716,,human,UP
FUCA1,,,,,,0.0442210435867309,0.0442210435867309,0.0442210435867309,0.0442210435867309,human,UP
HTRA1,-0.0194757729768753,,,,,0.1071430221199989,0.0438336245715618,0.0438336245715618,0.1071430221199989,human,UP
COL1A1,,,0.0240818951278924,,0.0139940064400434,0.0932807400822639,0.0437855472167333,0.0240818951278924,0.0932807400822639,human,UP
TUBB,0.0309763252735137,,,,0.0547593347728252,,0.0428678300231695,0.0428678300231695,,human,UP
ACTA2,,,-0.0143879270181059,,,0.1000587493181228,0.0428354111500084,0.0428354111500084,0.1000587493181228,human,UP
COL6A1,,,,,,0.0423892773687839,0.0423892773687839,0.0423892773687839,0.0423892773687839,human,UP
LHFP,,,,,,0.0423300452530384,0.0423300452530384,0.0423300452530384,0.0423300452530384,human,UP
COLEC11,,,,,,0.042308535426855,0.042308535426855,0.042308535426855,0.042308535426855,human,UP
PGM1,,,,,,0.0422278381884098,0.0422278381884098,0.0422278381884098,0.0422278381884098,human,UP
COX3,0.0353743731975555,,0.0763066783547401,0.0321964360773563,0.0248898509889841,,0.042191834654659,0.0337854046374559,,human,UP
IGHV4-31,,0.0661059394478797,0.0181287806481122,,,,0.042117360047996,0.042117360047996,,human,UP
CCL2,,,,,,0.0421088896691799,0.0421088896691799,0.0421088896691799,0.0421088896691799,human,UP
RPL35A,,,,,,0.0416270643472671,0.0416270643472671,0.0416270643472671,0.0416270643472671,human,UP
RPL35,0.0297784116119146,,,0.0542774759232997,0.040574986487627,,0.0415436246742804,0.040574986487627,,human,UP
MATN2,,0.0414954051375389,,,,,0.0414954051375389,0.0414954051375389,,human,UP
GNG11,,0.0549162589013576,,,,0.0271258652210235,0.0410210620611906,0.0410210620611906,0.0271258652210235,human,UP
TSPAN1,0.0475557371973991,,0.0230181254446506,0.0515605770051479,,,0.0407114798823992,0.0475557371973991,,human,UP
IFI30,,,0.0175115279853343,,,0.0637013614177703,0.0406064447015523,0.0406064447015523,0.0637013614177703,human,UP
IGLC7,,0.040557112544775,,,,,0.040557112544775,0.040557112544775,,human,UP
HBA1,,,,,,0.040417231619358,0.040417231619358,0.040417231619358,0.040417231619358,human,UP
CFHR1,,0.0403757020831108,,,,,0.0403757020831108,0.0403757020831108,,human,UP
LIPA,,,,,,0.0401643738150596,0.0401643738150596,0.0401643738150596,0.0401643738150596,human,UP
SIRPA,,,,,,0.0399259254336357,0.0399259254336357,0.0399259254336357,0.0399259254336357,human,UP
RPL9,0.0203937198966741,0.0248370114713907,0.047020748257637,0.0781048238277435,,0.0291924402117729,0.0399097487330436,0.0291924402117729,0.0291924402117729,human,UP
UBB,0.0162055566906929,0.0381554700434207,0.0639972016215324,,,,0.0394527427852153,0.0381554700434207,,human,UP
HLA-DRA,0.0241103693842887,,0.0177838969975709,0.0244076382368803,,0.0910088643431663,0.0393276922404766,0.0242590038105845,0.0910088643431663,human,UP
HEXB,,0.0382146574556827,,,,0.0402380414307117,0.0392263494431972,0.0392263494431972,0.0402380414307117,human,UP
LYZ,,0.0311066545546054,0.0130145624279975,,,0.0732504203915596,0.0391238791247208,0.0311066545546054,0.0732504203915596,human,UP
RPS27A,,,,,,0.0390619859099388,0.0390619859099388,0.0390619859099388,0.0390619859099388,human,UP
ITGB2,,,,,,0.0389624200761318,0.0389624200761318,0.0389624200761318,0.0389624200761318,human,UP
MXRA5,,0.0284588914364576,,,,0.0493619032204151,0.0389103973284363,0.0389103973284363,0.0493619032204151,human,UP
SCARB1,,,,,,0.0388848409056663,0.0388848409056663,0.0388848409056663,0.0388848409056663,human,UP
ANXA2,0.0382682643830776,,0.0290792435407638,0.0492800660431385,,,0.0388758579889933,0.0382682643830776,,human,UP
NR4A2,,,,0.0301118399947881,,0.0473072677850723,0.0387095538899302,0.0387095538899302,0.0473072677850723,human,UP
ABCA1,,,,,,0.0386770628392696,0.0386770628392696,0.0386770628392696,0.0386770628392696,human,UP
NFKBIZ,0.0250141080468893,,,0.0517392642796039,,,0.0383766861632466,0.0383766861632466,,human,UP
DSE,,,,,,0.038223959505558,0.038223959505558,0.038223959505558,0.038223959505558,human,UP
CSTB,,,,,,0.0376951731741428,0.0376951731741428,0.0376951731741428,0.0376951731741428,human,UP
NACAP1,0.0263784304261207,,0.047309972345829,0.0511010140180587,0.0253092125058174,,0.0375246573239564,0.0368442013859748,,human,UP
EIF3E,0.0499385744333267,0.0334851779043674,,0.0538305602967739,0.0329950340092182,0.0165128726512193,0.0373524438589811,0.0334851779043674,0.0165128726512193,human,UP
IGFBP5,,0.028913116082549,,,,0.0455367565155029,0.037224936299026,0.037224936299026,0.0455367565155029,human,UP
HMGN2,0.0315257422626018,,0.0217904541641473,0.0253890138119459,0.0701581388711929,,0.037215837277472,0.0284573780372738,,human,UP
STAR,,0.0368109568953514,,,,,0.0368109568953514,0.0368109568953514,,human,UP
DYNLL1,0.050860472023487,0.02456871047616,0.0280965790152549,0.0405426882207393,0.0399103164672851,,0.0367957532405853,0.0399103164672851,,human,UP
FAM46A,,,,,,0.0365980751812458,0.0365980751812458,0.0365980751812458,0.0365980751812458,human,UP
