gene_symbol,logfc_dz,mean_logfc,median_logfc,p_val,p_val_adj,pct.1,pct.2,signature_type
HSPA6,2.91467635988674,2.91467635988674,2.91467635988674,0.0,0.0,0.4,0.069,UP
HSPA1A,2.86131760132953,2.86131760132953,2.86131760132953,0.0,0.0,0.893,0.504,UP
HSPA1B,2.63397115641837,2.63397115641837,2.63397115641837,0.0,0.0,0.842,0.432,UP
CRYAB,2.51984202995704,2.51984202995704,2.51984202995704,0.0,0.0,0.598,0.407,UP
HSPH1,2.29662453341798,2.29662453341798,2.29662453341798,0.0,0.0,0.734,0.357,UP
ATF3,2.24796224413918,2.24796224413918,2.24796224413918,0.0,0.0,0.735,0.283,UP
HSP90AA1,2.12778139594468,2.12778139594468,2.12778139594468,0.0,0.0,0.973,0.899,UP
C11orf96,2.11328228151231,2.11328228151231,2.11328228151231,0.0,0.0,0.892,0.604,UP
DNAJB1,2.06466385834496,2.06466385834496,2.06466385834496,0.0,0.0,0.833,0.488,UP
NFKBIA,1.83135153433641,1.83135153433641,1.83135153433641,0.0,0.0,0.836,0.589,UP
ZFAND2A,1.75372677713967,1.75372677713967,1.75372677713967,0.0,0.0,0.413,0.135,UP
PPP1R15A,1.74459040905982,1.74459040905982,1.74459040905982,0.0,0.0,0.849,0.533,UP
BAG3,1.73691828921811,1.73691828921811,1.73691828921811,0.0,0.0,0.519,0.116,UP
KLF6,1.71556152868341,1.71556152868341,1.71556152868341,0.0,0.0,0.794,0.438,UP
THBS1,1.65868677900281,1.65868677900281,1.65868677900281,1.36707638025586e-281,3.9628810110856995e-277,0.444,0.099,UP
DNAJA1,1.63193873907424,1.63193873907424,1.63193873907424,2.89420208007248e-275,8.38971298971409e-271,0.843,0.647,UP
IER3,1.61684280917363,1.61684280917363,1.61684280917363,5.56342551685602e-151,1.61272578882622e-146,0.639,0.39,UP
UBC,1.55933383698328,1.55933383698328,1.55933383698328,0.0,0.0,0.966,0.885,UP
SOD2,1.54148804129695,1.54148804129695,1.54148804129695,0.0,0.0,0.876,0.674,UP
NEAT1,1.5404591809947,1.5404591809947,1.5404591809947,0.0,0.0,0.947,0.844,UP
NR4A1,1.52308405209656,1.52308405209656,1.52308405209656,5.23792138593102e-278,1.5183686513536798e-273,0.613,0.241,UP
SERPINE1,1.51595022718644,1.51595022718644,1.51595022718644,6.17370460238184e-280,1.78963349013845e-275,0.474,0.175,UP
BTG1,1.51176682917734,1.51176682917734,1.51176682917734,7.17337899685573e-116,2.07941910360854e-111,0.716,0.363,UP
GADD45B,1.46738579395569,1.46738579395569,1.46738579395569,0.0,0.0,0.769,0.55,UP
HSPB1,1.44637151925672,1.44637151925672,1.44637151925672,0.0,0.0,0.92,0.877,UP
HSPD1,1.43912649885543,1.43912649885543,1.43912649885543,0.0,0.0,0.797,0.669,UP
EMP1,1.422274096563,1.422274096563,1.422274096563,5.4511595050411605e-239,1.58018211732133e-234,0.606,0.28,UP
ARC,1.40128139729565,1.40128139729565,1.40128139729565,3.83294113344885e-232,1.11109297576415e-227,0.378,0.132,UP
GEM,1.37226641169632,1.37226641169632,1.37226641169632,9.22707083036892e-169,2.67474329230734e-164,0.448,0.101,UP
PNRC1,1.362236056271,1.362236056271,1.362236056271,0.0,0.0,0.893,0.663,UP
NFKBIZ,1.30774438501997,1.30774438501997,1.30774438501997,6.1498308166963795e-220,1.78271295714395e-215,0.587,0.247,UP
TIMP3,1.28851177678326,1.28851177678326,1.28851177678326,0.0,0.0,0.679,0.51,UP
SAT1,1.28456805625132,1.28456805625132,1.28456805625132,0.0,0.0,0.899,0.734,UP
TNFAIP3,1.27345431132826,1.27345431132826,1.27345431132826,3.6596150340712403e-293,1.0608492060765701e-293,0.539,0.262,UP
GADD45A,1.25513498829808,1.25513498829808,1.25513498829808,0.0,0.0,0.601,0.367,UP
MAFF,1.24517176368833,1.24517176368833,1.24517176368833,3.82019469801319e-230,1.10739803906006e-225,0.54,0.177,UP
RND3,1.23945303969129,1.23945303969129,1.23945303969129,0.0,0.0,0.771,0.573,UP
LMNA,1.23840196842402,1.23840196842402,1.23840196842402,2.6849776714364e-255,7.78321327395983e-251,0.714,0.451,UP
DNAJB4,1.22379253244498,1.22379253244498,1.22379253244498,0.0,0.0,0.375,0.117,UP
TNFAIP2,1.21436951895202,1.21436951895202,1.21436951895202,0.0,0.0,0.506,0.247,UP
HSP90AB1,1.20941520021987,1.20941520021987,1.20941520021987,6.123503254394571e-194,1.7750811233839002e-189,0.966,0.945,UP
CXCL8,1.20254307206263,1.20254307206263,1.20254307206263,8.92812822588636e-94,2.58808581011994e-89,0.392,0.231,UP
MEG3,1.19421864843442,1.19421864843442,1.19421864843442,5.0871018700102596e-238,1.47464909007857e-233,0.768,0.547,UP
SERTAD1,1.18989817178113,1.18989817178113,1.18989817178113,3.86236333419922e-85,1.11962188331767e-80,0.556,0.258,UP
CAV1,1.17950135582651,1.17950135582651,1.17950135582651,8.39471816848906e-199,2.43346090268161e-194,0.447,0.216,UP
ERRFI1,1.1720503287364,1.1720503287364,1.1720503287364,1.10664871201927e-93,3.20795328640147e-89,0.428,0.141,UP
MEG8,1.17016970438467,1.17016970438467,1.17016970438467,5.1684054602276e-131,1.49821737481078e-126,0.403,0.144,UP
PLIN2,1.16423048918198,1.16423048918198,1.16423048918198,3.0085647402637697e-229,8.72122746907662e-225,0.511,0.289,UP
AKAP12,1.14767342792115,1.14767342792115,1.14767342792115,3.41393450811073e-94,9.89631335211139e-90,0.516,0.278,UP
TNFRSF12A,1.14673369954527,1.14673369954527,1.14673369954527,1.15316865101095e-274,3.3428052855505295e-270,0.423,0.131,UP
ARID5B,1.11649777218734,1.11649777218734,1.11649777218734,2.26257646869536e-220,6.558756667454119e-216,0.549,0.329,UP
GPRC5A,1.10614585828759,1.10614585828759,1.10614585828759,3.43354916698379e-163,9.953172325252598e-159,0.379,0.08,UP
TSC22D2,1.0957622407372,1.0957622407372,1.0957622407372,3.71135104603285e-80,1.075846441224e-75,0.441,0.159,UP
BTG2,1.09504937281793,1.09504937281793,1.09504937281793,1.1166097200036599e-174,3.23682825634662e-170,0.547,0.271,UP
DUSP1,1.09092885737248,1.09092885737248,1.09092885737248,0.0,0.0,0.861,0.694,UP
ANXA1,1.08516137130814,1.08516137130814,1.08516137130814,0.0,1.22505551124581e-293,0.608,0.458,UP
CCN1,1.08102273764091,1.08102273764091,1.08102273764091,5.46625386278682e-136,1.58455766974464e-131,0.636,0.446,UP
CEBPB,1.05810524041316,1.05810524041316,1.05810524041316,2.0123962054388e-177,5.8335341203259904e-173,0.755,0.529,UP
PIM1,1.03706406953648,1.03706406953648,1.03706406953648,1.66490788923156e-123,4.82623498930444e-119,0.493,0.196,UP
FOSB,1.03384537140001,1.03384537140001,1.03384537140001,3.93227191779955e-169,1.13988698353173e-164,0.867,0.682,UP
ANKRD28,1.03180967230331,1.03180967230331,1.03180967230331,1.86605581441563e-180,5.40932259482804e-176,0.393,0.124,UP
MAP3K8,1.02545521469287,1.02545521469287,1.02545521469287,3.2567940882307103e-261,9.44079470296317e-257,0.387,0.104,UP
ZFP36,1.02369122924558,1.02369122924558,1.02369122924558,0.0,0.0,0.827,0.677,UP
IER5,1.00841839727862,1.00841839727862,1.00841839727862,1.74403027263865e-155,5.055594954324921e-151,0.391,0.143,UP
FN1,0.990540637598726,0.990540637598726,0.990540637598726,3.57243530943454e-17,1.0355775474988899e-12,0.525,0.335,UP
CKS2,0.976634470509591,0.976634470509591,0.976634470509591,1.4218443528035199e-176,4.12164240990684e-172,0.523,0.336,UP
WTAP,0.974977681870924,0.974977681870924,0.974977681870924,0.0,0.0,0.625,0.467,UP
SQSTM1,0.97415372261136,0.97415372261136,0.97415372261136,3.51019799768387e-250,1.0175361955686e-245,0.703,0.514,UP
CYTOR,0.97236197830913,0.97236197830913,0.97236197830913,8.97533750206397e-92,2.6017708350983e-87,0.366,0.157,UP
FOS,0.967760209842542,0.967760209842542,0.967760209842542,3.67267772415882e-226,1.06463581867916e-221,0.934,0.9,UP
MAP1LC3B,0.966208869613522,0.966208869613522,0.966208869613522,2.5102777036834803e-171,7.27679300743767e-167,0.669,0.434,UP
UBB,0.959389839025397,0.959389839025397,0.959389839025397,3.14815085819045e-170,9.12585970772247e-166,0.919,0.886,UP
RPS20,0.954439658044638,0.954439658044638,0.954439658044638,1.17319091602809e-23,3.40084582738222e-19,0.653,0.471,UP
BTG3,0.947279231784143,0.947279231784143,0.947279231784143,2.02361856771115e-165,5.866065504081091e-161,0.561,0.294,UP
IGFBP6,0.944938056398656,0.944938056398656,0.944938056398656,0.0,0.0,0.33,0.136,UP
DNAJB6,0.942121195183973,0.942121195183973,0.942121195183973,1.1193014235176002e-202,3.2446309664928104e-198,0.565,0.338,UP
CLK1,0.934018964063453,0.934018964063453,0.934018964063453,4.88455040616482e-219,1.4159334717390602e-214,0.565,0.321,UP
JUN,0.925268890193533,0.925268890193533,0.925268890193533,1.5256151158783498e-209,4.42245309790815e-205,0.943,0.923,UP
TRIB1,0.923065980070389,0.923065980070389,0.923065980070389,9.73196132954177e-173,2.8211009502075697e-168,0.487,0.233,UP
CCL2,0.917516965948862,0.917516965948862,0.917516965948862,7.31600543549634e-48,2.12076365564168e-43,0.197,0.088,UP
PRDM1,0.904519527184154,0.904519527184154,0.904519527184154,7.4534435735426e-25,2.16060422309853e-20,0.428,0.232,UP
ERN1,0.898010660092802,0.898010660092802,0.898010660092802,3.62088587444943e-86,1.0496223972854e-81,0.383,0.14,UP
HSPA8,0.895335630442974,0.895335630442974,0.895335630442974,7.776245704879381e-73,2.25417810493043e-68,0.875,0.841,UP
CLEC2B,0.890632343466699,0.890632343466699,0.890632343466699,1.13483452043005e-204,3.2896583078226203e-200,0.528,0.413,UP
ZFP36L1,0.889158225695165,0.889158225695165,0.889158225695165,1.38122563661405e-109,4.0038968754168e-105,0.781,0.63,UP
JUND,0.878431435616217,0.878431435616217,0.878431435616217,0.0,0.0,0.969,0.913,UP
TAGLN,0.878069983566474,0.878069983566474,0.878069983566474,4.70586054404051e-93,1.36413485450646e-88,0.473,0.405,UP
ATP13A3,0.857221401328089,0.857221401328089,0.857221401328089,1.1763277932159301e-120,3.40993900697434e-116,0.381,0.152,UP
CHORDC1,0.85632952263786,0.85632952263786,0.85632952263786,6.58843237960237e-108,1.90985477819914e-103,0.448,0.251,UP
MCL1,0.853839523875979,0.853839523875979,0.853839523875979,5.9662379474029e-66,1.7294930561931502e-61,0.681,0.451,UP
KLF4,0.851094051566585,0.851094051566585,0.851094051566585,3.38305956232521e-78,9.80681305926831e-74,0.511,0.293,UP
PMAIP1,0.849559861228416,0.849559861228416,0.849559861228416,4.94864939311048e-75,1.4345144860748698e-70,0.347,0.113,UP
CAVIN1,0.849501180099082,0.849501180099082,0.849501180099082,8.986870807191849e-42,2.60511410958877e-37,0.487,0.244,UP
RGCC,0.845895716579765,0.845895716579765,0.845895716579765,1.45754977203983e-146,4.2251452791890504e-142,0.296,0.114,UP
MRPL18,0.845356359357848,0.845356359357848,0.845356359357848,7.22229153945016e-115,2.09359787145581e-110,0.47,0.302,UP
LINC-PINT,0.837110971542735,0.837110971542735,0.837110971542735,3.18331717389858e-170,9.2277998236972e-166,0.509,0.276,UP
EGR1,0.835898921415469,0.835898921415469,0.835898921415469,1.3863353378167801e-165,4.01870887726327e-161,0.772,0.653,UP
FTL,0.834197266284395,0.834197266284395,0.834197266284395,0.0,0.0,0.986,0.992,UP
CTNNAL1,0.833491354691115,0.833491354691115,0.833491354691115,8.24001374444678e-195,2.38861518424023e-190,0.345,0.102,UP
RTN4,0.833038390837106,0.833038390837106,0.833038390837106,1.03379979138336e-64,2.9967788352620803e-60,0.627,0.403,UP
SLC2A3,0.831631350092052,0.831631350092052,0.831631350092052,2.68643671948239e-64,7.787442762435541e-60,0.343,0.132,UP
SPAG9,0.82221577805677,0.82221577805677,0.82221577805677,7.96701360249969e-77,2.30947790309261e-72,0.504,0.256,UP
GABARAPL1,0.81908161887007,0.81908161887007,0.81908161887007,1.95242826267645e-125,5.6596990478465e-121,0.403,0.164,UP
NFKB1,0.817475987462035,0.817475987462035,0.817475987462035,2.0786444567413002e-98,6.02557455120167e-94,0.368,0.127,UP
ZFAND5,0.816343337129218,0.816343337129218,0.816343337129218,9.18912874503242e-121,2.66374464061e-116,0.673,0.48,UP
PLAUR,0.809645570960071,0.809645570960071,0.809645570960071,8.96514032246339e-89,2.59881487667569e-84,0.365,0.129,UP
RRAD,0.808931654190996,0.808931654190996,0.808931654190996,5.4023937212953997e-73,1.56604589192911e-68,0.214,0.082,UP
CDKN1A,0.807822123220397,0.807822123220397,0.807822123220397,1.76680875626053e-71,5.12162522264804e-67,0.322,0.088,UP
UGCG,0.803175620962639,0.803175620962639,0.803175620962639,2.84583287541114e-85,8.249500339241819e-81,0.374,0.162,UP
MALAT1,0.802052286560336,0.802052286560336,0.802052286560336,1.71979180374368e-209,4.985332480692171e-205,1.0,1.0,UP
WEE1,0.801057990436805,0.801057990436805,0.801057990436805,2.14820067682141e-59,6.22720412196991e-55,0.388,0.181,UP
MT2A,0.791008363285617,0.791008363285617,0.791008363285617,9.413158297191849e-251,2.7286863271899697e-246,0.589,0.704,UP
RHOB,0.784226751497304,0.784226751497304,0.784226751497304,1.88683901162307e-170,5.46956892689294e-166,0.678,0.54,UP
HSPA5,0.783030215024036,0.783030215024036,0.783030215024036,3.13881703152868e-293,9.098802810995351e-291,0.758,0.681,UP
REL,0.774990272926539,0.774990272926539,0.774990272926539,1.24573270205946e-76,3.61112995672996e-72,0.301,0.079,UP
GADD45G,0.774089374718091,0.774089374718091,0.774089374718091,4.08791391530175e-108,1.18500448576767e-103,0.358,0.26,UP
KLF2,0.766210579500187,0.766210579500187,0.766210579500187,4.0711009419771597e-50,1.18013074106034e-45,0.228,0.058,UP
