gene_symbol,adj.P.Val,logfc_dz
,8.37600659385833e-16,2.76574175411607
,1.92937112627424e-19,2.63043882536915
CTSZ,3.00624495767268e-35,2.48930807116429
OLFM4,8.3433724826203e-08,2.33870504040348
PCSK5,2.57985319909706e-13,2.28817546717279
CRISPLD1,3.23770995572864e-08,2.16691894121163
WIF1,1.37240966499154e-08,2.10354544587718
SNTN,3.48691362678917e-13,2.06557675360307
MMP26,0.000636793777697379,2.03258367805134
DBF4,5.13704922688494e-15,2.01921104862244
RGS7BP,3.15249349539045e-16,1.95709609191172
SHCBP1,6.3292483471913e-15,1.90511615848735
TOP2A,3.3060514328353e-07,1.90142879301779
NUF2,4.26034548337413e-13,1.87707309644523
PPP3R1,7.79478929450213e-29,1.83987583986142
NDC80,8.17637065559991e-10,1.7990716614137
AGR3,5.78433324391797e-09,1.79894112043842
LMNB1,1.42963071646508e-11,1.7870304586363
CCDC113,7.20882504850262e-16,1.78135899861246
KBTBD7,5.62720839783613e-17,1.7774315816758
NAP1L3,9.19015351318522e-11,1.77452887987163
AMZ2P1,1.51517221746887e-14,1.77227164300029
KIF11,1.35945068909728e-08,1.76651818918188
PIP5K1B,7.84598486672111e-09,1.7630104222503
KMO,9.6209881077227e-06,1.75064226304282
SPA17,4.2633975698908e-16,1.73321397508975
CIPC,2.73576277393383e-16,1.72351794799283
DNAJC9,6.51503116817018e-13,1.72034039558925
LINC00645,5.71198127342545e-08,1.71683254262988
ANLN,4.43064354117843e-09,1.71403179359914
ZNF573,2.19504786027878e-18,1.7066798426974
PBK,1.51570810146775e-06,1.70253594293086
NMT2,7.78701767834625e-18,1.70216325970242
C17orf75,1.49919626252155e-20,1.69209682120296
SMC3,9.41493239578436e-20,1.6886783125821
OSBPL1A,3.28200251561212e-20,1.68723515842198
DCDC2,4.19795077369664e-13,1.68413843394689
TUNAR,1.98456156289959e-09,1.68383636106036
PENK,0.00123142804982126,1.67263609452212
IL33,7.21717686610255e-15,1.67085752209071
EGFL6,2.13223587339902e-10,1.66878609530096
CCNB1,3.67018973891676e-08,1.66731336204713
SDAD1,5.41876133902676e-21,1.66565364267739
DLGAP5,5.66544190033255e-07,1.66251513298273
TMSB15A,7.63124584096823e-06,1.65823183928341
CEP76,9.49171699133371e-21,1.65379352538558
MMP7,0.00288737508223784,1.65368043011422
ZNF506,1.04446527002978e-14,1.64975307456276
FOLH1,5.35467741630612e-11,1.64642423445223
MNS1,2.18895193897863e-13,1.63896125084551
PNMA8A,1.3644879815953e-08,1.63853891461369
CADM1,1.72525979580081e-10,1.63522348863904
LOC101927057,4.90297500518602e-10,1.63502075886225
NCEH1,6.7947582204465e-13,1.62491679667404
EFCAB7,8.20520945788494e-18,1.6212084617175
CENPK,6.87584694881889e-09,1.6121535333227
DNAAF4,1.08376293023143e-15,1.61133174166372
GRB14,3.19719469579785e-12,1.604537608799
CEP55,8.18767615917134e-08,1.60151557138081
TTK,2.90820890629703e-08,1.6011011259626
MIS18A,9.43574297648995e-17,1.59183255876762
CPE,6.87167419998713e-12,1.58953828511755
TMEM178A,2.90949345978409e-07,1.58412831657978
SGCE,7.11475204188451e-12,1.57431869815492
TMEM17,1.31925080180559e-22,1.56966039469971
ACTR6,5.24686397073885e-16,1.56952970201298
TIGAR,6.175579277458e-18,1.5687114817601
CTNNB1,3.71868976627606e-18,1.56841895321314
CMTR2,1.90529303723613e-15,1.56832861479676
CDK1,2.50715920542168e-08,1.56695968388376
RBBP5,5.92101500717498e-22,1.5643098203572
PMAIP1,1.03990302896768e-07,1.55916981206076
HAUS1,1.90636556952479e-13,1.55489575279119
SUMO1,9.47470917279303e-16,1.55330020637324
GPAM,3.7963395010226e-22,1.5521159650737
RIT1,1.44038089774886e-20,1.54916592039509
EZH2,1.40247591586134e-09,1.54217739170685
NTN4,3.36014865335326e-09,1.54205807710875
IKBIP,1.40916313964966e-21,1.53830546727996
ASB3,4.4200186055522e-16,1.53357793657355
SLC25A43,5.70816888812782e-13,1.53292330359366
TRAPPC13,8.91451476777941e-14,1.52895016638477
TEX9,2.31420749123651e-23,1.52565393872589
PSPH,6.70672773060796e-11,1.52352089930069
BIVM,5.39476807174787e-16,1.51712881371566
GGH,2.38283953635088e-10,1.51650599608283
RRM2B,1.50635233885243e-14,1.5142938936299
TMA16,2.61809343198739e-18,1.51417553005425
PDE4DIP,7.62357799483624e-13,1.51364586603903
DPY19L1,9.71224591789309e-13,1.51342003371155
TOPORS,9.54540090943792e-16,1.51251432613458
USP46,1.34586403093801e-19,1.50879740924667
CENPH,5.37727792969797e-09,1.50679267320082
KIF20A,8.98855141466563e-06,1.5033972728735
TMEM200A,8.92357415189346e-14,1.49901000186333
PLA2G4A,2.49325401539047e-07,1.49671787232463
TSIX,1.89523876783644e-12,1.4965504236877
CAPSL,2.98929747263307e-09,1.49615835351637
ARMT1,3.3594205950885e-11,1.49154276426005
MED4,7.39187313000878e-19,1.49106249050003
ARHGAP18,6.66202877704354e-17,1.48452438947583
CLGN,7.08898825286759e-10,1.48434581127158
TCEAL7,1.33278151405801e-10,1.47691324426181
,4.02610932273499e-10,1.47358855412893
ATAD2,6.33223640976052e-13,1.47283576597728
NETO2,1.47695981332556e-15,1.47008567590537
C1D,1.57567056793466e-11,1.47003890429384
SLC27A6,1.17335259154616e-11,1.46962537310901
DBR1,1.1283763149886e-19,1.46782046549205
TAF1A,9.86738459397005e-17,1.4656508238054
KIF15,1.51189592189517e-07,1.46458215841811
F2R,6.92769115090235e-10,1.46431118336967
NUDCD2,2.97847432737145e-18,1.46004961571844
RRM2,8.14317056280775e-06,1.45864585174276
PHAX,2.50721701611054e-22,1.45824525981655
HCG11,3.06954915456332e-30,1.45681335793057
ADAM12,1.39594560946806e-06,1.45637399404424
APOBEC3B,1.54456230691359e-06,1.45559425567387
YIPF5,1.52786113584679e-18,1.45493278018951
NIPSNAP3A,8.29394224614281e-13,1.45222498915148
CENPL,9.70175838016716e-23,1.45222150022993
LRRN1,3.5932139626853e-07,1.4483897118133
KBTBD6,6.22251103624963e-15,1.44792121908706
LLPH,2.25475747439972e-18,1.44765650769374
EAF1,1.31662150852293e-16,1.44681767236849
SPAG1,8.43966990250245e-11,1.44622519692473
ADAT1,5.95907324800282e-22,1.44539409176709
GCLC,2.20525587044178e-07,1.4451663913073
IRAK1BP1,1.982796368025e-27,1.44511669040349
CPM,5.03021769636484e-05,1.44507506177136
MECOM,2.28778622001238e-10,1.44424641613407
ZNF277,6.60758808110028e-17,1.44336478857253
HK2,7.88090247276054e-10,1.43842261497269
PET117,1.24909182557368e-18,1.43835187749966
WDR47,2.11505772708606e-17,1.4373751093332
POSTN,0.000185786278448352,1.4363919304259
RASGRP1,5.11777305777316e-09,1.43607769454209
GALNT7,6.1766886163059e-13,1.43606427442073
F13A1,1.92533965266382e-07,1.4325576198795
YTHDF2,3.14666920365414e-17,1.43089813578205
ABRAXAS1,1.02919806087848e-20,1.43069394817672
CRY1,2.41294434164245e-13,1.42905959559342
TTC30A,1.49825327558823e-22,1.4273337961696
AGL,4.5314273926241e-14,1.42655895479835
SACS,8.495088030908e-14,1.42473410270292
GPX8,4.36416420598e-14,1.42335108932333
CCNA1,5.26485384681858e-10,1.42295890892139
BRCC3,3.1812059972196e-16,1.41916310583476
RWDD3,1.22077658145635e-12,1.41677496315596
SGO2,1.15267720629915e-11,1.41665072744114
PRMT3,5.69811426694104e-14,1.41593495317215
LOC100287896,4.66558214325309e-18,1.41554934931287
PIBF1,2.20293168043009e-13,1.41456962730369
MEST,8.7104517734214e-07,1.41119785010516
FLVCR1,3.49127327085632e-18,1.41084556823472
NRBF2,7.89126926821101e-12,1.41053371539169
NUSAP1,6.89625620685855e-07,1.40480121141993
FANCL,1.75332746283463e-10,1.40359230511993
TTF2,1.71145446539222e-13,1.40273355895137
CDCA7L,3.48155650589045e-10,1.40219095526697
ATP8B1,3.78568747928502e-13,1.40056812271192
MASTL,4.41456814873062e-14,1.39978116625069
MIR302CHG,1.15605231214176e-11,1.39972921255023
GET1,1.89989891067111e-13,1.39913971625062
MRPL19,2.25740192575234e-19,1.3973360918622
COIL,6.20535931367459e-18,1.39654662040983
DNAAF2,1.28478320177167e-17,1.39375810336594
MTCL1,1.40412017092872e-05,1.39340421742718
ME1,6.49992256367385e-17,1.39044877802649
RBIS,1.37541347785653e-17,1.39040879566668
STXBP6,6.21501281589382e-07,1.38815709046679
CWC27,3.77215090141044e-19,1.38741587765372
ORC6,1.29622197895786e-10,1.38719094408673
SFRP4,0.00425011337698415,1.38698898308054
BPGM,1.65341140132048e-14,1.38623060848245
NCAPG,1.21946373618548e-08,1.38549580470116
CCDC146,6.52448290730148e-06,1.38548801839031
