gene_symbol,mean_logfc,median_logfc,common_experiment,organism,signature_type
SELE,2.841429661030527,2.841429661030527,2.841429661030527,human,UP
SERPINE1,2.316405921112801,2.316405921112801,2.316405921112801,human,UP
HSPA6,2.181007293466303,2.181007293466303,2.181007293466303,human,UP
SOD2,2.08130380176113,2.08130380176113,2.08130380176113,human,UP
HSPH1,1.912089356546267,1.912089356546267,1.912089356546267,human,UP
HSPA1B,1.875478503463335,1.875478503463335,1.875478503463335,human,UP
CXCL2,1.852549801009128,1.852549801009128,1.852549801009128,human,UP
ICAM1,1.795193551855352,1.795193551855352,1.795193551855352,human,UP
KLF6,1.77481989874121,1.77481989874121,1.77481989874121,human,UP
CCL2,1.737351787398214,1.737351787398214,1.737351787398214,human,UP
CXCL8,1.737265191100478,1.737265191100478,1.737265191100478,human,UP
HSP90AA1,1.69007490213263,1.69007490213263,1.69007490213263,human,UP
HSPA1A,1.669497851196885,1.669497851196885,1.669497851196885,human,UP
CXCL1,1.617058014690072,1.617058014690072,1.617058014690072,human,UP
NEAT1,1.607486537799367,1.607486537799367,1.607486537799367,human,UP
IER3,1.552334145040124,1.552334145040124,1.552334145040124,human,UP
SQSTM1,1.549326504187599,1.549326504187599,1.549326504187599,human,UP
HSPD1,1.526688772047491,1.526688772047491,1.526688772047491,human,UP
BAG3,1.526501051971648,1.526501051971648,1.526501051971648,human,UP
HMOX1,1.520124229560946,1.520124229560946,1.520124229560946,human,UP
EMP1,1.508134073216177,1.508134073216177,1.508134073216177,human,UP
NFKBIA,1.48820500246974,1.48820500246974,1.48820500246974,human,UP
C2CD4B,1.356226132614992,1.356226132614992,1.356226132614992,human,UP
HSPB1,1.322722706948921,1.322722706948921,1.322722706948921,human,UP
VCAM1,1.322184445828212,1.322184445828212,1.322184445828212,human,UP
CFLAR,1.307559443234025,1.307559443234025,1.307559443234025,human,UP
DNAJB1,1.293858249339036,1.293858249339036,1.293858249339036,human,UP
PALM2-AKAP2,1.28602600025696,1.28602600025696,1.28602600025696,human,UP
CEBPD,1.269357541108006,1.269357541108006,1.269357541108006,human,UP
ANGPT2,1.265724247057262,1.265724247057262,1.265724247057262,human,UP
CD55,1.258968440593011,1.258968440593011,1.258968440593011,human,UP
ESM1,1.241326311762785,1.241326311762785,1.241326311762785,human,UP
TNFAIP3,1.219173626093317,1.219173626093317,1.219173626093317,human,UP
PIM3,1.204024216308343,1.204024216308343,1.204024216308343,human,UP
ZFAND2A,1.16241642814574,1.16241642814574,1.16241642814574,human,UP
DNAJB4,1.143977614377581,1.143977614377581,1.143977614377581,human,UP
HSP90AB1,1.14303050359951,1.14303050359951,1.14303050359951,human,UP
DNAJA4,1.114964797482812,1.114964797482812,1.114964797482812,human,UP
STC1,1.107901652106939,1.107901652106939,1.107901652106939,human,UP
LMNA,1.101270900997712,1.101270900997712,1.101270900997712,human,UP
PPP1R15A,1.094676673434785,1.094676673434785,1.094676673434785,human,UP
WWTR1,1.075180918118263,1.075180918118263,1.075180918118263,human,UP
ANKRD28,1.072693521313423,1.072693521313423,1.072693521313423,human,UP
PNRC1,1.066674287686736,1.066674287686736,1.066674287686736,human,UP
SLC5A3,1.062616358854734,1.062616358854734,1.062616358854734,human,UP
UBC,1.044694914580889,1.044694914580889,1.044694914580889,human,UP
CNKSR3,1.037960914100432,1.037960914100432,1.037960914100432,human,UP
SPAG9,1.032611669162688,1.032611669162688,1.032611669162688,human,UP
UPP1,1.031739330985086,1.031739330985086,1.031739330985086,human,UP
DNAJA1,1.027480923199367,1.027480923199367,1.027480923199367,human,UP
KLF2,1.021850523547135,1.021850523547135,1.021850523547135,human,UP
SAT1,1.016292232757165,1.016292232757165,1.016292232757165,human,UP
DNAJB6,1.015350016332357,1.015350016332357,1.015350016332357,human,UP
CDKN1A,1.013831168076445,1.013831168076445,1.013831168076445,human,UP
ABL2,1.006973766359738,1.006973766359738,1.006973766359738,human,UP
MT2A,0.9879425236212224,0.9879425236212224,0.9879425236212224,human,UP
JMJD1C,0.9708347632465552,0.9708347632465552,0.9708347632465552,human,UP
SYNJ2,0.9640209777631366,0.9640209777631366,0.9640209777631366,human,UP
NR4A1,0.9473988749193628,0.9473988749193628,0.9473988749193628,human,UP
MAFF,0.9409832984719058,0.9409832984719058,0.9409832984719058,human,UP
NEDD9,0.9343871969450565,0.9343871969450565,0.9343871969450565,human,UP
C11orf96,0.9282125815354544,0.9282125815354544,0.9282125815354544,human,UP
CLEC2B,0.9237975033990546,0.9237975033990546,0.9237975033990546,human,UP
SLC25A37,0.922314015882916,0.922314015882916,0.922314015882916,human,UP
HES4,0.9041394417289726,0.9041394417289726,0.9041394417289726,human,UP
CXCL3,0.90377975024597,0.90377975024597,0.90377975024597,human,UP
JAK1,0.8846738291215765,0.8846738291215765,0.8846738291215765,human,UP
YBX3,0.8809010036042761,0.8809010036042761,0.8809010036042761,human,UP
SASH1,0.8776263814011286,0.8776263814011286,0.8776263814011286,human,UP
IGFBP3,0.8767878337656796,0.8767878337656796,0.8767878337656796,human,UP
WTAP,0.87672105226361,0.87672105226361,0.87672105226361,human,UP
PLIN2,0.8623339661921625,0.8623339661921625,0.8623339661921625,human,UP
SSH1,0.8474617972744023,0.8474617972744023,0.8474617972744023,human,UP
ANXA1,0.8450381091851069,0.8450381091851069,0.8450381091851069,human,UP
CREBRF,0.8438914425787938,0.8438914425787938,0.8438914425787938,human,UP
SPRY1,0.8337460520477031,0.8337460520477031,0.8337460520477031,human,UP
YPEL2,0.8310236117264922,0.8310236117264922,0.8310236117264922,human,UP
HMGA1,0.8306632887066556,0.8306632887066556,0.8306632887066556,human,UP
CREM,0.82785880406916,0.82785880406916,0.82785880406916,human,UP
HBEGF,0.8176295509180034,0.8176295509180034,0.8176295509180034,human,UP
PRDM1,0.812550671668198,0.812550671668198,0.812550671668198,human,UP
MAP1LC3B,0.8118211957039367,0.8118211957039367,0.8118211957039367,human,UP
AKAP12,0.8083940056707561,0.8083940056707561,0.8083940056707561,human,UP
MAP3K8,0.8056674808284982,0.8056674808284982,0.8056674808284982,human,UP
NFKBIZ,0.7943466041640322,0.7943466041640322,0.7943466041640322,human,UP
NDRG1,0.7882833855134905,0.7882833855134905,0.7882833855134905,human,UP
LDLR,0.7857503762698436,0.7857503762698436,0.7857503762698436,human,UP
