disease_name,disease_id,match_type,q_threshold,tahoe_hits_count,cmap_hits_count,common_hits_count,known_drugs_in_database_count,known_drugs_available_in_cmap_count,known_drugs_available_in_tahoe_count,tahoe_in_known_count,cmap_in_known_count,common_in_known_count,total_in_known_count,phase_0.5,phase_1.0,phase_2.0,phase_3.0,phase_4.0,"status_Active, not recruiting",status_Completed,status_Enrolling by invitation,status_Not yet recruiting,status_Recruiting,status_Suspended,status_Terminated,status_Unknown,status_Unknown status,status_Withdrawn
urticaria,EFO_0005531,name,0.1,77,924,3,527,9,4,0,7,0,7,0.0,4.0,3.0,6.0,1.0,0.0,8.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0
intellectual disability,HP_0001249,name,0.1,44,33,1,91,4,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mental depression,MONDO_0002050,synonym,0.1,185,47,1,2252,69,13,1,1,0,2,0.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
cervical cancer,MONDO_0002974,name,0.1,192,141,4,1023,15,23,13,2,0,15,0.0,9.0,16.0,19.0,0.0,4.0,16.0,0.0,4.0,5.0,0.0,5.0,0.0,5.0,5.0
colorectal adenocarcinoma,EFO_0000365,name,0.1,278,31,1,743,12,19,16,1,0,17,0.0,13.0,21.0,4.0,0.0,10.0,14.0,0.0,0.0,3.0,0.0,5.0,0.0,3.0,3.0
muscular dystrophy,MONDO_0020121,name,0.1,62,6,0,45,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
malignant pleural mesothelioma,EFO_0000770,name,0.1,213,27,0,246,3,4,3,0,0,3,0.0,5.0,10.0,3.0,1.0,5.0,6.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0
osteoarthritis,MONDO_0005178,name,0.1,78,634,3,1689,35,16,2,21,1,22,1.0,4.0,8.0,19.0,28.0,0.0,26.0,1.0,0.0,4.0,0.0,5.0,16.0,7.0,1.0
obesity,EFO_0001073,name,0.1,184,944,16,1702,34,12,6,25,1,30,4.0,19.0,27.0,14.0,4.0,6.0,36.0,0.0,3.0,8.0,2.0,3.0,1.0,6.0,3.0
glioblastoma multiforme,EFO_0000519,name,0.1,245,57,2,1726,32,50,31,5,0,36,7.0,33.0,33.0,1.0,0.0,10.0,26.0,0.0,2.0,13.0,1.0,14.0,0.0,4.0,4.0
epilepsy syndrome,MONDO_0015650,name,0.1,289,101,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicotine addiction,EFO_0003768,synonym,0.1,241,731,18,785,27,9,5,14,1,18,5.0,7.0,12.0,5.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,4.0,1.0,2.0,0.0
esophagus squamous cell carcinoma,EFO_0005922,synonym,0.1,201,144,3,512,7,12,3,0,0,3,1.0,8.0,12.0,7.0,0.0,4.0,6.0,1.0,3.0,7.0,1.0,2.0,0.0,2.0,2.0
NASH,EFO_1001249,synonym,0.1,379,771,35,486,11,6,6,10,5,11,0.0,6.0,8.0,3.0,0.0,2.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0
hepatitis C virus related hepatocellular carcinoma,EFO_0008504,synonym,0.1,321,122,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Premature aging,MONDO_0019303,synonym,0.1,205,408,6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
melanoma in situ,0,no_match,0.1,340,24,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actinic keratosis,EFO_0002496,name,0.1,379,47,2,478,11,5,5,2,0,7,1.0,1.0,5.0,2.0,4.0,0.0,7.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0
astrocytoma,EFO_0000272,name,0.1,166,71,2,267,6,8,1,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fragile X syndrome,MONDO_0010383,name,0.1,379,24,2,163,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parasitic protozoa infectious disease,MONDO_0002428,synonym,0.1,72,690,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lung squamous cell carcinoma,EFO_0000708,synonym,0.1,361,27,0,391,6,14,13,0,0,13,0.0,9.0,17.0,4.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,6.0
arthritis,EFO_0005856,name,0.1,83,82,1,435,6,2,0,2,0,2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
melanoma,EFO_0000756,name,0.1,31,929,1,2142,39,39,3,25,0,28,2.0,26.0,33.0,5.0,1.0,7.0,21.0,0.0,0.0,12.0,0.0,15.0,1.0,4.0,7.0
pulmonary hypertension,MONDO_0005149,name,0.1,209,643,10,447,8,7,6,5,0,11,1.0,4.0,10.0,8.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,2.0
Anaplasmosis,MONDO_0025303,name,0.1,90,108,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pre-eclampsia,EFO_0000668,name,0.1,109,210,1,756,21,5,0,5,0,5,2.0,1.0,3.0,5.0,2.0,0.0,2.0,1.0,0.0,4.0,0.0,3.0,2.0,1.0,0.0
Barrett's esophagus,EFO_0000280,name,0.1,308,1,1,230,7,2,1,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute myeloid leukemia,EFO_0000222,name,0.1,90,33,0,2215,41,52,12,4,0,16,2.0,39.0,30.0,21.0,7.0,14.0,29.0,1.0,5.0,15.0,3.0,14.0,2.0,10.0,6.0
Diabetic Nephropathy,EFO_0000401,name,0.1,326,11,0,507,11,9,9,0,0,9,0.0,1.0,7.0,2.0,1.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
idiopathic pulmonary fibrosis,EFO_0000768,name,0.1,148,0,0,644,13,11,4,0,0,4,1.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
papillary thyroid carcinoma,EFO_0000641,name,0.1,10,612,0,259,5,7,0,2,0,2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inflammatory bowel disease,EFO_0003767,name,0.1,346,128,8,538,11,7,6,1,1,6,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
Parkinson's disease,MONDO_0005180,synonym,0.1,262,410,12,1445,42,11,8,20,1,27,1.0,7.0,22.0,8.0,13.0,1.0,22.0,0.0,1.0,12.0,1.0,4.0,5.0,3.0,2.0
sickle cell anemia,MONDO_0011382,name,0.1,117,948,9,1124,24,12,3,15,0,18,4.0,15.0,17.0,7.0,2.0,4.0,19.0,1.0,1.0,8.0,3.0,7.0,1.0,0.0,1.0
testicular cancer,EFO_0005088,synonym,0.1,379,60,4,145,3,5,5,0,0,5,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
sarcoidosis,MONDO_0019338,name,0.1,208,426,7,376,6,3,3,3,0,6,0.0,1.0,4.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0
prolactinoma,EFO_1000496,synonym,0.1,2,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adenosquamous cell lung carcinoma,EFO_0000233,synonym,0.1,370,26,1,261,4,6,6,1,0,7,0.0,2.0,7.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JRA - Juvenile rheumatoid arthritis,0,no_match,0.1,299,32,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lung small cell carcinoma,EFO_0000702,synonym,0.1,180,27,0,1215,18,31,15,0,0,15,0.0,21.0,27.0,6.0,1.0,3.0,17.0,0.0,5.0,13.0,0.0,9.0,1.0,5.0,2.0
Schizophrenia,MONDO_0005090,name,0.1,6,5,0,2219,65,15,0,1,0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
colitis,EFO_0003872,name,0.1,309,45,3,202,5,1,1,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Simian Acquired Immune Deficiency Syndrome,0,no_match,0.1,86,927,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ischemic stroke,HP_0002140,name,0.1,230,37,1,651,13,7,4,1,0,5,0.0,6.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0
alcoholic hepatitis,EFO_1001345,synonym,0.1,264,11,0,142,4,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
testis seminoma,EFO_0003101,synonym,0.1,164,557,6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bipolar disorder,MONDO_0004985,name,0.1,3,101,0,1146,28,9,1,8,0,9,0.0,1.0,10.0,10.0,10.0,0.0,12.0,0.0,0.0,1.0,0.0,7.0,2.0,6.0,3.0
asthma,MONDO_0004979,name,0.1,8,4,0,1993,38,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arthropathy,HP_0003040,name,0.1,158,106,2,66,3,1,0,1,0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
psoriatic arthritis,EFO_0003778,name,0.1,376,13,1,630,9,6,6,0,0,6,0.0,1.0,5.0,5.0,6.0,0.0,5.0,0.0,1.0,4.0,0.0,2.0,4.0,0.0,1.0
dilated cardiomyopathy,EFO_0000407,name,0.1,79,107,2,140,3,2,0,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Down syndrome,EFO_0001064,name,0.1,122,56,1,86,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appendicitis,EFO_0007149,name,0.1,245,85,3,149,3,1,0,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Nile fever,MONDO_0002282,name,0.1,193,12,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eczema,EFO_0000274,synonym,0.1,374,46,2,1175,24,10,10,0,0,10,2.0,6.0,2.0,3.0,2.0,1.0,7.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0
peripartum cardiomyopathy,EFO_0002628,name,0.1,232,0,0,8,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ebola hemorrhagic fever,EFO_0007243,name,0.1,188,98,1,44,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
