gene_symbol,logfc_dz:168,mean_logfc,median_logfc,common_experiment,organism
MNDA,0.2906075716018677,0.2906075716018677,0.2906075716018677,0.2906075716018677,human
DEFA1B,0.19165512919425964,0.19165512919425964,0.19165512919425964,0.19165512919425964,human
CST7,0.14965304732322693,0.14965304732322693,0.14965304732322693,0.14965304732322693,human
LYZ,0.13935333490371704,0.13935333490371704,0.13935333490371704,0.13935333490371704,human
ALAS2,0.1307215839624405,0.1307215839624405,0.1307215839624405,0.1307215839624405,human
ARG1,0.11981762945652008,0.11981762945652008,0.11981762945652008,0.11981762945652008,human
OAZ1,0.1073673665523529,0.1073673665523529,0.1073673665523529,0.1073673665523529,human
MMP9,0.10636775195598602,0.10636775195598602,0.10636775195598602,0.10636775195598602,human
TMSB4XP8,0.10198599845170975,0.10198599845170975,0.10198599845170975,0.10198599845170975,human
NQO2,0.0966423749923706,0.0966423749923706,0.0966423749923706,0.0966423749923706,human
CD177,0.09551690518856049,0.09551690518856049,0.09551690518856049,0.09551690518856049,human
S100A9,0.09433837234973907,0.09433837234973907,0.09433837234973907,0.09433837234973907,human
PFN1,0.0867176279425621,0.0867176279425621,0.0867176279425621,0.0867176279425621,human
NCOA4,0.08333530277013779,0.08333530277013779,0.08333530277013779,0.08333530277013779,human
UBA52,0.08190448582172394,0.08190448582172394,0.08190448582172394,0.08190448582172394,human
SLC4A1,0.08175963163375854,0.08175963163375854,0.08175963163375854,0.08175963163375854,human
LCN2,0.08174269646406174,0.08174269646406174,0.08174269646406174,0.08174269646406174,human
PLBD1,0.07815777510404587,0.07815777510404587,0.07815777510404587,0.07815777510404587,human
GMFG,0.07267148047685623,0.07267148047685623,0.07267148047685623,0.07267148047685623,human
TSPO,0.07168097794055939,0.07168097794055939,0.07168097794055939,0.07168097794055939,human
EEF1A1P9,0.069171242415905,0.069171242415905,0.069171242415905,0.069171242415905,human
OLFM4,0.06354078650474548,0.06354078650474548,0.06354078650474548,0.06354078650474548,human
CORO1A,0.06169107183814049,0.06169107183814049,0.06169107183814049,0.06169107183814049,human
HMGB2,0.06029827147722244,0.06029827147722244,0.06029827147722244,0.06029827147722244,human
TALDO1,0.06021139770746231,0.06021139770746231,0.06021139770746231,0.06021139770746231,human
CHPT1,0.05932784453034401,0.05932784453034401,0.05932784453034401,0.05932784453034401,human
S100A6,0.05923176929354668,0.05923176929354668,0.05923176929354668,0.05923176929354668,human
RETN,0.057246170938014984,0.057246170938014984,0.057246170938014984,0.057246170938014984,human
GPX1,0.05681590735912323,0.05681590735912323,0.05681590735912323,0.05681590735912323,human
EEF1A1,0.05539596453309059,0.05539596453309059,0.05539596453309059,0.05539596453309059,human
PGLYRP1,0.053824134171009064,0.053824134171009064,0.053824134171009064,0.053824134171009064,human
