gene_symbol,logfc_dz:175,mean_logfc,median_logfc,common_experiment,organism
CYAT1,0.3347880244255066,0.3347880244255066,0.3347880244255066,0.3347880244255066,human
IGHV4-31,0.32403913140296936,0.32403913140296936,0.32403913140296936,0.32403913140296936,human
IGLC7,0.2807287573814392,0.2807287573814392,0.2807287573814392,0.2807287573814392,human
IGK,0.230144202709198,0.230144202709198,0.230144202709198,0.230144202709198,human
IGHA2,0.2100372165441513,0.2100372165441513,0.2100372165441513,0.2100372165441513,human
LOC652493,0.17119824886322021,0.17119824886322021,0.17119824886322021,0.17119824886322021,human
IGLL3P,0.16930647194385529,0.16930647194385529,0.16930647194385529,0.16930647194385529,human
SERPINA3,0.13685579597949982,0.13685579597949982,0.13685579597949982,0.13685579597949982,human
TIMP1,0.1201159730553627,0.1201159730553627,0.1201159730553627,0.1201159730553627,human
HLA-DRB4,0.11625229567289352,0.11625229567289352,0.11625229567289352,0.11625229567289352,human
CD74,0.11540796607732773,0.11540796607732773,0.11540796607732773,0.11540796607732773,human
HLA-DRB1,0.11286485195159912,0.11286485195159912,0.11286485195159912,0.11286485195159912,human
HLA-DRB5,0.10659411549568176,0.10659411549568176,0.10659411549568176,0.10659411549568176,human
SAA2,0.10450132191181183,0.10450132191181183,0.10450132191181183,0.10450132191181183,human
IGKV1OR2-108,0.1041586697101593,0.1041586697101593,0.1041586697101593,0.1041586697101593,human
HLA-DRA,0.09571179747581482,0.09571179747581482,0.09571179747581482,0.09571179747581482,human
MT2A,0.08456521481275558,0.08456521481275558,0.08456521481275558,0.08456521481275558,human
LYZ,0.0766126736998558,0.0766126736998558,0.0766126736998558,0.0766126736998558,human
HLA-B,0.07206092029809952,0.07206092029809952,0.07206092029809952,0.07206092029809952,human
IGKV3-20,0.07177448272705078,0.07177448272705078,0.07177448272705078,0.07177448272705078,human
IGHV3-48,0.07175222784280777,0.07175222784280777,0.07175222784280777,0.07175222784280777,human
LOC100510044,0.07147656381130219,0.07147656381130219,0.07147656381130219,0.07147656381130219,human
IGHV1-69,0.07054071873426437,0.07054071873426437,0.07054071873426437,0.07054071873426437,human
MLIP,0.06740671396255493,0.06740671396255493,0.06740671396255493,0.06740671396255493,human
IGHV3-23,0.06673793494701385,0.06673793494701385,0.06673793494701385,0.06673793494701385,human
IFITM3,0.06648023426532745,0.06648023426532745,0.06648023426532745,0.06648023426532745,human
LOC100508797,0.06611074507236481,0.06611074507236481,0.06611074507236481,0.06611074507236481,human
LOC100510678,0.06499626487493515,0.06499626487493515,0.06499626487493515,0.06499626487493515,human
IFI30,0.06431066244840622,0.06431066244840622,0.06431066244840622,0.06431066244840622,human
FTL,0.0606224425137043,0.0606224425137043,0.0606224425137043,0.0606224425137043,human
IFITM2,0.05920151248574257,0.05920151248574257,0.05920151248574257,0.05920151248574257,human
HLA-A,0.05607270449399948,0.05607270449399948,0.05607270449399948,0.05607270449399948,human
MT1H,0.05317700281739235,0.05317700281739235,0.05317700281739235,0.05317700281739235,human
HLA-C,0.052409082651138306,0.052409082651138306,0.052409082651138306,0.052409082651138306,human
IFITM1,0.05163615569472313,0.05163615569472313,0.05163615569472313,0.05163615569472313,human
IGKC,0.051016900688409805,0.051016900688409805,0.051016900688409805,0.051016900688409805,human
FTH1P5,0.0507039837539196,0.0507039837539196,0.0507039837539196,0.0507039837539196,human
MT1HL1,0.05037092790007591,0.05037092790007591,0.05037092790007591,0.05037092790007591,human
MT1X,0.04811417683959007,0.04811417683959007,0.04811417683959007,0.04811417683959007,human
SRGN,0.04508841410279274,0.04508841410279274,0.04508841410279274,0.04508841410279274,human
CXCL12,0.04434181749820709,0.04434181749820709,0.04434181749820709,0.04434181749820709,human
RPS4Y1,0.043752752244472504,0.043752752244472504,0.043752752244472504,0.043752752244472504,human
IGLV1-40,0.04275498166680336,0.04275498166680336,0.04275498166680336,0.04275498166680336,human
CHI3L2,0.0424000583589077,0.0424000583589077,0.0424000583589077,0.0424000583589077,human
C1S,0.04137266427278519,0.04137266427278519,0.04137266427278519,0.04137266427278519,human
HLA-G,0.040425535291433334,0.040425535291433334,0.040425535291433334,0.040425535291433334,human
CXCL14,0.0400867760181427,0.0400867760181427,0.0400867760181427,0.0400867760181427,human
THBS4,0.039787158370018005,0.039787158370018005,0.039787158370018005,0.039787158370018005,human
B2M,0.03976774215698242,0.03976774215698242,0.03976774215698242,0.03976774215698242,human
IGFBP4,0.03950560465455055,0.03950560465455055,0.03950560465455055,0.03950560465455055,human
LAPTM5,0.03758005052804947,0.03758005052804947,0.03758005052804947,0.03758005052804947,human
HLA-DPA1,0.0364517867565155,0.0364517867565155,0.0364517867565155,0.0364517867565155,human
C1R,0.03624742105603218,0.03624742105603218,0.03624742105603218,0.03624742105603218,human
HBA2,0.035981521010398865,0.035981521010398865,0.035981521010398865,0.035981521010398865,human
C1QA,0.03595945984125137,0.03595945984125137,0.03595945984125137,0.03595945984125137,human
IGLV2-23,0.03561617434024811,0.03561617434024811,0.03561617434024811,0.03561617434024811,human
HLA-DQA2,0.03545568883419037,0.03545568883419037,0.03545568883419037,0.03545568883419037,human
HLA-DPB1,0.035333432257175446,0.035333432257175446,0.035333432257175446,0.035333432257175446,human
LOC100505584,0.03530958294868469,0.03530958294868469,0.03530958294868469,0.03530958294868469,human
SERPINF1,0.03438178449869156,0.03438178449869156,0.03438178449869156,0.03438178449869156,human
GPX3,0.03302759304642677,0.03302759304642677,0.03302759304642677,0.03302759304642677,human
HLA-J,0.032831188291311264,0.032831188291311264,0.032831188291311264,0.032831188291311264,human
CEBPB,0.03275773674249649,0.03275773674249649,0.03275773674249649,0.03275773674249649,human
IGKV4-1,0.032112810760736465,0.032112810760736465,0.032112810760736465,0.032112810760736465,human
TYROBP,0.03184492513537407,0.03184492513537407,0.03184492513537407,0.03184492513537407,human
SAT1,0.03137660026550293,0.03137660026550293,0.03137660026550293,0.03137660026550293,human
RPLP0,0.03132560849189758,0.03132560849189758,0.03132560849189758,0.03132560849189758,human
IGKV1-5,0.030827371403574944,0.030827371403574944,0.030827371403574944,0.030827371403574944,human
TMSB10,0.030447496101260185,0.030447496101260185,0.030447496101260185,0.030447496101260185,human
CFL1,0.030288897454738617,0.030288897454738617,0.030288897454738617,0.030288897454738617,human
ATP1B3,0.02997465245425701,0.02997465245425701,0.02997465245425701,0.02997465245425701,human
SERPING1,0.029648492112755775,0.029648492112755775,0.029648492112755775,0.029648492112755775,human
MT1F,0.02963542379438877,0.02963542379438877,0.02963542379438877,0.02963542379438877,human
C1QB,0.029546212404966354,0.029546212404966354,0.029546212404966354,0.029546212404966354,human
CTSB,0.028143981471657753,0.028143981471657753,0.028143981471657753,0.028143981471657753,human
HBB,0.027591228485107422,0.027591228485107422,0.027591228485107422,0.027591228485107422,human
CYBA,0.02745000086724758,0.02745000086724758,0.02745000086724758,0.02745000086724758,human
LOC100133583,0.026403412222862244,0.026403412222862244,0.026403412222862244,0.026403412222862244,human
CD14,0.025955883786082268,0.025955883786082268,0.025955883786082268,0.025955883786082268,human
MT1E,0.025914473459124565,0.025914473459124565,0.025914473459124565,0.025914473459124565,human
SSR4,0.025447728112339973,0.025447728112339973,0.025447728112339973,0.025447728112339973,human
LDHA,0.02519482560455799,0.02519482560455799,0.02519482560455799,0.02519482560455799,human
IGLJ3,0.024951625615358353,0.024951625615358353,0.024951625615358353,0.024951625615358353,human
XBP1,0.024826787412166595,0.024826787412166595,0.024826787412166595,0.024826787412166595,human
CXCL8,0.024826353415846825,0.024826353415846825,0.024826353415846825,0.024826353415846825,human
MAST1,0.02475140430033207,0.02475140430033207,0.02475140430033207,0.02475140430033207,human
CXCL13,0.024677250534296036,0.024677250534296036,0.024677250534296036,0.024677250534296036,human
CST3,0.024255238473415375,0.024255238473415375,0.024255238473415375,0.024255238473415375,human
NPC2,0.02415454015135765,0.02415454015135765,0.02415454015135765,0.02415454015135765,human
FCER1G,0.02351268008351326,0.02351268008351326,0.02351268008351326,0.02351268008351326,human
TENC1,0.02348220720887184,0.02348220720887184,0.02348220720887184,0.02348220720887184,human
HLA-E,0.023338517174124718,0.023338517174124718,0.023338517174124718,0.023338517174124718,human
ITGB2,0.023294053971767426,0.023294053971767426,0.023294053971767426,0.023294053971767426,human
IER3,0.023208439350128174,0.023208439350128174,0.023208439350128174,0.023208439350128174,human
RGS2,0.023154841735959053,0.023154841735959053,0.023154841735959053,0.023154841735959053,human
OLFML3,0.02313069999217987,0.02313069999217987,0.02313069999217987,0.02313069999217987,human
MMP9,0.022811200469732285,0.022811200469732285,0.022811200469732285,0.022811200469732285,human
PSAP,0.022751355543732643,0.022751355543732643,0.022751355543732643,0.022751355543732643,human
F13A1,0.02236246131360531,0.02236246131360531,0.02236246131360531,0.02236246131360531,human
G0S2,0.022070342674851418,0.022070342674851418,0.022070342674851418,0.022070342674851418,human
IBSP,0.021598724648356438,0.021598724648356438,0.021598724648356438,0.021598724648356438,human
CFHR1,0.021597154438495636,0.021597154438495636,0.021597154438495636,0.021597154438495636,human
IFI27,0.02156347595155239,0.02156347595155239,0.02156347595155239,0.02156347595155239,human
ID1,0.021541886031627655,0.021541886031627655,0.021541886031627655,0.021541886031627655,human
C3,0.02141277678310871,0.02141277678310871,0.02141277678310871,0.02141277678310871,human
IGHM,0.021303674206137657,0.021303674206137657,0.021303674206137657,0.021303674206137657,human
PSMA6,0.02081194519996643,0.02081194519996643,0.02081194519996643,0.02081194519996643,human
ISG15,0.02065376751124859,0.02065376751124859,0.02065376751124859,0.02065376751124859,human
IGLL5,0.0205854345113039,0.0205854345113039,0.0205854345113039,0.0205854345113039,human
LOC642846,0.019898565486073494,0.019898565486073494,0.019898565486073494,0.019898565486073494,human
POU2AF1,0.019889099523425102,0.019889099523425102,0.019889099523425102,0.019889099523425102,human
GPX1,0.01970359869301319,0.01970359869301319,0.01970359869301319,0.01970359869301319,human
IGLV3-19,0.019690126180648804,0.019690126180648804,0.019690126180648804,0.019690126180648804,human
LOC100133862,0.019544702023267746,0.019544702023267746,0.019544702023267746,0.019544702023267746,human
RPLP0P6,0.019336629658937454,0.019336629658937454,0.019336629658937454,0.019336629658937454,human
TMSB4XP8,0.019149689003825188,0.019149689003825188,0.019149689003825188,0.019149689003825188,human
HIF1A,0.0191043633967638,0.0191043633967638,0.0191043633967638,0.0191043633967638,human
HEXB,0.01897190511226654,0.01897190511226654,0.01897190511226654,0.01897190511226654,human
FTH1,0.018859554082155228,0.018859554082155228,0.018859554082155228,0.018859554082155228,human
NNMT,0.018444448709487915,0.018444448709487915,0.018444448709487915,0.018444448709487915,human
ACTB,0.018287857994437218,0.018287857994437218,0.018287857994437218,0.018287857994437218,human
S100A9,0.018191400915384293,0.018191400915384293,0.018191400915384293,0.018191400915384293,human
LRRC15,0.018095435574650764,0.018095435574650764,0.018095435574650764,0.018095435574650764,human
CFHR2,0.01802000403404236,0.01802000403404236,0.01802000403404236,0.01802000403404236,human
ARHGDIB,0.018017729744315147,0.018017729744315147,0.018017729744315147,0.018017729744315147,human
IGJ,0.017986828461289406,0.017986828461289406,0.017986828461289406,0.017986828461289406,human
PLEKHF1,0.01792055368423462,0.01792055368423462,0.01792055368423462,0.01792055368423462,human
IGL,0.017883580178022385,0.017883580178022385,0.017883580178022385,0.017883580178022385,human
OLFML2B,0.017866259440779686,0.017866259440779686,0.017866259440779686,0.017866259440779686,human
CD59,0.017523525282740593,0.017523525282740593,0.017523525282740593,0.017523525282740593,human
PMP22,0.017435302957892418,0.017435302957892418,0.017435302957892418,0.017435302957892418,human
PABPC1,0.01694946177303791,0.01694946177303791,0.01694946177303791,0.01694946177303791,human
H2AFY2,0.016915610060095787,0.016915610060095787,0.016915610060095787,0.016915610060095787,human
SPP1,0.01689283922314644,0.01689283922314644,0.01689283922314644,0.01689283922314644,human
CD53,0.016614332795143127,0.016614332795143127,0.016614332795143127,0.016614332795143127,human
CCL18,0.016455208882689476,0.016455208882689476,0.016455208882689476,0.016455208882689476,human
CD79A,0.016401011496782303,0.016401011496782303,0.016401011496782303,0.016401011496782303,human
HCLS1,0.016373034566640854,0.016373034566640854,0.016373034566640854,0.016373034566640854,human
C4B,0.016264354810118675,0.016264354810118675,0.016264354810118675,0.016264354810118675,human
OAZ1,0.016176164150238037,0.016176164150238037,0.016176164150238037,0.016176164150238037,human
MPP3,0.01617365889251232,0.01617365889251232,0.01617365889251232,0.01617365889251232,human
ADAMTS12,0.016109401360154152,0.016109401360154152,0.016109401360154152,0.016109401360154152,human
HLA-DRB6,0.015944525599479675,0.015944525599479675,0.015944525599479675,0.015944525599479675,human
PFN1,0.015898780897259712,0.015898780897259712,0.015898780897259712,0.015898780897259712,human
ACSL1,0.01581399515271187,0.01581399515271187,0.01581399515271187,0.01581399515271187,human
RPSA,0.015523106791079044,0.015523106791079044,0.015523106791079044,0.015523106791079044,human
NAMPT,0.015388469211757183,0.015388469211757183,0.015388469211757183,0.015388469211757183,human
HLA-DMA,0.015231580473482609,0.015231580473482609,0.015231580473482609,0.015231580473482609,human
GSTK1,0.01520072016865015,0.01520072016865015,0.01520072016865015,0.01520072016865015,human
MARCKSL1,0.01508861780166626,0.01508861780166626,0.01508861780166626,0.01508861780166626,human
CTSC,0.01506014820188284,0.01506014820188284,0.01506014820188284,0.01506014820188284,human
NDRG1,0.014959611929953098,0.014959611929953098,0.014959611929953098,0.014959611929953098,human
ZCWPW2,0.014938379637897015,0.014938379637897015,0.014938379637897015,0.014938379637897015,human
CLK2,0.014656530693173409,0.014656530693173409,0.014656530693173409,0.014656530693173409,human
GPNMB,0.014630505815148354,0.014630505815148354,0.014630505815148354,0.014630505815148354,human
HLA-F,0.014600984752178192,0.014600984752178192,0.014600984752178192,0.014600984752178192,human
FCGR2A,0.014590444974601269,0.014590444974601269,0.014590444974601269,0.014590444974601269,human
FSTL1,0.014398624189198017,0.014398624189198017,0.014398624189198017,0.014398624189198017,human
HLA-DMB,0.014342405833303928,0.014342405833303928,0.014342405833303928,0.014342405833303928,human
RAB31,0.014334225095808506,0.014334225095808506,0.014334225095808506,0.014334225095808506,human
CSF1R,0.014332439750432968,0.014332439750432968,0.014332439750432968,0.014332439750432968,human
SPINK5,0.01426228042691946,0.01426228042691946,0.01426228042691946,0.01426228042691946,human
MT1G,0.01417478360235691,0.01417478360235691,0.01417478360235691,0.01417478360235691,human
C10orf10,0.014008643105626106,0.014008643105626106,0.014008643105626106,0.014008643105626106,human
PTGS2,0.014000765047967434,0.014000765047967434,0.014000765047967434,0.014000765047967434,human
CTSH,0.013943511992692947,0.013943511992692947,0.013943511992692947,0.013943511992692947,human
NXN,0.013920034281909466,0.013920034281909466,0.013920034281909466,0.013920034281909466,human
GAPDH,0.013773031532764435,0.013773031532764435,0.013773031532764435,0.013773031532764435,human
MIR1244-2,0.013724581338465214,0.013724581338465214,0.013724581338465214,0.013724581338465214,human
