gene_symbol,logfc_dz:223,mean_logfc,median_logfc,common_experiment,organism
IFITM3,0.36545369029045105,0.36545369029045105,0.36545369029045105,0.36545369029045105,human
IFITM2,0.3164159059524536,0.3164159059524536,0.3164159059524536,0.3164159059524536,human
FTL,0.20569244027137756,0.20569244027137756,0.20569244027137756,0.20569244027137756,human
AQP1,0.1862417757511139,0.1862417757511139,0.1862417757511139,0.1862417757511139,human
HLA-C,0.18102534115314484,0.18102534115314484,0.18102534115314484,0.18102534115314484,human
PPAP2B,0.16670067608356476,0.16670067608356476,0.16670067608356476,0.16670067608356476,human
GPX3,0.13962391018867493,0.13962391018867493,0.13962391018867493,0.13962391018867493,human
CLEC3B,0.11884099990129471,0.11884099990129471,0.11884099990129471,0.11884099990129471,human
HLA-DRB5,0.11569762974977493,0.11569762974977493,0.11569762974977493,0.11569762974977493,human
EEF1A1,0.1001015454530716,0.1001015454530716,0.1001015454530716,0.1001015454530716,human
ENG,0.09361512959003448,0.09361512959003448,0.09361512959003448,0.09361512959003448,human
GPR116,0.08424127846956253,0.08424127846956253,0.08424127846956253,0.08424127846956253,human
FCN3,0.07983838766813278,0.07983838766813278,0.07983838766813278,0.07983838766813278,human
HYAL2,0.07632100582122803,0.07632100582122803,0.07632100582122803,0.07632100582122803,human
RPL37A,0.0701586976647377,0.0701586976647377,0.0701586976647377,0.0701586976647377,human
ID1,0.06847580522298813,0.06847580522298813,0.06847580522298813,0.06847580522298813,human
UMOD,0.066863514482975,0.066863514482975,0.066863514482975,0.066863514482975,human
ALDOB,0.0635494589805603,0.0635494589805603,0.0635494589805603,0.0635494589805603,human
MT1E,0.055460989475250244,0.055460989475250244,0.055460989475250244,0.055460989475250244,human
GNAI2,0.05388918146491051,0.05388918146491051,0.05388918146491051,0.05388918146491051,human
RPS20,0.04793519899249077,0.04793519899249077,0.04793519899249077,0.04793519899249077,human
COL4A2,0.04408612847328186,0.04408612847328186,0.04408612847328186,0.04408612847328186,human
RPL8,0.04312557354569435,0.04312557354569435,0.04312557354569435,0.04312557354569435,human
