gene_symbol,logfc_dz:472,mean_logfc,median_logfc,common_experiment,organism
MMP1,0.30548107624053955,0.30548107624053955,0.30548107624053955,0.30548107624053955,human
NFKBIA,0.1336846500635147,0.1336846500635147,0.1336846500635147,0.1336846500635147,human
MMP3,0.11326257139444351,0.11326257139444351,0.11326257139444351,0.11326257139444351,human
RND3,0.10254772752523422,0.10254772752523422,0.10254772752523422,0.10254772752523422,human
CTSK,0.10099639743566513,0.10099639743566513,0.10099639743566513,0.10099639743566513,human
SERPINB2,0.10056862980127335,0.10056862980127335,0.10056862980127335,0.10056862980127335,human
COL6A3,0.09446796774864197,0.09446796774864197,0.09446796774864197,0.09446796774864197,human
FTH1,0.09296182543039322,0.09296182543039322,0.09296182543039322,0.09296182543039322,human
PFN1,0.0919695496559143,0.0919695496559143,0.0919695496559143,0.0919695496559143,human
IGFBP4,0.09075616300106049,0.09075616300106049,0.09075616300106049,0.09075616300106049,human
IL6,0.08506045490503311,0.08506045490503311,0.08506045490503311,0.08506045490503311,human
HMOX1,0.08392532169818878,0.08392532169818878,0.08392532169818878,0.08392532169818878,human
HLA-B,0.08258875459432602,0.08258875459432602,0.08258875459432602,0.08258875459432602,human
SERPINE1,0.07924588024616241,0.07924588024616241,0.07924588024616241,0.07924588024616241,human
IER3,0.07821356505155563,0.07821356505155563,0.07821356505155563,0.07821356505155563,human
ID1,0.0776284858584404,0.0776284858584404,0.0776284858584404,0.0776284858584404,human
CEBPB,0.07760251313447952,0.07760251313447952,0.07760251313447952,0.07760251313447952,human
GREM1,0.07641351968050003,0.07641351968050003,0.07641351968050003,0.07641351968050003,human
ACTB,0.07195145636796951,0.07195145636796951,0.07195145636796951,0.07195145636796951,human
GPNMB,0.07087157666683197,0.07087157666683197,0.07087157666683197,0.07087157666683197,human
FTH1P5,0.07086330652236938,0.07086330652236938,0.07086330652236938,0.07086330652236938,human
CXCL8,0.06875031441450119,0.06875031441450119,0.06875031441450119,0.06875031441450119,human
KLF10,0.0687178447842598,0.0687178447842598,0.0687178447842598,0.0687178447842598,human
DKK1,0.06803347915410995,0.06803347915410995,0.06803347915410995,0.06803347915410995,human
MMP2,0.06802815943956375,0.06802815943956375,0.06802815943956375,0.06802815943956375,human
CXCL1,0.06664087623357773,0.06664087623357773,0.06664087623357773,0.06664087623357773,human
GEM,0.06609662622213364,0.06609662622213364,0.06609662622213364,0.06609662622213364,human
ECM1,0.06604315340518951,0.06604315340518951,0.06604315340518951,0.06604315340518951,human
MT2A,0.06428173184394836,0.06428173184394836,0.06428173184394836,0.06428173184394836,human
CTGF,0.061894454061985016,0.061894454061985016,0.061894454061985016,0.061894454061985016,human
TUBA1B,0.05552827566862106,0.05552827566862106,0.05552827566862106,0.05552827566862106,human
ADM,0.05334746837615967,0.05334746837615967,0.05334746837615967,0.05334746837615967,human
IL13RA2,0.053237926214933395,0.053237926214933395,0.053237926214933395,0.053237926214933395,human
CORO1C,0.05292195826768875,0.05292195826768875,0.05292195826768875,0.05292195826768875,human
MME,0.05247820168733597,0.05247820168733597,0.05247820168733597,0.05247820168733597,human
HIF1A,0.05159880965948105,0.05159880965948105,0.05159880965948105,0.05159880965948105,human
GADD45A,0.05039925128221512,0.05039925128221512,0.05039925128221512,0.05039925128221512,human
LIF,0.04950552433729172,0.04950552433729172,0.04950552433729172,0.04950552433729172,human
TUBA1C,0.04766123369336128,0.04766123369336128,0.04766123369336128,0.04766123369336128,human
P4HA2,0.047612786293029785,0.047612786293029785,0.047612786293029785,0.047612786293029785,human
ACKR3,0.04692588374018669,0.04692588374018669,0.04692588374018669,0.04692588374018669,human
SH3BGRL3,0.04590308666229248,0.04590308666229248,0.04590308666229248,0.04590308666229248,human
CTSB,0.04559055343270302,0.04559055343270302,0.04559055343270302,0.04559055343270302,human
CALU,0.04538734629750252,0.04538734629750252,0.04538734629750252,0.04538734629750252,human
MFGE8,0.04512682184576988,0.04512682184576988,0.04512682184576988,0.04512682184576988,human
STC2,0.044766660779714584,0.044766660779714584,0.044766660779714584,0.044766660779714584,human
PKM,0.044108759611845016,0.044108759611845016,0.044108759611845016,0.044108759611845016,human
IL7R,0.04362086206674576,0.04362086206674576,0.04362086206674576,0.04362086206674576,human
CALM2,0.04337798431515694,0.04337798431515694,0.04337798431515694,0.04337798431515694,human
SMURF2,0.042645107954740524,0.042645107954740524,0.042645107954740524,0.042645107954740524,human
HLA-C,0.042557355016469955,0.042557355016469955,0.042557355016469955,0.042557355016469955,human
RAI14,0.04220431298017502,0.04220431298017502,0.04220431298017502,0.04220431298017502,human
NT5E,0.041286565363407135,0.041286565363407135,0.041286565363407135,0.041286565363407135,human
LUM,0.0402880422770977,0.0402880422770977,0.0402880422770977,0.0402880422770977,human
PDGFC,0.0399484820663929,0.0399484820663929,0.0399484820663929,0.0399484820663929,human
TNFAIP3,0.03984830901026726,0.03984830901026726,0.03984830901026726,0.03984830901026726,human
CCND1,0.039712198078632355,0.039712198078632355,0.039712198078632355,0.039712198078632355,human
FTL,0.038637544959783554,0.038637544959783554,0.038637544959783554,0.038637544959783554,human
CXCL2,0.03807617351412773,0.03807617351412773,0.03807617351412773,0.03807617351412773,human
ARF4,0.038062650710344315,0.038062650710344315,0.038062650710344315,0.038062650710344315,human
CCL2,0.03765382617712021,0.03765382617712021,0.03765382617712021,0.03765382617712021,human
DRAM1,0.03743600472807884,0.03743600472807884,0.03743600472807884,0.03743600472807884,human
WNT5A,0.037430234253406525,0.037430234253406525,0.037430234253406525,0.037430234253406525,human
ANXA1,0.03740108758211136,0.03740108758211136,0.03740108758211136,0.03740108758211136,human
PALM2-AKAP2,0.03733297437429428,0.03733297437429428,0.03733297437429428,0.03733297437429428,human
THBS4,0.03727896511554718,0.03727896511554718,0.03727896511554718,0.03727896511554718,human
CDKN1A,0.03717954456806183,0.03717954456806183,0.03717954456806183,0.03717954456806183,human
PDIA3,0.037064313888549805,0.037064313888549805,0.037064313888549805,0.037064313888549805,human
ID3,0.036949705332517624,0.036949705332517624,0.036949705332517624,0.036949705332517624,human
CFL1,0.03683951497077942,0.03683951497077942,0.03683951497077942,0.03683951497077942,human
CRABP2,0.036661356687545776,0.036661356687545776,0.036661356687545776,0.036661356687545776,human
TAGLN2,0.03639429435133934,0.03639429435133934,0.03639429435133934,0.03639429435133934,human
TIPARP,0.03602016344666481,0.03602016344666481,0.03602016344666481,0.03602016344666481,human
SNAI2,0.035342611372470856,0.035342611372470856,0.035342611372470856,0.035342611372470856,human
TFPI2,0.034926533699035645,0.034926533699035645,0.034926533699035645,0.034926533699035645,human
CD248,0.03448096662759781,0.03448096662759781,0.03448096662759781,0.03448096662759781,human
CKAP4,0.03422819823026657,0.03422819823026657,0.03422819823026657,0.03422819823026657,human
DPP4,0.03371739014983177,0.03371739014983177,0.03371739014983177,0.03371739014983177,human
B2M,0.03308059275150299,0.03308059275150299,0.03308059275150299,0.03308059275150299,human
YWHAZ,0.03290257602930069,0.03290257602930069,0.03290257602930069,0.03290257602930069,human
MMP14,0.03289765492081642,0.03289765492081642,0.03289765492081642,0.03289765492081642,human
PAMR1,0.03212108463048935,0.03212108463048935,0.03212108463048935,0.03212108463048935,human
SERPINB7,0.032048679888248444,0.032048679888248444,0.032048679888248444,0.032048679888248444,human
BASP1,0.03182176128029823,0.03182176128029823,0.03182176128029823,0.03182176128029823,human
TPM4,0.030763331800699234,0.030763331800699234,0.030763331800699234,0.030763331800699234,human
PPP1R15A,0.030666809529066086,0.030666809529066086,0.030666809529066086,0.030666809529066086,human
JUNB,0.030505051836371422,0.030505051836371422,0.030505051836371422,0.030505051836371422,human
MAFF,0.030294498428702354,0.030294498428702354,0.030294498428702354,0.030294498428702354,human
THBS2,0.030140982940793037,0.030140982940793037,0.030140982940793037,0.030140982940793037,human
PAM,0.029381057247519493,0.029381057247519493,0.029381057247519493,0.029381057247519493,human
YBX1,0.02896549366414547,0.02896549366414547,0.02896549366414547,0.02896549366414547,human
SAT1,0.028903119266033173,0.028903119266033173,0.028903119266033173,0.028903119266033173,human
MXRA5,0.028570353984832764,0.028570353984832764,0.028570353984832764,0.028570353984832764,human
COL6A2,0.02854572981595993,0.02854572981595993,0.02854572981595993,0.02854572981595993,human
C3,0.02839694544672966,0.02839694544672966,0.02839694544672966,0.02839694544672966,human
LOXL1,0.028116829693317413,0.028116829693317413,0.028116829693317413,0.028116829693317413,human
PPIF,0.02781561389565468,0.02781561389565468,0.02781561389565468,0.02781561389565468,human
MT1HL1,0.027585027739405632,0.027585027739405632,0.027585027739405632,0.027585027739405632,human
CRISPLD2,0.027540136128664017,0.027540136128664017,0.027540136128664017,0.027540136128664017,human
UBC,0.027086619287729263,0.027086619287729263,0.027086619287729263,0.027086619287729263,human
IL32,0.025865284726023674,0.025865284726023674,0.025865284726023674,0.025865284726023674,human
HSP90AA1,0.025743400678038597,0.025743400678038597,0.025743400678038597,0.025743400678038597,human
FMOD,0.025675654411315918,0.025675654411315918,0.025675654411315918,0.025675654411315918,human
