gene_symbol,logfc_dz:674,mean_logfc,median_logfc,common_experiment,organism
ACTC1,0.22241078317165375,0.22241078317165375,0.22241078317165375,0.22241078317165375,human
B2M,0.18766309320926666,0.18766309320926666,0.18766309320926666,0.18766309320926666,human
EEF1A1,0.17584887146949768,0.17584887146949768,0.17584887146949768,0.17584887146949768,human
SLN,0.1714421808719635,0.1714421808719635,0.1714421808719635,0.1714421808719635,human
MYL6B,0.16464711725711823,0.16464711725711823,0.16464711725711823,0.16464711725711823,human
MYH8,0.16367225348949432,0.16367225348949432,0.16367225348949432,0.16367225348949432,human
C3,0.14955942332744598,0.14955942332744598,0.14955942332744598,0.14955942332744598,human
COL1A2,0.13573165237903595,0.13573165237903595,0.13573165237903595,0.13573165237903595,human
MYLPF,0.1262894868850708,0.1262894868850708,0.1262894868850708,0.1262894868850708,human
EEF1A1P9,0.12414425611495972,0.12414425611495972,0.12414425611495972,0.12414425611495972,human
MYL1,0.12333235144615173,0.12333235144615173,0.12333235144615173,0.12333235144615173,human
TPM2,0.11614765226840973,0.11614765226840973,0.11614765226840973,0.11614765226840973,human
RPLP0,0.11329525709152222,0.11329525709152222,0.11329525709152222,0.11329525709152222,human
IFITM3,0.11213357001543045,0.11213357001543045,0.11213357001543045,0.11213357001543045,human
HLA-DRB5,0.1061691865324974,0.1061691865324974,0.1061691865324974,0.1061691865324974,human
ISG15,0.10265891253948212,0.10265891253948212,0.10265891253948212,0.10265891253948212,human
RPL41,0.0992453545331955,0.0992453545331955,0.0992453545331955,0.0992453545331955,human
HLA-B,0.09563545882701874,0.09563545882701874,0.09563545882701874,0.09563545882701874,human
HLA-DRB4,0.09523198008537292,0.09523198008537292,0.09523198008537292,0.09523198008537292,human
HLA-A,0.09376861155033112,0.09376861155033112,0.09376861155033112,0.09376861155033112,human
TUBA1C,0.08610549569129944,0.08610549569129944,0.08610549569129944,0.08610549569129944,human
VIM,0.08311402797698975,0.08311402797698975,0.08311402797698975,0.08311402797698975,human
CD74,0.07956517487764359,0.07956517487764359,0.07956517487764359,0.07956517487764359,human
SEPP1,0.07771752029657364,0.07771752029657364,0.07771752029657364,0.07771752029657364,human
HLA-C,0.07562119513750076,0.07562119513750076,0.07562119513750076,0.07562119513750076,human
MYH3,0.0722876787185669,0.0722876787185669,0.0722876787185669,0.0722876787185669,human
