gene_symbol,logfc_dz:425,mean_logfc,median_logfc,common_experiment,organism
SLC36A2,0.16252849996089935,0.16252849996089935,0.16252849996089935,0.16252849996089935,human
MT1H,0.13927775621414185,0.13927775621414185,0.13927775621414185,0.13927775621414185,human
H1FX,0.11833155155181885,0.11833155155181885,0.11833155155181885,0.11833155155181885,human
XBP1,0.10709010064601898,0.10709010064601898,0.10709010064601898,0.10709010064601898,human
TCEA1,0.10068745166063309,0.10068745166063309,0.10068745166063309,0.10068745166063309,human
AARS,0.09571733325719833,0.09571733325719833,0.09571733325719833,0.09571733325719833,human
DUSP1,0.09232509881258011,0.09232509881258011,0.09232509881258011,0.09232509881258011,human
MARS,0.08861827850341797,0.08861827850341797,0.08861827850341797,0.08861827850341797,human
PHLDA1,0.08831391483545303,0.08831391483545303,0.08831391483545303,0.08831391483545303,human
HYOU1,0.08697541803121567,0.08697541803121567,0.08697541803121567,0.08697541803121567,human
FLNA,0.08431100100278854,0.08431100100278854,0.08431100100278854,0.08431100100278854,human
RPL23AP74,0.08226580172777176,0.08226580172777176,0.08226580172777176,0.08226580172777176,human
CELP,0.08125825971364975,0.08125825971364975,0.08125825971364975,0.08125825971364975,human
DYNLT1,0.07704976946115494,0.07704976946115494,0.07704976946115494,0.07704976946115494,human
CKS1B,0.07426489889621735,0.07426489889621735,0.07426489889621735,0.07426489889621735,human
CDC20,0.07411378622055054,0.07411378622055054,0.07411378622055054,0.07411378622055054,human
PCBP1,0.07383227348327637,0.07383227348327637,0.07383227348327637,0.07383227348327637,human
TGIF1,0.07310093939304352,0.07310093939304352,0.07310093939304352,0.07310093939304352,human
NPC1,0.07217253744602203,0.07217253744602203,0.07217253744602203,0.07217253744602203,human
PPIB,0.07176673412322998,0.07176673412322998,0.07176673412322998,0.07176673412322998,human
MANF,0.06922104209661484,0.06922104209661484,0.06922104209661484,0.06922104209661484,human
CD9,0.06900154799222946,0.06900154799222946,0.06900154799222946,0.06900154799222946,human
AIM1,0.06786190718412399,0.06786190718412399,0.06786190718412399,0.06786190718412399,human
RAD23A,0.06642335653305054,0.06642335653305054,0.06642335653305054,0.06642335653305054,human
SLC1A5,0.06419645249843597,0.06419645249843597,0.06419645249843597,0.06419645249843597,human
SHMT2,0.0641646757721901,0.0641646757721901,0.0641646757721901,0.0641646757721901,human
CEBPD,0.06311282515525818,0.06311282515525818,0.06311282515525818,0.06311282515525818,human
FLII,0.06129279360175133,0.06129279360175133,0.06129279360175133,0.06129279360175133,human
EZR,0.06124003231525421,0.06124003231525421,0.06124003231525421,0.06124003231525421,human
MTHFD2,0.06043076515197754,0.06043076515197754,0.06043076515197754,0.06043076515197754,human
HNRNPD,0.060374483466148376,0.060374483466148376,0.060374483466148376,0.060374483466148376,human
MRPL49,0.05834689363837242,0.05834689363837242,0.05834689363837242,0.05834689363837242,human
CXCL2,0.05788332596421242,0.05788332596421242,0.05788332596421242,0.05788332596421242,human
SDHB,0.056893203407526016,0.056893203407526016,0.056893203407526016,0.056893203407526016,human
SRSF11,0.056781478226184845,0.056781478226184845,0.056781478226184845,0.056781478226184845,human
GADD45A,0.05612199008464813,0.05612199008464813,0.05612199008464813,0.05612199008464813,human
