gene_symbol,logfc_dz:2,mean_logfc,median_logfc,common_experiment,organism
FTH1P5,0.3046072721481323,0.3046072721481323,0.3046072721481323,0.3046072721481323,human
GFAP,0.25947844982147217,0.25947844982147217,0.25947844982147217,0.25947844982147217,human
FAM107A,0.20554301142692566,0.20554301142692566,0.20554301142692566,0.20554301142692566,human
HLA-C,0.17006060481071472,0.17006060481071472,0.17006060481071472,0.17006060481071472,human
HLA-A,0.1582559496164322,0.1582559496164322,0.1582559496164322,0.1582559496164322,human
IFITM2,0.125743106007576,0.125743106007576,0.125743106007576,0.125743106007576,human
VIM,0.11774729937314987,0.11774729937314987,0.11774729937314987,0.11774729937314987,human
KCNJ4,0.10186849534511566,0.10186849534511566,0.10186849534511566,0.10186849534511566,human
MT3,0.10074938088655472,0.10074938088655472,0.10074938088655472,0.10074938088655472,human
IFITM3,0.09864531457424164,0.09864531457424164,0.09864531457424164,0.09864531457424164,human
IFITM1,0.08938629925251007,0.08938629925251007,0.08938629925251007,0.08938629925251007,human
MT1E,0.08862259984016418,0.08862259984016418,0.08862259984016418,0.08862259984016418,human
ISG15,0.07422842085361481,0.07422842085361481,0.07422842085361481,0.07422842085361481,human
RPL3,0.0727643072605133,0.0727643072605133,0.0727643072605133,0.0727643072605133,human
LOC100505584,0.06656791269779205,0.06656791269779205,0.06656791269779205,0.06656791269779205,human
PTGDS,0.0604826882481575,0.0604826882481575,0.0604826882481575,0.0604826882481575,human
B2M,0.058964770287275314,0.058964770287275314,0.058964770287275314,0.058964770287275314,human
FTL,0.05734199285507202,0.05734199285507202,0.05734199285507202,0.05734199285507202,human
CSRP1,0.05733077973127365,0.05733077973127365,0.05733077973127365,0.05733077973127365,human
UQCRQ,0.05396580323576927,0.05396580323576927,0.05396580323576927,0.05396580323576927,human
IFIT1,0.05327384173870087,0.05327384173870087,0.05327384173870087,0.05327384173870087,human
MT1G,0.048764102160930634,0.048764102160930634,0.048764102160930634,0.048764102160930634,human
RPS4Y1,0.04727854207158089,0.04727854207158089,0.04727854207158089,0.04727854207158089,human
RPL34,0.04653994366526604,0.04653994366526604,0.04653994366526604,0.04653994366526604,human
MT1H,0.04593779146671295,0.04593779146671295,0.04593779146671295,0.04593779146671295,human
RPL11,0.0456811748445034,0.0456811748445034,0.0456811748445034,0.0456811748445034,human
SDC3,0.04518871009349823,0.04518871009349823,0.04518871009349823,0.04518871009349823,human
MT1F,0.04500556364655495,0.04500556364655495,0.04500556364655495,0.04500556364655495,human
DYNLL1,0.04478493705391884,0.04478493705391884,0.04478493705391884,0.04478493705391884,human
RBM3,0.04402487352490425,0.04402487352490425,0.04402487352490425,0.04402487352490425,human
PYGB,0.04183477908372879,0.04183477908372879,0.04183477908372879,0.04183477908372879,human
RPS19,0.04155158996582031,0.04155158996582031,0.04155158996582031,0.04155158996582031,human
COX8A,0.041300270706415176,0.041300270706415176,0.041300270706415176,0.041300270706415176,human
EEF1G,0.04124417528510094,0.04124417528510094,0.04124417528510094,0.04124417528510094,human
ALDOC,0.041021768003702164,0.041021768003702164,0.041021768003702164,0.041021768003702164,human
MAL,0.04022878035902977,0.04022878035902977,0.04022878035902977,0.04022878035902977,human
BSG,0.04018870368599892,0.04018870368599892,0.04018870368599892,0.04018870368599892,human
HSPB1,0.0394277460873127,0.0394277460873127,0.0394277460873127,0.0394277460873127,human
SASH1,0.03934250399470329,0.03934250399470329,0.03934250399470329,0.03934250399470329,human
ADAR,0.039286188781261444,0.039286188781261444,0.039286188781261444,0.039286188781261444,human
PSAP,0.038806356489658356,0.038806356489658356,0.038806356489658356,0.038806356489658356,human
FTH1,0.0380861721932888,0.0380861721932888,0.0380861721932888,0.0380861721932888,human
RPS28,0.03796043246984482,0.03796043246984482,0.03796043246984482,0.03796043246984482,human
RPL8,0.036426253616809845,0.036426253616809845,0.036426253616809845,0.036426253616809845,human
C4B,0.035923317074775696,0.035923317074775696,0.035923317074775696,0.035923317074775696,human
CKB,0.03531705588102341,0.03531705588102341,0.03531705588102341,0.03531705588102341,human
AHNAK,0.034195125102996826,0.034195125102996826,0.034195125102996826,0.034195125102996826,human
LGALS3BP,0.033813782036304474,0.033813782036304474,0.033813782036304474,0.033813782036304474,human
NPIPB9,0.032827287912368774,0.032827287912368774,0.032827287912368774,0.032827287912368774,human
BCAP31,0.03244340047240257,0.03244340047240257,0.03244340047240257,0.03244340047240257,human
PBXIP1,0.03230553865432739,0.03230553865432739,0.03230553865432739,0.03230553865432739,human
TAGLN,0.03221501037478447,0.03221501037478447,0.03221501037478447,0.03221501037478447,human
LZTS3,0.031777746975421906,0.031777746975421906,0.031777746975421906,0.031777746975421906,human
SNORA21,0.03143836930394173,0.03143836930394173,0.03143836930394173,0.03143836930394173,human
RHOA,0.03047795221209526,0.03047795221209526,0.03047795221209526,0.03047795221209526,human
AGT,0.030377479270100594,0.030377479270100594,0.030377479270100594,0.030377479270100594,human
RERE,0.030239349231123924,0.030239349231123924,0.030239349231123924,0.030239349231123924,human
CBX7,0.02967989444732666,0.02967989444732666,0.02967989444732666,0.02967989444732666,human
TYRO3,0.029560713097453117,0.029560713097453117,0.029560713097453117,0.029560713097453117,human
CD99,0.0294291190803051,0.0294291190803051,0.0294291190803051,0.0294291190803051,human
MX1,0.029168294742703438,0.029168294742703438,0.029168294742703438,0.029168294742703438,human
B3GNT1,0.028947042301297188,0.028947042301297188,0.028947042301297188,0.028947042301297188,human
NDUFA1,0.02851787768304348,0.02851787768304348,0.02851787768304348,0.02851787768304348,human
PPAP2B,0.028283575549721718,0.028283575549721718,0.028283575549721718,0.028283575549721718,human
PHGDH,0.028116285800933838,0.028116285800933838,0.028116285800933838,0.028116285800933838,human
ALDH2,0.027895454317331314,0.027895454317331314,0.027895454317331314,0.027895454317331314,human
ITPKB,0.027769001200795174,0.027769001200795174,0.027769001200795174,0.027769001200795174,human
CCNI,0.0277597364038229,0.0277597364038229,0.0277597364038229,0.0277597364038229,human
AHCYL1,0.027694689109921455,0.027694689109921455,0.027694689109921455,0.027694689109921455,human
ADD3,0.02742309495806694,0.02742309495806694,0.02742309495806694,0.02742309495806694,human
EZR,0.027299344539642334,0.027299344539642334,0.027299344539642334,0.027299344539642334,human
RPL24,0.027192220091819763,0.027192220091819763,0.027192220091819763,0.027192220091819763,human
