gene_symbol,logfc_dz:177,mean_logfc,median_logfc,common_experiment,organism
KRT10,0.20888113975524902,0.20888113975524902,0.20888113975524902,0.20888113975524902,human
SPRR2G,0.1589726358652115,0.1589726358652115,0.1589726358652115,0.1589726358652115,human
KRT2,0.13616394996643066,0.13616394996643066,0.13616394996643066,0.13616394996643066,human
KRT24,0.13074150681495667,0.13074150681495667,0.13074150681495667,0.13074150681495667,human
RPTN,0.10579880326986313,0.10579880326986313,0.10579880326986313,0.10579880326986313,human
LOR,0.09375107288360596,0.09375107288360596,0.09375107288360596,0.09375107288360596,human
KRT17,0.08981645107269287,0.08981645107269287,0.08981645107269287,0.08981645107269287,human
CYAT1,0.08349031209945679,0.08349031209945679,0.08349031209945679,0.08349031209945679,human
DSG1,0.08187204599380493,0.08187204599380493,0.08187204599380493,0.08187204599380493,human
TMEM45A,0.06939411908388138,0.06939411908388138,0.06939411908388138,0.06939411908388138,human
DSC1,0.061428602784872055,0.061428602784872055,0.061428602784872055,0.061428602784872055,human
DAPL1,0.05482510104775429,0.05482510104775429,0.05482510104775429,0.05482510104775429,human
LCE3D,0.05349615961313248,0.05349615961313248,0.05349615961313248,0.05349615961313248,human
RPL12,0.051974136382341385,0.051974136382341385,0.051974136382341385,0.051974136382341385,human
KRT16,0.051458388566970825,0.051458388566970825,0.051458388566970825,0.051458388566970825,human
RPL19,0.04912381246685982,0.04912381246685982,0.04912381246685982,0.04912381246685982,human
ALDH3A1,0.04869607836008072,0.04869607836008072,0.04869607836008072,0.04869607836008072,human
RPS3,0.04839770123362541,0.04839770123362541,0.04839770123362541,0.04839770123362541,human
IGHA2,0.04683861881494522,0.04683861881494522,0.04683861881494522,0.04683861881494522,human
HLA-DRB4,0.042299605906009674,0.042299605906009674,0.042299605906009674,0.042299605906009674,human
RPL3,0.042264632880687714,0.042264632880687714,0.042264632880687714,0.042264632880687714,human
LGALS7B,0.04190753027796745,0.04190753027796745,0.04190753027796745,0.04190753027796745,human
RPL32,0.040232762694358826,0.040232762694358826,0.040232762694358826,0.040232762694358826,human
IGLC7,0.04007019102573395,0.04007019102573395,0.04007019102573395,0.04007019102573395,human
HLA-DRB1,0.03966323658823967,0.03966323658823967,0.03966323658823967,0.03966323658823967,human
KRTDAP,0.039222318679094315,0.039222318679094315,0.039222318679094315,0.039222318679094315,human
RPL30,0.034571439027786255,0.034571439027786255,0.034571439027786255,0.034571439027786255,human
