gene_symbol,logfc_dz:67,mean_logfc,median_logfc,common_experiment,organism
AKR1B10,0.20778551697731018,0.20778551697731018,0.20778551697731018,0.20778551697731018,human
AKR1C2,0.18317349255084991,0.18317349255084991,0.18317349255084991,0.18317349255084991,human
LDHA,0.16804470121860504,0.16804470121860504,0.16804470121860504,0.16804470121860504,human
EEF1A1,0.16472287476062775,0.16472287476062775,0.16472287476062775,0.16472287476062775,human
RPL5,0.16053873300552368,0.16053873300552368,0.16053873300552368,0.16053873300552368,human
RPS3,0.15850283205509186,0.15850283205509186,0.15850283205509186,0.15850283205509186,human
RPL36A,0.15407919883728027,0.15407919883728027,0.15407919883728027,0.15407919883728027,human
RPS19,0.15050296485424042,0.15050296485424042,0.15050296485424042,0.15050296485424042,human
RPS15,0.1451721489429474,0.1451721489429474,0.1451721489429474,0.1451721489429474,human
AKR1C1,0.13918493688106537,0.13918493688106537,0.13918493688106537,0.13918493688106537,human
PRDX1,0.138199120759964,0.138199120759964,0.138199120759964,0.138199120759964,human
S100A6,0.12660518288612366,0.12660518288612366,0.12660518288612366,0.12660518288612366,human
ACTB,0.12429831922054291,0.12429831922054291,0.12429831922054291,0.12429831922054291,human
RPL23A,0.11819619685411453,0.11819619685411453,0.11819619685411453,0.11819619685411453,human
RPS18,0.11619897186756134,0.11619897186756134,0.11619897186756134,0.11619897186756134,human
RPL7,0.1135568618774414,0.1135568618774414,0.1135568618774414,0.1135568618774414,human
RPL32,0.11235912144184113,0.11235912144184113,0.11235912144184113,0.11235912144184113,human
RPS10,0.09922561794519424,0.09922561794519424,0.09922561794519424,0.09922561794519424,human
PKM,0.09473221749067307,0.09473221749067307,0.09473221749067307,0.09473221749067307,human
CAPN2,0.08985000103712082,0.08985000103712082,0.08985000103712082,0.08985000103712082,human
RPS8,0.08801048249006271,0.08801048249006271,0.08801048249006271,0.08801048249006271,human
ALDH3A1,0.08711759001016617,0.08711759001016617,0.08711759001016617,0.08711759001016617,human
GAPDH,0.08694581687450409,0.08694581687450409,0.08694581687450409,0.08694581687450409,human
SLC7A5,0.08510033786296844,0.08510033786296844,0.08510033786296844,0.08510033786296844,human
ALDH1A1,0.08189082145690918,0.08189082145690918,0.08189082145690918,0.08189082145690918,human
CALM2,0.07920317351818085,0.07920317351818085,0.07920317351818085,0.07920317351818085,human
AKR1B1,0.07573439925909042,0.07573439925909042,0.07573439925909042,0.07573439925909042,human
RPS14,0.07323671132326126,0.07323671132326126,0.07323671132326126,0.07323671132326126,human
SCD,0.07135102152824402,0.07135102152824402,0.07135102152824402,0.07135102152824402,human
RPS29,0.0709008127450943,0.0709008127450943,0.0709008127450943,0.0709008127450943,human
RPS17,0.06831266731023788,0.06831266731023788,0.06831266731023788,0.06831266731023788,human
RPL22,0.06789728254079819,0.06789728254079819,0.06789728254079819,0.06789728254079819,human
RPL18AP3,0.06759825348854065,0.06759825348854065,0.06759825348854065,0.06759825348854065,human
RPS5,0.06604140251874924,0.06604140251874924,0.06604140251874924,0.06604140251874924,human
RPL27,0.06504400074481964,0.06504400074481964,0.06504400074481964,0.06504400074481964,human
RPS27L,0.06445904821157455,0.06445904821157455,0.06445904821157455,0.06445904821157455,human
RPS16,0.06445901095867157,0.06445901095867157,0.06445901095867157,0.06445901095867157,human
RPS6,0.06424102187156677,0.06424102187156677,0.06424102187156677,0.06424102187156677,human
RPS27,0.06217905879020691,0.06217905879020691,0.06217905879020691,0.06217905879020691,human
