gene_symbol,logfc_dz:55,mean_logfc,median_logfc,common_experiment,organism
FN1,0.1472766250371933,0.1472766250371933,0.1472766250371933,0.1472766250371933,human
CDKN1A,0.13399262726306915,0.13399262726306915,0.13399262726306915,0.13399262726306915,human
RPL14,0.12796689569950104,0.12796689569950104,0.12796689569950104,0.12796689569950104,human
CKB,0.11085314303636551,0.11085314303636551,0.11085314303636551,0.11085314303636551,human
G0S2,0.10352465510368347,0.10352465510368347,0.10352465510368347,0.10352465510368347,human
ZEB1-AS1,0.07673122733831406,0.07673122733831406,0.07673122733831406,0.07673122733831406,human
LGALS1,0.0759536549448967,0.0759536549448967,0.0759536549448967,0.0759536549448967,human
C5AR1,0.07505644857883453,0.07505644857883453,0.07505644857883453,0.07505644857883453,human
TMEM158,0.06992635875940323,0.06992635875940323,0.06992635875940323,0.06992635875940323,human
IER3,0.06945441663265228,0.06945441663265228,0.06945441663265228,0.06945441663265228,human
NES,0.06725078076124191,0.06725078076124191,0.06725078076124191,0.06725078076124191,human
MRPS21,0.06723372638225555,0.06723372638225555,0.06723372638225555,0.06723372638225555,human
RPL18,0.06664198637008667,0.06664198637008667,0.06664198637008667,0.06664198637008667,human
FDXR,0.06571073085069656,0.06571073085069656,0.06571073085069656,0.06571073085069656,human
CD63,0.06203608959913254,0.06203608959913254,0.06203608959913254,0.06203608959913254,human
HTRA3,0.05986390635371208,0.05986390635371208,0.05986390635371208,0.05986390635371208,human
TPI1,0.05829960107803345,0.05829960107803345,0.05829960107803345,0.05829960107803345,human
UBB,0.058171194046735764,0.058171194046735764,0.058171194046735764,0.058171194046735764,human
RPS7,0.05418577045202255,0.05418577045202255,0.05418577045202255,0.05418577045202255,human
SPR,0.053591009229421616,0.053591009229421616,0.053591009229421616,0.053591009229421616,human
COL7A1,0.05213343724608421,0.05213343724608421,0.05213343724608421,0.05213343724608421,human
PAFAH1B3,0.051211994141340256,0.051211994141340256,0.051211994141340256,0.051211994141340256,human
IRAK1,0.04954008385539055,0.04954008385539055,0.04954008385539055,0.04954008385539055,human
DPYSL3,0.04880040884017944,0.04880040884017944,0.04880040884017944,0.04880040884017944,human
CTHRC1,0.0462200790643692,0.0462200790643692,0.0462200790643692,0.0462200790643692,human
PRDX1,0.04599921032786369,0.04599921032786369,0.04599921032786369,0.04599921032786369,human
VIM,0.04587388038635254,0.04587388038635254,0.04587388038635254,0.04587388038635254,human
TM4SF1,0.04387311264872551,0.04387311264872551,0.04387311264872551,0.04387311264872551,human
RPS25,0.04211509972810745,0.04211509972810745,0.04211509972810745,0.04211509972810745,human
RPS19,0.040706682950258255,0.040706682950258255,0.040706682950258255,0.040706682950258255,human
ZNF669,0.03897474333643913,0.03897474333643913,0.03897474333643913,0.03897474333643913,human
NDUFB11,0.03846694901585579,0.03846694901585579,0.03846694901585579,0.03846694901585579,human
POLR2L,0.03775213658809662,0.03775213658809662,0.03775213658809662,0.03775213658809662,human
CXCL8,0.037401966750621796,0.037401966750621796,0.037401966750621796,0.037401966750621796,human
DAD1,0.03735335171222687,0.03735335171222687,0.03735335171222687,0.03735335171222687,human
GAPDH,0.036731619387865067,0.036731619387865067,0.036731619387865067,0.036731619387865067,human
COX4I1,0.0366152785718441,0.0366152785718441,0.0366152785718441,0.0366152785718441,human
ACN9,0.036274269223213196,0.036274269223213196,0.036274269223213196,0.036274269223213196,human
PHPT1,0.03591432794928551,0.03591432794928551,0.03591432794928551,0.03591432794928551,human
UBE2T,0.03436071053147316,0.03436071053147316,0.03436071053147316,0.03436071053147316,human
ITGA3,0.03418400511145592,0.03418400511145592,0.03418400511145592,0.03418400511145592,human
TMEM258,0.03394690528512001,0.03394690528512001,0.03394690528512001,0.03394690528512001,human
IL32,0.033519446849823,0.033519446849823,0.033519446849823,0.033519446849823,human
NMRAL1,0.033018503338098526,0.033018503338098526,0.033018503338098526,0.033018503338098526,human
RPL8,0.03236294165253639,0.03236294165253639,0.03236294165253639,0.03236294165253639,human
PSMA2,0.03231910988688469,0.03231910988688469,0.03231910988688469,0.03231910988688469,human
RPL7,0.03201359137892723,0.03201359137892723,0.03201359137892723,0.03201359137892723,human
CNN3,0.03172237053513527,0.03172237053513527,0.03172237053513527,0.03172237053513527,human
EIF3H,0.031520549207925797,0.031520549207925797,0.031520549207925797,0.031520549207925797,human
RPL21,0.03140991926193237,0.03140991926193237,0.03140991926193237,0.03140991926193237,human
RPSAP19,0.030741801485419273,0.030741801485419273,0.030741801485419273,0.030741801485419273,human
HMGB2,0.030481865629553795,0.030481865629553795,0.030481865629553795,0.030481865629553795,human
CDKN3,0.03040556237101555,0.03040556237101555,0.03040556237101555,0.03040556237101555,human
TK1,0.03023560345172882,0.03023560345172882,0.03023560345172882,0.03023560345172882,human
ATP5O,0.029862836003303528,0.029862836003303528,0.029862836003303528,0.029862836003303528,human
CCNB1,0.029484519734978676,0.029484519734978676,0.029484519734978676,0.029484519734978676,human
CFL1,0.028702666983008385,0.028702666983008385,0.028702666983008385,0.028702666983008385,human
GADD45A,0.028671011328697205,0.028671011328697205,0.028671011328697205,0.028671011328697205,human
FAM46A,0.028545552864670753,0.028545552864670753,0.028545552864670753,0.028545552864670753,human
SEC61G,0.028428787365555763,0.028428787365555763,0.028428787365555763,0.028428787365555763,human
HNRNPA1,0.027955055236816406,0.027955055236816406,0.027955055236816406,0.027955055236816406,human
