gene_symbol,logfc_dz:170,mean_logfc,median_logfc,common_experiment,organism
RPL8,0.17801862955093384,0.17801862955093384,0.17801862955093384,0.17801862955093384,human
RPS3,0.17289985716342926,0.17289985716342926,0.17289985716342926,0.17289985716342926,human
ACTB,0.1691259890794754,0.1691259890794754,0.1691259890794754,0.1691259890794754,human
CYP1A1,0.13702692091464996,0.13702692091464996,0.13702692091464996,0.13702692091464996,human
CCL20,0.13601721823215485,0.13601721823215485,0.13601721823215485,0.13601721823215485,human
ALDH1A3,0.1250281184911728,0.1250281184911728,0.1250281184911728,0.1250281184911728,human
MMP1,0.11355075240135193,0.11355075240135193,0.11355075240135193,0.11355075240135193,human
EEF1A1P9,0.0920489951968193,0.0920489951968193,0.0920489951968193,0.0920489951968193,human
KRT17,0.08140147477388382,0.08140147477388382,0.08140147477388382,0.08140147477388382,human
RPS2,0.0801166296005249,0.0801166296005249,0.0801166296005249,0.0801166296005249,human
SERPINA3,0.07683948427438736,0.07683948427438736,0.07683948427438736,0.07683948427438736,human
LGALS3,0.07358208298683167,0.07358208298683167,0.07358208298683167,0.07358208298683167,human
CXCL8,0.06838182359933853,0.06838182359933853,0.06838182359933853,0.06838182359933853,human
KRT23,0.06698613613843918,0.06698613613843918,0.06698613613843918,0.06698613613843918,human
MYC,0.0666404590010643,0.0666404590010643,0.0666404590010643,0.0666404590010643,human
VAPA,0.06620592623949051,0.06620592623949051,0.06620592623949051,0.06620592623949051,human
RPL4,0.0653538629412651,0.0653538629412651,0.0653538629412651,0.0653538629412651,human
TUBB4B,0.06467615813016891,0.06467615813016891,0.06467615813016891,0.06467615813016891,human
RPLP0P6,0.06294513493776321,0.06294513493776321,0.06294513493776321,0.06294513493776321,human
PLAT,0.06118099391460419,0.06118099391460419,0.06118099391460419,0.06118099391460419,human
RARRES1,0.0608193464577198,0.0608193464577198,0.0608193464577198,0.0608193464577198,human
CXCL1,0.060587771236896515,0.060587771236896515,0.060587771236896515,0.060587771236896515,human
RPL9,0.05906160920858383,0.05906160920858383,0.05906160920858383,0.05906160920858383,human
ERBB2,0.05728013813495636,0.05728013813495636,0.05728013813495636,0.05728013813495636,human
SDC4,0.05683866888284683,0.05683866888284683,0.05683866888284683,0.05683866888284683,human
IFNGR2,0.0567442923784256,0.0567442923784256,0.0567442923784256,0.0567442923784256,human
CSTB,0.05648893862962723,0.05648893862962723,0.05648893862962723,0.05648893862962723,human
TNIP1,0.05599965155124664,0.05599965155124664,0.05599965155124664,0.05599965155124664,human
RPL13,0.053605496883392334,0.053605496883392334,0.053605496883392334,0.053605496883392334,human
CYP1B1,0.05346160754561424,0.05346160754561424,0.05346160754561424,0.05346160754561424,human
SFN,0.05048864707350731,0.05048864707350731,0.05048864707350731,0.05048864707350731,human
AKAP12,0.05005708709359169,0.05005708709359169,0.05005708709359169,0.05005708709359169,human
CALM2,0.04995980113744736,0.04995980113744736,0.04995980113744736,0.04995980113744736,human
EEF1A1,0.049956731498241425,0.049956731498241425,0.049956731498241425,0.049956731498241425,human
EIF6,0.04925800859928131,0.04925800859928131,0.04925800859928131,0.04925800859928131,human
UBC,0.048666004091501236,0.048666004091501236,0.048666004091501236,0.048666004091501236,human
CYBA,0.048389509320259094,0.048389509320259094,0.048389509320259094,0.048389509320259094,human
ENO1,0.047241680324077606,0.047241680324077606,0.047241680324077606,0.047241680324077606,human
B2M,0.04723423719406128,0.04723423719406128,0.04723423719406128,0.04723423719406128,human
F2RL1,0.04705037549138069,0.04705037549138069,0.04705037549138069,0.04705037549138069,human
ADAM9,0.04430708289146423,0.04430708289146423,0.04430708289146423,0.04430708289146423,human
PSMA6,0.043806735426187515,0.043806735426187515,0.043806735426187515,0.043806735426187515,human
NCL,0.04240623116493225,0.04240623116493225,0.04240623116493225,0.04240623116493225,human
ERH,0.04239305853843689,0.04239305853843689,0.04239305853843689,0.04239305853843689,human
PDCD10,0.04190249368548393,0.04190249368548393,0.04190249368548393,0.04190249368548393,human
ANXA4,0.04190067946910858,0.04190067946910858,0.04190067946910858,0.04190067946910858,human
DDX21,0.040990766137838364,0.040990766137838364,0.040990766137838364,0.040990766137838364,human
HSP90AB1,0.04023904353380203,0.04023904353380203,0.04023904353380203,0.04023904353380203,human
TXNRD1,0.04000452160835266,0.04000452160835266,0.04000452160835266,0.04000452160835266,human
NME1-NME2,0.03979999199509621,0.03979999199509621,0.03979999199509621,0.03979999199509621,human
CNBP,0.03973092511296272,0.03973092511296272,0.03973092511296272,0.03973092511296272,human
YWHAZ,0.039551787078380585,0.039551787078380585,0.039551787078380585,0.039551787078380585,human
ACTG1,0.03915564343333244,0.03915564343333244,0.03915564343333244,0.03915564343333244,human
PKM,0.038177236914634705,0.038177236914634705,0.038177236914634705,0.038177236914634705,human
PSMB3,0.038066595792770386,0.038066595792770386,0.038066595792770386,0.038066595792770386,human
FA2H,0.03799910098314285,0.03799910098314285,0.03799910098314285,0.03799910098314285,human
TIPARP,0.03798484802246094,0.03798484802246094,0.03798484802246094,0.03798484802246094,human
SEC31B,0.037820689380168915,0.037820689380168915,0.037820689380168915,0.037820689380168915,human
LOC728825,0.03761652857065201,0.03761652857065201,0.03761652857065201,0.03761652857065201,human
ODC1,0.037555545568466187,0.037555545568466187,0.037555545568466187,0.037555545568466187,human
CANX,0.0368642583489418,0.0368642583489418,0.0368642583489418,0.0368642583489418,human
CXCL2,0.03678799048066139,0.03678799048066139,0.03678799048066139,0.03678799048066139,human
TSPAN3,0.0367119275033474,0.0367119275033474,0.0367119275033474,0.0367119275033474,human
MYL12B,0.03663187474012375,0.03663187474012375,0.03663187474012375,0.03663187474012375,human
RPL37,0.036613866686820984,0.036613866686820984,0.036613866686820984,0.036613866686820984,human
ARL6IP1,0.03623843193054199,0.03623843193054199,0.03623843193054199,0.03623843193054199,human
PLAU,0.03616796433925629,0.03616796433925629,0.03616796433925629,0.03616796433925629,human
GSTP1,0.035413045436143875,0.035413045436143875,0.035413045436143875,0.035413045436143875,human
IER3,0.03476706147193909,0.03476706147193909,0.03476706147193909,0.03476706147193909,human
CLINT1,0.033816948533058167,0.033816948533058167,0.033816948533058167,0.033816948533058167,human
NAMPT,0.03373014181852341,0.03373014181852341,0.03373014181852341,0.03373014181852341,human
RPL11,0.03353220224380493,0.03353220224380493,0.03353220224380493,0.03353220224380493,human
TMED2,0.03325309231877327,0.03325309231877327,0.03325309231877327,0.03325309231877327,human
HSPA8,0.03315095603466034,0.03315095603466034,0.03315095603466034,0.03315095603466034,human
ID1,0.03286144509911537,0.03286144509911537,0.03286144509911537,0.03286144509911537,human
TUBA1C,0.03272876515984535,0.03272876515984535,0.03272876515984535,0.03272876515984535,human
POMP,0.03244698420166969,0.03244698420166969,0.03244698420166969,0.03244698420166969,human
EREG,0.03219364956021309,0.03219364956021309,0.03219364956021309,0.03219364956021309,human
ACTN4,0.031925298273563385,0.031925298273563385,0.031925298273563385,0.031925298273563385,human
RPS17,0.031056297942996025,0.031056297942996025,0.031056297942996025,0.031056297942996025,human
UBD,0.030766066163778305,0.030766066163778305,0.030766066163778305,0.030766066163778305,human
KLF5,0.030149193480610847,0.030149193480610847,0.030149193480610847,0.030149193480610847,human
SRSF3,0.030132096260786057,0.030132096260786057,0.030132096260786057,0.030132096260786057,human
CNOT7,0.029933735728263855,0.029933735728263855,0.029933735728263855,0.029933735728263855,human
SOX9,0.029881883412599564,0.029881883412599564,0.029881883412599564,0.029881883412599564,human
CYCS,0.0297491867095232,0.0297491867095232,0.0297491867095232,0.0297491867095232,human
CAPZA1,0.029699554666876793,0.029699554666876793,0.029699554666876793,0.029699554666876793,human
HLA-B,0.02945989929139614,0.02945989929139614,0.02945989929139614,0.02945989929139614,human
FTH1P5,0.029234685003757477,0.029234685003757477,0.029234685003757477,0.029234685003757477,human
ACTR3,0.02905271388590336,0.02905271388590336,0.02905271388590336,0.02905271388590336,human
PPIB,0.0288640595972538,0.0288640595972538,0.0288640595972538,0.0288640595972538,human
TUBB2A,0.028667904436588287,0.028667904436588287,0.028667904436588287,0.028667904436588287,human
DPM1,0.028556250035762787,0.028556250035762787,0.028556250035762787,0.028556250035762787,human
SLC25A24,0.028232742100954056,0.028232742100954056,0.028232742100954056,0.028232742100954056,human
TM9SF3,0.028151223435997963,0.028151223435997963,0.028151223435997963,0.028151223435997963,human
LOC100507328,0.027931369841098785,0.027931369841098785,0.027931369841098785,0.027931369841098785,human
COX7A2,0.027563638985157013,0.027563638985157013,0.027563638985157013,0.027563638985157013,human
PLS1,0.02754535712301731,0.02754535712301731,0.02754535712301731,0.02754535712301731,human
MORF4L1,0.027388010174036026,0.027388010174036026,0.027388010174036026,0.027388010174036026,human
LDHA,0.027316080406308174,0.027316080406308174,0.027316080406308174,0.027316080406308174,human
EPCAM,0.0272248275578022,0.0272248275578022,0.0272248275578022,0.0272248275578022,human
PSMA1,0.027054673060774803,0.027054673060774803,0.027054673060774803,0.027054673060774803,human
LAMA3,0.02634626254439354,0.02634626254439354,0.02634626254439354,0.02634626254439354,human
RNF128,0.026344578713178635,0.026344578713178635,0.026344578713178635,0.026344578713178635,human
DDX5,0.0262871403247118,0.0262871403247118,0.0262871403247118,0.0262871403247118,human
ARF6,0.026170682162046432,0.026170682162046432,0.026170682162046432,0.026170682162046432,human
SERPINB2,0.026080992072820663,0.026080992072820663,0.026080992072820663,0.026080992072820663,human
HLA-G,0.02604535035789013,0.02604535035789013,0.02604535035789013,0.02604535035789013,human
HNRNPC,0.025853540748357773,0.025853540748357773,0.025853540748357773,0.025853540748357773,human
RAB11FIP1,0.02582547813653946,0.02582547813653946,0.02582547813653946,0.02582547813653946,human
PRMT1,0.025610951706767082,0.025610951706767082,0.025610951706767082,0.025610951706767082,human
HLA-C,0.025533724576234818,0.025533724576234818,0.025533724576234818,0.025533724576234818,human
RPL22,0.025525646284222603,0.025525646284222603,0.025525646284222603,0.025525646284222603,human
GDI2,0.025438940152525902,0.025438940152525902,0.025438940152525902,0.025438940152525902,human
HLA-A,0.02501186542212963,0.02501186542212963,0.02501186542212963,0.02501186542212963,human
NFKBIA,0.025000659748911858,0.025000659748911858,0.025000659748911858,0.025000659748911858,human
CMPK1,0.02477308362722397,0.02477308362722397,0.02477308362722397,0.02477308362722397,human
SMS,0.024722348898649216,0.024722348898649216,0.024722348898649216,0.024722348898649216,human
CORO1C,0.024664636701345444,0.024664636701345444,0.024664636701345444,0.024664636701345444,human
HIF1A,0.02442064695060253,0.02442064695060253,0.02442064695060253,0.02442064695060253,human
SELT,0.024402495473623276,0.024402495473623276,0.024402495473623276,0.024402495473623276,human
NACAP1,0.024093709886074066,0.024093709886074066,0.024093709886074066,0.024093709886074066,human
NDUFC2,0.02390962280333042,0.02390962280333042,0.02390962280333042,0.02390962280333042,human
PSME1,0.023813683539628983,0.023813683539628983,0.023813683539628983,0.023813683539628983,human
TSPAN13,0.023525258526206017,0.023525258526206017,0.023525258526206017,0.023525258526206017,human
TNFRSF12A,0.023522045463323593,0.023522045463323593,0.023522045463323593,0.023522045463323593,human
CXCL6,0.023329492658376694,0.023329492658376694,0.023329492658376694,0.023329492658376694,human
AP3S1,0.023282133042812347,0.023282133042812347,0.023282133042812347,0.023282133042812347,human
TMA7,0.023071924224495888,0.023071924224495888,0.023071924224495888,0.023071924224495888,human
RASA1,0.023059356957674026,0.023059356957674026,0.023059356957674026,0.023059356957674026,human
SRP14,0.02284393645823002,0.02284393645823002,0.02284393645823002,0.02284393645823002,human
H3F3B,0.02271021343767643,0.02271021343767643,0.02271021343767643,0.02271021343767643,human
FAM60A,0.022587236016988754,0.022587236016988754,0.022587236016988754,0.022587236016988754,human
DHRS9,0.022116191685199738,0.022116191685199738,0.022116191685199738,0.022116191685199738,human
UBE2S,0.02208671160042286,0.02208671160042286,0.02208671160042286,0.02208671160042286,human
ASAP2,0.022021925076842308,0.022021925076842308,0.022021925076842308,0.022021925076842308,human
IGFBP3,0.021979479119181633,0.021979479119181633,0.021979479119181633,0.021979479119181633,human
PDIA6,0.02195340394973755,0.02195340394973755,0.02195340394973755,0.02195340394973755,human
RPS25,0.021943721920251846,0.021943721920251846,0.021943721920251846,0.021943721920251846,human
CXCL5,0.02185770682990551,0.02185770682990551,0.02185770682990551,0.02185770682990551,human
TUBB3,0.021833259612321854,0.021833259612321854,0.021833259612321854,0.021833259612321854,human
RAP1B,0.021721823140978813,0.021721823140978813,0.021721823140978813,0.021721823140978813,human
PLSCR1,0.021671049296855927,0.021671049296855927,0.021671049296855927,0.021671049296855927,human
RPL3,0.021490242332220078,0.021490242332220078,0.021490242332220078,0.021490242332220078,human
PSMA3,0.021265994757413864,0.021265994757413864,0.021265994757413864,0.021265994757413864,human
TMPRSS4,0.021250544115900993,0.021250544115900993,0.021250544115900993,0.021250544115900993,human
PFN1,0.021099140867590904,0.021099140867590904,0.021099140867590904,0.021099140867590904,human
IMP3,0.021029047667980194,0.021029047667980194,0.021029047667980194,0.021029047667980194,human
CDK1,0.02075151540338993,0.02075151540338993,0.02075151540338993,0.02075151540338993,human
LYZ,0.020690610632300377,0.020690610632300377,0.020690610632300377,0.020690610632300377,human
SDCBP,0.02068241313099861,0.02068241313099861,0.02068241313099861,0.02068241313099861,human
C6orf62,0.020632443949580193,0.020632443949580193,0.020632443949580193,0.020632443949580193,human
CAB39,0.020550675690174103,0.020550675690174103,0.020550675690174103,0.020550675690174103,human
DUSP14,0.02044539898633957,0.02044539898633957,0.02044539898633957,0.02044539898633957,human
TBC1D15,0.02035868726670742,0.02035868726670742,0.02035868726670742,0.02035868726670742,human
ILF2,0.019883759319782257,0.019883759319782257,0.019883759319782257,0.019883759319782257,human
ITM2B,0.019746296107769012,0.019746296107769012,0.019746296107769012,0.019746296107769012,human
EIF4B,0.019733106717467308,0.019733106717467308,0.019733106717467308,0.019733106717467308,human
F3,0.019727397710084915,0.019727397710084915,0.019727397710084915,0.019727397710084915,human
RPN1,0.019694441929459572,0.019694441929459572,0.019694441929459572,0.019694441929459572,human
RAB5C,0.019506720826029778,0.019506720826029778,0.019506720826029778,0.019506720826029778,human
ATP5H,0.019428608939051628,0.019428608939051628,0.019428608939051628,0.019428608939051628,human
SLC12A2,0.019392363727092743,0.019392363727092743,0.019392363727092743,0.019392363727092743,human
SH3YL1,0.019385332241654396,0.019385332241654396,0.019385332241654396,0.019385332241654396,human
CXCL3,0.018811317160725594,0.018811317160725594,0.018811317160725594,0.018811317160725594,human
