gene_symbol,logfc_dz:285,mean_logfc,median_logfc,common_experiment,organism
STMN2,0.1326577365398407,0.1326577365398407,0.1326577365398407,0.1326577365398407,human
CTHRC1,0.12309122085571289,0.12309122085571289,0.12309122085571289,0.12309122085571289,human
PPAP2B,0.12032383680343628,0.12032383680343628,0.12032383680343628,0.12032383680343628,human
MFAP5,0.08013779670000076,0.08013779670000076,0.08013779670000076,0.08013779670000076,human
CHRDL1,0.07518292218446732,0.07518292218446732,0.07518292218446732,0.07518292218446732,human
IGFBP6,0.06599405407905579,0.06599405407905579,0.06599405407905579,0.06599405407905579,human
ADD3,0.06330312043428421,0.06330312043428421,0.06330312043428421,0.06330312043428421,human
SEMA3C,0.05700473487377167,0.05700473487377167,0.05700473487377167,0.05700473487377167,human
TUBA1A,0.056030817329883575,0.056030817329883575,0.056030817329883575,0.056030817329883575,human
MEST,0.054495979100465775,0.054495979100465775,0.054495979100465775,0.054495979100465775,human
CLGN,0.05331831052899361,0.05331831052899361,0.05331831052899361,0.05331831052899361,human
LINC01279,0.05087307095527649,0.05087307095527649,0.05087307095527649,0.05087307095527649,human
CLEC3B,0.0503353588283062,0.0503353588283062,0.0503353588283062,0.0503353588283062,human
EEF2,0.04576955363154411,0.04576955363154411,0.04576955363154411,0.04576955363154411,human
CTSB,0.04522189125418663,0.04522189125418663,0.04522189125418663,0.04522189125418663,human
ARL6IP5,0.04241744801402092,0.04241744801402092,0.04241744801402092,0.04241744801402092,human
TXNIP,0.04213843122124672,0.04213843122124672,0.04213843122124672,0.04213843122124672,human
CAPG,0.04185761511325836,0.04185761511325836,0.04185761511325836,0.04185761511325836,human
RPS4Y1,0.04108928143978119,0.04108928143978119,0.04108928143978119,0.04108928143978119,human
COLEC12,0.041055336594581604,0.041055336594581604,0.041055336594581604,0.041055336594581604,human
ANXA4,0.040436774492263794,0.040436774492263794,0.040436774492263794,0.040436774492263794,human
HMGN2,0.0400751456618309,0.0400751456618309,0.0400751456618309,0.0400751456618309,human
COL1A2,0.03950284793972969,0.03950284793972969,0.03950284793972969,0.03950284793972969,human
WISP2,0.03912827745079994,0.03912827745079994,0.03912827745079994,0.03912827745079994,human
UBE2E3,0.03866686671972275,0.03866686671972275,0.03866686671972275,0.03866686671972275,human
VGLL3,0.03806810453534126,0.03806810453534126,0.03806810453534126,0.03806810453534126,human
S100A16,0.03736494481563568,0.03736494481563568,0.03736494481563568,0.03736494481563568,human
TGFBR3,0.03619801998138428,0.03619801998138428,0.03619801998138428,0.03619801998138428,human
TUBB,0.0356774665415287,0.0356774665415287,0.0356774665415287,0.0356774665415287,human
PLP2,0.035308558493852615,0.035308558493852615,0.035308558493852615,0.035308558493852615,human
RPS26,0.035083070397377014,0.035083070397377014,0.035083070397377014,0.035083070397377014,human
LRRN4CL,0.03411618247628212,0.03411618247628212,0.03411618247628212,0.03411618247628212,human
RCAN2,0.03388133645057678,0.03388133645057678,0.03388133645057678,0.03388133645057678,human
PPAP2A,0.033829785883426666,0.033829785883426666,0.033829785883426666,0.033829785883426666,human
ANXA5,0.03368039429187775,0.03368039429187775,0.03368039429187775,0.03368039429187775,human
PPP1CC,0.033618126064538956,0.033618126064538956,0.033618126064538956,0.033618126064538956,human
RPL12,0.03354687616229057,0.03354687616229057,0.03354687616229057,0.03354687616229057,human
TSPAN4,0.033495429903268814,0.033495429903268814,0.033495429903268814,0.033495429903268814,human
VCAN,0.033364325761795044,0.033364325761795044,0.033364325761795044,0.033364325761795044,human
GPX4,0.03285203129053116,0.03285203129053116,0.03285203129053116,0.03285203129053116,human
NEAT1,0.03227672353386879,0.03227672353386879,0.03227672353386879,0.03227672353386879,human
CYBRD1,0.03224696218967438,0.03224696218967438,0.03224696218967438,0.03224696218967438,human
ANXA6,0.032013051211833954,0.032013051211833954,0.032013051211833954,0.032013051211833954,human
SLC25A5,0.031828589737415314,0.031828589737415314,0.031828589737415314,0.031828589737415314,human
THY1,0.03141838684678078,0.03141838684678078,0.03141838684678078,0.03141838684678078,human
VAT1,0.031246455386281013,0.031246455386281013,0.031246455386281013,0.031246455386281013,human
MFSD1,0.031009843572974205,0.031009843572974205,0.031009843572974205,0.031009843572974205,human
LOC728825,0.030849704518914223,0.030849704518914223,0.030849704518914223,0.030849704518914223,human
PAMR1,0.03074292279779911,0.03074292279779911,0.03074292279779911,0.03074292279779911,human
CCDC51,0.030548660084605217,0.030548660084605217,0.030548660084605217,0.030548660084605217,human
HMGN3,0.03037148155272007,0.03037148155272007,0.03037148155272007,0.03037148155272007,human
RPL22L1,0.02957855723798275,0.02957855723798275,0.02957855723798275,0.02957855723798275,human
PLAU,0.029547983780503273,0.029547983780503273,0.029547983780503273,0.029547983780503273,human
DKK1,0.028654886409640312,0.028654886409640312,0.028654886409640312,0.028654886409640312,human
RRAS2,0.02823958732187748,0.02823958732187748,0.02823958732187748,0.02823958732187748,human
FBN1,0.028187021613121033,0.028187021613121033,0.028187021613121033,0.028187021613121033,human
NOV,0.028166906908154488,0.028166906908154488,0.028166906908154488,0.028166906908154488,human
DEK,0.02792837657034397,0.02792837657034397,0.02792837657034397,0.02792837657034397,human
SH3BGRL3,0.02783619798719883,0.02783619798719883,0.02783619798719883,0.02783619798719883,human
LOXL1,0.027525916695594788,0.027525916695594788,0.027525916695594788,0.027525916695594788,human
RPL36A,0.027466142550110817,0.027466142550110817,0.027466142550110817,0.027466142550110817,human
YWHAZ,0.027043083682656288,0.027043083682656288,0.027043083682656288,0.027043083682656288,human
KPNA2,0.02672659046947956,0.02672659046947956,0.02672659046947956,0.02672659046947956,human
ANXA7,0.02642381191253662,0.02642381191253662,0.02642381191253662,0.02642381191253662,human
ADAM10,0.025447890162467957,0.025447890162467957,0.025447890162467957,0.025447890162467957,human
EMP3,0.025416778400540352,0.025416778400540352,0.025416778400540352,0.025416778400540352,human
FHL1,0.025018565356731415,0.025018565356731415,0.025018565356731415,0.025018565356731415,human
PCNA,0.025011518970131874,0.025011518970131874,0.025011518970131874,0.025011518970131874,human
ADIRF,0.024824142456054688,0.024824142456054688,0.024824142456054688,0.024824142456054688,human
IFITM2,0.024700293317437172,0.024700293317437172,0.024700293317437172,0.024700293317437172,human
PTMA,0.024664942175149918,0.024664942175149918,0.024664942175149918,0.024664942175149918,human
SCP2,0.02463182993233204,0.02463182993233204,0.02463182993233204,0.02463182993233204,human
TOB1,0.02445521019399166,0.02445521019399166,0.02445521019399166,0.02445521019399166,human
NSA2,0.024449193850159645,0.024449193850159645,0.024449193850159645,0.024449193850159645,human
PHYH,0.024075282737612724,0.024075282737612724,0.024075282737612724,0.024075282737612724,human
MATN2,0.02390131913125515,0.02390131913125515,0.02390131913125515,0.02390131913125515,human
EIF3CL,0.02389572560787201,0.02389572560787201,0.02389572560787201,0.02389572560787201,human
TWIST1,0.02319071814417839,0.02319071814417839,0.02319071814417839,0.02319071814417839,human
NACAP1,0.02317793108522892,0.02317793108522892,0.02317793108522892,0.02317793108522892,human
TUBA1C,0.022958047688007355,0.022958047688007355,0.022958047688007355,0.022958047688007355,human
NPTN,0.022757306694984436,0.022757306694984436,0.022757306694984436,0.022757306694984436,human
SLC38A2,0.022752542048692703,0.022752542048692703,0.022752542048692703,0.022752542048692703,human
ARL6IP1,0.02264036238193512,0.02264036238193512,0.02264036238193512,0.02264036238193512,human
FAM129A,0.022504912689328194,0.022504912689328194,0.022504912689328194,0.022504912689328194,human
STAM,0.022325294092297554,0.022325294092297554,0.022325294092297554,0.022325294092297554,human
YWHAQ,0.022293418645858765,0.022293418645858765,0.022293418645858765,0.022293418645858765,human
ERH,0.022047337144613266,0.022047337144613266,0.022047337144613266,0.022047337144613266,human
CD164,0.021972740069031715,0.021972740069031715,0.021972740069031715,0.021972740069031715,human
MAP1B,0.02176913060247898,0.02176913060247898,0.02176913060247898,0.02176913060247898,human
PSG7,0.021569902077317238,0.021569902077317238,0.021569902077317238,0.021569902077317238,human
RPS5,0.021566040813922882,0.021566040813922882,0.021566040813922882,0.021566040813922882,human
PLK2,0.021491264924407005,0.021491264924407005,0.021491264924407005,0.021491264924407005,human
CUTA,0.021426010876893997,0.021426010876893997,0.021426010876893997,0.021426010876893997,human
PROS1,0.02124779485166073,0.02124779485166073,0.02124779485166073,0.02124779485166073,human
TUBB4B,0.02066938206553459,0.02066938206553459,0.02066938206553459,0.02066938206553459,human
HMGB1,0.020565791055560112,0.020565791055560112,0.020565791055560112,0.020565791055560112,human
AOX1,0.020404856652021408,0.020404856652021408,0.020404856652021408,0.020404856652021408,human
SEPT10,0.020279869437217712,0.020279869437217712,0.020279869437217712,0.020279869437217712,human
STT3A,0.020260173827409744,0.020260173827409744,0.020260173827409744,0.020260173827409744,human
CNTN3,0.020219234749674797,0.020219234749674797,0.020219234749674797,0.020219234749674797,human
SGCE,0.02018546499311924,0.02018546499311924,0.02018546499311924,0.02018546499311924,human
RLIM,0.020158207044005394,0.020158207044005394,0.020158207044005394,0.020158207044005394,human
RPS23,0.020017754286527634,0.020017754286527634,0.020017754286527634,0.020017754286527634,human
IGSF10,0.019931597635149956,0.019931597635149956,0.019931597635149956,0.019931597635149956,human
CCNG1,0.019926363602280617,0.019926363602280617,0.019926363602280617,0.019926363602280617,human
MEIS2,0.01992170698940754,0.01992170698940754,0.01992170698940754,0.01992170698940754,human
UGCG,0.019919678568840027,0.019919678568840027,0.019919678568840027,0.019919678568840027,human
S100A10,0.019919583573937416,0.019919583573937416,0.019919583573937416,0.019919583573937416,human
HNRNPA1P10,0.019872887060046196,0.019872887060046196,0.019872887060046196,0.019872887060046196,human
PLS3,0.019769737496972084,0.019769737496972084,0.019769737496972084,0.019769737496972084,human
ADH5,0.019674301147460938,0.019674301147460938,0.019674301147460938,0.019674301147460938,human
DDR2,0.019662952050566673,0.019662952050566673,0.019662952050566673,0.019662952050566673,human
NCOA4,0.019652707502245903,0.019652707502245903,0.019652707502245903,0.019652707502245903,human
SMIM19,0.019629506394267082,0.019629506394267082,0.019629506394267082,0.019629506394267082,human
CCDC80,0.019600357860326767,0.019600357860326767,0.019600357860326767,0.019600357860326767,human
PLSCR4,0.019553685560822487,0.019553685560822487,0.019553685560822487,0.019553685560822487,human
EIF3E,0.019455356523394585,0.019455356523394585,0.019455356523394585,0.019455356523394585,human
DYNC1I2,0.019399568438529968,0.019399568438529968,0.019399568438529968,0.019399568438529968,human
H3F3AP4,0.019346218556165695,0.019346218556165695,0.019346218556165695,0.019346218556165695,human
GNPDA1,0.019314492121338844,0.019314492121338844,0.019314492121338844,0.019314492121338844,human
ADI1,0.019268697127699852,0.019268697127699852,0.019268697127699852,0.019268697127699852,human
H2AFZ,0.01924174278974533,0.01924174278974533,0.01924174278974533,0.01924174278974533,human
