gene_symbol,logfc_dz:888,logfc_dz:890,mean_logfc,median_logfc,common_experiment,organism
IGHV4-31,0.4724840223789215,0.2597857415676117,0.3661348819732666,0.3661348819732666,0.2597857415676117,human
LTF,0.15308760106563568,,0.15308760106563568,0.15308760106563568,,human
SH3KBP1,0.13254983723163605,-0.029552524909377098,0.051498656161129475,0.051498656161129475,-0.029552524909377098,human
TCN1,0.12841518223285675,0.057512812316417694,0.09296399727463722,0.09296399727463722,0.057512812316417694,human
HLA-A,0.12075189501047134,0.09877396374940872,0.10976292937994003,0.10976292937994003,0.09877396374940872,human
SCGB2A2,0.10018808394670486,,0.10018808394670486,0.10018808394670486,,human
ZG16B,0.09844283014535904,0.1087314635515213,0.10358714684844017,0.10358714684844017,0.1087314635515213,human
SMR3B,0.0904783308506012,,0.0904783308506012,0.0904783308506012,,human
FDCSP,0.08978932350873947,,0.08978932350873947,0.08978932350873947,,human
DCAF6,0.08901970833539963,0.0946534126996994,0.09183656051754951,0.09183656051754951,0.0946534126996994,human
TMSB4XP8,0.08813697844743729,0.021373627707362175,0.05475530307739973,0.05475530307739973,0.021373627707362175,human
NPTN,0.08758951723575592,0.03300754353404045,0.060298530384898186,0.060298530384898186,0.03300754353404045,human
HLA-C,0.08664362132549286,0.025031661614775658,0.05583764147013426,0.05583764147013426,0.025031661614775658,human
HLA-B,0.08599939197301865,0.04775715991854668,0.06687827594578266,0.06687827594578266,0.04775715991854668,human
PRDX4,0.08551661670207977,0.025455962866544724,0.05548628978431225,0.05548628978431225,0.025455962866544724,human
ITM2B,0.08254960179328918,,0.08254960179328918,0.08254960179328918,,human
IGHA2,0.07881347835063934,0.08961301296949387,0.0842132456600666,0.0842132456600666,0.08961301296949387,human
SRP9,0.07835692912340164,0.047818686813116074,0.06308780796825886,0.06308780796825886,0.047818686813116074,human
ANXA3,0.0755593404173851,,0.0755593404173851,0.0755593404173851,,human
TFF1,0.07276874035596848,0.014868462458252907,0.04381860140711069,0.04381860140711069,0.014868462458252907,human
PIP,0.07188551872968674,0.1063929945230484,0.08913925662636757,0.08913925662636757,0.1063929945230484,human
TUBA1A,0.06989330798387527,0.012663314118981361,0.04127831105142832,0.04127831105142832,0.012663314118981361,human
SDCBP,0.06781423836946487,0.025105344131588936,0.046459791250526905,0.046459791250526905,0.025105344131588936,human
TSPAN13,0.06735971570014954,,0.06735971570014954,0.06735971570014954,,human
STATH,0.06610448658466339,0.14620409905910492,0.10615429282188416,0.10615429282188416,0.14620409905910492,human
AGR2,0.06564723700284958,-0.02338811568915844,0.02112956065684557,0.02112956065684557,-0.02338811568915844,human
MRFAP1,0.0632767304778099,0.03511646389961243,0.049196597188711166,0.049196597188711166,0.03511646389961243,human
HLA-DRB4,0.06058818846940994,0.07847374677658081,0.06953096762299538,0.06953096762299538,0.07847374677658081,human
PPA1,0.0603322759270668,0.028912410140037537,0.04462234303355217,0.04462234303355217,0.028912410140037537,human
TPT1,0.059713803231716156,0.032372795045375824,0.04604329913854599,0.04604329913854599,0.032372795045375824,human
EEF1A1P9,0.0596366785466671,0.057150110602378845,0.05839339457452297,0.05839339457452297,0.057150110602378845,human
S100P,0.05635073781013489,0.024182479828596115,0.0402666088193655,0.0402666088193655,0.024182479828596115,human
ACTG1,0.056209202855825424,-0.021519877016544342,0.01734466291964054,0.01734466291964054,-0.021519877016544342,human
COX1,0.05593251436948776,0.04708036035299301,0.05150643736124039,0.05150643736124039,0.04708036035299301,human
SPARCL1,0.055476706475019455,-0.022308794781565666,0.016583955846726894,0.016583955846726894,-0.022308794781565666,human
FTH1P5,0.055120743811130524,,0.055120743811130524,0.055120743811130524,,human
HERPUD1,0.05442677438259125,0.022212453186511993,0.03831961378455162,0.03831961378455162,0.022212453186511993,human
LOC100505937,0.052123576402664185,0.02348284237086773,0.03780320938676596,0.03780320938676596,0.02348284237086773,human
TXNDC5,0.051388345658779144,-0.03247823193669319,0.009455056861042976,0.009455056861042976,-0.03247823193669319,human
HLA-DRB1,0.05032370984554291,0.043426770716905594,0.04687524028122425,0.04687524028122425,0.043426770716905594,human
RPL41,0.04945959895849228,0.062216054648160934,0.05583782680332661,0.05583782680332661,0.062216054648160934,human
PROL1,0.04865264147520065,,0.04865264147520065,0.04865264147520065,,human
RPS11,0.04822935536503792,0.13322722911834717,0.09072829224169254,0.09072829224169254,0.13322722911834717,human
RPL9,0.0472235269844532,0.10728646069765091,0.07725499384105206,0.07725499384105206,0.10728646069765091,human
HLA-DRB5,0.045970458537340164,0.053637754172086716,0.04980410635471344,0.04980410635471344,0.053637754172086716,human
IGK,0.04553315043449402,-0.019933002069592476,0.012800074182450771,0.012800074182450771,-0.019933002069592476,human
YWHAQ,0.04531446099281311,0.018343167379498482,0.031828814186155796,0.031828814186155796,0.018343167379498482,human
RAP1B,0.044528014957904816,0.030971013009548187,0.0377495139837265,0.0377495139837265,0.030971013009548187,human
MUC7,0.04410848021507263,0.07616404443979263,0.06013626232743263,0.06013626232743263,0.07616404443979263,human
PTTG1IP,0.043671369552612305,,0.043671369552612305,0.043671369552612305,,human
MUC19,0.0424431636929512,0.09948112815618515,0.07096214592456818,0.07096214592456818,0.09948112815618515,human
HLA-E,0.04194854572415352,0.039957042783498764,0.04095279425382614,0.04095279425382614,0.039957042783498764,human
SAT1,0.04055986553430557,0.01897573284804821,0.02976779919117689,0.02976779919117689,0.01897573284804821,human
IGJ,0.040471941232681274,-0.02859002724289894,0.005940956994891167,0.005940956994891167,-0.02859002724289894,human
SERINC1,0.03984059393405914,-0.012035193853080273,0.013902700040489435,0.013902700040489435,-0.012035193853080273,human
TMSB10,0.03981722518801689,0.03994322195649147,0.03988022357225418,0.03988022357225418,0.03994322195649147,human
RPL30,0.039448413997888565,0.044077031314373016,0.04176272265613079,0.04176272265613079,0.044077031314373016,human
PRR4,0.03897858038544655,-0.02505122870206833,0.00696367584168911,0.00696367584168911,-0.02505122870206833,human
CREG1,0.03826766833662987,,0.03826766833662987,0.03826766833662987,,human
LAP3,0.03821948543190956,0.023372652009129524,0.030796068720519543,0.030796068720519543,0.023372652009129524,human
HLA-DRA,0.03811929374933243,0.026922333985567093,0.03252081386744976,0.03252081386744976,0.026922333985567093,human
SPCS1,0.03785921260714531,0.019238300621509552,0.02854875661432743,0.02854875661432743,0.019238300621509552,human
BTN3A2,0.036058757454156876,0.027978936210274696,0.032018846832215786,0.032018846832215786,0.027978936210274696,human
ACTB,0.03586437180638313,-0.02612270414829254,0.004870833829045296,0.004870833829045296,-0.02612270414829254,human
TMEM14B,0.035470783710479736,0.02896871417760849,0.03221974894404411,0.03221974894404411,0.02896871417760849,human
NARS,0.03524944186210632,0.02038281410932541,0.027816127985715866,0.027816127985715866,0.02038281410932541,human
CXCL10,0.035234417766332626,0.020728616043925285,0.027981516905128956,0.027981516905128956,0.020728616043925285,human
ARF4,0.034563105553388596,,0.034563105553388596,0.034563105553388596,,human
TMEM123,0.034456517547369,0.032708242535591125,0.033582380041480064,0.033582380041480064,0.032708242535591125,human
OAT,0.0343029722571373,,0.0343029722571373,0.0343029722571373,,human
ALDH1A3,0.03390595316886902,0.017832627519965172,0.025869290344417095,0.025869290344417095,0.017832627519965172,human
CXCL9,0.03367089852690697,0.04018789529800415,0.03692939691245556,0.03692939691245556,0.04018789529800415,human
C3,0.033381860703229904,,0.033381860703229904,0.033381860703229904,,human
ANXA5,0.03337596729397774,,0.03337596729397774,0.03337596729397774,,human
PDIA6,0.03311625123023987,-0.014067969284951687,0.00952414097264409,0.00952414097264409,-0.014067969284951687,human
MMP7,0.03286995738744736,,0.03286995738744736,0.03286995738744736,,human
LCN2,0.032436907291412354,-0.039706259965896606,-0.0036346763372421265,-0.0036346763372421265,-0.039706259965896606,human
DEFB1,0.03212567791342735,,0.03212567791342735,0.03212567791342735,,human
HADHB,0.03191349655389786,,0.03191349655389786,0.03191349655389786,,human
TSPAN8,0.03102009929716587,-0.03170980140566826,-0.000344851054251194,-0.000344851054251194,-0.03170980140566826,human
HIF1A,0.03087693452835083,0.03936586529016495,0.03512139990925789,0.03512139990925789,0.03936586529016495,human
LDHB,0.030739307403564453,,0.030739307403564453,0.030739307403564453,,human
MMADHC,0.030565783381462097,0.012267864309251308,0.021416823845356703,0.021416823845356703,0.012267864309251308,human
RPS25,0.030543802306056023,,0.030543802306056023,0.030543802306056023,,human
IFITM1,0.030002400279045105,,0.030002400279045105,0.030002400279045105,,human
IGHV3-23,0.029855066910386086,,0.029855066910386086,0.029855066910386086,,human
LOC100510044,0.02979676052927971,0.018843140453100204,0.024319950491189957,0.024319950491189957,0.018843140453100204,human
SLC6A14,0.02911343052983284,,0.02911343052983284,0.02911343052983284,,human
GABARAPL3,0.028602585196495056,0.013961502350866795,0.021282043773680925,0.021282043773680925,0.013961502350866795,human
SMR3A,0.02836749516427517,,0.02836749516427517,0.02836749516427517,,human
RPS3A,0.02786295674741268,0.04071349278092384,0.03428822476416826,0.03428822476416826,0.04071349278092384,human
EIF3E,0.027541430667042732,,0.027541430667042732,0.027541430667042732,,human
DYNLT1,0.02733265794813633,0.023715728893876076,0.025524193421006203,0.025524193421006203,0.023715728893876076,human
MFSD1,0.02715425193309784,0.035850368440151215,0.03150231018662453,0.03150231018662453,0.035850368440151215,human
LYZ,0.027030285447835922,,0.027030285447835922,0.027030285447835922,,human
HNRNPA1P10,0.026772579178214073,0.05980876088142395,0.04329067002981901,0.04329067002981901,0.05980876088142395,human
UAP1,0.026380062103271484,,0.026380062103271484,0.026380062103271484,,human
EPCAM,0.026119688525795937,-0.01610749401152134,0.005006097257137299,0.005006097257137299,-0.01610749401152134,human
HMGN2,0.02609998919069767,0.04135096073150635,0.03372547496110201,0.03372547496110201,0.04135096073150635,human
CA2,0.025678325444459915,,0.025678325444459915,0.025678325444459915,,human
HLA-J,0.02546427771449089,,0.02546427771449089,0.02546427771449089,,human
TDP2,0.025415247306227684,0.029079828411340714,0.0272475378587842,0.0272475378587842,0.029079828411340714,human
NSA2,0.02534118853509426,0.033930111676454544,0.029635650105774403,0.029635650105774403,0.033930111676454544,human
DEK,0.02514478750526905,0.019174307584762573,0.022159547545015812,0.022159547545015812,0.019174307584762573,human
DSP,0.02502300590276718,,0.02502300590276718,0.02502300590276718,,human
RPN2,0.024897649884223938,-0.02814296819269657,-0.0016226591542363167,-0.0016226591542363167,-0.02814296819269657,human
CDKN1B,0.024797072634100914,0.013031361624598503,0.01891421712934971,0.01891421712934971,0.013031361624598503,human
CRISP3,0.024742772802710533,0.015057242475450039,0.019900007639080286,0.019900007639080286,0.015057242475450039,human
FTH1,0.02469804883003235,,0.02469804883003235,0.02469804883003235,,human
MORF4L1,0.02468694932758808,0.02289952151477337,0.023793235421180725,0.023793235421180725,0.02289952151477337,human
HLA-G,0.024337437003850937,,0.024337437003850937,0.024337437003850937,,human
CRISP2,0.024276822805404663,,0.024276822805404663,0.024276822805404663,,human
SLC12A2,0.024268919602036476,,0.024268919602036476,0.024268919602036476,,human
COX2,0.023906160145998,,0.023906160145998,0.023906160145998,,human
TBCA,0.023832714185118675,0.013613656163215637,0.018723185174167156,0.018723185174167156,0.013613656163215637,human
GBP3,0.023196525871753693,0.013385485857725143,0.018291005864739418,0.018291005864739418,0.013385485857725143,human
RARRES1,0.023153524845838547,,0.023153524845838547,0.023153524845838547,,human
TMEM263,0.022715771570801735,0.021902848035097122,0.02230930980294943,0.02230930980294943,0.021902848035097122,human
HLA-DPB1,0.0226571224629879,0.06683409959077835,0.044745611026883125,0.044745611026883125,0.06683409959077835,human
SCGB1D2,0.02265089936554432,,0.02265089936554432,0.02265089936554432,,human
UBD,0.022636275738477707,0.01684931479394436,0.019742795266211033,0.019742795266211033,0.01684931479394436,human
ARPC3,0.022488826885819435,,0.022488826885819435,0.022488826885819435,,human
IGKV1OR2-108,0.022096991539001465,-0.022875510156154633,-0.00038925930857658386,-0.00038925930857658386,-0.022875510156154633,human
NCOA4,0.022090179845690727,0.056164443492889404,0.039127311669290066,0.039127311669290066,0.056164443492889404,human
SLC38A2,0.021478766575455666,0.024337319657206535,0.0229080431163311,0.0229080431163311,0.024337319657206535,human
PPP1CB,0.021391334012150764,,0.021391334012150764,0.021391334012150764,,human
VAMP7,0.02118109166622162,,0.02118109166622162,0.02118109166622162,,human
PSME2,0.021124714985489845,,0.021124714985489845,0.021124714985489845,,human
KRT23,0.020897692069411278,-0.01695864647626877,0.0019695227965712547,0.0019695227965712547,-0.01695864647626877,human
IGLJ3,0.020623717457056046,,0.020623717457056046,0.020623717457056046,,human
