gene_symbol,logfc_dz:295,mean_logfc,median_logfc,common_experiment,organism
IGHA2,0.021509500220417976,0.021509500220417976,0.021509500220417976,0.021509500220417976,human
FABP4,0.017209399491548538,0.017209399491548538,0.017209399491548538,0.017209399491548538,human
SPP1,0.015288198366761208,0.015288198366761208,0.015288198366761208,0.015288198366761208,human
FAP,0.014664709568023682,0.014664709568023682,0.014664709568023682,0.014664709568023682,human
MAGEA6,0.0140409916639328,0.0140409916639328,0.0140409916639328,0.0140409916639328,human
CYAT1,0.013792434707283974,0.013792434707283974,0.013792434707283974,0.013792434707283974,human
MMP13,0.013385389000177383,0.013385389000177383,0.013385389000177383,0.013385389000177383,human
CES1,0.013348063454031944,0.013348063454031944,0.013348063454031944,0.013348063454031944,human
MME,0.013062424957752228,0.013062424957752228,0.013062424957752228,0.013062424957752228,human
IGK,0.012827271595597267,0.012827271595597267,0.012827271595597267,0.012827271595597267,human
SERPINH1,0.012751413509249687,0.012751413509249687,0.012751413509249687,0.012751413509249687,human
FABP6,0.012632924132049084,0.012632924132049084,0.012632924132049084,0.012632924132049084,human
MAGEA11,0.012444805353879929,0.012444805353879929,0.012444805353879929,0.012444805353879929,human
SNX10,0.012328245677053928,0.012328245677053928,0.012328245677053928,0.012328245677053928,human
CLIC2,0.012165780179202557,0.012165780179202557,0.012165780179202557,0.012165780179202557,human
SYNGR3,0.012154178693890572,0.012154178693890572,0.012154178693890572,0.012154178693890572,human
MAGEA3,0.01183345727622509,0.01183345727622509,0.01183345727622509,0.01183345727622509,human
IGHV4-31,0.01169752050191164,0.01169752050191164,0.01169752050191164,0.01169752050191164,human
IGL,0.010694241151213646,0.010694241151213646,0.010694241151213646,0.010694241151213646,human
IGJ,0.010694237425923347,0.010694237425923347,0.010694237425923347,0.010694237425923347,human
LOC652493,0.01043171901255846,0.01043171901255846,0.01043171901255846,0.01043171901255846,human
CEL,0.010029691271483898,0.010029691271483898,0.010029691271483898,0.010029691271483898,human
CTAG2,0.009801678359508514,0.009801678359508514,0.009801678359508514,0.009801678359508514,human
HEY1,0.009768067859113216,0.009768067859113216,0.009768067859113216,0.009768067859113216,human
PTHLH,0.009752506390213966,0.009752506390213966,0.009752506390213966,0.009752506390213966,human
CXCL9,0.009621810168027878,0.009621810168027878,0.009621810168027878,0.009621810168027878,human
IGKV1OR2-108,0.009421912021934986,0.009421912021934986,0.009421912021934986,0.009421912021934986,human
MLIP,0.009149100631475449,0.009149100631475449,0.009149100631475449,0.009149100631475449,human
CXCL10,0.009077800437808037,0.009077800437808037,0.009077800437808037,0.009077800437808037,human
PLA2G16,0.009069220162928104,0.009069220162928104,0.009069220162928104,0.009069220162928104,human
IGLC7,0.009059570729732513,0.009059570729732513,0.009059570729732513,0.009059570729732513,human
CXorf57,0.009003332816064358,0.009003332816064358,0.009003332816064358,0.009003332816064358,human
LGALS1,0.00900185015052557,0.00900185015052557,0.00900185015052557,0.00900185015052557,human
UBD,0.00895414687693119,0.00895414687693119,0.00895414687693119,0.00895414687693119,human
CALB1,0.008784168399870396,0.008784168399870396,0.008784168399870396,0.008784168399870396,human
CXCL13,0.008672626689076424,0.008672626689076424,0.008672626689076424,0.008672626689076424,human
RNFT2,0.008645935915410519,0.008645935915410519,0.008645935915410519,0.008645935915410519,human
RHOBTB1,0.008589019998908043,0.008589019998908043,0.008589019998908043,0.008589019998908043,human
GAGE3,0.008403871208429337,0.008403871208429337,0.008403871208429337,0.008403871208429337,human
TARP,0.008395466022193432,0.008395466022193432,0.008395466022193432,0.008395466022193432,human
LYPD1,0.008393343538045883,0.008393343538045883,0.008393343538045883,0.008393343538045883,human
GAGE12D,0.00829920545220375,0.00829920545220375,0.00829920545220375,0.00829920545220375,human
SPANXA2,0.00821931753307581,0.00821931753307581,0.00821931753307581,0.00821931753307581,human
MMP12,0.008128618821501732,0.008128618821501732,0.008128618821501732,0.008128618821501732,human
FAR2,0.008120636455714703,0.008120636455714703,0.008120636455714703,0.008120636455714703,human
CXCL11,0.007963419891893864,0.007963419891893864,0.007963419891893864,0.007963419891893864,human
RTP4,0.007936556823551655,0.007936556823551655,0.007936556823551655,0.007936556823551655,human
PAX6,0.007886004634201527,0.007886004634201527,0.007886004634201527,0.007886004634201527,human
ALDH8A1,0.007845906540751457,0.007845906540751457,0.007845906540751457,0.007845906540751457,human
