gene_symbol,logfc_dz:903,mean_logfc,median_logfc,common_experiment,organism
IGFBP3,0.2145732194185257,0.2145732194185257,0.2145732194185257,0.2145732194185257,human
S100A4,0.19753022491931915,0.19753022491931915,0.19753022491931915,0.19753022491931915,human
TGFBI,0.18169641494750977,0.18169641494750977,0.18169641494750977,0.18169641494750977,human
GAPDH,0.17525389790534973,0.17525389790534973,0.17525389790534973,0.17525389790534973,human
LGALS1,0.16856928169727325,0.16856928169727325,0.16856928169727325,0.16856928169727325,human
TMSB10,0.15783563256263733,0.15783563256263733,0.15783563256263733,0.15783563256263733,human
IFITM2,0.12867650389671326,0.12867650389671326,0.12867650389671326,0.12867650389671326,human
LOX,0.10423365980386734,0.10423365980386734,0.10423365980386734,0.10423365980386734,human
RPSA,0.10310730338096619,0.10310730338096619,0.10310730338096619,0.10310730338096619,human
ADM,0.09212984889745712,0.09212984889745712,0.09212984889745712,0.09212984889745712,human
LOXL1,0.08742498606443405,0.08742498606443405,0.08742498606443405,0.08742498606443405,human
IGFBP6,0.08401172608137131,0.08401172608137131,0.08401172608137131,0.08401172608137131,human
OXTR,0.0758020281791687,0.0758020281791687,0.0758020281791687,0.0758020281791687,human
GREM1,0.0743418037891388,0.0743418037891388,0.0743418037891388,0.0743418037891388,human
TENM2,0.07275434583425522,0.07275434583425522,0.07275434583425522,0.07275434583425522,human
PABPC3,0.06914151459932327,0.06914151459932327,0.06914151459932327,0.06914151459932327,human
HLA-C,0.06913411617279053,0.06913411617279053,0.06913411617279053,0.06913411617279053,human
MYL12B,0.06844346970319748,0.06844346970319748,0.06844346970319748,0.06844346970319748,human
RPL21,0.06732805073261261,0.06732805073261261,0.06732805073261261,0.06732805073261261,human
IFITM3,0.0672585591673851,0.0672585591673851,0.0672585591673851,0.0672585591673851,human
RPS7,0.06482654064893723,0.06482654064893723,0.06482654064893723,0.06482654064893723,human
CD63,0.06298623979091644,0.06298623979091644,0.06298623979091644,0.06298623979091644,human
KRTAP1-5,0.06258323788642883,0.06258323788642883,0.06258323788642883,0.06258323788642883,human
ACTG1,0.06254114955663681,0.06254114955663681,0.06254114955663681,0.06254114955663681,human
RPS20,0.06229325383901596,0.06229325383901596,0.06229325383901596,0.06229325383901596,human
CAV1,0.06225134804844856,0.06225134804844856,0.06225134804844856,0.06225134804844856,human
HLA-B,0.06173931434750557,0.06173931434750557,0.06173931434750557,0.06173931434750557,human
TXNIP,0.05951075255870819,0.05951075255870819,0.05951075255870819,0.05951075255870819,human
RPL36A,0.05898608639836311,0.05898608639836311,0.05898608639836311,0.05898608639836311,human
IFITM1,0.058848779648542404,0.058848779648542404,0.058848779648542404,0.058848779648542404,human
NGFRAP1,0.05796928331255913,0.05796928331255913,0.05796928331255913,0.05796928331255913,human
SH3BGRL3,0.05727329105138779,0.05727329105138779,0.05727329105138779,0.05727329105138779,human
CCNG1,0.05567030608654022,0.05567030608654022,0.05567030608654022,0.05567030608654022,human
USMG5,0.055407337844371796,0.055407337844371796,0.055407337844371796,0.055407337844371796,human
IGFBP4,0.055363431572914124,0.055363431572914124,0.055363431572914124,0.055363431572914124,human
RPS29,0.05456216260790825,0.05456216260790825,0.05456216260790825,0.05456216260790825,human
CD99,0.05284552276134491,0.05284552276134491,0.05284552276134491,0.05284552276134491,human
PDLIM1,0.052693456411361694,0.052693456411361694,0.052693456411361694,0.052693456411361694,human
PKM,0.05250924080610275,0.05250924080610275,0.05250924080610275,0.05250924080610275,human
PAMR1,0.050624966621398926,0.050624966621398926,0.050624966621398926,0.050624966621398926,human
RLIM,0.05014229938387871,0.05014229938387871,0.05014229938387871,0.05014229938387871,human
RPL34,0.05002380535006523,0.05002380535006523,0.05002380535006523,0.05002380535006523,human
HLA-A,0.04890209436416626,0.04890209436416626,0.04890209436416626,0.04890209436416626,human
ENPP2,0.04875878617167473,0.04875878617167473,0.04875878617167473,0.04875878617167473,human
PFN2,0.048515599220991135,0.048515599220991135,0.048515599220991135,0.048515599220991135,human
PAM,0.048490215092897415,0.048490215092897415,0.048490215092897415,0.048490215092897415,human
RPS4X,0.04826462268829346,0.04826462268829346,0.04826462268829346,0.04826462268829346,human
RPL30,0.047151900827884674,0.047151900827884674,0.047151900827884674,0.047151900827884674,human
PTTG1IP,0.04630786553025246,0.04630786553025246,0.04630786553025246,0.04630786553025246,human
RPL9,0.04444854333996773,0.04444854333996773,0.04444854333996773,0.04444854333996773,human
RAB3B,0.04395982623100281,0.04395982623100281,0.04395982623100281,0.04395982623100281,human
HAS2,0.04373590275645256,0.04373590275645256,0.04373590275645256,0.04373590275645256,human
HNRNPA1P10,0.04342830926179886,0.04342830926179886,0.04342830926179886,0.04342830926179886,human
ANP32B,0.043123044073581696,0.043123044073581696,0.043123044073581696,0.043123044073581696,human
GBE1,0.04305718466639519,0.04305718466639519,0.04305718466639519,0.04305718466639519,human
RPS25,0.042915765196084976,0.042915765196084976,0.042915765196084976,0.042915765196084976,human
FHL2,0.04264598339796066,0.04264598339796066,0.04264598339796066,0.04264598339796066,human
ARL6IP5,0.04217321425676346,0.04217321425676346,0.04217321425676346,0.04217321425676346,human
PRDX4,0.04090401902794838,0.04090401902794838,0.04090401902794838,0.04090401902794838,human
LUM,0.04071824625134468,0.04071824625134468,0.04071824625134468,0.04071824625134468,human
C4orf46,0.04034331068396568,0.04034331068396568,0.04034331068396568,0.04034331068396568,human
YWHAQ,0.0401739738881588,0.0401739738881588,0.0401739738881588,0.0401739738881588,human
CLEC3B,0.04016204550862312,0.04016204550862312,0.04016204550862312,0.04016204550862312,human
DCAF6,0.03907512128353119,0.03907512128353119,0.03907512128353119,0.03907512128353119,human
IER3,0.03887484595179558,0.03887484595179558,0.03887484595179558,0.03887484595179558,human
MIF,0.03872264176607132,0.03872264176607132,0.03872264176607132,0.03872264176607132,human
RPL12,0.03794148191809654,0.03794148191809654,0.03794148191809654,0.03794148191809654,human
CYB5R3,0.03774641826748848,0.03774641826748848,0.03774641826748848,0.03774641826748848,human
VKORC1,0.03712063655257225,0.03712063655257225,0.03712063655257225,0.03712063655257225,human
RPS13,0.037107765674591064,0.037107765674591064,0.037107765674591064,0.037107765674591064,human
