gene_symbol,logfc_dz:112,logfc_dz:782,logfc_dz:783,mean_logfc,median_logfc,common_experiment,organism
HBG2,0.15238448977470398,-0.02742243930697441,,0.062481025233864784,0.062481025233864784,0.15238448977470398,human
EEF1A1,0.11008741706609726,-0.008365550078451633,0.04660383239388466,0.049441899793843426,0.04660383239388466,0.11008741706609726,human
RPS24,0.09456212818622589,0.045580003410577774,0.07800575345754623,0.0727159616847833,0.07800575345754623,0.09456212818622589,human
PABPC1,0.09028661996126175,0.02156766876578331,0.04623520374298096,0.052696497490008674,0.04623520374298096,0.09028661996126175,human
RPL6,0.09006114304065704,,0.011550148017704487,0.050805645529180765,0.050805645529180765,0.09006114304065704,human
NPM1,0.08066882193088531,0.006365461274981499,0.01321157906204462,0.03341528742263714,0.01321157906204462,0.08066882193088531,human
RPS3A,0.07079709321260452,,,0.07079709321260452,0.07079709321260452,0.07079709321260452,human
HSP90AA1,0.06824853271245956,0.015088150277733803,0.025435706600546837,0.0362574631969134,0.025435706600546837,0.06824853271245956,human
RPL7,0.06783276051282883,,,0.06783276051282883,0.06783276051282883,0.06783276051282883,human
EIF4G2,0.066691093146801,,,0.066691093146801,0.066691093146801,0.066691093146801,human
FTH1P5,0.06507142633199692,-0.02552376687526703,-0.01502680778503418,0.00817361722389857,-0.01502680778503418,0.06507142633199692,human
LYZ,0.0636775866150856,,,0.0636775866150856,0.0636775866150856,0.0636775866150856,human
RPL17,0.06186145171523094,,,0.06186145171523094,0.06186145171523094,0.06186145171523094,human
NFKBIA,0.0577780082821846,0.006994903087615967,-0.01390249002724886,0.016956807114183903,0.006994903087615967,0.0577780082821846,human
HNRNPA1P33,0.05678761005401611,,,0.05678761005401611,0.05678761005401611,0.05678761005401611,human
H1FX,0.05606742575764656,0.010357661172747612,,0.033212543465197086,0.033212543465197086,0.05606742575764656,human
RPS19,0.055396344512701035,,,0.055396344512701035,0.055396344512701035,0.055396344512701035,human
TAGLN2,0.053949713706970215,0.015029553323984146,0.014829891733825207,0.02793638625492652,0.015029553323984146,0.053949713706970215,human
DDX5,0.053128682076931,,,0.053128682076931,0.053128682076931,0.053128682076931,human
NACA,0.05102796480059624,-0.007569384761154652,,0.021729290019720793,0.021729290019720793,0.05102796480059624,human
JUND,0.050470415502786636,0.006836497690528631,,0.028653456596657634,0.028653456596657634,0.050470415502786636,human
TOP3B,0.050046417862176895,,,0.050046417862176895,0.050046417862176895,0.050046417862176895,human
UBC,0.04985298961400986,0.036976028233766556,0.035767458379268646,0.040865492075681686,0.036976028233766556,0.04985298961400986,human
H3F3B,0.049438245594501495,,-0.025741301476955414,0.01184847205877304,0.01184847205877304,0.049438245594501495,human
HSPD1,0.048416007310152054,0.005917794536799192,0.010672375559806824,0.02166872580225269,0.010672375559806824,0.048416007310152054,human
MCL1,0.04744011536240578,,,0.04744011536240578,0.04744011536240578,0.04744011536240578,human
RPL5,0.04440273717045784,,,0.04440273717045784,0.04440273717045784,0.04440273717045784,human
EIF3E,0.04432647302746773,0.02306484244763851,0.03748217597603798,0.03495783048371474,0.03748217597603798,0.04432647302746773,human
HLA-DRA,0.043545275926589966,-0.007591365836560726,0.032864999026060104,0.02293963637202978,0.032864999026060104,0.043545275926589966,human
TUBA1A,0.043249573558568954,0.02401071786880493,-0.024474268779158592,0.014262007549405098,0.02401071786880493,0.043249573558568954,human
RPL3,0.04139666631817818,,-0.013359859585762024,0.014018403366208076,0.014018403366208076,0.04139666631817818,human
EIF4A2,0.04128904268145561,0.01272396370768547,0.022797461599111557,0.025603489329417545,0.022797461599111557,0.04128904268145561,human
RPS23,0.040462639182806015,0.023767661303281784,0.012453284114599228,0.025561194866895676,0.023767661303281784,0.040462639182806015,human
RPL41,0.04025009647011757,-0.009065670892596245,0.07530977576971054,0.03549806711574396,0.04025009647011757,0.04025009647011757,human
