gene_symbol,logfc_dz:709,logfc_dz:864,logfc_dz:865,mean_logfc,median_logfc,common_experiment,organism
CTHRC1,0.16440346837043762,,,0.16440346837043762,0.16440346837043762,,human
RPS4Y1,0.14503991603851318,0.10872983932495117,0.3132854104042053,0.18901838858922324,0.14503991603851318,0.10872983932495117,human
RPS26,0.13301047682762146,0.03817130625247955,0.1490400731563568,0.10674061874548595,0.13301047682762146,0.03817130625247955,human
CTGF,0.1151072233915329,-0.03686419501900673,0.08182596415281296,0.05335633084177971,0.08182596415281296,-0.03686419501900673,human
SERPINF1,0.10510164499282837,0.10815208405256271,,0.10662686452269554,0.10662686452269554,0.10815208405256271,human
EEF2,0.10111182183027267,0.032192427664995193,-0.04863382503390312,0.028223474820454914,0.032192427664995193,0.032192427664995193,human
RPL36A,0.09365755319595337,0.033448852598667145,-0.06850052624940872,0.019535293181737263,0.033448852598667145,0.033448852598667145,human
COL5A2,0.08601690828800201,0.13277827203273773,,0.10939759016036987,0.10939759016036987,0.13277827203273773,human
EEF1B2,0.0840153843164444,0.0683465525507927,,0.07618096843361855,0.07618096843361855,0.0683465525507927,human
SULF1,0.08254653215408325,,,0.08254653215408325,0.08254653215408325,,human
PPIB,0.0821903795003891,0.09432005137205124,0.05886978656053543,0.07846007247765859,0.0821903795003891,0.09432005137205124,human
GARS,0.08108409494161606,0.03444620594382286,0.03979598730802536,0.051775429397821426,0.03979598730802536,0.03444620594382286,human
COL5A1,0.08028146624565125,0.07875118404626846,,0.07951632514595985,0.07951632514595985,0.07875118404626846,human
RPSA,0.07903464138507843,0.07290706783533096,,0.0759708546102047,0.0759708546102047,0.07290706783533096,human
SFRP2,0.0780167430639267,,,0.0780167430639267,0.0780167430639267,,human
TGFBI,0.07691475003957748,0.15561293065547943,,0.11626384034752846,0.11626384034752846,0.15561293065547943,human
COL15A1,0.07371429353952408,0.021791743114590645,,0.04775301832705736,0.04775301832705736,0.021791743114590645,human
SPARC,0.07203137129545212,0.18801140785217285,,0.13002138957381248,0.13002138957381248,0.18801140785217285,human
GREM1,0.07054028660058975,-0.08587387949228287,,-0.007666796445846558,-0.007666796445846558,-0.08587387949228287,human
LTBP2,0.07007744163274765,,,0.07007744163274765,0.07007744163274765,,human
COL6A3,0.06967372447252274,0.09973395615816116,,0.08470384031534195,0.08470384031534195,0.09973395615816116,human
EIF3CL,0.06965139508247375,,0.05340901389718056,0.061530204489827156,0.061530204489827156,,human
HNRNPA1P10,0.06740114092826843,,0.019697044044733047,0.04354909248650074,0.04354909248650074,,human
RPLP0P6,0.0669456347823143,0.01671510562300682,,0.04183037020266056,0.04183037020266056,0.01671510562300682,human
IARS,0.06565630435943604,,,0.06565630435943604,0.06565630435943604,,human
SERPINH1,0.06373719125986099,0.05300424247980118,,0.058370716869831085,0.058370716869831085,0.05300424247980118,human
