gene_symbol,logfc_dz:629,mean_logfc,median_logfc,common_experiment,organism
HSPA1A,0.17484156787395477,0.17484156787395477,0.17484156787395477,0.17484156787395477,human
HSPA1B,0.1711556762456894,0.1711556762456894,0.1711556762456894,0.1711556762456894,human
BEX1,0.13812518119812012,0.13812518119812012,0.13812518119812012,0.13812518119812012,human
ACTB,0.12673719227313995,0.12673719227313995,0.12673719227313995,0.12673719227313995,human
FTL,0.12548716366291046,0.12548716366291046,0.12548716366291046,0.12548716366291046,human
ND2,0.11830135434865952,0.11830135434865952,0.11830135434865952,0.11830135434865952,human
SNRPD2,0.09892912209033966,0.09892912209033966,0.09892912209033966,0.09892912209033966,human
RPL10,0.09806255251169205,0.09806255251169205,0.09806255251169205,0.09806255251169205,human
MORF4L1,0.09798893332481384,0.09798893332481384,0.09798893332481384,0.09798893332481384,human
NOP10,0.0951569452881813,0.0951569452881813,0.0951569452881813,0.0951569452881813,human
USMG5,0.09471485763788223,0.09471485763788223,0.09471485763788223,0.09471485763788223,human
NME1,0.09307356923818588,0.09307356923818588,0.09307356923818588,0.09307356923818588,human
GLO1,0.09204147011041641,0.09204147011041641,0.09204147011041641,0.09204147011041641,human
NHP2,0.0918133482336998,0.0918133482336998,0.0918133482336998,0.0918133482336998,human
RPL36AL,0.08820029348134995,0.08820029348134995,0.08820029348134995,0.08820029348134995,human
UQCRH,0.08447682857513428,0.08447682857513428,0.08447682857513428,0.08447682857513428,human
MRFAP1,0.08397124707698822,0.08397124707698822,0.08397124707698822,0.08397124707698822,human
YBX1,0.08006907254457474,0.08006907254457474,0.08006907254457474,0.08006907254457474,human
TMA7,0.07912321388721466,0.07912321388721466,0.07912321388721466,0.07912321388721466,human
SLIRP,0.07499684393405914,0.07499684393405914,0.07499684393405914,0.07499684393405914,human
RBX1,0.07465562224388123,0.07465562224388123,0.07465562224388123,0.07465562224388123,human
OAZ1,0.07439637929201126,0.07439637929201126,0.07439637929201126,0.07439637929201126,human
NPM1,0.07407791912555695,0.07407791912555695,0.07407791912555695,0.07407791912555695,human
MRPL18,0.0707508772611618,0.0707508772611618,0.0707508772611618,0.0707508772611618,human
EIF3I,0.0643029659986496,0.0643029659986496,0.0643029659986496,0.0643029659986496,human
GNG5,0.06378980726003647,0.06378980726003647,0.06378980726003647,0.06378980726003647,human
SUMO2,0.06294003874063492,0.06294003874063492,0.06294003874063492,0.06294003874063492,human
GPX4,0.06224880367517471,0.06224880367517471,0.06224880367517471,0.06224880367517471,human
PRDX1,0.06176276132464409,0.06176276132464409,0.06176276132464409,0.06176276132464409,human
ATP5J,0.061717260628938675,0.061717260628938675,0.061717260628938675,0.061717260628938675,human
HDAC1,0.0601678341627121,0.0601678341627121,0.0601678341627121,0.0601678341627121,human
SNRPD3,0.06009348854422569,0.06009348854422569,0.06009348854422569,0.06009348854422569,human
MRPS21,0.0595225915312767,0.0595225915312767,0.0595225915312767,0.0595225915312767,human
FABP5,0.059515874832868576,0.059515874832868576,0.059515874832868576,0.059515874832868576,human
CCT3,0.05711566284298897,0.05711566284298897,0.05711566284298897,0.05711566284298897,human
YWHAG,0.05689254775643349,0.05689254775643349,0.05689254775643349,0.05689254775643349,human
CSRP2,0.055835507810115814,0.055835507810115814,0.055835507810115814,0.055835507810115814,human
PGAM1,0.055397000163793564,0.055397000163793564,0.055397000163793564,0.055397000163793564,human
FAU,0.054913230240345,0.054913230240345,0.054913230240345,0.054913230240345,human
C1QBP,0.05450531840324402,0.05450531840324402,0.05450531840324402,0.05450531840324402,human
NGFRAP1,0.05444040149450302,0.05444040149450302,0.05444040149450302,0.05444040149450302,human
SNRPG,0.05394195392727852,0.05394195392727852,0.05394195392727852,0.05394195392727852,human
SH3KBP1,0.05319339409470558,0.05319339409470558,0.05319339409470558,0.05319339409470558,human
NDUFA4,0.05251343920826912,0.05251343920826912,0.05251343920826912,0.05251343920826912,human
PABPC4,0.05121761932969093,0.05121761932969093,0.05121761932969093,0.05121761932969093,human
DBI,0.04952346533536911,0.04952346533536911,0.04952346533536911,0.04952346533536911,human
H2AFZ,0.04934566468000412,0.04934566468000412,0.04934566468000412,0.04934566468000412,human
PRDX4,0.049207862466573715,0.049207862466573715,0.049207862466573715,0.049207862466573715,human
HSPA8,0.048889290541410446,0.048889290541410446,0.048889290541410446,0.048889290541410446,human
HN1,0.04871871694922447,0.04871871694922447,0.04871871694922447,0.04871871694922447,human
TMEM14B,0.0483572818338871,0.0483572818338871,0.0483572818338871,0.0483572818338871,human
GLRX5,0.047966498881578445,0.047966498881578445,0.047966498881578445,0.047966498881578445,human
HSPE1,0.04756765440106392,0.04756765440106392,0.04756765440106392,0.04756765440106392,human
HMGN1,0.04670114442706108,0.04670114442706108,0.04670114442706108,0.04670114442706108,human
RPL34,0.04631797596812248,0.04631797596812248,0.04631797596812248,0.04631797596812248,human
UBA52,0.045662373304367065,0.045662373304367065,0.045662373304367065,0.045662373304367065,human
AMD1,0.04526747018098831,0.04526747018098831,0.04526747018098831,0.04526747018098831,human
NDUFS6,0.045180823653936386,0.045180823653936386,0.045180823653936386,0.045180823653936386,human
TALDO1,0.045179255306720734,0.045179255306720734,0.045179255306720734,0.045179255306720734,human
CBWD1,0.04479912668466568,0.04479912668466568,0.04479912668466568,0.04479912668466568,human
MRPS24,0.04464273899793625,0.04464273899793625,0.04464273899793625,0.04464273899793625,human
TRMT112,0.04447691887617111,0.04447691887617111,0.04447691887617111,0.04447691887617111,human
SNRPF,0.044361624866724014,0.044361624866724014,0.044361624866724014,0.044361624866724014,human
OST4,0.044179417192935944,0.044179417192935944,0.044179417192935944,0.044179417192935944,human
DDX39A,0.04415539279580116,0.04415539279580116,0.04415539279580116,0.04415539279580116,human
SEC31B,0.04384424537420273,0.04384424537420273,0.04384424537420273,0.04384424537420273,human
C1orf43,0.04359360411763191,0.04359360411763191,0.04359360411763191,0.04359360411763191,human
CKMT1A,0.04329952597618103,0.04329952597618103,0.04329952597618103,0.04329952597618103,human
HSPA5,0.04298939183354378,0.04298939183354378,0.04298939183354378,0.04298939183354378,human
UCHL3,0.04258501157164574,0.04258501157164574,0.04258501157164574,0.04258501157164574,human
DAD1,0.04217212274670601,0.04217212274670601,0.04217212274670601,0.04217212274670601,human
SEC13,0.041902702301740646,0.041902702301740646,0.041902702301740646,0.041902702301740646,human
BOLA2B,0.041554998606443405,0.041554998606443405,0.041554998606443405,0.041554998606443405,human
RBBP7,0.04151279479265213,0.04151279479265213,0.04151279479265213,0.04151279479265213,human
UBL5,0.04049195721745491,0.04049195721745491,0.04049195721745491,0.04049195721745491,human
HSP90AA1,0.04027292877435684,0.04027292877435684,0.04027292877435684,0.04027292877435684,human
SF3B5,0.04019903764128685,0.04019903764128685,0.04019903764128685,0.04019903764128685,human
RPS25,0.03997638449072838,0.03997638449072838,0.03997638449072838,0.03997638449072838,human
TBCA,0.03971007838845253,0.03971007838845253,0.03971007838845253,0.03971007838845253,human
LAPTM4B,0.039701610803604126,0.039701610803604126,0.039701610803604126,0.039701610803604126,human
MRPL37,0.039232999086380005,0.039232999086380005,0.039232999086380005,0.039232999086380005,human
HIST1H2BK,0.03909089043736458,0.03909089043736458,0.03909089043736458,0.03909089043736458,human
TSPAN13,0.03902049362659454,0.03902049362659454,0.03902049362659454,0.03902049362659454,human
ARL6IP5,0.038900651037693024,0.038900651037693024,0.038900651037693024,0.038900651037693024,human
SLC25A5,0.03837746009230614,0.03837746009230614,0.03837746009230614,0.03837746009230614,human
TOMM6,0.03819316625595093,0.03819316625595093,0.03819316625595093,0.03819316625595093,human
NDUFA3,0.038128748536109924,0.038128748536109924,0.038128748536109924,0.038128748536109924,human
C20orf24,0.03761231154203415,0.03761231154203415,0.03761231154203415,0.03761231154203415,human
ATP5I,0.03743831440806389,0.03743831440806389,0.03743831440806389,0.03743831440806389,human
PTMA,0.03735499083995819,0.03735499083995819,0.03735499083995819,0.03735499083995819,human
UBE2S,0.03699973225593567,0.03699973225593567,0.03699973225593567,0.03699973225593567,human
LSM7,0.03673883154988289,0.03673883154988289,0.03673883154988289,0.03673883154988289,human
ATP6V0B,0.03596942499279976,0.03596942499279976,0.03596942499279976,0.03596942499279976,human
MORF4,0.03579706326127052,0.03579706326127052,0.03579706326127052,0.03579706326127052,human
MYL12B,0.035754356533288956,0.035754356533288956,0.035754356533288956,0.035754356533288956,human
GABARAP,0.03542511910200119,0.03542511910200119,0.03542511910200119,0.03542511910200119,human
C14orf2,0.035221438854932785,0.035221438854932785,0.035221438854932785,0.035221438854932785,human
TMEM258,0.035186488181352615,0.035186488181352615,0.035186488181352615,0.035186488181352615,human
UQCRFS1,0.03515798598527908,0.03515798598527908,0.03515798598527908,0.03515798598527908,human
ATP5L,0.03497837856411934,0.03497837856411934,0.03497837856411934,0.03497837856411934,human
PFN1,0.034957755357027054,0.034957755357027054,0.034957755357027054,0.034957755357027054,human
PFDN2,0.03481093794107437,0.03481093794107437,0.03481093794107437,0.03481093794107437,human
COX7A2,0.03476850315928459,0.03476850315928459,0.03476850315928459,0.03476850315928459,human
ACTG1,0.03451753407716751,0.03451753407716751,0.03451753407716751,0.03451753407716751,human
MT2A,0.03450745716691017,0.03450745716691017,0.03450745716691017,0.03450745716691017,human
HIST2H2AA4,0.034310631453990936,0.034310631453990936,0.034310631453990936,0.034310631453990936,human
