gene_symbol,logfc_dz:791,logfc_dz:792,logfc_dz:793,mean_logfc,median_logfc,common_experiment,organism
SH3KBP1,0.1702200323343277,0.10010504722595215,0.0802692398428917,0.11686477313439052,0.10010504722595215,0.10010504722595215,human
HLA-A,0.13190898299217224,-0.012226858176290989,0.09915071725845337,0.07294428069144487,0.09915071725845337,-0.012226858176290989,human
HBG2,0.1313805729150772,0.17817839980125427,0.19400593638420105,0.16785496970017752,0.17817839980125427,0.17817839980125427,human
HLA-DPB1,0.12798185646533966,,0.06683830171823502,0.09741007909178734,0.09741007909178734,,human
HLA-DRB4,0.12078437209129333,-0.02729654684662819,0.0945746898651123,0.06268750503659248,0.0945746898651123,-0.02729654684662819,human
HBD,0.12034660577774048,0.2439170628786087,0.09587724506855011,0.15338030457496643,0.12034660577774048,0.2439170628786087,human
VCAM1,0.1144518181681633,0.04082827642560005,-0.029458504170179367,0.041940530141194664,0.04082827642560005,0.04082827642560005,human
IL1B,0.11366520822048187,-0.029037360101938248,-0.05317150428891182,0.010485447943210602,-0.029037360101938248,-0.029037360101938248,human
ND2,0.11300104856491089,0.10979689657688141,0.15467898547649384,0.1258256435394287,0.11300104856491089,0.10979689657688141,human
HLA-DRB1,0.1061851978302002,-0.03325526788830757,0.08029891550540924,0.05107628181576729,0.08029891550540924,-0.03325526788830757,human
DCAF6,0.1018991768360138,0.03891735151410103,0.018838172778487206,0.05321823370953401,0.03891735151410103,0.03891735151410103,human
HLA-B,0.09290879219770432,0.03436404466629028,0.09485657513141632,0.07404313733180364,0.09290879219770432,0.03436404466629028,human
RPS4Y1,0.0912875384092331,-0.10826820135116577,-0.09022411704063416,-0.035734926660855613,-0.09022411704063416,-0.10826820135116577,human
B2M,0.09041868150234222,,0.04564118757843971,0.06802993454039097,0.06802993454039097,,human
HLA-DRB5,0.08903632313013077,-0.03949005529284477,0.08612802624702454,0.04522476469477018,0.08612802624702454,-0.03949005529284477,human
PPBP,0.08717376738786697,-0.012454685755074024,0.07771092653274536,0.050810002721846104,0.07771092653274536,-0.012454685755074024,human
FTL,0.08606195449829102,0.0692109540104866,-0.020685773342847824,0.044862378388643265,0.0692109540104866,0.0692109540104866,human
IFITM2,0.06983458250761032,0.06399527937173843,0.12063666433095932,0.08482217540343602,0.06983458250761032,0.06399527937173843,human
COX2,0.0642499327659607,0.16345177590847015,0.1584223508834839,0.12870801985263824,0.1584223508834839,0.16345177590847015,human
HLA-C,0.06296447664499283,0.01522048283368349,0.06485328078269958,0.04767941342045864,0.06296447664499283,0.01522048283368349,human
NFKBIZ,0.0575578510761261,,,0.0575578510761261,0.0575578510761261,,human
RPS26,0.05714191123843193,0.03703644499182701,-0.05562853813171387,0.012849939366181692,0.03703644499182701,0.03703644499182701,human
HIST1H4C,0.05681727081537247,0.01211581751704216,-0.09603298455476761,-0.009033298740784327,0.01211581751704216,0.01211581751704216,human
HBB,0.055594876408576965,0.1691802740097046,0.019311945885419846,0.08136236543456714,0.055594876408576965,0.1691802740097046,human
CSF2RB,0.05464319512248039,0.032153185456991196,0.04102393984794617,0.042606773475805916,0.04102393984794617,0.032153185456991196,human
LMO2,0.05388925224542618,0.03372011333703995,0.04359283298254013,0.04373406618833542,0.04359283298254013,0.03372011333703995,human
CD69,0.05349097400903702,-0.0326414592564106,-0.03259463235735893,-0.003915039201577504,-0.03259463235735893,-0.0326414592564106,human
HMOX1,0.05160271376371384,,-0.023462258279323578,0.01407022774219513,0.01407022774219513,,human
SAT1,0.05103539302945137,,,0.05103539302945137,0.05103539302945137,,human
