gene_symbol,logfc_dz:576,logfc_dz:575,logfc_dz:579,logfc_dz:580,logfc_dz:578,logfc_dz:577,logfc_dz:574,mean_logfc,median_logfc,common_experiment,organism
FAM154B,0.26802733540534973,-0.02795112133026123,0.02538493275642395,-0.039114151149988174,,,,0.05658674892038107,-0.0012830942869186401,-0.039114151149988174,human
RNF182,0.2015206664800644,-0.04811055213212967,0.027617011219263077,,0.04225033521652222,0.02672444097697735,,0.050000380352139474,0.027617011219263077,,human
IL1B,0.13563530147075653,0.0880974680185318,,0.05268324166536331,0.04603360965847969,0.11459212005138397,0.034817080944776535,0.0786431369682153,0.07039035484194756,0.05268324166536331,human
HBG2,0.12707999348640442,-0.0560331866145134,0.025086505338549614,-0.025933345779776573,0.048077136278152466,0.025508027523756027,0.12459166347980499,0.03833954195891108,0.025508027523756027,-0.025933345779776573,human
PF4V1,0.11363693326711655,0.04404078423976898,0.10519078373908997,0.04269147291779518,0.10111090540885925,0.023456372320652008,0.03121533803641796,0.06590608427567142,0.04404078423976898,0.04269147291779518,human
CXCL3,0.10872966796159744,0.10358137637376785,,0.05146196484565735,0.024537421762943268,0.08291255682706833,0.01940014399588108,0.06510385529448588,0.06718726083636284,0.05146196484565735,human
TMEM255B,0.10336063802242279,,,,0.04298785328865051,,,0.07317424565553665,0.07317424565553665,,human
APOBEC3B,0.09760883450508118,,0.12037841975688934,,0.08381187170743942,0.07267294079065323,0.1761160045862198,0.11011761426925659,0.09760883450508118,,human
CCL3L3,0.0894121378660202,0.09076453000307083,,0.049639105796813965,0.03416196256875992,0.12633511424064636,,0.07806257009506226,0.0894121378660202,0.049639105796813965,human
FAM118A,0.08866546303033829,-0.07508973777294159,,-0.01804943196475506,-0.052814990282058716,0.01593019999563694,0.07805062085390091,0.006115353976686795,-0.0010596159845590591,-0.01804943196475506,human
SIGLEC1,0.0874575674533844,0.0390348955988884,,,0.02391902543604374,0.05794524773955345,0.02355697751045227,0.04638274274766445,0.0390348955988884,,human
NFKBIA,0.08339322358369827,0.04005051776766777,0.024751096963882446,0.024720309302210808,0.0349184013903141,0.06829994916915894,,0.04602224969615539,0.037484459578990936,0.024720309302210808,human
LOC100289251,0.07992181926965714,0.03552221134305,0.029516883194446564,0.02712288312613964,0.03189714625477791,0.0645514503121376,,0.04475539891670147,0.033709678798913956,0.02712288312613964,human
CXCL8,0.0742439478635788,0.02805352956056595,0.040162451565265656,0.09747540950775146,0.06857188045978546,0.09018401801586151,0.05112316831946373,0.06425920075603894,0.06857188045978546,0.09747540950775146,human
LINC00954,0.07250168919563293,,,,,,,0.07250168919563293,0.07250168919563293,,human
G0S2,0.07162906229496002,,0.08691199868917465,0.09106654673814774,0.07806993275880814,0.08162811398506165,0.03831925243139267,0.0746041511495908,0.07984902337193489,0.09106654673814774,human
ABCG2,0.0626751109957695,,,,,,,0.0626751109957695,0.0626751109957695,,human
LOC100505946,0.06252015382051468,,0.017348378896713257,,,-0.03857027366757393,,0.013766086349884668,0.017348378896713257,,human
TNF,0.057531360536813736,0.08335358649492264,,,,0.07609143108129501,,0.07232545937101047,0.07609143108129501,,human
HBD,0.05642178654670715,-0.11517612636089325,-0.028605837374925613,-0.06791676580905914,-0.048680584877729416,-0.03470312058925629,0.15170572698116302,-0.012422131640570504,-0.03470312058925629,-0.06791676580905914,human
GYPB,0.05590656399726868,-0.04575319215655327,,-0.01834075152873993,,,,-0.0027291265626748404,-0.01834075152873993,-0.01834075152873993,human
EGF,0.05330001562833786,0.0199106577783823,0.056539151817560196,0.030375845730304718,0.04742485657334328,0.028570398688316345,0.02969583123922348,0.03797382249363831,0.030375845730304718,0.030375845730304718,human
LOC100507397,0.05318969860672951,,,-0.029129449278116226,-0.027841130271553993,-0.04211334511637688,,-0.011473556514829397,-0.02848528977483511,-0.029129449278116226,human
LPAR4,0.05128627270460129,0.025331374257802963,0.04023779556155205,,0.03164009377360344,0.03298953175544739,,0.03629701361060143,0.03298953175544739,,human
TRBV27,0.05096956342458725,0.03117534890770912,0.041991885751485825,,0.07111766934394836,0.03192868456244469,0.02925148978829384,0.04273910696307818,0.036960285156965256,,human
ZFP57,0.04938316345214844,-0.024003252387046814,0.01897306926548481,,-0.022943662479519844,-0.03913871571421623,-0.01605820842087269,-0.005631267714003722,-0.019500935450196266,,human
CXCL2,0.049110885709524155,0.022342344745993614,,0.031523387879133224,,0.028318824246525764,,0.03282386064529419,0.029921106062829494,0.031523387879133224,human
SCGB1C1,0.04846656695008278,,0.02625242993235588,0.040347497910261154,0.02190503664314747,,0.022576455026865005,0.03190959729254246,0.02625242993235588,0.040347497910261154,human
HBA2,0.04844292998313904,-0.04628763720393181,,-0.025675438344478607,,,0.057343412190675735,0.00845581665635109,0.011383745819330215,-0.025675438344478607,human
MLH3,0.047721948474645615,0.02745855785906315,0.04316169023513794,,0.02099098451435566,,,0.03483329527080059,0.035310124047100544,,human
DAGLB,0.046418458223342896,,,,,,,0.046418458223342896,0.046418458223342896,,human
HIST1H2BG,0.045968398451805115,0.026023833081126213,0.01858852617442608,0.05147484317421913,0.0393180325627327,,0.03528057038784027,0.03610903397202492,0.037299301475286484,0.05147484317421913,human
LOC100506979,0.04455418884754181,0.03687332943081856,0.037592001259326935,0.033512674272060394,0.04742581769824028,,0.054541148245334625,0.042416526625553765,0.04107309505343437,0.033512674272060394,human
CA2,0.04389188066124916,0.017129888758063316,0.04161887243390083,0.033895935863256454,0.03641049191355705,0.023003539070487022,,0.032658434783418976,0.035153213888406754,0.033895935863256454,human
GRB14,0.04299875721335411,,0.056576453149318695,,0.02213936485350132,0.031296297907829285,,0.03825271828100085,0.0371475275605917,,human
LINC01342,0.04260703921318054,,,,,,,0.04260703921318054,0.04260703921318054,,human
LOC100288438,0.04243818670511246,,,,,,,0.04243818670511246,0.04243818670511246,,human
PPP1R15A,0.04219230264425278,0.02501402236521244,0.024319402873516083,0.030622703954577446,0.0256149023771286,0.04731067270040512,0.025469861924648285,0.031506266977105825,0.0256149023771286,0.030622703954577446,human
P2RX1,0.041634708642959595,-0.015345524065196514,0.021270522847771645,,,,,0.015853235808511574,0.021270522847771645,,human
IER3,0.041456956416368484,0.0364435538649559,,,,0.022725457325577736,,0.033541989202300705,0.0364435538649559,,human
LOC286367,0.03935065492987633,,,,,,,0.03935065492987633,0.03935065492987633,,human
