gene_symbol,logfc_dz:1029,logfc_dz:1030,logfc_dz:1032,logfc_dz:1038,logfc_dz:1028,logfc_dz:1026,logfc_dz:1027,logfc_dz:1024,logfc_dz:1022,logfc_dz:1023,logfc_dz:464,logfc_dz:1035,logfc_dz:1025,logfc_dz:1021,logfc_dz:1041,logfc_dz:1036,logfc_dz:1037,logfc_dz:1039,logfc_dz:1040,logfc_dz:1033,logfc_dz:1034,mean_logfc,median_logfc,common_experiment,organism
CLC,0.2494889795780182,-0.034187834709882736,-0.07388608157634735,-0.060832276940345764,-0.048971034586429596,-0.06439430266618729,0.011268408969044685,0.1263560652732849,0.194883793592453,-0.021482784301042557,0.06397228688001633,,,,,,,,,,,0.031110474501143803,-0.021482784301042557,,human
CFD,0.21996332705020905,0.031770531088113785,-0.051035378128290176,,-0.031403183937072754,-0.021958302706480026,0.029961124062538147,-0.19095532596111298,0.021458670496940613,-0.0782264918088913,0.13359422981739044,-0.01922515034675598,0.18187007308006287,-0.05694567784667015,,,,,,,,0.012989880373844733,-0.01922515034675598,-0.01922515034675598,human
PF4,0.18540741503238678,0.06956029683351517,-0.06785722821950912,0.1020444929599762,0.08069328963756561,,0.05182440206408501,-0.09302413463592529,-0.018359459936618805,0.010106903500854969,0.05889715999364853,,0.09144122153520584,-0.06248864904046059,,,,,,,,0.03402047581039369,0.05536078102886677,,human
RGS18,0.15222150087356567,0.0684078112244606,-0.04014540836215019,,0.022921159863471985,-0.01581459306180477,,-0.03779976814985275,-0.015314210206270218,0.016042344272136688,,,,-0.07711330056190491,,,,,,,,0.008156170654628012,-0.015314210206270218,,human
OST4,0.13151301443576813,0.060554489493370056,-0.048325855284929276,-0.0235446784645319,,0.013271117582917213,0.06591679155826569,,0.026699688285589218,-0.0721273422241211,-0.037500910460948944,,,,,,,,,,,0.0129395905468199,0.013271117582917213,,human
PPBP,0.12923014163970947,0.0879727378487587,-0.047503627836704254,0.0526755228638649,0.07704794406890869,0.02912243828177452,0.05386267229914665,-0.07907474786043167,,,0.06421899050474167,,0.09202609956264496,-0.04857180267572403,,,,,,,,0.03736421533606269,0.05386267229914665,,human
GZMB,0.12221751362085342,,-0.023623773828148842,-0.00839873868972063,0.05481322854757309,0.013814563862979412,0.05706406384706497,0.03609485924243927,0.02774658054113388,0.03355267271399498,0.09856557846069336,,-0.022766277194023132,0.0513211265206337,,,,,,,,0.03670011647045612,0.034823765978217125,,human
LGALS1,0.11819813400506973,,-0.09168288856744766,-0.027590736746788025,-0.06868556886911392,-0.06069101020693779,0.011897997930645943,0.0552394725382328,,-0.11249677836894989,-0.07731582969427109,,-0.03013552352786064,-0.04034152999520302,-0.041947588324546814,-0.052012860774993896,,,,,,-0.03212036235401264,-0.041947588324546814,,human
RPL8,0.11158706247806549,0.03554192930459976,,-0.05982883274555206,0.015043972991406918,0.04122896492481232,0.023884743452072144,0.18160787224769592,0.10349685698747635,,0.11707991361618042,,0.03261292725801468,-0.059259623289108276,,-0.07132024317979813,-0.016156671568751335,-0.0299544595181942,,,,0.030397458068494285,0.02824883535504341,,human
PRF1,0.10612185299396515,0.03658292815089226,0.07287346571683884,-0.030683211982250214,0.03577237203717232,,0.10469160228967667,0.08783402293920517,0.01734023168683052,0.030631856992840767,0.06784975528717041,,-0.044327639043331146,0.01633911207318306,,,,,,,,0.041752195761849485,0.03617765009403229,,human
NKG7,0.10547886043787003,-0.03890061005949974,0.08070783317089081,-0.13035385310649872,0.0649828389286995,0.02050536498427391,0.07669157534837723,0.15786798298358917,0.02955373376607895,0.031871646642684937,0.03936147689819336,,-0.07651059329509735,0.05525023862719536,,,,,,,,0.03203896117898134,0.03936147689819336,,human
RPL35,0.09573817998170853,0.049334876239299774,-0.08656983077526093,-0.0393650084733963,-0.017663637176156044,0.014246485196053982,0.013605767861008644,0.025859426707029343,0.061829280108213425,-0.021487228572368622,,,,0.015589735470712185,0.043974194675683975,-0.021287914365530014,-0.015484865754842758,0.016497986391186714,0.02382359467446804,,,0.009915065136738122,0.014918110333383083,,human
FAU,0.09481777995824814,-0.03273853659629822,-0.054802048951387405,-0.10649549216032028,-0.012236401438713074,,-0.052657462656497955,0.044843707233667374,0.019099129363894463,-0.039521653205156326,-0.06391105055809021,,0.01490851491689682,,0.027665086090564728,,,,,,,-0.013419035666932663,-0.022487469017505646,,human
HLA-DQA2,0.08935598284006119,0.026231100782752037,-0.01407594047486782,-0.018865900114178658,,-0.07111439108848572,0.017443466931581497,-0.049408845603466034,,-0.02514600194990635,-0.03002106584608555,,-0.030767079442739487,,,,,,,,,-0.01063686739653349,-0.022005951032042503,,human
GNLY,0.08083713799715042,0.0838661715388298,0.06553367525339127,-0.1338314712047577,,0.10836219787597656,0.025219270959496498,0.014958555810153484,0.04709290713071823,0.07656635344028473,0.10934173315763474,,,0.04141833633184433,,,,,,,,0.04721498802642931,0.06553367525339127,,human
S100A12,0.07728452980518341,,0.11088627576828003,,-0.01644047535955906,-0.12249299138784409,0.0973467156291008,0.021464720368385315,-0.016210969537496567,-0.16984252631664276,0.07275863736867905,,-0.03564583137631416,0.12915249168872833,,,,,,,,0.013478234240954573,0.021464720368385315,,human
IGJ,0.0763128325343132,0.0269879512488842,,0.03324190899729729,-0.033675871789455414,0.04869500547647476,0.0311927180737257,-0.021401962265372276,-0.03785328567028046,,0.05143612250685692,0.0198377575725317,,0.044724803417921066,,,,,,-0.03070734068751335,-0.03383287042379379,0.013458289922429966,0.0269879512488842,0.0198377575725317,human
NRGN,0.07568875700235367,0.024249158799648285,-0.06974910944700241,,-0.022133564576506615,0.017819778993725777,0.04435919225215912,-0.023197412490844727,-0.029646795243024826,,,,0.09696048498153687,-0.12085781991481781,,,,,,,,-0.0006507329642772674,-0.002156892791390419,,human
LTA4H,0.07553869485855103,0.09284627437591553,-0.06377847492694855,,-0.024847563356161118,-0.07767284661531448,0.013657178729772568,-0.023859785869717598,-0.01918969489634037,-0.02115320973098278,,,-0.03949940949678421,-0.08160589635372162,,,0.02541356347501278,,,,,-0.012012597483893236,-0.02250649780035019,,human
CD14,0.07458462566137314,-0.027008427307009697,-0.04545317962765694,-0.016995854675769806,0.012200404889881611,-0.04829149320721626,-0.13177216053009033,-0.021679505705833435,-0.09043125063180923,-0.019317902624607086,-0.015722062438726425,,-0.05055973678827286,-0.024964137002825737,,,,,,,,-0.03118543692219716,-0.024964137002825737,,human
SPON2,0.073951356112957,,0.051177166402339935,,0.03443102166056633,,0.05996188148856163,0.07824353873729706,0.0432390533387661,0.014334532432258129,0.08569920063018799,,0.01721063069999218,0.03519493713974953,,,,,,,,0.049344331864267586,0.04720810987055302,,human
ITGB2,0.07289201021194458,0.03474223241209984,0.08654654026031494,,-0.08004231005907059,-0.019406797364354134,0.07782050222158432,-0.020360218361020088,-0.04844224825501442,,,,-0.021136052906513214,-0.012640291824936867,,,,0.023267144337296486,,,,0.008476410061120987,-0.012640291824936867,,human
BASP1,0.07288598269224167,,0.08212936669588089,-0.03655880317091942,-0.051455307751894,-0.09834622591733932,-0.027821218594908714,0.025777751579880714,-0.048670705407857895,-0.03521955758333206,0.021137753501534462,,-0.07152596116065979,0.04466542601585388,-0.04313810169696808,,,0.14982245862483978,-0.03300534188747406,,,-0.003288165604074796,-0.03300534188747406,,human
KLRB1,0.06835728883743286,0.029888805001974106,,-0.016524648293852806,0.055835284292697906,,,0.07298307865858078,0.02957165800035,0.0148529764264822,,,-0.02327057346701622,0.013169785961508751,,,,,,,,0.02720707282423973,0.02957165800035,,human
FCN1,0.0674469918012619,0.02461310476064682,,-0.015414929017424583,-0.15757210552692413,-0.06238236650824547,-0.0833103284239769,0.03116806037724018,-0.12799908220767975,0.009443470276892185,-0.05808785557746887,,,-0.10211989283561707,,,,,,,,-0.043110448443754154,-0.05808785557746887,,human
PFDN5,0.06724560260772705,0.11013868451118469,-0.08382849395275116,-0.015061798505485058,0.015593905933201313,0.043384332209825516,0.024660605937242508,0.030112579464912415,0.05975252389907837,-0.012927562929689884,0.04843275621533394,,,0.026869583874940872,0.02645004726946354,,,0.03887098655104637,,,,0.02712098236328789,0.028491081669926643,,human
C4orf46,0.06703728437423706,0.016490356996655464,-0.04023374244570732,-0.01806921325623989,0.02746773697435856,0.07240621745586395,-0.022961365059018135,,0.03479539230465889,-0.011665458790957928,,,0.018153851851820946,0.04158319532871246,,,,,,,,0.016818568703125824,0.018153851851820946,,human
TYROBP,0.057792194187641144,-0.03467310965061188,-0.07672016322612762,-0.02249436266720295,-0.04361690208315849,-0.07272204756736755,-0.09764830768108368,0.042341090738773346,-0.04544050246477127,-0.08563899248838425,-0.035042837262153625,,-0.0997486263513565,0.0560431070625782,,,,,,,,-0.03519765072717117,-0.04361690208315849,,human
IL2RB,0.05710931122303009,,0.059112679213285446,-0.013803503476083279,0.031338177621364594,,0.07063501328229904,0.07472525537014008,0.015818532556295395,0.030775291845202446,0.05752985179424286,,,,,,,,,,,0.04258228993664185,0.05710931122303009,,human
TGFBI,0.05661185830831528,,-0.03643155097961426,-0.01029413752257824,,-0.020501621067523956,-0.018113506957888603,,-0.01570684090256691,,,,0.039244815707206726,-0.04018634557723999,,-0.14809228479862213,,,,-0.030485698953270912,-0.0327589325606823,-0.0233376586640423,-0.020501621067523956,,human
ALOX5AP,0.05628545954823494,0.12639853358268738,-0.07509882003068924,-0.012664991430938244,0.04373559728264809,0.022304708138108253,-0.026539983227849007,-0.04748532921075821,-0.050836823880672455,0.09860458970069885,0.07221758365631104,,-0.041854243725538254,,,,,,,,,0.013755523366853595,0.004819858353585005,,human
NAGK,0.055847831070423126,,-0.05349985510110855,-0.022118527442216873,,-0.017613375559449196,-0.07328319549560547,0.05240771919488907,-0.029328882694244385,-0.031307484954595566,-0.01283513754606247,,-0.026711948215961456,-0.014276232570409775,,-0.01794949360191822,,,,,,-0.01588904857635498,-0.020034010522067547,,human
GZMH,0.05562334135174751,-0.027233794331550598,,-0.04676561430096626,0.011445031501352787,0.029835235327482224,0.030317455530166626,0.021331697702407837,-0.01884501613676548,0.013108559884130955,-0.05805562064051628,,-0.06939356029033661,0.07696414738893509,,,,,,,,0.0015276552488406499,0.012276795692741871,,human
RPL12,0.05401642993092537,0.0963643416762352,-0.07898680865764618,-0.03585638850927353,,0.03276056796312332,,0.0839005708694458,0.014420753344893456,-0.015594889409840107,,,0.04058532789349556,-0.06129787117242813,0.05068551376461983,-0.022653650492429733,,0.02794000692665577,0.04295595735311508,,,0.016374275820063695,0.030350287444889545,,human
GPX1,0.05400721728801727,0.01375068910419941,-0.05399711802601814,-0.07622703164815903,-0.013066833838820457,-0.027113519608974457,-0.01906036026775837,,,-0.08509837090969086,-0.026000475510954857,,,-0.021222280338406563,,,,,,,,-0.025402808375656605,-0.02361137792468071,,human
CSTA,0.053492240607738495,,-0.027908407151699066,-0.009305079467594624,-0.05417615547776222,-0.02479536458849907,-0.025707418099045753,0.018630849197506905,-0.02972109615802765,-0.010835873894393444,-0.02951769530773163,-0.04201725870370865,-0.016727346926927567,0.021044915542006493,,,,,,0.019404198974370956,,-0.011295677960983344,-0.020761355757713318,-0.04201725870370865,human
HLA-DRB5,0.0530143678188324,0.03162708505988121,0.1101759821176529,-0.0756448432803154,-0.10883761197328568,-0.06669331341981888,0.12918472290039062,-0.07324262708425522,-0.10233297944068909,-0.07640927284955978,-0.08019451051950455,,-0.09546872228384018,,,,,,,,,-0.02956847691287597,-0.07444373518228531,,human
RPL24,0.05240854248404503,0.01751646213233471,-0.04777039214968681,-0.05179129168391228,,0.04862835258245468,,0.06043024733662605,0.06104959920048714,-0.02611493691802025,,,0.02402535453438759,,,,,,,,,0.015375770835412873,0.02402535453438759,,human
RPL36A,0.052215300500392914,0.1013663187623024,-0.05645875632762909,-0.028995949774980545,-0.04298447072505951,0.07572299987077713,0.03758351132273674,0.024647409096360207,0.07386552542448044,-0.04727044329047203,,,0.0375758595764637,0.0209368746727705,,,,,,,,0.020683681592345238,0.031111634336411953,,human
FGFBP2,0.05172959342598915,,,-0.02179209142923355,0.027509739622473717,,0.045342620462179184,0.02508491463959217,0.019944380968809128,0.017452828586101532,0.016023674979805946,,-0.043203629553318024,0.05465899407863617,,,,,,,,0.019275102578103543,0.02251464780420065,,human
KLRF1,0.051475271582603455,,0.03268760070204735,-0.01053671259433031,0.02295599691569805,,0.04168977588415146,0.04091532900929451,0.02852769009768963,0.012666075490415096,0.04696771875023842,,,,,,,,,,,0.02970541620420085,0.03268760070204735,,human
EEF1B2,0.05118725076317787,-0.017976075410842896,-0.06495530158281326,-0.011597317643463612,0.059056758880615234,0.016555625945329666,0.02884163334965706,-0.05702473223209381,0.058111824095249176,-0.018616458401083946,,,0.036286789923906326,0.028682155534625053,,,,,,,,0.009046012768521905,0.02261889073997736,,human
RPS23,0.051028069108724594,0.015273064374923706,-0.04564153403043747,-0.009635544382035732,,,0.025254713371396065,0.06347982585430145,0.021959451958537102,0.010852552019059658,0.026640912517905235,,-0.0222212802618742,-0.019415434449911118,0.04252232611179352,,,0.018262311816215515,0.03158906474709511,,,0.014996321339692389,0.02011088188737631,,human
CFP,0.04974491894245148,,-0.04098955914378166,,-0.04055926576256752,,-0.01820341683924198,-0.01627800613641739,-0.0336957685649395,,,,0.017030838876962662,-0.03400886803865433,,,,,,,,-0.01461989083327353,-0.02594959270209074,,human
HCST,0.04915965348482132,-0.01384861022233963,-0.0271141417324543,-0.03232111781835556,-0.01431430783122778,,-0.014636545442044735,0.04195129871368408,0.04781579598784447,-0.036159317940473557,-0.033724188804626465,-0.022535886615514755,-0.0430612750351429,0.03629198297858238,,,,,,,,-0.00480743540594211,-0.014636545442044735,-0.022535886615514755,human
CCL4,0.04709906131029129,,0.03266124054789543,-0.010730593465268612,0.0366995595395565,0.01741647906601429,0.03851017355918884,0.029669150710105896,0.03323652222752571,0.014397692866623402,0.04822836443781853,,,0.02016589418053627,,,,,,-0.02303556725382805,,0.023693164810538292,0.031165195629000664,,human
LST1,0.04581116512417793,0.03498871996998787,,,,,,-0.016231046989560127,-0.02652137540280819,-0.014035077765583992,,,,0.03434198722243309,,,,,,,,0.009725728693107763,0.010153454728424549,,human
RPS14P3,0.04561933875083923,,-0.016498073935508728,,,0.02212422341108322,-0.020815394818782806,,0.023020416498184204,-0.04058567062020302,,,,0.03201289102435112,,,,,,,,0.006411104329994747,0.02212422341108322,,human
SNHG5,0.04494586959481239,0.168416827917099,-0.12459158897399902,-0.01943983882665634,-0.09333100914955139,-0.027925649657845497,-0.056489042937755585,-0.019473090767860413,-0.02856571413576603,-0.049405526369810104,-0.04072871431708336,-0.046943992376327515,-0.02153320610523224,0.06558014452457428,,,,,,,,-0.017820323684385846,-0.028245681896805763,-0.046943992376327515,human
IFI30,0.04466972127556801,0.08904192596673965,-0.042869314551353455,,-0.08674613386392593,-0.07920178771018982,-0.061883796006441116,0.021074237301945686,-0.041139498353004456,-0.06133091822266579,,,,,,,,,,,,-0.024265062684814136,-0.042869314551353455,,human
RPS5,0.04430694505572319,0.02252795919775963,-0.025070946663618088,-0.13004302978515625,0.049287453293800354,0.05644147843122482,0.029798459261655807,0.03758978843688965,0.06168777123093605,-0.02649894542992115,0.02802518755197525,,-0.01630963757634163,,,-0.019676152616739273,,,,,,0.008620486952937566,0.02802518755197525,,human
AMPD2,0.044017571955919266,,-0.023895535618066788,,-0.016007574275135994,0.01862325705587864,-0.02695586159825325,-0.03887063264846802,-0.02365211397409439,0.014414746314287186,-0.024958405643701553,,0.044706981629133224,-0.015480921603739262,,,,,,,,-0.004368953491476449,-0.016007574275135994,,human
