gene_symbol,logfc_dz:1042,logfc_dz:1043,logfc_dz:1045,mean_logfc,median_logfc,common_experiment,organism
IFI44L,0.06142538785934448,0.08856173604726791,-0.04768833890557289,0.034099595000346504,0.06142538785934448,0.06142538785934448,human
SMIM1,0.05883222073316574,-0.03186444938182831,,0.013483885675668716,0.013483885675668716,0.05883222073316574,human
GZMH,0.058260753750801086,,0.036831341683864594,0.04754604771733284,0.04754604771733284,0.058260753750801086,human
LOC642313,0.05261654034256935,,,0.05261654034256935,0.05261654034256935,0.05261654034256935,human
TUBB2A,0.049999088048934937,0.10296820849180222,-0.019650710746645927,0.04443886193136374,0.049999088048934937,0.049999088048934937,human
KLRC3,0.04157391935586929,-0.01685340143740177,,0.01236025895923376,0.01236025895923376,0.04157391935586929,human
GZMB,0.039910562336444855,0.05360009893774986,0.06636021286249161,0.05329029137889544,0.05360009893774986,0.039910562336444855,human
GNLY,0.03649350255727768,,0.04589978605508804,0.04119664430618286,0.04119664430618286,0.03649350255727768,human
FGFBP2,0.03370284661650658,,0.0576745867729187,0.04568871669471264,0.04568871669471264,0.03370284661650658,human
LOC100129103,0.03059631958603859,0.03785266354680061,0.03775998204946518,0.03540298839410146,0.03775998204946518,0.03059631958603859,human
ORM1,0.02995530143380165,0.08248143643140793,-0.029774967581033707,0.027553923428058624,0.02995530143380165,0.02995530143380165,human
TGM3,0.02925451286137104,,,0.02925451286137104,0.02925451286137104,0.02925451286137104,human
IFIT1,0.0284102950245142,0.02581021748483181,-0.0956752598285675,-0.013818249106407166,0.02581021748483181,0.0284102950245142,human
LHX4-AS1,0.027658559381961823,,,0.027658559381961823,0.027658559381961823,0.027658559381961823,human
METTL21EP,0.027547890320420265,,,0.027547890320420265,0.027547890320420265,0.027547890320420265,human
ANXA3,0.027146147564053535,0.05199358984827995,,0.039569868706166744,0.039569868706166744,0.027146147564053535,human
CPA3,0.026553643867373466,-0.032526660710573196,,-0.002986508421599865,-0.002986508421599865,0.026553643867373466,human
TKTL1,0.02596573531627655,,0.02346661686897278,0.024716176092624664,0.024716176092624664,0.02596573531627655,human
GPR25,0.025344032794237137,,,0.025344032794237137,0.025344032794237137,0.025344032794237137,human
NKG7,0.02512364275753498,0.01676720194518566,0.047472063452005386,0.029787636051575344,0.02512364275753498,0.02512364275753498,human
RSAD2,0.024633923545479774,0.03841589018702507,-0.14207589626312256,-0.026342027510205906,0.024633923545479774,0.024633923545479774,human
OVOS2,0.024569867178797722,,-0.08068965375423431,-0.028059893287718296,-0.028059893287718296,0.024569867178797722,human
DDX11L2,0.02368234656751156,0.03545200452208519,,0.029567175544798374,0.029567175544798374,0.02368234656751156,human
CCDC58,0.02364123985171318,,-0.06371725350618362,-0.020038006827235222,-0.020038006827235222,0.02364123985171318,human
MELK,0.022855017334222794,,0.018798982724547386,0.02082700002938509,0.02082700002938509,0.022855017334222794,human
PYHIN1,0.022621966898441315,0.022423457354307175,0.026673950254917145,0.023906458169221878,0.022621966898441315,0.022621966898441315,human
LOC100132741,0.022495994344353676,,,0.022495994344353676,0.022495994344353676,0.022495994344353676,human
TPM3P9,0.022359851747751236,,,0.022359851747751236,0.022359851747751236,0.022359851747751236,human
SLC35E2,0.02229536697268486,,,0.02229536697268486,0.02229536697268486,0.02229536697268486,human
TSPYL5,0.021407650783658028,,,0.021407650783658028,0.021407650783658028,0.021407650783658028,human
MX1,0.021111559122800827,0.030666237697005272,,0.02588889840990305,0.02588889840990305,0.021111559122800827,human
CHURC1,0.020927272737026215,,,0.020927272737026215,0.020927272737026215,0.020927272737026215,human
CLIC3,0.02063625678420067,0.02770407870411873,0.053516704589128494,0.03395234669248263,0.02770407870411873,0.02063625678420067,human
