gene_symbol,logfc_dz:918,logfc_dz:919,mean_logfc,median_logfc,common_experiment,organism
HBG2,0.15690240263938904,0.2415837198495865,0.19924306124448776,0.19924306124448776,0.15690240263938904,human
COL4A1,0.15409334003925323,-0.015607666224241257,0.06924283690750599,0.06924283690750599,0.15409334003925323,human
RPLP0,0.15316544473171234,-0.0632300153374672,0.044967714697122574,0.044967714697122574,0.15316544473171234,human
RPS13,0.13532638549804688,0.025198902934789658,0.08026264421641827,0.08026264421641827,0.13532638549804688,human
RPS18,0.1286678910255432,-0.03212875500321388,0.048269568011164665,0.048269568011164665,0.1286678910255432,human
RPS2,0.12793543934822083,-0.044631391763687134,0.041652023792266846,0.041652023792266846,0.12793543934822083,human
TPT1,0.11722923815250397,-0.08439239114522934,0.016418423503637314,0.016418423503637314,0.11722923815250397,human
LDHA,0.09976274520158768,0.0717976912856102,0.08578021824359894,0.08578021824359894,0.09976274520158768,human
LASP1,0.09782901406288147,-0.034119442105293274,0.0318547859787941,0.0318547859787941,0.09782901406288147,human
YBX1,0.09748678654432297,-0.04443328082561493,0.02652675285935402,0.02652675285935402,0.09748678654432297,human
KRT18,0.09404712915420532,,0.09404712915420532,0.09404712915420532,0.09404712915420532,human
H19,0.09059426188468933,-0.280221164226532,-0.09481345117092133,-0.09481345117092133,0.09059426188468933,human
GAPDH,0.08707421272993088,-0.07115843147039413,0.007957890629768372,0.007957890629768372,0.08707421272993088,human
COX2,0.07834060490131378,0.03217913210391998,0.05525986850261688,0.05525986850261688,0.07834060490131378,human
RPS8,0.07700386643409729,-0.009725043550133705,0.03363941144198179,0.03363941144198179,0.07700386643409729,human
RPLP0P6,0.07604998350143433,-0.032274890691041946,0.02188754640519619,0.02188754640519619,0.07604998350143433,human
IFITM2,0.0759376510977745,-0.0213785320520401,0.027279559522867203,0.027279559522867203,0.0759376510977745,human
COL15A1,0.07352102547883987,0.011578532867133617,0.042549779172986746,0.042549779172986746,0.07352102547883987,human
EEF1B2,0.07330764085054398,,0.07330764085054398,0.07330764085054398,0.07330764085054398,human
IFITM3,0.07120171934366226,-0.024380464106798172,0.023410627618432045,0.023410627618432045,0.07120171934366226,human
HSP90AA1,0.07060989737510681,,0.07060989737510681,0.07060989737510681,0.07060989737510681,human
OPHN1,0.06897731125354767,-0.08188173919916153,-0.0064522139728069305,-0.0064522139728069305,0.06897731125354767,human
DYNLL1,0.06672274321317673,0.01810329034924507,0.0424130167812109,0.0424130167812109,0.06672274321317673,human
RPL30,0.06398254632949829,0.017083395272493362,0.04053297080099583,0.04053297080099583,0.06398254632949829,human
RPL36A,0.061420779675245285,,0.061420779675245285,0.061420779675245285,0.061420779675245285,human
CRYAB,0.06042551249265671,-0.05488380789756775,0.0027708522975444794,0.0027708522975444794,0.06042551249265671,human
FTL,0.05927557498216629,-0.09576970338821411,-0.01824706420302391,-0.01824706420302391,0.05927557498216629,human
HSPA1A,0.059179387986660004,0.02272196114063263,0.040950674563646317,0.040950674563646317,0.059179387986660004,human
RPL13AP5,0.05908134952187538,-0.07531790435314178,-0.008118277415633202,-0.008118277415633202,0.05908134952187538,human
RPL3,0.05869155004620552,-0.04782256484031677,0.005434492602944374,0.005434492602944374,0.05869155004620552,human
RPL6,0.056161437183618546,-0.00851592980325222,0.023822753690183163,0.023822753690183163,0.056161437183618546,human
RPL11,0.05569965019822121,,0.05569965019822121,0.05569965019822121,0.05569965019822121,human
RPL41,0.05506686866283417,0.03021102398633957,0.04263894632458687,0.04263894632458687,0.05506686866283417,human
SERPINH1,0.054699912667274475,-0.023489443585276604,0.015605234540998936,0.015605234540998936,0.054699912667274475,human
CAV1,0.05273355171084404,-0.037084370851516724,0.007824590429663658,0.007824590429663658,0.05273355171084404,human
RPS3,0.05268842354416847,-0.026540949940681458,0.013073736801743507,0.013073736801743507,0.05268842354416847,human
RPS29,0.05253429338335991,0.030671386048197746,0.04160283971577883,0.04160283971577883,0.05253429338335991,human
