gene_symbol,logfc_dz:460,mean_logfc,median_logfc,common_experiment,organism
IFITM2,0.09659535437822342,0.09659535437822342,0.09659535437822342,0.09659535437822342,human
LAPTM4B,0.0911511778831482,0.0911511778831482,0.0911511778831482,0.0911511778831482,human
TXNIP,0.08324740082025528,0.08324740082025528,0.08324740082025528,0.08324740082025528,human
HLA-DRB5,0.07980264723300934,0.07980264723300934,0.07980264723300934,0.07980264723300934,human
FAM117A,0.07632286101579666,0.07632286101579666,0.07632286101579666,0.07632286101579666,human
HLA-DRB4,0.07473873347043991,0.07473873347043991,0.07473873347043991,0.07473873347043991,human
HLA-DRB1,0.07242567092180252,0.07242567092180252,0.07242567092180252,0.07242567092180252,human
IFITM1,0.06725656986236572,0.06725656986236572,0.06725656986236572,0.06725656986236572,human
GOLGA8B,0.06256967782974243,0.06256967782974243,0.06256967782974243,0.06256967782974243,human
IFITM3,0.06007937714457512,0.06007937714457512,0.06007937714457512,0.06007937714457512,human
DLK1,0.05876130983233452,0.05876130983233452,0.05876130983233452,0.05876130983233452,human
GOLGA8H,0.05864889919757843,0.05864889919757843,0.05864889919757843,0.05864889919757843,human
PTTG1IP,0.05542954429984093,0.05542954429984093,0.05542954429984093,0.05542954429984093,human
HIST1H2BK,0.053779035806655884,0.053779035806655884,0.053779035806655884,0.053779035806655884,human
HLA-G,0.05364301800727844,0.05364301800727844,0.05364301800727844,0.05364301800727844,human
HLA-B,0.05184393376111984,0.05184393376111984,0.05184393376111984,0.05184393376111984,human
HLA-C,0.051357366144657135,0.051357366144657135,0.051357366144657135,0.051357366144657135,human
HIST2H2AA4,0.0495203398168087,0.0495203398168087,0.0495203398168087,0.0495203398168087,human
GUCY1A3,0.04792661964893341,0.04792661964893341,0.04792661964893341,0.04792661964893341,human
HLA-A,0.04623094201087952,0.04623094201087952,0.04623094201087952,0.04623094201087952,human
CD37,0.0460987314581871,0.0460987314581871,0.0460987314581871,0.0460987314581871,human
HLA-E,0.04472164064645767,0.04472164064645767,0.04472164064645767,0.04472164064645767,human
CD52,0.04374169185757637,0.04374169185757637,0.04374169185757637,0.04374169185757637,human
HOPX,0.04257850721478462,0.04257850721478462,0.04257850721478462,0.04257850721478462,human
NBPF10,0.04167189821600914,0.04167189821600914,0.04167189821600914,0.04167189821600914,human
LMO2,0.04153932258486748,0.04153932258486748,0.04153932258486748,0.04153932258486748,human
NOTCH2NL,0.04136013984680176,0.04136013984680176,0.04136013984680176,0.04136013984680176,human
RPS26,0.041203055530786514,0.041203055530786514,0.041203055530786514,0.041203055530786514,human
NFE2,0.04108501225709915,0.04108501225709915,0.04108501225709915,0.04108501225709915,human
CD34,0.039818692952394485,0.039818692952394485,0.039818692952394485,0.039818692952394485,human
SOCS2,0.039391834288835526,0.039391834288835526,0.039391834288835526,0.039391834288835526,human
KIAA0125,0.03909331187605858,0.03909331187605858,0.03909331187605858,0.03909331187605858,human
TAGLN2,0.03873153030872345,0.03873153030872345,0.03873153030872345,0.03873153030872345,human
ICAM3,0.03849494829773903,0.03849494829773903,0.03849494829773903,0.03849494829773903,human
ATP8B4,0.03748684003949165,0.03748684003949165,0.03748684003949165,0.03748684003949165,human
HLA-DPB1,0.03696883097290993,0.03696883097290993,0.03696883097290993,0.03696883097290993,human
EIF4A2,0.03674378991127014,0.03674378991127014,0.03674378991127014,0.03674378991127014,human
GLYR1,0.036591872572898865,0.036591872572898865,0.036591872572898865,0.036591872572898865,human
SH3BGRL3,0.03648439049720764,0.03648439049720764,0.03648439049720764,0.03648439049720764,human
RPS9,0.03574806824326515,0.03574806824326515,0.03574806824326515,0.03574806824326515,human
RHOB,0.03572827950119972,0.03572827950119972,0.03572827950119972,0.03572827950119972,human
CYTL1,0.03545456379652023,0.03545456379652023,0.03545456379652023,0.03545456379652023,human
PAPSS1,0.035243578255176544,0.035243578255176544,0.035243578255176544,0.035243578255176544,human
HSPA1A,0.0341104231774807,0.0341104231774807,0.0341104231774807,0.0341104231774807,human
PTPN6,0.03405177965760231,0.03405177965760231,0.03405177965760231,0.03405177965760231,human
TNS3,0.033909350633621216,0.033909350633621216,0.033909350633621216,0.033909350633621216,human
FCER1A,0.03375302255153656,0.03375302255153656,0.03375302255153656,0.03375302255153656,human
MEIS1,0.03360966593027115,0.03360966593027115,0.03360966593027115,0.03360966593027115,human
TKT,0.033419109880924225,0.033419109880924225,0.033419109880924225,0.033419109880924225,human
PTPRC,0.033357489854097366,0.033357489854097366,0.033357489854097366,0.033357489854097366,human
HIST1H2AC,0.03277476876974106,0.03277476876974106,0.03277476876974106,0.03277476876974106,human
RPS2,0.0323638878762722,0.0323638878762722,0.0323638878762722,0.0323638878762722,human
PRKACB,0.03213972598314285,0.03213972598314285,0.03213972598314285,0.03213972598314285,human
HSPB1,0.03197290375828743,0.03197290375828743,0.03197290375828743,0.03197290375828743,human
IL1B,0.03191254660487175,0.03191254660487175,0.03191254660487175,0.03191254660487175,human
RPS8,0.031212778761982918,0.031212778761982918,0.031212778761982918,0.031212778761982918,human
HSD17B11,0.031025443226099014,0.031025443226099014,0.031025443226099014,0.031025443226099014,human
VWF,0.03091437928378582,0.03091437928378582,0.03091437928378582,0.03091437928378582,human
CD164,0.03090018965303898,0.03090018965303898,0.03090018965303898,0.03090018965303898,human
PTGS1,0.030816489830613136,0.030816489830613136,0.030816489830613136,0.030816489830613136,human
ELMO1,0.030757762491703033,0.030757762491703033,0.030757762491703033,0.030757762491703033,human
TPSB2,0.03051382675766945,0.03051382675766945,0.03051382675766945,0.03051382675766945,human
BEX1,0.030355961993336678,0.030355961993336678,0.030355961993336678,0.030355961993336678,human
HLA-J,0.030354319140315056,0.030354319140315056,0.030354319140315056,0.030354319140315056,human
BTN3A2,0.0293356254696846,0.0293356254696846,0.0293356254696846,0.0293356254696846,human
HSP90AB1,0.029322436079382896,0.029322436079382896,0.029322436079382896,0.029322436079382896,human
CLIC1,0.028966199606657028,0.028966199606657028,0.028966199606657028,0.028966199606657028,human
H1F0,0.028663042932748795,0.028663042932748795,0.028663042932748795,0.028663042932748795,human
PNRC2,0.02856273390352726,0.02856273390352726,0.02856273390352726,0.02856273390352726,human
HOXA10,0.02838660031557083,0.02838660031557083,0.02838660031557083,0.02838660031557083,human
TRIM22,0.02838299237191677,0.02838299237191677,0.02838299237191677,0.02838299237191677,human
NRIP1,0.02829948626458645,0.02829948626458645,0.02829948626458645,0.02829948626458645,human
FXYD5,0.027941033244132996,0.027941033244132996,0.027941033244132996,0.027941033244132996,human
NGFRAP1,0.027448158711194992,0.027448158711194992,0.027448158711194992,0.027448158711194992,human
ANXA2,0.0274148341268301,0.0274148341268301,0.0274148341268301,0.0274148341268301,human
KRT18,0.027355307713150978,0.027355307713150978,0.027355307713150978,0.027355307713150978,human
FDFT1,0.02704094536602497,0.02704094536602497,0.02704094536602497,0.02704094536602497,human
SLC35E2B,0.02679901383817196,0.02679901383817196,0.02679901383817196,0.02679901383817196,human
CLEC2B,0.02677849493920803,0.02677849493920803,0.02677849493920803,0.02677849493920803,human
H2AFY,0.026749886572360992,0.026749886572360992,0.026749886572360992,0.026749886572360992,human
HOXA5,0.026713676750659943,0.026713676750659943,0.026713676750659943,0.026713676750659943,human
ETS2,0.026593590155243874,0.026593590155243874,0.026593590155243874,0.026593590155243874,human
H2BFS,0.026311416178941727,0.026311416178941727,0.026311416178941727,0.026311416178941727,human
HLA-DRA,0.02620135433971882,0.02620135433971882,0.02620135433971882,0.02620135433971882,human
HIST2H2BE,0.026149297133088112,0.026149297133088112,0.026149297133088112,0.026149297133088112,human
ARL6IP5,0.026007549837231636,0.026007549837231636,0.026007549837231636,0.026007549837231636,human
TSC22D1,0.02581070549786091,0.02581070549786091,0.02581070549786091,0.02581070549786091,human
PIM1,0.02522537112236023,0.02522537112236023,0.02522537112236023,0.02522537112236023,human
HLA-DMA,0.02521958202123642,0.02521958202123642,0.02521958202123642,0.02521958202123642,human
ITM2A,0.025179477408528328,0.025179477408528328,0.025179477408528328,0.025179477408528328,human
RAC2,0.024602703750133514,0.024602703750133514,0.024602703750133514,0.024602703750133514,human
MLLT3,0.02457631565630436,0.02457631565630436,0.02457631565630436,0.02457631565630436,human
ATP1B1,0.02456558495759964,0.02456558495759964,0.02456558495759964,0.02456558495759964,human
SORL1,0.02456393651664257,0.02456393651664257,0.02456393651664257,0.02456393651664257,human
MSN,0.02448236383497715,0.02448236383497715,0.02448236383497715,0.02448236383497715,human
XIST,0.024273185059428215,0.024273185059428215,0.024273185059428215,0.024273185059428215,human
PDLIM1,0.02426736056804657,0.02426736056804657,0.02426736056804657,0.02426736056804657,human
