gene_symbol,logfc_dz:617,logfc_dz:619,mean_logfc,median_logfc,common_experiment,organism
KRT17,0.1356429010629654,0.00866819079965353,0.07215554593130946,0.07215554593130946,0.00866819079965353,human
CYAT1,0.13417917490005493,-0.01590345799922943,0.05913785845041275,0.05913785845041275,-0.01590345799922943,human
TMSB10,0.12058980017900467,0.04132840037345886,0.08095910027623177,0.08095910027623177,0.04132840037345886,human
IGHV4-31,0.09341862797737122,,0.09341862797737122,0.09341862797737122,,human
KRT14,0.09339752793312073,-0.11225729435682297,-0.00942988321185112,-0.00942988321185112,-0.11225729435682297,human
GAPDH,0.08448156714439392,0.028508277609944344,0.05649492237716913,0.05649492237716913,0.028508277609944344,human
IGLC7,0.07718507945537567,,0.07718507945537567,0.07718507945537567,,human
NDRG1,0.07659342139959335,-0.04967815428972244,0.013457633554935455,0.013457633554935455,-0.04967815428972244,human
S100P,0.0743253156542778,,0.0743253156542778,0.0743253156542778,,human
ALDOA,0.07241036742925644,,0.07241036742925644,0.07241036742925644,,human
LDHA,0.06375821679830551,,0.06375821679830551,0.06375821679830551,,human
COL1A2,0.06250932067632675,-0.018023516982793808,0.022242901846766472,0.022242901846766472,-0.018023516982793808,human
S100A2,0.06084239482879639,-0.1215340867638588,-0.030345845967531204,-0.030345845967531204,-0.1215340867638588,human
TUBA1B,0.05762556195259094,0.0377957709133625,0.04771066643297672,0.04771066643297672,0.0377957709133625,human
KRT18,0.0554276779294014,0.03673718124628067,0.046082429587841034,0.046082429587841034,0.03673718124628067,human
TFRC,0.05438796803355217,0.014733842574059963,0.034560905303806067,0.034560905303806067,0.014733842574059963,human
DDIT4,0.05368303135037422,0.011680545285344124,0.03268178831785917,0.03268178831785917,0.011680545285344124,human
FTL,0.0524139329791069,0.0219775028526783,0.0371957179158926,0.0371957179158926,0.0219775028526783,human
FTH1P5,0.05142005905508995,0.0374315120279789,0.044425785541534424,0.044425785541534424,0.0374315120279789,human
IGHA2,0.0495125949382782,,0.0495125949382782,0.0495125949382782,,human
HBA2,0.04853237420320511,,0.04853237420320511,0.04853237420320511,,human
KRT19,0.048475466668605804,,0.048475466668605804,0.048475466668605804,,human
HMGN2,0.04808522015810013,0.03716176003217697,0.04262349009513855,0.04262349009513855,0.03716176003217697,human
SLC25A5,0.045330628752708435,,0.045330628752708435,0.045330628752708435,,human
AKR1C2,0.04182276502251625,,0.04182276502251625,0.04182276502251625,,human
LGALS1,0.041135579347610474,,0.041135579347610474,0.041135579347610474,,human
IFITM2,0.04061538726091385,,0.04061538726091385,0.04061538726091385,,human
TIMP1,0.04061436653137207,0.010199572890996933,0.0254069697111845,0.0254069697111845,0.010199572890996933,human
HBB,0.04046729579567909,-0.010312870144844055,0.015077212825417519,0.015077212825417519,-0.010312870144844055,human
IFITM3,0.040048953145742416,,0.040048953145742416,0.040048953145742416,,human
S100A6,0.03984885290265083,-0.015966812148690224,0.011941020376980305,0.011941020376980305,-0.015966812148690224,human
MIF,0.03616510331630707,0.028700709342956543,0.032432906329631805,0.032432906329631805,0.028700709342956543,human
RPL23A,0.03583903983235359,-0.0676318109035492,-0.0158963855355978,-0.0158963855355978,-0.0676318109035492,human
CFL1,0.03501027077436447,-0.01176721416413784,0.011621528305113316,0.011621528305113316,-0.01176721416413784,human
COL6A3,0.034341637045145035,-0.016957152634859085,0.008692242205142975,0.008692242205142975,-0.016957152634859085,human
HIST1H2BK,0.034151189029216766,,0.034151189029216766,0.034151189029216766,,human
ADM,0.034101713448762894,-0.008992288261651993,0.01255471259355545,0.01255471259355545,-0.008992288261651993,human
TMSB4XP8,0.03351273015141487,-0.01856861263513565,0.00747205875813961,0.00747205875813961,-0.01856861263513565,human
CSTA,0.032683856785297394,-0.18244311213493347,-0.07487962767481804,-0.07487962767481804,-0.18244311213493347,human
TGFBI,0.03250202164053917,0.007894852198660374,0.02019843691959977,0.02019843691959977,0.007894852198660374,human
NGFRAP1,0.03213697299361229,0.016015639528632164,0.024076306261122227,0.024076306261122227,0.016015639528632164,human
IFITM1,0.031864725053310394,-0.009676078334450722,0.011094323359429836,0.011094323359429836,-0.009676078334450722,human
RPN2,0.03152383491396904,0.026267366483807564,0.028895600698888302,0.028895600698888302,0.026267366483807564,human
ENO1,0.03090931661427021,0.02260485850274563,0.02675708755850792,0.02675708755850792,0.02260485850274563,human
IGFBP3,0.0301379282027483,,0.0301379282027483,0.0301379282027483,,human
WFDC2,0.029536712914705276,,0.029536712914705276,0.029536712914705276,,human
MCM2,0.029458938166499138,0.01772618480026722,0.02359256148338318,0.02359256148338318,0.01772618480026722,human
LDHB,0.028684478253126144,,0.028684478253126144,0.028684478253126144,,human
SFN,0.028118634596467018,-0.114833302795887,-0.04335733409970999,-0.04335733409970999,-0.114833302795887,human
MGP,0.027547849342226982,,0.027547849342226982,0.027547849342226982,,human
AKR1C1,0.027431538328528404,,0.027431538328528404,0.027431538328528404,,human
YBX1,0.027349190786480904,0.02866027131676674,0.02800473105162382,0.02800473105162382,0.02866027131676674,human
CCT5,0.02731684222817421,0.03531339019536972,0.031315116211771965,0.031315116211771965,0.03531339019536972,human
MT2A,0.027267640456557274,0.01500712987035513,0.0211373851634562,0.0211373851634562,0.01500712987035513,human
LAPTM4B,0.027123289182782173,0.01702888496220112,0.022076087072491646,0.022076087072491646,0.01702888496220112,human
TUBB,0.0270330011844635,0.029497580602765083,0.028265290893614292,0.028265290893614292,0.029497580602765083,human
TRMT5,0.02677208185195923,0.03447798267006874,0.030625032261013985,0.030625032261013985,0.03447798267006874,human
ISG15,0.02669263817369938,0.009626002050936222,0.0181593201123178,0.0181593201123178,0.009626002050936222,human
ACTG1,0.026448214426636696,-0.03714968264102936,-0.005350734107196331,-0.005350734107196331,-0.03714968264102936,human
CLEC2B,0.026061873883008957,,0.026061873883008957,0.026061873883008957,,human
PFN2,0.02605753391981125,0.011828873306512833,0.01894320361316204,0.01894320361316204,0.011828873306512833,human
H2AFZ,0.026008710265159607,0.024050334468483925,0.025029522366821766,0.025029522366821766,0.024050334468483925,human
IGLL3P,0.025838684290647507,,0.025838684290647507,0.025838684290647507,,human
HSPD1,0.025602111592888832,0.033925365656614304,0.029763738624751568,0.029763738624751568,0.033925365656614304,human
PTTG1,0.025016246363520622,0.04450378194451332,0.03476001415401697,0.03476001415401697,0.04450378194451332,human
HSP90AA1,0.024168262258172035,0.019769657403230667,0.02196895983070135,0.02196895983070135,0.019769657403230667,human
RPS18,0.023999914526939392,-0.08124301582574844,-0.028621550649404526,-0.028621550649404526,-0.08124301582574844,human
SHFM1,0.023846212774515152,0.014052281156182289,0.01894924696534872,0.01894924696534872,0.014052281156182289,human
CD63,0.023837562650442123,,0.023837562650442123,0.023837562650442123,,human
B2M,0.023553751409053802,-0.0572531595826149,-0.016849704086780548,-0.016849704086780548,-0.0572531595826149,human
CKS1B,0.023302335292100906,0.01702123135328293,0.020161783322691917,0.020161783322691917,0.01702123135328293,human
C20orf24,0.02295580878853798,,0.02295580878853798,0.02295580878853798,,human
MKNK2,0.02279728278517723,,0.02279728278517723,0.02279728278517723,,human
FTH1,0.022397223860025406,0.02504870668053627,0.023722965270280838,0.023722965270280838,0.02504870668053627,human
IFI30,0.022367816418409348,,0.022367816418409348,0.022367816418409348,,human
RPL39,0.02232031710445881,-0.04971056059002876,-0.013695121742784977,-0.013695121742784977,-0.04971056059002876,human
ARPC1B,0.02212863229215145,0.010036037303507328,0.01608233479782939,0.01608233479782939,0.010036037303507328,human
JTB,0.021977325901389122,0.011483545415103436,0.01673043565824628,0.01673043565824628,0.011483545415103436,human
HMGB1,0.02190154604613781,0.012082817032933235,0.016992181539535522,0.016992181539535522,0.012082817032933235,human
S100A8,0.021822478622198105,-0.014751367270946503,0.003535555675625801,0.003535555675625801,-0.014751367270946503,human
ZWINT,0.021740896627306938,0.010986428707838058,0.0163636626675725,0.0163636626675725,0.010986428707838058,human
PTMA,0.0214423518627882,0.014970683492720127,0.018206517677754164,0.018206517677754164,0.014970683492720127,human
DEK,0.021317796781659126,0.011878712102770805,0.016598254442214966,0.016598254442214966,0.011878712102770805,human
SLC38A1,0.021274520084261894,0.01473422534763813,0.018004372715950012,0.018004372715950012,0.01473422534763813,human
SLC6A8,0.02082240954041481,,0.02082240954041481,0.02082240954041481,,human
RBBP7,0.020649926736950874,0.01921289600431919,0.019931411370635033,0.019931411370635033,0.01921289600431919,human
MCM6,0.0205532219260931,0.01513106282800436,0.01784214237704873,0.01784214237704873,0.01513106282800436,human
GMPS,0.020533550530672073,0.007559466175734997,0.014046508353203535,0.014046508353203535,0.007559466175734997,human
MRPL3,0.02042611688375473,0.010959234088659286,0.01569267548620701,0.01569267548620701,0.010959234088659286,human
PSMA6,0.02042190171778202,0.012606077827513218,0.01651398977264762,0.01651398977264762,0.012606077827513218,human
RAB31,0.020363325253129005,,0.020363325253129005,0.020363325253129005,,human
SAT1,0.020356198772788048,,0.020356198772788048,0.020356198772788048,,human
RRM2,0.020354947075247765,0.013329352252185345,0.016842149663716555,0.016842149663716555,0.013329352252185345,human
SPP1,0.020122554153203964,,0.020122554153203964,0.020122554153203964,,human
TMEM106C,0.02000340074300766,0.012160939164459705,0.016082169953733683,0.016082169953733683,0.012160939164459705,human
AGR2,0.019858501851558685,,0.019858501851558685,0.019858501851558685,,human
RBP1,0.019758276641368866,,0.019758276641368866,0.019758276641368866,,human
AKR1C3,0.019615693017840385,,0.019615693017840385,0.019615693017840385,,human
MMP12,0.019201455637812614,,0.019201455637812614,0.019201455637812614,,human
BASP1,0.0191777516156435,0.03712417557835579,0.028150963596999645,0.028150963596999645,0.03712417557835579,human
MT1H,0.01917138509452343,,0.01917138509452343,0.01917138509452343,,human
HSPA2,0.01895844005048275,,0.01895844005048275,0.01895844005048275,,human
GPX2,0.018750064074993134,,0.018750064074993134,0.018750064074993134,,human
FXYD3,0.018696846440434456,-0.016769934445619583,0.0009634559974074364,0.0009634559974074364,-0.016769934445619583,human
RFC4,0.018643822520971298,0.0147212790325284,0.01668255077674985,0.01668255077674985,0.0147212790325284,human
CDH3,0.018568485975265503,,0.018568485975265503,0.018568485975265503,,human
HDGF,0.018529711291193962,0.008377563208341599,0.01345363724976778,0.01345363724976778,0.008377563208341599,human
LOC728026,0.018492700532078743,0.00796910934150219,0.013230904936790466,0.013230904936790466,0.00796910934150219,human
HILPDA,0.018491288647055626,,0.018491288647055626,0.018491288647055626,,human
UQCRH,0.018480384722352028,,0.018480384722352028,0.018480384722352028,,human
PSMB4,0.018361251801252365,0.011363168247044086,0.014862210024148226,0.014862210024148226,0.011363168247044086,human
PCNA,0.01831253059208393,0.012906892225146294,0.015609711408615112,0.015609711408615112,0.012906892225146294,human
GPI,0.017869068309664726,0.017117219045758247,0.017493143677711487,0.017493143677711487,0.017117219045758247,human
AP2M1,0.01778334192931652,0.008451891131699085,0.013117616530507803,0.013117616530507803,0.008451891131699085,human
ARL6IP1,0.01755005680024624,0.011739305220544338,0.014644681010395288,0.014644681010395288,0.011739305220544338,human
SNRPG,0.017516115680336952,0.015013687312602997,0.016264901496469975,0.016264901496469975,0.015013687312602997,human
CA2,0.0173483919352293,,0.0173483919352293,0.0173483919352293,,human
ERH,0.017301097512245178,0.014529009349644184,0.01591505343094468,0.01591505343094468,0.014529009349644184,human
NME1,0.01714308373630047,0.021977273747324944,0.019560178741812706,0.019560178741812706,0.021977273747324944,human
CDC25B,0.017137035727500916,0.010235675610601902,0.013686355669051409,0.013686355669051409,0.010235675610601902,human
EIF3CL,0.017056971788406372,0.013161188922822475,0.015109080355614424,0.015109080355614424,0.013161188922822475,human
EPCAM,0.01689961552619934,,0.01689961552619934,0.01689961552619934,,human
UBE2C,0.016723204404115677,0.027483098208904266,0.02210315130650997,0.02210315130650997,0.027483098208904266,human
PRC1,0.016713082790374756,0.01468784362077713,0.015700463205575943,0.015700463205575943,0.01468784362077713,human
H2BFS,0.016705529764294624,,0.016705529764294624,0.016705529764294624,,human
RAC1,0.016605183482170105,,0.016605183482170105,0.016605183482170105,,human
SNRPB,0.016580697149038315,0.017712600529193878,0.017146648839116096,0.017146648839116096,0.017712600529193878,human
POLR2H,0.016423605382442474,0.009493067860603333,0.012958336621522903,0.012958336621522903,0.009493067860603333,human
MIR1244-2,0.01635330356657505,,0.01635330356657505,0.01635330356657505,,human
DSG2,0.01632709987461567,,0.01632709987461567,0.01632709987461567,,human
H3F3AP4,0.016308190301060677,-0.013976444490253925,0.0011658729054033756,0.0011658729054033756,-0.013976444490253925,human
BST2,0.016257934272289276,,0.016257934272289276,0.016257934272289276,,human
EIF4EBP1,0.016239779070019722,,0.016239779070019722,0.016239779070019722,,human
PLOD2,0.016181528568267822,,0.016181528568267822,0.016181528568267822,,human
MMP9,0.016168927773833275,,0.016168927773833275,0.016168927773833275,,human
PSMD2,0.016139376908540726,0.012435123324394226,0.014287250116467476,0.014287250116467476,0.012435123324394226,human
