gene_symbol,logfc_dz:552,mean_logfc,median_logfc,common_experiment,organism
KRT18,0.1531256139278412,0.1531256139278412,0.1531256139278412,0.1531256139278412,human
CEACAM6,0.12863977253437042,0.12863977253437042,0.12863977253437042,0.12863977253437042,human
OLFM4,0.1092776507139206,0.1092776507139206,0.1092776507139206,0.1092776507139206,human
RPS5,0.1082913801074028,0.1082913801074028,0.1082913801074028,0.1082913801074028,human
RLIM,0.09697878360748291,0.09697878360748291,0.09697878360748291,0.09697878360748291,human
RPLP0P6,0.09593946486711502,0.09593946486711502,0.09593946486711502,0.09593946486711502,human
RPS4X,0.08785437047481537,0.08785437047481537,0.08785437047481537,0.08785437047481537,human
IFITM3,0.08782829344272614,0.08782829344272614,0.08782829344272614,0.08782829344272614,human
IFITM1,0.08628048002719879,0.08628048002719879,0.08628048002719879,0.08628048002719879,human
RPL36A,0.08545961230993271,0.08545961230993271,0.08545961230993271,0.08545961230993271,human
RPLP0,0.08403851091861725,0.08403851091861725,0.08403851091861725,0.08403851091861725,human
PABPC3,0.08168196678161621,0.08168196678161621,0.08168196678161621,0.08168196678161621,human
FTL,0.0803646445274353,0.0803646445274353,0.0803646445274353,0.0803646445274353,human
TSPAN8,0.07833344489336014,0.07833344489336014,0.07833344489336014,0.07833344489336014,human
TGFBI,0.07394575327634811,0.07394575327634811,0.07394575327634811,0.07394575327634811,human
EIF3E,0.07386865466833115,0.07386865466833115,0.07386865466833115,0.07386865466833115,human
TMSB4XP8,0.07338310778141022,0.07338310778141022,0.07338310778141022,0.07338310778141022,human
GGH,0.07089687883853912,0.07089687883853912,0.07089687883853912,0.07089687883853912,human
CKS2,0.07026572525501251,0.07026572525501251,0.07026572525501251,0.07026572525501251,human
EPCAM,0.07013241201639175,0.07013241201639175,0.07013241201639175,0.07013241201639175,human
RPS20,0.06838604062795639,0.06838604062795639,0.06838604062795639,0.06838604062795639,human
RPS3,0.06830333918333054,0.06830333918333054,0.06830333918333054,0.06830333918333054,human
RPL12,0.06744211912155151,0.06744211912155151,0.06744211912155151,0.06744211912155151,human
RPS18,0.06720422208309174,0.06720422208309174,0.06720422208309174,0.06720422208309174,human
PPBP,0.0669393390417099,0.0669393390417099,0.0669393390417099,0.0669393390417099,human
RPL8,0.06183575466275215,0.06183575466275215,0.06183575466275215,0.06183575466275215,human
GAPDH,0.05844125151634216,0.05844125151634216,0.05844125151634216,0.05844125151634216,human
PPA1,0.058212246745824814,0.058212246745824814,0.058212246745824814,0.058212246745824814,human
HSP90AA1,0.058082301169633865,0.058082301169633865,0.058082301169633865,0.058082301169633865,human
CCL20,0.05722326040267944,0.05722326040267944,0.05722326040267944,0.05722326040267944,human
FOXQ1,0.057190291583538055,0.057190291583538055,0.057190291583538055,0.057190291583538055,human
IFITM2,0.05690407007932663,0.05690407007932663,0.05690407007932663,0.05690407007932663,human
RPL30,0.05518016219139099,0.05518016219139099,0.05518016219139099,0.05518016219139099,human
LGALS4,0.054832953959703445,0.054832953959703445,0.054832953959703445,0.054832953959703445,human
CD24,0.05380357429385185,0.05380357429385185,0.05380357429385185,0.05380357429385185,human
RAN,0.05357518792152405,0.05357518792152405,0.05357518792152405,0.05357518792152405,human
S100P,0.05355756729841232,0.05355756729841232,0.05355756729841232,0.05355756729841232,human
TMEM123,0.05320965498685837,0.05320965498685837,0.05320965498685837,0.05320965498685837,human
EBPL,0.05140967294573784,0.05140967294573784,0.05140967294573784,0.05140967294573784,human
EIF3H,0.04973125085234642,0.04973125085234642,0.04973125085234642,0.04973125085234642,human
PSMB9,0.04957560449838638,0.04957560449838638,0.04957560449838638,0.04957560449838638,human
LDHB,0.04742134362459183,0.04742134362459183,0.04742134362459183,0.04742134362459183,human
GGCT,0.04707571864128113,0.04707571864128113,0.04707571864128113,0.04707571864128113,human
RPL4,0.04611064866185188,0.04611064866185188,0.04611064866185188,0.04611064866185188,human
MAL2,0.04523022100329399,0.04523022100329399,0.04523022100329399,0.04523022100329399,human
BZW2,0.045127786695957184,0.045127786695957184,0.045127786695957184,0.045127786695957184,human
SH3KBP1,0.04489952325820923,0.04489952325820923,0.04489952325820923,0.04489952325820923,human
RPS2,0.04418880119919777,0.04418880119919777,0.04418880119919777,0.04418880119919777,human
APEX1,0.04387710243463516,0.04387710243463516,0.04387710243463516,0.04387710243463516,human
PTGES3,0.043037958443164825,0.043037958443164825,0.043037958443164825,0.043037958443164825,human
PRDX5,0.042738523334264755,0.042738523334264755,0.042738523334264755,0.042738523334264755,human
SPINK1,0.042483218014240265,0.042483218014240265,0.042483218014240265,0.042483218014240265,human
RPSA,0.0423269122838974,0.0423269122838974,0.0423269122838974,0.0423269122838974,human
HSPA8,0.041806843131780624,0.041806843131780624,0.041806843131780624,0.041806843131780624,human
RPS10,0.04154162108898163,0.04154162108898163,0.04154162108898163,0.04154162108898163,human
PRDX1,0.04141264036297798,0.04141264036297798,0.04141264036297798,0.04141264036297798,human
MMP1,0.04132073000073433,0.04132073000073433,0.04132073000073433,0.04132073000073433,human
OCIAD2,0.04120052605867386,0.04120052605867386,0.04120052605867386,0.04120052605867386,human
DPEP1,0.04075821861624718,0.04075821861624718,0.04075821861624718,0.04075821861624718,human
