gene_symbol,logfc_dz:435,mean_logfc,median_logfc,common_experiment,organism
MT1H,0.07115744799375534,0.07115744799375534,0.07115744799375534,0.07115744799375534,human
EMX1,0.06296467781066895,0.06296467781066895,0.06296467781066895,0.06296467781066895,human
APLP2,0.05703456699848175,0.05703456699848175,0.05703456699848175,0.05703456699848175,human
ACTG2,0.05493856221437454,0.05493856221437454,0.05493856221437454,0.05493856221437454,human
MRPL23,0.052104026079177856,0.052104026079177856,0.052104026079177856,0.052104026079177856,human
BTK,0.05138732120394707,0.05138732120394707,0.05138732120394707,0.05138732120394707,human
KRT18,0.05125400051474571,0.05125400051474571,0.05125400051474571,0.05125400051474571,human
MTCH2,0.05116571858525276,0.05116571858525276,0.05116571858525276,0.05116571858525276,human
SMPD1,0.05016745626926422,0.05016745626926422,0.05016745626926422,0.05016745626926422,human
PRKCA,0.04747973755002022,0.04747973755002022,0.04747973755002022,0.04747973755002022,human
CCDC85B,0.04737091809511185,0.04737091809511185,0.04737091809511185,0.04737091809511185,human
SERPINE1,0.047028593719005585,0.047028593719005585,0.047028593719005585,0.047028593719005585,human
FOXO1,0.04687212035059929,0.04687212035059929,0.04687212035059929,0.04687212035059929,human
CALM2,0.04631127044558525,0.04631127044558525,0.04631127044558525,0.04631127044558525,human
APBA1,0.046105463057756424,0.046105463057756424,0.046105463057756424,0.046105463057756424,human
KRT7,0.04551324248313904,0.04551324248313904,0.04551324248313904,0.04551324248313904,human
FBLN2,0.04437824711203575,0.04437824711203575,0.04437824711203575,0.04437824711203575,human
EMP3,0.044331274926662445,0.044331274926662445,0.044331274926662445,0.044331274926662445,human
PRKRIR,0.04176577180624008,0.04176577180624008,0.04176577180624008,0.04176577180624008,human
DTNA,0.04091925919055939,0.04091925919055939,0.04091925919055939,0.04091925919055939,human
MARCH6,0.04072380065917969,0.04072380065917969,0.04072380065917969,0.04072380065917969,human
XRCC4,0.04035167768597603,0.04035167768597603,0.04035167768597603,0.04035167768597603,human
SNTB1,0.04009401053190231,0.04009401053190231,0.04009401053190231,0.04009401053190231,human
GFER,0.04005599021911621,0.04005599021911621,0.04005599021911621,0.04005599021911621,human
GNB2,0.039920613169670105,0.039920613169670105,0.039920613169670105,0.039920613169670105,human
LOC100128197,0.03990456089377403,0.03990456089377403,0.03990456089377403,0.03990456089377403,human
AMT,0.03984814137220383,0.03984814137220383,0.03984814137220383,0.03984814137220383,human
RBM12,0.038974225521087646,0.038974225521087646,0.038974225521087646,0.038974225521087646,human
SOCS1,0.03745603188872337,0.03745603188872337,0.03745603188872337,0.03745603188872337,human
ACYP2,0.037356846034526825,0.037356846034526825,0.037356846034526825,0.037356846034526825,human
ARMET,0.03698686882853508,0.03698686882853508,0.03698686882853508,0.03698686882853508,human
PDHA1,0.03667481988668442,0.03667481988668442,0.03667481988668442,0.03667481988668442,human
HTATSF1,0.0365033857524395,0.0365033857524395,0.0365033857524395,0.0365033857524395,human
ZNF211,0.03634369745850563,0.03634369745850563,0.03634369745850563,0.03634369745850563,human
CLDN3,0.03589104861021042,0.03589104861021042,0.03589104861021042,0.03589104861021042,human
ATP5I,0.035651739686727524,0.035651739686727524,0.035651739686727524,0.035651739686727524,human
TPBG,0.035552218556404114,0.035552218556404114,0.035552218556404114,0.035552218556404114,human
CCT5,0.03538551181554794,0.03538551181554794,0.03538551181554794,0.03538551181554794,human
CDKN2D,0.035353884100914,0.035353884100914,0.035353884100914,0.035353884100914,human
PPP1R1A,0.03520859777927399,0.03520859777927399,0.03520859777927399,0.03520859777927399,human
GRIN2C,0.035146407783031464,0.035146407783031464,0.035146407783031464,0.035146407783031464,human
SNRPB,0.035124633461236954,0.035124633461236954,0.035124633461236954,0.035124633461236954,human
ODC1,0.03502744063735008,0.03502744063735008,0.03502744063735008,0.03502744063735008,human
PAPOLA,0.03479200229048729,0.03479200229048729,0.03479200229048729,0.03479200229048729,human
RPL10A,0.03456137329339981,0.03456137329339981,0.03456137329339981,0.03456137329339981,human
ACVR2A,0.03453058749437332,0.03453058749437332,0.03453058749437332,0.03453058749437332,human
ALOX12,0.034521859139204025,0.034521859139204025,0.034521859139204025,0.034521859139204025,human
DPM1,0.03448686748743057,0.03448686748743057,0.03448686748743057,0.03448686748743057,human
C4B,0.03433956578373909,0.03433956578373909,0.03433956578373909,0.03433956578373909,human
SERPINB3,0.03428656980395317,0.03428656980395317,0.03428656980395317,0.03428656980395317,human
MT1X,0.03423522785305977,0.03423522785305977,0.03423522785305977,0.03423522785305977,human
PPP2R3A,0.03407317027449608,0.03407317027449608,0.03407317027449608,0.03407317027449608,human
TPM1,0.0339743047952652,0.0339743047952652,0.0339743047952652,0.0339743047952652,human
MT1JP,0.033951129764318466,0.033951129764318466,0.033951129764318466,0.033951129764318466,human
DARC,0.03384511172771454,0.03384511172771454,0.03384511172771454,0.03384511172771454,human
COL1A2,0.03381591662764549,0.03381591662764549,0.03381591662764549,0.03381591662764549,human
MAP2K3,0.033591222018003464,0.033591222018003464,0.033591222018003464,0.033591222018003464,human
CPB2,0.03349599987268448,0.03349599987268448,0.03349599987268448,0.03349599987268448,human
PCBD1,0.03328704461455345,0.03328704461455345,0.03328704461455345,0.03328704461455345,human
CCT2,0.03305670619010925,0.03305670619010925,0.03305670619010925,0.03305670619010925,human
CARS,0.03294288367033005,0.03294288367033005,0.03294288367033005,0.03294288367033005,human
PCTK3,0.03292097896337509,0.03292097896337509,0.03292097896337509,0.03292097896337509,human
CRADD,0.03284596651792526,0.03284596651792526,0.03284596651792526,0.03284596651792526,human
MERTK,0.03279053047299385,0.03279053047299385,0.03279053047299385,0.03279053047299385,human
ATRX,0.032763633877038956,0.032763633877038956,0.032763633877038956,0.032763633877038956,human
LRP1,0.032591234892606735,0.032591234892606735,0.032591234892606735,0.032591234892606735,human
FKBP8,0.03254622593522072,0.03254622593522072,0.03254622593522072,0.03254622593522072,human
MYL9,0.03247011452913284,0.03247011452913284,0.03247011452913284,0.03247011452913284,human
CUL1,0.032318487763404846,0.032318487763404846,0.032318487763404846,0.032318487763404846,human
FLJ44342,0.0322764553129673,0.0322764553129673,0.0322764553129673,0.0322764553129673,human
UBTF,0.03226793184876442,0.03226793184876442,0.03226793184876442,0.03226793184876442,human
SNORA6,0.031910091638565063,0.031910091638565063,0.031910091638565063,0.031910091638565063,human
