gene_symbol,logfc_dz:581,logfc_dz:893,logfc_dz:882,logfc_dz:274,logfc_dz:9,logfc_dz:895,mean_logfc,median_logfc,common_experiment,organism
TNNC2,0.18041814863681793,-0.026832982897758484,,,,,0.07679258286952972,0.07679258286952972,,human
LDHA,0.135389044880867,,-0.035032231360673904,0.07116863876581192,-0.024303792044520378,,0.03680541506037116,0.02343242336064577,,human
G0S2,0.12793192267417908,,,0.014627331867814064,,,0.07127962727099657,0.07127962727099657,,human
MYLPF,0.12060876190662384,,,0.012747542932629585,,,0.06667815241962671,0.06667815241962671,,human
RPS26,0.11845249682664871,,-0.05373179912567139,,0.12158525735139847,,0.062101985017458596,0.11845249682664871,,human
MYH1,0.10906549543142319,0.02220028266310692,,,,,0.06563288904726505,0.06563288904726505,,human
ATP2A1,0.10037388652563095,,,,,,0.10037388652563095,0.10037388652563095,,human
SGK1,0.08251532167196274,,,,,,0.08251532167196274,0.08251532167196274,,human
MYBPC2,0.08192462474107742,,,,,,0.08192462474107742,0.08192462474107742,,human
TNNI2,0.07222688943147659,,,,,,0.07222688943147659,0.07222688943147659,,human
RPS16,0.07131306827068329,,0.028681891039013863,0.011564524844288826,0.01941325142979622,,0.03274318389594555,0.02404757123440504,,human
EEF1A1P9,0.07058577984571457,,0.034338101744651794,,-0.17479555308818817,,-0.0232905571659406,0.034338101744651794,,human
PGAM2,0.07001519203186035,-0.02068091370165348,,,,,0.024667139165103436,0.024667139165103436,,human
DCN,0.0695217102766037,,0.1311885565519333,,,,0.1003551334142685,0.1003551334142685,,human
MYL1,0.06930365413427353,,,,,-0.01841467246413231,0.02544449083507061,0.02544449083507061,-0.01841467246413231,human
MYH2,0.06871221214532852,-0.03314153850078583,,-0.02090996503829956,,,0.004886902868747711,-0.02090996503829956,,human
ATF4,0.06643127650022507,,,0.04551288112998009,,,0.05597207881510258,0.05597207881510258,,human
TNNT3,0.06535924971103668,,,,,,0.06535924971103668,0.06535924971103668,,human
CALM2,0.06367389112710953,,-0.017022740095853806,-0.01630348339676857,,,0.010115889211495718,-0.01630348339676857,,human
AGL,0.05970919877290726,,-0.017634931951761246,,,,0.021037133410573006,0.021037133410573006,,human
AK1,0.05817893519997597,,,,,,0.05817893519997597,0.05817893519997597,,human
ALDOA,0.05765865370631218,,,0.09811065346002579,,,0.07788465358316898,0.07788465358316898,,human
SETD5,0.055628012865781784,,,,,,0.055628012865781784,0.055628012865781784,,human
PPP1R3C,0.0545867383480072,,-0.024284133687615395,,,,0.015151302330195904,0.015151302330195904,,human
COL1A2,0.05236559733748436,,0.06006433442234993,0.012071803212165833,,,0.04150057832400004,0.05236559733748436,,human
RPL9,0.05228348821401596,,,0.07705023139715195,,,0.06466685980558395,0.06466685980558395,,human
BIN1,0.0513092465698719,,,,,,0.0513092465698719,0.0513092465698719,,human
SEPW1,0.049038901925086975,,,,0.023066556081175804,,0.03605272900313139,0.03605272900313139,,human
CASQ1,0.04849566891789436,,,,,,0.04849566891789436,0.04849566891789436,,human
ENO3,0.0479055754840374,,,,,,0.0479055754840374,0.0479055754840374,,human
FSTL1,0.046816643327474594,,0.021446479484438896,,,,0.034131561405956745,0.034131561405956745,,human
OBP2A,0.046337004750967026,,,,,,0.046337004750967026,0.046337004750967026,,human
RPS25,0.04612582176923752,,-0.0250583216547966,0.017424369230866432,0.06785627454519272,,0.026587035972625017,0.031775095500051975,,human
ACTA1,0.04525821655988693,,,,,,0.04525821655988693,0.04525821655988693,,human
THBS4,0.0450802780687809,,,,,,0.0450802780687809,0.0450802780687809,,human
ACAT1,0.043465398252010345,,,,,,0.043465398252010345,0.043465398252010345,,human
PFKFB3,0.04342431575059891,,,,-0.01056304108351469,,0.01643063733354211,0.01643063733354211,,human
MB,0.04340732842683792,-0.04173582047224045,,,,,0.0008357539772987366,0.0008357539772987366,,human
RPLP1,0.043354738503694534,,,-0.026844685897231102,,,0.008255026303231716,0.008255026303231716,,human
SPARC,0.04303690046072006,,,0.01618347130715847,,,0.029610185883939266,0.029610185883939266,,human
UBC,0.04239370673894882,,-0.053751107305288315,0.027058064937591553,-0.04935082420706749,,-0.008412539958953857,-0.011146379634737968,,human
C4orf46,0.04120710492134094,,,,,,0.04120710492134094,0.04120710492134094,,human
MGST3,0.04116444289684296,,,,,,0.04116444289684296,0.04116444289684296,,human
HSPB7,0.04044930264353752,,,,,,0.04044930264353752,0.04044930264353752,,human
SERPINF1,0.04021020233631134,,0.06508996337652206,0.013185004703700542,,,0.03949505680551132,0.04021020233631134,,human
TTN,0.038912490010261536,,,,,,0.038912490010261536,0.038912490010261536,,human
GAPDH,0.03838900849223137,,,-0.015624088235199451,-0.03332003951072693,,-0.003518373084565004,-0.015624088235199451,,human
CST3,0.03784659504890442,,0.03235659375786781,,,,0.035101594403386116,0.035101594403386116,,human
PFKM,0.03748796135187149,,,,,,0.03748796135187149,0.03748796135187149,,human
RPS23,0.03729861602187157,,0.043483149260282516,-0.03230878338217735,,,0.016157660633325577,0.03729861602187157,,human
COL6A3,0.03696036711335182,,,,,,0.03696036711335182,0.03696036711335182,,human
DLK1,0.035553887486457825,,,,,,0.035553887486457825,0.035553887486457825,,human
S100A6,0.035406846553087234,,,,,,0.035406846553087234,0.035406846553087234,,human
OAT,0.03508791700005531,,-0.05145097151398659,,,,-0.008181527256965637,-0.008181527256965637,,human
SYNC,0.034748613834381104,,,,,,0.034748613834381104,0.034748613834381104,,human
LGALS1,0.03423558175563812,,,-0.061724208295345306,,,-0.013744313269853592,-0.013744313269853592,,human
