gene_symbol,logfc_dz:329,mean_logfc,median_logfc,common_experiment,organism
SERPINA3,0.22628024220466614,0.22628024220466614,0.22628024220466614,0.22628024220466614,human
CRYAB,0.19337747991085052,0.19337747991085052,0.19337747991085052,0.19337747991085052,human
FTH1,0.17800810933113098,0.17800810933113098,0.17800810933113098,0.17800810933113098,human
VIM,0.1735626608133316,0.1735626608133316,0.1735626608133316,0.1735626608133316,human
GFAP,0.17090661823749542,0.17090661823749542,0.17090661823749542,0.17090661823749542,human
SPP1,0.16078825294971466,0.16078825294971466,0.16078825294971466,0.16078825294971466,human
PTGDS,0.14335477352142334,0.14335477352142334,0.14335477352142334,0.14335477352142334,human
TF,0.1345437467098236,0.1345437467098236,0.1345437467098236,0.1345437467098236,human
FAM107A,0.13165265321731567,0.13165265321731567,0.13165265321731567,0.13165265321731567,human
MBP,0.10565021634101868,0.10565021634101868,0.10565021634101868,0.10565021634101868,human
CLU,0.10544225573539734,0.10544225573539734,0.10544225573539734,0.10544225573539734,human
HSP90AA1,0.09793731570243835,0.09793731570243835,0.09793731570243835,0.09793731570243835,human
EIF1,0.0927191898226738,0.0927191898226738,0.0927191898226738,0.0927191898226738,human
MT2A,0.0926312655210495,0.0926312655210495,0.0926312655210495,0.0926312655210495,human
CLDND1,0.08651948720216751,0.08651948720216751,0.08651948720216751,0.08651948720216751,human
PRDX1,0.08262952417135239,0.08262952417135239,0.08262952417135239,0.08262952417135239,human
TTR,0.07874950766563416,0.07874950766563416,0.07874950766563416,0.07874950766563416,human
C3,0.07443918287754059,0.07443918287754059,0.07443918287754059,0.07443918287754059,human
SEPP1,0.07355943322181702,0.07355943322181702,0.07355943322181702,0.07355943322181702,human
YWHAE,0.07157501578330994,0.07157501578330994,0.07157501578330994,0.07157501578330994,human
AHCYL1,0.07139968872070312,0.07139968872070312,0.07139968872070312,0.07139968872070312,human
GJA1,0.07112757116556168,0.07112757116556168,0.07112757116556168,0.07112757116556168,human
EEF1A1,0.06828343868255615,0.06828343868255615,0.06828343868255615,0.06828343868255615,human
B2M,0.0676686018705368,0.0676686018705368,0.0676686018705368,0.0676686018705368,human
PABPC1,0.0642988532781601,0.0642988532781601,0.0642988532781601,0.0642988532781601,human
LGALS1,0.06421682238578796,0.06421682238578796,0.06421682238578796,0.06421682238578796,human
SCD,0.06363212317228317,0.06363212317228317,0.06363212317228317,0.06363212317228317,human
