gene_symbol,logfc_dz:939,mean_logfc,median_logfc,common_experiment,organism
C3,0.26303818821907043,0.26303818821907043,0.26303818821907043,0.26303818821907043,human
TIMP1,0.22804242372512817,0.22804242372512817,0.22804242372512817,0.22804242372512817,human
FTL,0.21117520332336426,0.21117520332336426,0.21117520332336426,0.21117520332336426,human
C7,0.1486373394727707,0.1486373394727707,0.1486373394727707,0.1486373394727707,human
IGHV4-31,0.12313278764486313,0.12313278764486313,0.12313278764486313,0.12313278764486313,human
C1R,0.10990819334983826,0.10990819334983826,0.10990819334983826,0.10990819334983826,human
PEG3,0.09814929962158203,0.09814929962158203,0.09814929962158203,0.09814929962158203,human
AEBP1,0.09657541662454605,0.09657541662454605,0.09657541662454605,0.09657541662454605,human
DLK1,0.09324602782726288,0.09324602782726288,0.09324602782726288,0.09324602782726288,human
PLA2G2A,0.08444444835186005,0.08444444835186005,0.08444444835186005,0.08444444835186005,human
COL6A3,0.08349451422691345,0.08349451422691345,0.08349451422691345,0.08349451422691345,human
TCEAL4,0.08254130184650421,0.08254130184650421,0.08254130184650421,0.08254130184650421,human
FHL2,0.08153983950614929,0.08153983950614929,0.08153983950614929,0.08153983950614929,human
STAR,0.0814182236790657,0.0814182236790657,0.0814182236790657,0.0814182236790657,human
HSPA1A,0.07996942102909088,0.07996942102909088,0.07996942102909088,0.07996942102909088,human
RPL21,0.0785684660077095,0.0785684660077095,0.0785684660077095,0.0785684660077095,human
HSPA1B,0.07596637308597565,0.07596637308597565,0.07596637308597565,0.07596637308597565,human
C4orf46,0.07444074749946594,0.07444074749946594,0.07444074749946594,0.07444074749946594,human
SPARCL1,0.07358600944280624,0.07358600944280624,0.07358600944280624,0.07358600944280624,human
CFHR1,0.0702335312962532,0.0702335312962532,0.0702335312962532,0.0702335312962532,human
SERPINF1,0.06975908577442169,0.06975908577442169,0.06975908577442169,0.06975908577442169,human
TAGLN,0.06668257713317871,0.06668257713317871,0.06668257713317871,0.06668257713317871,human
C1S,0.0656513124704361,0.0656513124704361,0.0656513124704361,0.0656513124704361,human
TPT1,0.06469675153493881,0.06469675153493881,0.06469675153493881,0.06469675153493881,human
MYL9,0.05948374792933464,0.05948374792933464,0.05948374792933464,0.05948374792933464,human
SERPING1,0.05936603993177414,0.05936603993177414,0.05936603993177414,0.05936603993177414,human
TGFBR3,0.057069081813097,0.057069081813097,0.057069081813097,0.057069081813097,human
DCN,0.05694924667477608,0.05694924667477608,0.05694924667477608,0.05694924667477608,human
HLA-DRB4,0.05590707063674927,0.05590707063674927,0.05590707063674927,0.05590707063674927,human
IGLC7,0.05551983788609505,0.05551983788609505,0.05551983788609505,0.05551983788609505,human
FOS,0.05476367846131325,0.05476367846131325,0.05476367846131325,0.05476367846131325,human
CYAT1,0.05406421422958374,0.05406421422958374,0.05406421422958374,0.05406421422958374,human
IGKV4-1,0.053665030747652054,0.053665030747652054,0.053665030747652054,0.053665030747652054,human
CFH,0.050051722675561905,0.050051722675561905,0.050051722675561905,0.050051722675561905,human
BST2,0.04959346726536751,0.04959346726536751,0.04959346726536751,0.04959346726536751,human
HLA-DRB1,0.04922298714518547,0.04922298714518547,0.04922298714518547,0.04922298714518547,human
PSAP,0.0485827811062336,0.0485827811062336,0.0485827811062336,0.0485827811062336,human
HTRA1,0.048187125474214554,0.048187125474214554,0.048187125474214554,0.048187125474214554,human
SLC38A2,0.0472075417637825,0.0472075417637825,0.0472075417637825,0.0472075417637825,human
RPS20,0.04678094759583473,0.04678094759583473,0.04678094759583473,0.04678094759583473,human
MATN2,0.04637566953897476,0.04637566953897476,0.04637566953897476,0.04637566953897476,human
RPS25,0.0462956540286541,0.0462956540286541,0.0462956540286541,0.0462956540286541,human
IGHA2,0.04608013480901718,0.04608013480901718,0.04608013480901718,0.04608013480901718,human
RARRES2,0.0460544191300869,0.0460544191300869,0.0460544191300869,0.0460544191300869,human
RPS8,0.04513002559542656,0.04513002559542656,0.04513002559542656,0.04513002559542656,human
KCTD12,0.04457482323050499,0.04457482323050499,0.04457482323050499,0.04457482323050499,human
PLS3,0.04426928982138634,0.04426928982138634,0.04426928982138634,0.04426928982138634,human
