gene_symbol,logfc_dz:773,logfc_dz:267,logfc_dz:137,mean_logfc,median_logfc,common_experiment,organism
SPP1,0.1508370339870453,0.06641291081905365,,0.10862497240304947,0.10862497240304947,0.06641291081905365,human
HLA-DPB1,0.12687471508979797,0.12206868827342987,0.028932757675647736,0.09262538701295853,0.12206868827342987,0.12206868827342987,human
CLEC5A,0.11233953386545181,0.02521493099629879,,0.0687772324308753,0.0687772324308753,0.02521493099629879,human
CXCL10,0.10373347252607346,0.06168585270643234,-0.00881535280495882,0.05220132414251566,0.06168585270643234,0.06168585270643234,human
HLA-DQA2,0.10319780558347702,0.07784594595432281,-0.19118456542491913,-0.003380271295706431,0.07784594595432281,0.07784594595432281,human
CCL2,0.09381550550460815,-0.06996772438287735,,0.011923890560865402,0.011923890560865402,-0.06996772438287735,human
HBA2,0.0909009724855423,0.18925198912620544,0.1658174842596054,0.14865681529045105,0.1658174842596054,0.18925198912620544,human
PSMA6,0.07929274439811707,0.029659748077392578,0.010516617447137833,0.03982303664088249,0.029659748077392578,0.029659748077392578,human
IL6,0.07833623886108398,-0.010557126253843307,,0.03388955630362034,0.03388955630362034,-0.010557126253843307,human
CCL4,0.0742519199848175,-0.017433959990739822,0.007476856466382742,0.021431605486820143,0.007476856466382742,-0.017433959990739822,human
HLA-DRB4,0.07415402680635452,0.16975323855876923,-0.11218303442001343,0.04390807698170344,0.07415402680635452,0.16975323855876923,human
CCL20,0.06996278464794159,0.03309592977166176,,0.051529357209801674,0.051529357209801674,0.03309592977166176,human
TNFAIP8,0.0674770399928093,,,0.0674770399928093,0.0674770399928093,,human
LGALS1,0.06623030453920364,0.07124760746955872,-0.05675560608506203,0.026907435307900112,0.06623030453920364,0.07124760746955872,human
LOC728026,0.0661374181509018,-0.028739498928189278,,0.01869895961135626,0.01869895961135626,-0.028739498928189278,human
ANXA2,0.06555628776550293,0.038685522973537445,,0.05212090536952019,0.05212090536952019,0.038685522973537445,human
ADA,0.06409922242164612,0.033121995627880096,-0.010630276054143906,0.028863647331794102,0.033121995627880096,0.033121995627880096,human
GLTSCR2,0.0625128522515297,-0.016100578010082245,-0.04206935316324234,0.0014476403594017029,-0.016100578010082245,-0.016100578010082245,human
ANXA5,0.06217116490006447,,,0.06217116490006447,0.06217116490006447,,human
LGALS3,0.06203000992536545,0.03398788347840309,0.008686952292919159,0.03490161523222923,0.03398788347840309,0.03398788347840309,human
CXCL1,0.06090304255485535,,,0.06090304255485535,0.06090304255485535,,human
FAU,0.05836932733654976,0.032467860728502274,0.054514504969120026,0.04845056434472402,0.054514504969120026,0.032467860728502274,human
TRBC1,0.05646633729338646,-0.013123804703354836,0.007622016593813896,0.01698818306128184,0.007622016593813896,-0.013123804703354836,human
GPX1,0.0553438626229763,0.1011781096458435,0.033914390951395035,0.06347878774007161,0.0553438626229763,0.1011781096458435,human
HLA-DRB5,0.055246252566576004,0.10218741744756699,-0.10091601312160492,0.018839218964179356,0.055246252566576004,0.10218741744756699,human
PTMA,0.05253180116415024,-0.03201020881533623,0.012256520800292492,0.010926037716368834,0.012256520800292492,-0.03201020881533623,human
PDIA3,0.05231434479355812,-0.017299382016062737,,0.017507481388747692,0.017507481388747692,-0.017299382016062737,human
CSTB,0.052230432629585266,,0.03641058877110481,0.04432051070034504,0.04432051070034504,,human
HLA-DRB1,0.0520595908164978,0.050635118037462234,-0.33410415053367615,-0.07713648055990537,0.050635118037462234,0.050635118037462234,human
TNIP1,0.04945950210094452,,-0.00783212948590517,0.020813686307519674,0.020813686307519674,,human
RPL3,0.049283724278211594,-0.052888792008161545,0.08113238960504532,0.025842440625031788,0.049283724278211594,-0.052888792008161545,human
VIM,0.048638880252838135,-0.0587739571928978,0.056959208101034164,0.015608043720324835,0.048638880252838135,-0.0587739571928978,human
C4orf46,0.04812365770339966,0.01810886710882187,-0.01628926396369934,0.01664775361617406,0.01810886710882187,0.01810886710882187,human
DYNLL1,0.04753768816590309,,-0.011354604735970497,0.018091541714966297,0.018091541714966297,,human
S100A10,0.04744948819279671,0.02590908110141754,,0.036679284647107124,0.036679284647107124,0.02590908110141754,human
CD14,0.0461350716650486,0.10209972411394119,,0.0741173978894949,0.0741173978894949,0.10209972411394119,human
PRDX1,0.04540020227432251,0.013407056219875813,-0.009724568575620651,0.01636089663952589,0.013407056219875813,0.013407056219875813,human
THBS1,0.044798143208026886,0.04688672721385956,,0.04584243521094322,0.04584243521094322,0.04688672721385956,human
PPIB,0.04421931877732277,0.044729072600603104,0.0076629058457911015,0.03220376574123899,0.04421931877732277,0.044729072600603104,human
LOC100133583,0.042582664638757706,0.06584666669368744,-0.06528584659099579,0.014381161580483118,0.042582664638757706,0.06584666669368744,human
PLA2G7,0.042264509946107864,0.027137067168951035,,0.03470078855752945,0.03470078855752945,0.027137067168951035,human
RPS25,0.04195138439536095,-0.040177468210458755,0.04249647259712219,0.014756796260674795,0.04195138439536095,-0.040177468210458755,human
RIN2,0.041316598653793335,,,0.041316598653793335,0.041316598653793335,,human
CD3D,0.041116051375865936,,,0.041116051375865936,0.041116051375865936,,human
FLNA,0.040978867560625076,-0.027613703161478043,,0.006682582199573517,0.006682582199573517,-0.027613703161478043,human
CXCL3,0.04065585881471634,-0.026673920452594757,,0.006990969181060791,0.006990969181060791,-0.026673920452594757,human
SLC7A11,0.040520623326301575,,,0.040520623326301575,0.040520623326301575,,human
HLA-DRA,0.04024498537182808,0.06024020537734032,-0.02975504845380783,0.02357671409845352,0.04024498537182808,0.06024020537734032,human
ALCAM,0.04010634124279022,0.017914453521370888,,0.029010397382080555,0.029010397382080555,0.017914453521370888,human
RPS5,0.04005442559719086,-0.012623898684978485,0.045346084982156754,0.024258870631456375,0.04005442559719086,-0.012623898684978485,human
ARPC2,0.03865082561969757,-0.015819469466805458,-0.0073135667480528355,0.005172596468279759,-0.0073135667480528355,-0.015819469466805458,human
FTH1,0.03857928887009621,0.020497163757681847,,0.029538226313889027,0.029538226313889027,0.020497163757681847,human
PABPC1,0.03706726059317589,,0.06196193769574165,0.04951459914445877,0.04951459914445877,,human
RPL8,0.03703117370605469,-0.02129766345024109,-0.06399886310100555,-0.01608845094839732,-0.02129766345024109,-0.02129766345024109,human
IL7R,0.036889687180519104,-0.09210594743490219,,-0.027608130127191544,-0.027608130127191544,-0.09210594743490219,human
AKAP12,0.03589732199907303,,,0.03589732199907303,0.03589732199907303,,human
KYNU,0.035847894847393036,0.025928305462002754,,0.030888100154697895,0.030888100154697895,0.025928305462002754,human
EEF1B2,0.035727765411138535,-0.049048375338315964,0.10669560730457306,0.031124999125798542,0.035727765411138535,-0.049048375338315964,human
GNLY,0.03572772070765495,,,0.03572772070765495,0.03572772070765495,,human
TMA7,0.03531995788216591,,,0.03531995788216591,0.03531995788216591,,human
UBA52,0.03471401706337929,-0.011285781860351562,0.012874224223196507,0.012100819808741411,0.012874224223196507,-0.011285781860351562,human
PFN1,0.034222524613142014,0.02877797558903694,,0.03150025010108948,0.03150025010108948,0.02877797558903694,human
FXYD5,0.03406428545713425,0.03175051882863045,-0.007321386598050594,0.0194978058959047,0.03175051882863045,0.03175051882863045,human
PEA15,0.03377440571784973,0.01674622856080532,,0.025260317139327526,0.025260317139327526,0.01674622856080532,human
RPSA,0.03326249122619629,,-0.03851328790187836,-0.002625398337841034,-0.002625398337841034,,human
RPLP0P6,0.03324350714683533,0.011403162032365799,0.07796233892440796,0.0408696693678697,0.03324350714683533,0.011403162032365799,human
IFI30,0.03238998353481293,0.04441477730870247,0.04219183325767517,0.03966553136706352,0.04219183325767517,0.04441477730870247,human
FNDC3B,0.032005444169044495,-0.03574493154883385,,-0.0018697436898946762,-0.0018697436898946762,-0.03574493154883385,human
RPL4,0.03139575943350792,-0.026104368269443512,0.05149828642606735,0.01892989253004392,0.03139575943350792,-0.026104368269443512,human
RAN,0.031107941642403603,,,0.031107941642403603,0.031107941642403603,,human
DOCK4,0.031107036396861076,,,0.031107036396861076,0.031107036396861076,,human
TLR2,0.0310695581138134,0.012753823772072792,,0.021911690942943096,0.021911690942943096,0.012753823772072792,human
CCR7,0.03096775710582733,-0.032267093658447266,,-0.000649668276309967,-0.000649668276309967,-0.032267093658447266,human
RPS14P3,0.030756665393710136,-0.012719647027552128,0.03136155381798744,0.016466190728048485,0.030756665393710136,-0.012719647027552128,human
RPLP0,0.03040403127670288,-0.01441021729260683,-0.03089667297899723,-0.00496761966496706,-0.01441021729260683,-0.01441021729260683,human
JAK1,0.030014997348189354,-0.027957415208220482,,0.001028791069984436,0.001028791069984436,-0.027957415208220482,human
NPTN,0.029660839587450027,,,0.029660839587450027,0.029660839587450027,,human
SPCS2P4,0.029510175809264183,0.012836229987442493,,0.021173202898353338,0.021173202898353338,0.012836229987442493,human
OSBPL8,0.029028253629803658,-0.013983530923724174,,0.0075223613530397415,0.0075223613530397415,-0.013983530923724174,human
HBB,0.02870456874370575,0.1199449673295021,0.22597238421440125,0.12487397342920303,0.1199449673295021,0.1199449673295021,human
