gene_symbol,logfc_dz:515,logfc_dz:809,mean_logfc,median_logfc,common_experiment,organism
LIPC,0.06045501306653023,0.14479900896549225,0.10262701101601124,0.10262701101601124,0.14479900896549225,human
JAKMIP1,0.05709543824195862,0.049384117126464844,0.05323977768421173,0.05323977768421173,0.049384117126464844,human
CREB5,0.05072296783328056,0.03299275413155556,0.04185786098241806,0.04185786098241806,0.03299275413155556,human
CCL17,0.046462997794151306,0.02846376597881317,0.03746338188648224,0.03746338188648224,0.02846376597881317,human
DMKN,0.044781897217035294,0.04006902128458023,0.04242545925080776,0.04242545925080776,0.04006902128458023,human
FAM167A,0.044234614819288254,0.05496218428015709,0.04959839954972267,0.04959839954972267,0.05496218428015709,human
ENOX1,0.04395577311515808,0.039681192487478256,0.04181848280131817,0.04181848280131817,0.039681192487478256,human
ACKR3,0.043275218456983566,0.028742607682943344,0.036008913069963455,0.036008913069963455,0.028742607682943344,human
CCL22,0.04112515598535538,0.02453349344432354,0.03282932471483946,0.03282932471483946,0.02453349344432354,human
SV2B,0.038193996995687485,0.03333280235528946,0.03576339967548847,0.03576339967548847,0.03333280235528946,human
TACSTD2,0.037338078022003174,0.027987878769636154,0.032662978395819664,0.032662978395819664,0.027987878769636154,human
CNIH3,0.037047095596790314,0.020161332562565804,0.02860421407967806,0.02860421407967806,0.020161332562565804,human
FAM154B,0.036970168352127075,0.02035503461956978,0.028662601485848427,0.028662601485848427,0.02035503461956978,human
TIAM2,0.035827621817588806,0.017411114647984505,0.026619368232786655,0.026619368232786655,0.017411114647984505,human
DAPK2,0.03562242165207863,,0.03562242165207863,0.03562242165207863,,human
LOC644450,0.03539982810616493,0.0351121611893177,0.03525599464774132,0.03525599464774132,0.0351121611893177,human
TSPAN11,0.03539783135056496,0.025215117260813713,0.030306474305689335,0.030306474305689335,0.025215117260813713,human
MIA,0.03392089158296585,0.020396221429109573,0.027158556506037712,0.027158556506037712,0.020396221429109573,human
GIMAP7,0.03318820148706436,0.02485058270394802,0.02901939209550619,0.02901939209550619,0.02485058270394802,human
C12orf54,0.033046770840883255,,0.033046770840883255,0.033046770840883255,,human
SERPINB2,0.03302702680230141,0.027877431362867355,0.03045222908258438,0.03045222908258438,0.027877431362867355,human
GIMAP5,0.032513923943042755,0.02514449693262577,0.028829210437834263,0.028829210437834263,0.02514449693262577,human
HNRNPLL,0.032127927988767624,,0.032127927988767624,0.032127927988767624,,human
PITPNC1,0.0318453274667263,,0.0318453274667263,0.0318453274667263,,human
HEYL,0.03182779252529144,0.029609568417072296,0.03071868047118187,0.03071868047118187,0.029609568417072296,human
KIAA1549L,0.031819891184568405,0.024793772026896477,0.02830683160573244,0.02830683160573244,0.024793772026896477,human
RASSF4,0.031537704169750214,0.019605135545134544,0.02557141985744238,0.02557141985744238,0.019605135545134544,human
TCF7,0.031452082097530365,,0.031452082097530365,0.031452082097530365,,human
TRBV5-4,0.030972661450505257,0.023497631773352623,0.02723514661192894,0.02723514661192894,0.023497631773352623,human
RYR2,0.030956970527768135,0.04206147417426109,0.036509222351014614,0.036509222351014614,0.04206147417426109,human
STAR,0.030865401029586792,0.031267087906599045,0.03106624446809292,0.03106624446809292,0.031267087906599045,human
NOTCH2,0.030810218304395676,0.03505070134997368,0.03293045982718468,0.03293045982718468,0.03505070134997368,human
DDX43,0.030431712046265602,0.037953805178403854,0.03419275861233473,0.03419275861233473,0.037953805178403854,human
CCDC74B,0.0304061658680439,0.019663820043206215,0.025034992955625057,0.025034992955625057,0.019663820043206215,human
C1orf21,0.03032226674258709,,0.03032226674258709,0.03032226674258709,,human
P4HA2,0.030182359740138054,0.022762704640626907,0.02647253219038248,0.02647253219038248,0.022762704640626907,human
GHSR,0.02994937263429165,0.01735731028020382,0.023653341457247734,0.023653341457247734,0.01735731028020382,human
CWH43,0.029904071241617203,,0.029904071241617203,0.029904071241617203,,human
DKFZP586K1520,0.02989346906542778,0.022204536944627762,0.02604900300502777,0.02604900300502777,0.022204536944627762,human
TUBB2B,0.029828481376171112,0.019724031910300255,0.024776256643235683,0.024776256643235683,0.019724031910300255,human
DNAJC5B,0.02960933931171894,0.02610921487212181,0.027859277091920376,0.027859277091920376,0.02610921487212181,human
TPRG1,0.029547978192567825,0.027282530441880226,0.028415254317224026,0.028415254317224026,0.027282530441880226,human
GIMAP1,0.029479337856173515,0.02043364755809307,0.024956492707133293,0.024956492707133293,0.02043364755809307,human
CLIC2,0.029402626678347588,0.03587716817855835,0.03263989742845297,0.03263989742845297,0.03587716817855835,human
MDGA1,0.029254188761115074,0.02021515555679798,0.024734672158956528,0.024734672158956528,0.02021515555679798,human
SHE,0.02907509356737137,0.02140815556049347,0.02524162456393242,0.02524162456393242,0.02140815556049347,human
SLC13A3,0.02904048189520836,0.02506808564066887,0.027054283767938614,0.027054283767938614,0.02506808564066887,human
ZG16B,0.02896355278789997,0.02191348746418953,0.02543852012604475,0.02543852012604475,0.02191348746418953,human
PBX4,0.028931761160492897,,0.028931761160492897,0.028931761160492897,,human
RMDN2,0.02892914228141308,0.029356185346841812,0.029142663814127445,0.029142663814127445,0.029356185346841812,human
FBP2,0.028879748657345772,0.04977693408727646,0.039328341372311115,0.039328341372311115,0.04977693408727646,human
CSF2,0.02874208614230156,0.02565721608698368,0.02719965111464262,0.02719965111464262,0.02565721608698368,human
UNC13C,0.02866744063794613,,0.02866744063794613,0.02866744063794613,,human
HECW2,0.028501596301794052,0.033192697912454605,0.03084714710712433,0.03084714710712433,0.033192697912454605,human
TMEM200A,0.028405694290995598,0.020051555708050728,0.024228624999523163,0.024228624999523163,0.020051555708050728,human
KLHL6,0.02834796905517578,0.018389953300356865,0.023368961177766323,0.023368961177766323,0.018389953300356865,human
CMKLR1,0.028282003477215767,0.02557690255343914,0.026929453015327454,0.026929453015327454,0.02557690255343914,human
