gene_symbol,logfc_dz:76,logfc_dz:270,mean_logfc,median_logfc,common_experiment,organism
DOCK6,0.143291175365448,,0.143291175365448,0.143291175365448,0.143291175365448,human
NELL1,0.13977177441120148,,0.13977177441120148,0.13977177441120148,0.13977177441120148,human
CEBPD,0.0906015932559967,0.01655789092183113,0.05357974208891392,0.05357974208891392,0.0906015932559967,human
HRG,0.09053123742341995,,0.09053123742341995,0.09053123742341995,0.09053123742341995,human
LMO2,0.08962422609329224,0.026068154722452164,0.0578461904078722,0.0578461904078722,0.08962422609329224,human
SLITRK3,0.08944091200828552,,0.08944091200828552,0.08944091200828552,0.08944091200828552,human
GIMAP5,0.08749145269393921,,0.08749145269393921,0.08749145269393921,0.08749145269393921,human
TMEM154,0.08725312352180481,,0.08725312352180481,0.08725312352180481,0.08725312352180481,human
FAM162B,0.08721957355737686,,0.08721957355737686,0.08721957355737686,0.08721957355737686,human
GKN2,0.08090920001268387,,0.08090920001268387,0.08090920001268387,0.08090920001268387,human
TSPAN5,0.07865114510059357,,0.07865114510059357,0.07865114510059357,0.07865114510059357,human
SATB1,0.07767454534769058,0.021763907745480537,0.04971922654658556,0.04971922654658556,0.07767454534769058,human
SP110,0.07471092790365219,,0.07471092790365219,0.07471092790365219,0.07471092790365219,human
CCDC3,0.0738576203584671,,0.0738576203584671,0.0738576203584671,0.0738576203584671,human
RTP4,0.07383812963962555,,0.07383812963962555,0.07383812963962555,0.07383812963962555,human
PECAM1,0.07188817858695984,-0.01354194711893797,0.029173115734010935,0.029173115734010935,0.07188817858695984,human
FCER1G,0.07112705707550049,,0.07112705707550049,0.07112705707550049,0.07112705707550049,human
NUAK1,0.07062675803899765,,0.07062675803899765,0.07062675803899765,0.07062675803899765,human
PENK,0.06967642158269882,0.09370578080415726,0.08169110119342804,0.08169110119342804,0.06967642158269882,human
FCGR1B,0.06804386526346207,,0.06804386526346207,0.06804386526346207,0.06804386526346207,human
ISLR,0.06793267279863358,,0.06793267279863358,0.06793267279863358,0.06793267279863358,human
GUK1,0.0677284374833107,,0.0677284374833107,0.0677284374833107,0.0677284374833107,human
AMPD3,0.06748736649751663,,0.06748736649751663,0.06748736649751663,0.06748736649751663,human
C9,0.06723784655332565,,0.06723784655332565,0.06723784655332565,0.06723784655332565,human
EGFLAM,0.0651683434844017,,0.0651683434844017,0.0651683434844017,0.0651683434844017,human
C1S,0.06308936327695847,-0.02047737129032612,0.021305995993316174,0.021305995993316174,0.06308936327695847,human
HBQ1,0.06081095337867737,,0.06081095337867737,0.06081095337867737,0.06081095337867737,human
TBX21,0.06079418584704399,,0.06079418584704399,0.06079418584704399,0.06079418584704399,human
AR,0.06065218523144722,,0.06065218523144722,0.06065218523144722,0.06065218523144722,human
OSR1,0.06009051948785782,,0.06009051948785782,0.06009051948785782,0.06009051948785782,human
NKX3-2,0.05926312506198883,0.03162340447306633,0.04544326476752758,0.04544326476752758,0.05926312506198883,human
IFT74,0.05923915654420853,,0.05923915654420853,0.05923915654420853,0.05923915654420853,human
TMEM204,0.05826695263385773,0.03446907550096512,0.04636801406741142,0.04636801406741142,0.05826695263385773,human
CD52,0.057753659784793854,,0.057753659784793854,0.057753659784793854,0.057753659784793854,human
ANKRD36C,0.056247733533382416,,0.056247733533382416,0.056247733533382416,0.056247733533382416,human
LPHN3,0.05614795163273811,,0.05614795163273811,0.05614795163273811,0.05614795163273811,human
B3GALT4,0.0548538975417614,,0.0548538975417614,0.0548538975417614,0.0548538975417614,human
SPINK1,0.054752640426158905,,0.054752640426158905,0.054752640426158905,0.054752640426158905,human
PRKCQ,0.05474131554365158,0.12222123891115189,0.08848127722740173,0.08848127722740173,0.05474131554365158,human
ZNF148,0.05422094091773033,,0.05422094091773033,0.05422094091773033,0.05422094091773033,human
ANKRD36,0.05416903644800186,,0.05416903644800186,0.05416903644800186,0.05416903644800186,human
C11orf96,0.05381712689995766,,0.05381712689995766,0.05381712689995766,0.05381712689995766,human
PLCXD3,0.05323970690369606,,0.05323970690369606,0.05323970690369606,0.05323970690369606,human
TYROBP,0.05277067422866821,,0.05277067422866821,0.05277067422866821,0.05277067422866821,human
HBD,0.05088373273611069,,0.05088373273611069,0.05088373273611069,0.05088373273611069,human
CTSZ,0.05078069120645523,,0.05078069120645523,0.05078069120645523,0.05078069120645523,human
NPNT,0.05059071257710457,,0.05059071257710457,0.05059071257710457,0.05059071257710457,human
SAMHD1,0.050244878977537155,,0.050244878977537155,0.050244878977537155,0.050244878977537155,human
NCF2,0.04943828657269478,,0.04943828657269478,0.04943828657269478,0.04943828657269478,human
FAXDC2,0.0494035929441452,,0.0494035929441452,0.0494035929441452,0.0494035929441452,human
A2M,0.049220792949199677,-0.06415213644504547,-0.007465671747922897,-0.007465671747922897,0.049220792949199677,human
AIM2,0.04851871728897095,,0.04851871728897095,0.04851871728897095,0.04851871728897095,human
HBA2,0.048299286514520645,-0.049853209406137466,-0.0007769614458084106,-0.0007769614458084106,0.048299286514520645,human
ENPP2,0.04823499545454979,-0.014866395853459835,0.016684299800544977,0.016684299800544977,0.04823499545454979,human
IL32,0.048116084188222885,,0.048116084188222885,0.048116084188222885,0.048116084188222885,human
SLITRK6,0.04763716459274292,,0.04763716459274292,0.04763716459274292,0.04763716459274292,human
ECSCR,0.04653997719287872,,0.04653997719287872,0.04653997719287872,0.04653997719287872,human
PLK3,0.046460092067718506,,0.046460092067718506,0.046460092067718506,0.046460092067718506,human
C1orf53,0.04599617049098015,,0.04599617049098015,0.04599617049098015,0.04599617049098015,human
PABPC4L,0.045825522392988205,,0.045825522392988205,0.045825522392988205,0.045825522392988205,human
C1R,0.04576164856553078,-0.02129705622792244,0.012232296168804169,0.012232296168804169,0.04576164856553078,human
ERAP1,0.04502660408616066,,0.04502660408616066,0.04502660408616066,0.04502660408616066,human
ARGLU1,0.044699717313051224,,0.044699717313051224,0.044699717313051224,0.044699717313051224,human
CD34,0.04428211599588394,,0.04428211599588394,0.04428211599588394,0.04428211599588394,human
HIST1H3C,0.04402817785739899,,0.04402817785739899,0.04402817785739899,0.04402817785739899,human
MAP9,0.04378931596875191,,0.04378931596875191,0.04378931596875191,0.04378931596875191,human
JAM2,0.043406981974840164,,0.043406981974840164,0.043406981974840164,0.043406981974840164,human
LIAS,0.04338425397872925,,0.04338425397872925,0.04338425397872925,0.04338425397872925,human
TNFRSF14,0.042802754789590836,,0.042802754789590836,0.042802754789590836,0.042802754789590836,human
F9,0.04214263707399368,,0.04214263707399368,0.04214263707399368,0.04214263707399368,human
PDZD2,0.04206956550478935,,0.04206956550478935,0.04206956550478935,0.04206956550478935,human
LINC00652,0.04197777435183525,,0.04197777435183525,0.04197777435183525,0.04197777435183525,human
C1QA,0.04195180907845497,,0.04195180907845497,0.04195180907845497,0.04195180907845497,human
SLC25A39,0.04179997369647026,,0.04179997369647026,0.04179997369647026,0.04179997369647026,human
DNASE1L3,0.041712403297424316,,0.041712403297424316,0.041712403297424316,0.041712403297424316,human
UNC5B,0.04150482639670372,,0.04150482639670372,0.04150482639670372,0.04150482639670372,human
ADTRP,0.04083089902997017,,0.04083089902997017,0.04083089902997017,0.04083089902997017,human
EMC10,0.040674444288015366,,0.040674444288015366,0.040674444288015366,0.040674444288015366,human
CHD1L,0.040660250931978226,,0.040660250931978226,0.040660250931978226,0.040660250931978226,human
NEURL1B,0.04053811356425285,,0.04053811356425285,0.04053811356425285,0.04053811356425285,human
DPP10-AS1,0.04052913188934326,,0.04052913188934326,0.04052913188934326,0.04052913188934326,human
DEFA3,0.040505826473236084,,0.040505826473236084,0.040505826473236084,0.040505826473236084,human
CYP1B1,0.04040277749300003,,0.04040277749300003,0.04040277749300003,0.04040277749300003,human
S100A8,0.039949461817741394,,0.039949461817741394,0.039949461817741394,0.039949461817741394,human
PF4V1,0.03877437859773636,,0.03877437859773636,0.03877437859773636,0.03877437859773636,human
AQP1,0.038629237562417984,-0.022653385996818542,0.00798792578279972,0.00798792578279972,0.038629237562417984,human
SLIT2,0.03858445584774017,0.012623002752661705,0.02560372930020094,0.02560372930020094,0.03858445584774017,human
MAP2K3,0.038575004786252975,,0.038575004786252975,0.038575004786252975,0.038575004786252975,human
MERTK,0.038471754640340805,,0.038471754640340805,0.038471754640340805,0.038471754640340805,human
SERPINC1,0.03830769285559654,,0.03830769285559654,0.03830769285559654,0.03830769285559654,human
SYNDIG1,0.038260720670223236,,0.038260720670223236,0.038260720670223236,0.038260720670223236,human
