gene_symbol,logfc_dz:862,logfc_dz:863,mean_logfc,median_logfc,common_experiment,organism
SPARCL1,0.18533800542354584,,0.18533800542354584,0.18533800542354584,0.18533800542354584,human
SERPINA3,0.1438591480255127,0.05508221313357353,0.09947068057954311,0.09947068057954311,0.1438591480255127,human
SGK1,0.11621078103780746,,0.11621078103780746,0.11621078103780746,0.11621078103780746,human
ACTG1,0.11405295133590698,0.049499474465847015,0.081776212900877,0.081776212900877,0.11405295133590698,human
GJA1,0.1097496747970581,0.053881991654634476,0.08181583322584629,0.08181583322584629,0.1097496747970581,human
C3,0.10417317599058151,0.065009206533432,0.08459119126200676,0.08459119126200676,0.10417317599058151,human
LDHB,0.1000211238861084,0.04785044491291046,0.07393578439950943,0.07393578439950943,0.1000211238861084,human
RASD1,0.09758200496435165,0.1025078073143959,0.10004490613937378,0.10004490613937378,0.09758200496435165,human
GPM6B,0.07562098652124405,-0.03698912635445595,0.01931593008339405,0.01931593008339405,0.07562098652124405,human
RPL9,0.07118909806013107,0.04522708058357239,0.05820808932185173,0.05820808932185173,0.07118909806013107,human
PLP1,0.07107684016227722,-0.19667384028434753,-0.06279850006103516,-0.06279850006103516,0.07107684016227722,human
DBI,0.06877070665359497,0.02737576514482498,0.048073235899209976,0.048073235899209976,0.06877070665359497,human
AGT,0.06516824662685394,0.012768914923071861,0.0389685807749629,0.0389685807749629,0.06516824662685394,human
TMSB10,0.06294643133878708,0.07250563055276871,0.0677260309457779,0.0677260309457779,0.06294643133878708,human
CYFIP1,0.060854990035295486,0.03031916357576847,0.04558707680553198,0.04558707680553198,0.060854990035295486,human
LTF,0.060570139437913895,0.011867648921906948,0.03621889417991042,0.03621889417991042,0.060570139437913895,human
HEY1,0.06039268150925636,0.0419868603348732,0.05118977092206478,0.05118977092206478,0.06039268150925636,human
ADAR,0.05843164399266243,0.015683406963944435,0.03705752547830343,0.03705752547830343,0.05843164399266243,human
PFN2,0.05833461508154869,,0.05833461508154869,0.05833461508154869,0.05833461508154869,human
SCRG1,0.05797465518116951,,0.05797465518116951,0.05797465518116951,0.05797465518116951,human
RAB31,0.057680368423461914,0.01876288652420044,0.03822162747383118,0.03822162747383118,0.057680368423461914,human
PRDX1,0.05722041800618172,-0.017469903454184532,0.019875257275998592,0.019875257275998592,0.05722041800618172,human
KCTD12,0.05662425607442856,0.037437666207551956,0.04703096114099026,0.04703096114099026,0.05662425607442856,human
NCOA4,0.055813420563936234,0.027245257049798965,0.0415293388068676,0.0415293388068676,0.055813420563936234,human
HMGN2,0.0534261018037796,0.039365414530038834,0.04639575816690922,0.04639575816690922,0.0534261018037796,human
IFITM3,0.05255332589149475,0.019654903560876846,0.0361041147261858,0.0361041147261858,0.05255332589149475,human
AQP4,0.05134052038192749,,0.05134052038192749,0.05134052038192749,0.05134052038192749,human
NDRG1,0.050910480320453644,-0.1016632467508316,-0.02537638321518898,-0.02537638321518898,0.050910480320453644,human
CSRP2,0.05049557983875275,,0.05049557983875275,0.05049557983875275,0.05049557983875275,human
GPX1,0.05034414306282997,0.04345365986227989,0.04689890146255493,0.04689890146255493,0.05034414306282997,human
TXNIP,0.04894039034843445,,0.04894039034843445,0.04894039034843445,0.04894039034843445,human
ADD3,0.04767598956823349,-0.023357203230261803,0.012159393168985844,0.012159393168985844,0.04767598956823349,human
TUBA1C,0.04719403386116028,-0.03438979759812355,0.006402118131518364,0.006402118131518364,0.04719403386116028,human
PRDX6,0.046066973358392715,,0.046066973358392715,0.046066973358392715,0.046066973358392715,human
IER2,0.04547157883644104,0.01344288233667612,0.02945723058655858,0.02945723058655858,0.04547157883644104,human
FTL,0.04488672316074371,0.03014758788049221,0.03751715552061796,0.03751715552061796,0.04488672316074371,human
GARS,0.04428735375404358,0.01609247550368309,0.030189914628863335,0.030189914628863335,0.04428735375404358,human
FTH1P5,0.04397617280483246,-0.030047813430428505,0.006964179687201977,0.006964179687201977,0.04397617280483246,human
ARHGEF6,0.043940749019384384,0.032080501317977905,0.038010625168681145,0.038010625168681145,0.043940749019384384,human
SLC25A3,0.04315175488591194,,0.04315175488591194,0.04315175488591194,0.04315175488591194,human
HLA-A,0.042980652302503586,0.05853810906410217,0.05075938068330288,0.05075938068330288,0.042980652302503586,human
IMPA1,0.04296734184026718,,0.04296734184026718,0.04296734184026718,0.04296734184026718,human
EGR1,0.042693912982940674,,0.042693912982940674,0.042693912982940674,0.042693912982940674,human
NPM1,0.04187842831015587,0.03024189919233322,0.036060163751244545,0.036060163751244545,0.04187842831015587,human
CEBPB,0.04161820560693741,0.018543638288974762,0.030080921947956085,0.030080921947956085,0.04161820560693741,human
BASP1,0.041250165551900864,,0.041250165551900864,0.041250165551900864,0.041250165551900864,human
ALDH9A1,0.04006088897585869,0.018936585634946823,0.029498737305402756,0.029498737305402756,0.04006088897585869,human
PSMD14,0.03990815579891205,0.015652170404791832,0.02778016310185194,0.02778016310185194,0.03990815579891205,human
VSIG4,0.0397711880505085,0.019377583637833595,0.029574385844171047,0.029574385844171047,0.0397711880505085,human
ACTB,0.03968783840537071,0.01603355072438717,0.02786069456487894,0.02786069456487894,0.03968783840537071,human
HADHB,0.03949371352791786,,0.03949371352791786,0.03949371352791786,0.03949371352791786,human
RPL6,0.0390637144446373,0.04480353370308876,0.04193362407386303,0.04193362407386303,0.0390637144446373,human
RPS4Y1,0.03893293812870979,-0.043287243694067,-0.002177152782678604,-0.002177152782678604,0.03893293812870979,human
CDIPT,0.03865053132176399,,0.03865053132176399,0.03865053132176399,0.03865053132176399,human
CD99,0.03862662613391876,,0.03862662613391876,0.03862662613391876,0.03862662613391876,human
RPL21,0.03837331011891365,-0.04484729841351509,-0.00323699414730072,-0.00323699414730072,0.03837331011891365,human
RPL12,0.038208648562431335,0.02458975650370121,0.03139920253306627,0.03139920253306627,0.038208648562431335,human
EIF3E,0.037206798791885376,0.035572461783885956,0.036389630287885666,0.036389630287885666,0.037206798791885376,human
NDUFAB1,0.03655509278178215,,0.03655509278178215,0.03655509278178215,0.03655509278178215,human
SF3B1,0.036332324147224426,,0.036332324147224426,0.036332324147224426,0.036332324147224426,human
APLNR,0.03620664402842522,,0.03620664402842522,0.03620664402842522,0.03620664402842522,human
LDHA,0.03606487065553665,0.02351519837975502,0.029790034517645836,0.029790034517645836,0.03606487065553665,human
TALDO1,0.035969797521829605,-0.04057551547884941,-0.002302858978509903,-0.002302858978509903,0.035969797521829605,human
HNRNPA1P10,0.035191021859645844,0.011760631576180458,0.02347582671791315,0.02347582671791315,0.035191021859645844,human
RPL4,0.03468230739235878,0.013952397741377354,0.024317352566868067,0.024317352566868067,0.03468230739235878,human
KHDRBS3,0.0344768725335598,,0.0344768725335598,0.0344768725335598,0.0344768725335598,human
PMP2,0.03441886603832245,0.01785600185394287,0.02613743394613266,0.02613743394613266,0.03441886603832245,human
CRYAB,0.034398794174194336,-0.06804605573415756,-0.016823630779981613,-0.016823630779981613,0.034398794174194336,human
NUP107,0.034277256578207016,0.01237616129219532,0.023326708935201168,0.023326708935201168,0.034277256578207016,human
PPA1,0.03413209691643715,,0.03413209691643715,0.03413209691643715,0.03413209691643715,human
CRISPLD1,0.03394780680537224,0.013376607559621334,0.023662207182496786,0.023662207182496786,0.03394780680537224,human
ITM2C,0.033877257257699966,,0.033877257257699966,0.033877257257699966,0.033877257257699966,human
FTH1,0.0336112305521965,-0.0806121677160263,-0.0235004685819149,-0.0235004685819149,0.0336112305521965,human
H3F3B,0.033457037061452866,,0.033457037061452866,0.033457037061452866,0.033457037061452866,human
NCAN,0.03271135315299034,,0.03271135315299034,0.03271135315299034,0.03271135315299034,human
PGAM1,0.03269563242793083,,0.03269563242793083,0.03269563242793083,0.03269563242793083,human
MAGED1,0.032658401876688004,0.019571805372834206,0.026115103624761105,0.026115103624761105,0.032658401876688004,human
SERPINI1,0.03256537765264511,-0.04716163128614426,-0.007298126816749573,-0.007298126816749573,0.03256537765264511,human
PCDH9,0.0322563461959362,-0.1407051533460617,-0.05422440357506275,-0.05422440357506275,0.0322563461959362,human
KIAA1598,0.032182201743125916,-0.19692204892635345,-0.08236992359161377,-0.08236992359161377,0.032182201743125916,human
LAP3,0.03183270990848541,0.02847561053931713,0.030154160223901272,0.030154160223901272,0.03183270990848541,human
PTPLAD1,0.031117066740989685,,0.031117066740989685,0.031117066740989685,0.031117066740989685,human
MAP1B,0.031079126521945,0.012025102972984314,0.021552114747464657,0.021552114747464657,0.031079126521945,human
RAN,0.03084740787744522,0.0200615543872118,0.02545448113232851,0.02545448113232851,0.03084740787744522,human
GLO1,0.030778460204601288,,0.030778460204601288,0.030778460204601288,0.030778460204601288,human
RPN2,0.030415212735533714,0.026814203709363937,0.028614708222448826,0.028614708222448826,0.030415212735533714,human
BTBD3,0.030398527160286903,-0.0427694246172905,-0.006185448728501797,-0.006185448728501797,0.030398527160286903,human
ENDOD1,0.030396118760108948,,0.030396118760108948,0.030396118760108948,0.030396118760108948,human
SEC61G,0.030355658382177353,,0.030355658382177353,0.030355658382177353,0.030355658382177353,human
HLA-B,0.03034263849258423,0.026009490713477135,0.02817606460303068,0.02817606460303068,0.03034263849258423,human
SPOCK1,0.029817605391144753,-0.04129592329263687,-0.005739158950746059,-0.005739158950746059,0.029817605391144753,human
PEBP1,0.02963688224554062,-0.04448329284787178,-0.007423205301165581,-0.007423205301165581,0.02963688224554062,human
ALDOA,0.02960171177983284,,0.02960171177983284,0.02960171177983284,0.02960171177983284,human
SLC25A5,0.02956293150782585,,0.02956293150782585,0.02956293150782585,0.02956293150782585,human
HLA-E,0.029478222131729126,0.015205660834908485,0.022341941483318806,0.022341941483318806,0.029478222131729126,human
PSMA6,0.0293186716735363,0.03547836095094681,0.032398516312241554,0.032398516312241554,0.0293186716735363,human
FAM107A,0.02919768914580345,-0.03180801495909691,-0.0013051629066467285,-0.0013051629066467285,0.02919768914580345,human
CSRP1,0.028905509039759636,-0.10064082592725754,-0.03586765844374895,-0.03586765844374895,0.028905509039759636,human
DDIT4,0.02875220589339733,,0.02875220589339733,0.02875220589339733,0.02875220589339733,human
FOS,0.028740225359797478,,0.028740225359797478,0.028740225359797478,0.028740225359797478,human
BBOX1,0.028515219688415527,,0.028515219688415527,0.028515219688415527,0.028515219688415527,human
