gene_symbol,logfc_dz:706,mean_logfc,median_logfc,common_experiment,organism
HLA-A,0.185257688164711,0.185257688164711,0.185257688164711,0.185257688164711,human
ACTC1,0.1359420120716095,0.1359420120716095,0.1359420120716095,0.1359420120716095,human
HLA-B,0.12375272065401077,0.12375272065401077,0.12375272065401077,0.12375272065401077,human
TXNIP,0.1164926141500473,0.1164926141500473,0.1164926141500473,0.1164926141500473,human
ATP2A2,0.11361251771450043,0.11361251771450043,0.11361251771450043,0.11361251771450043,human
PDK4,0.11143335700035095,0.11143335700035095,0.11143335700035095,0.11143335700035095,human
HLA-J,0.1082565113902092,0.1082565113902092,0.1082565113902092,0.1082565113902092,human
CD74,0.10552942752838135,0.10552942752838135,0.10552942752838135,0.10552942752838135,human
MYL3,0.09390094131231308,0.09390094131231308,0.09390094131231308,0.09390094131231308,human
MYH8,0.09030875563621521,0.09030875563621521,0.09030875563621521,0.09030875563621521,human
MT2A,0.0901806429028511,0.0901806429028511,0.0901806429028511,0.0901806429028511,human
MYH7,0.08721724897623062,0.08721724897623062,0.08721724897623062,0.08721724897623062,human
B2M,0.08666937798261642,0.08666937798261642,0.08666937798261642,0.08666937798261642,human
MYOT,0.08189601451158524,0.08189601451158524,0.08189601451158524,0.08189601451158524,human
TNNC1,0.08162152022123337,0.08162152022123337,0.08162152022123337,0.08162152022123337,human
HLA-C,0.07737195491790771,0.07737195491790771,0.07737195491790771,0.07737195491790771,human
CA3,0.0758856013417244,0.0758856013417244,0.0758856013417244,0.0758856013417244,human
MUSTN1,0.07455283403396606,0.07455283403396606,0.07455283403396606,0.07455283403396606,human
RN7SK,0.07448739558458328,0.07448739558458328,0.07448739558458328,0.07448739558458328,human
MIR675,0.07125671952962875,0.07125671952962875,0.07125671952962875,0.07125671952962875,human
ANKRD1,0.07111231237649918,0.07111231237649918,0.07111231237649918,0.07111231237649918,human
TNNI1,0.06673818826675415,0.06673818826675415,0.06673818826675415,0.06673818826675415,human
TNNT1,0.06220847740769386,0.06220847740769386,0.06220847740769386,0.06220847740769386,human
SAA2,0.061317265033721924,0.061317265033721924,0.061317265033721924,0.061317265033721924,human
TMSB10,0.059093378484249115,0.059093378484249115,0.059093378484249115,0.059093378484249115,human
TPM3,0.058936700224876404,0.058936700224876404,0.058936700224876404,0.058936700224876404,human
LDHB,0.05810140445828438,0.05810140445828438,0.05810140445828438,0.05810140445828438,human
TMSB4XP6,0.05744579806923866,0.05744579806923866,0.05744579806923866,0.05744579806923866,human
INS-IGF2,0.05530926212668419,0.05530926212668419,0.05530926212668419,0.05530926212668419,human
SPARCL1,0.054726455360651016,0.054726455360651016,0.054726455360651016,0.054726455360651016,human
TSPAN7,0.05233856290578842,0.05233856290578842,0.05233856290578842,0.05233856290578842,human
CASQ2,0.05210832133889198,0.05210832133889198,0.05210832133889198,0.05210832133889198,human
FAM127A,0.04943101480603218,0.04943101480603218,0.04943101480603218,0.04943101480603218,human
EIF1AY,0.04889548569917679,0.04889548569917679,0.04889548569917679,0.04889548569917679,human
ATP5B,0.048590246587991714,0.048590246587991714,0.048590246587991714,0.048590246587991714,human
