gene_symbol,logfc_dz:1044,logfc_dz:1047,mean_logfc,median_logfc,common_experiment,organism
CENPK,0.0556194894015789,-0.04804975166916847,0.0037848688662052155,0.0037848688662052155,-0.04804975166916847,human
LOC286087,0.05062512308359146,,0.05062512308359146,0.05062512308359146,,human
RPL34,0.03731546923518181,-0.018263723701238632,0.009525872766971588,0.009525872766971588,-0.018263723701238632,human
SPINK2,0.03619304299354553,,0.03619304299354553,0.03619304299354553,,human
RPL22L1,0.03311051055788994,-0.02835186757147312,0.0023793214932084084,0.0023793214932084084,-0.02835186757147312,human
LOC100506948,0.03162754699587822,,0.03162754699587822,0.03162754699587822,,human
RNF182,0.030977895483374596,0.30531853437423706,0.16814821492880583,0.16814821492880583,0.30531853437423706,human
RPL26L1,0.030583122745156288,-0.01892896555364132,0.0058270785957574844,0.0058270785957574844,-0.01892896555364132,human
C4BPA,0.02856343239545822,,0.02856343239545822,0.02856343239545822,,human
PFDN5,0.028415288776159286,-0.01797354593873024,0.005220871418714523,0.005220871418714523,-0.01797354593873024,human
COX7C,0.028200486674904823,,0.028200486674904823,0.028200486674904823,,human
TCF15,0.02681145630776882,,0.02681145630776882,0.02681145630776882,,human
RPL36A,0.025816408917307854,-0.03459857404232025,-0.004391082562506199,-0.004391082562506199,-0.03459857404232025,human
FOLR3,0.025491483509540558,-0.025599509477615356,-5.401298403739929e-05,-5.401298403739929e-05,-0.025599509477615356,human
RPS26,0.025364799425005913,,0.025364799425005913,0.025364799425005913,,human
RPS7,0.02460612915456295,,0.02460612915456295,0.02460612915456295,,human
TUBB1,0.02450431138277054,0.02135840430855751,0.022931357845664024,0.022931357845664024,0.02135840430855751,human
ZBTB41,0.024271300062537193,,0.024271300062537193,0.024271300062537193,,human
PRPF39,0.024112233892083168,,0.024112233892083168,0.024112233892083168,,human
MAP3K7CL,0.02346191182732582,-0.041554175317287445,-0.009046131744980812,-0.009046131744980812,-0.041554175317287445,human
LINC00400,0.02317381091415882,,0.02317381091415882,0.02317381091415882,,human
