gene_symbol,logfc_dz:430,mean_logfc,median_logfc,common_experiment,organism
LRRN3,0.03953806310892105,0.03953806310892105,0.03953806310892105,0.03953806310892105,human
HP,0.003194409189745784,0.003194409189745784,0.003194409189745784,0.003194409189745784,human
HBB,0.002098305383697152,0.002098305383697152,0.002098305383697152,0.002098305383697152,human
IFI44L,0.0009442379232496023,0.0009442379232496023,0.0009442379232496023,0.0009442379232496023,human
TYRP1,0.0007306109182536602,0.0007306109182536602,0.0007306109182536602,0.0007306109182536602,human
ZFY,0.0005644083139486611,0.0005644083139486611,0.0005644083139486611,0.0005644083139486611,human
CCDC144A,0.0004260096466168761,0.0004260096466168761,0.0004260096466168761,0.0004260096466168761,human
SCG2,0.00040728403837420046,0.00040728403837420046,0.00040728403837420046,0.00040728403837420046,human
MYL4,0.00025362815358676016,0.00025362815358676016,0.00025362815358676016,0.00025362815358676016,human
DKFZP547J0410,0.00022275839000940323,0.00022275839000940323,0.00022275839000940323,0.00022275839000940323,human
MAGEB3,0.0002216892025899142,0.0002216892025899142,0.0002216892025899142,0.0002216892025899142,human
CADPS,0.00017094395298045129,0.00017094395298045129,0.00017094395298045129,0.00017094395298045129,human
MAPK12,0.00015859097766224295,0.00015859097766224295,0.00015859097766224295,0.00015859097766224295,human
MPPED2,0.000134827452711761,0.000134827452711761,0.000134827452711761,0.000134827452711761,human
TUSC3,0.00012260323273949325,0.00012260323273949325,0.00012260323273949325,0.00012260323273949325,human
PF4V1,0.00011489939060993493,0.00011489939060993493,0.00011489939060993493,0.00011489939060993493,human
HLA-DQA1,0.0001072497689165175,0.0001072497689165175,0.0001072497689165175,0.0001072497689165175,human
GPR37,0.0001035901514114812,0.0001035901514114812,0.0001035901514114812,0.0001035901514114812,human
ID1,8.88033100636676e-05,8.88033100636676e-05,8.88033100636676e-05,8.88033100636676e-05,human
SRY,8.128870103973895e-05,8.128870103973895e-05,8.128870103973895e-05,8.128870103973895e-05,human
PRAME,7.780281885061413e-05,7.780281885061413e-05,7.780281885061413e-05,7.780281885061413e-05,human
IPO8,7.66656594350934e-05,7.66656594350934e-05,7.66656594350934e-05,7.66656594350934e-05,human
KRT20,6.884826871100813e-05,6.884826871100813e-05,6.884826871100813e-05,6.884826871100813e-05,human
PRKG2,6.570086407009512e-05,6.570086407009512e-05,6.570086407009512e-05,6.570086407009512e-05,human
PDIA5,6.519954331452027e-05,6.519954331452027e-05,6.519954331452027e-05,6.519954331452027e-05,human
