gene_symbol,logfc_dz:733,mean_logfc,median_logfc,common_experiment,organism
MMP12,0.21023471653461456,0.21023471653461456,0.21023471653461456,0.21023471653461456,human
SLC38A11,0.10855574160814285,0.10855574160814285,0.10855574160814285,0.10855574160814285,human
THBS2,0.06827711313962936,0.06827711313962936,0.06827711313962936,0.06827711313962936,human
POSTN,0.04548674449324608,0.04548674449324608,0.04548674449324608,0.04548674449324608,human
COL11A1,0.04069553688168526,0.04069553688168526,0.04069553688168526,0.04069553688168526,human
F5,0.03271286189556122,0.03271286189556122,0.03271286189556122,0.03271286189556122,human
POU2AF1,0.032099202275276184,0.032099202275276184,0.032099202275276184,0.032099202275276184,human
SULF1,0.02855583094060421,0.02855583094060421,0.02855583094060421,0.02855583094060421,human
KLK12,0.026235457509756088,0.026235457509756088,0.026235457509756088,0.026235457509756088,human
MXRA5,0.02272161841392517,0.02272161841392517,0.02272161841392517,0.02272161841392517,human
LOC100422737,0.021456727758049965,0.021456727758049965,0.021456727758049965,0.021456727758049965,human
ADAMDEC1,0.020982028916478157,0.020982028916478157,0.020982028916478157,0.020982028916478157,human
IBSP,0.0185401551425457,0.0185401551425457,0.0185401551425457,0.0185401551425457,human
FNDC1,0.017926929518580437,0.017926929518580437,0.017926929518580437,0.017926929518580437,human
LPPR1,0.016245447099208832,0.016245447099208832,0.016245447099208832,0.016245447099208832,human
SMOC2,0.01600939780473709,0.01600939780473709,0.01600939780473709,0.01600939780473709,human
ASPN,0.015887347981333733,0.015887347981333733,0.015887347981333733,0.015887347981333733,human
KIAA1257,0.015606042928993702,0.015606042928993702,0.015606042928993702,0.015606042928993702,human
TDRD9,0.015294867567718029,0.015294867567718029,0.015294867567718029,0.015294867567718029,human
RET,0.014278363436460495,0.014278363436460495,0.014278363436460495,0.014278363436460495,human
GUCY2C,0.013817152008414268,0.013817152008414268,0.013817152008414268,0.013817152008414268,human
CLIC6,0.013604292646050453,0.013604292646050453,0.013604292646050453,0.013604292646050453,human
GBA3,0.012565836310386658,0.012565836310386658,0.012565836310386658,0.012565836310386658,human
RHOXF2B,0.012196293100714684,0.012196293100714684,0.012196293100714684,0.012196293100714684,human
SCN3A,0.0121046407148242,0.0121046407148242,0.0121046407148242,0.0121046407148242,human
GIMAP4,0.011782923713326454,0.011782923713326454,0.011782923713326454,0.011782923713326454,human
AGT,0.011684255674481392,0.011684255674481392,0.011684255674481392,0.011684255674481392,human
AMBP,0.011652151122689247,0.011652151122689247,0.011652151122689247,0.011652151122689247,human
OR51E1,0.010946465656161308,0.010946465656161308,0.010946465656161308,0.010946465656161308,human
CRISP2,0.010938936844468117,0.010938936844468117,0.010938936844468117,0.010938936844468117,human
LIPC,0.010636077262461185,0.010636077262461185,0.010636077262461185,0.010636077262461185,human
ISX,0.010545074008405209,0.010545074008405209,0.010545074008405209,0.010545074008405209,human
AKR1C4,0.010089956223964691,0.010089956223964691,0.010089956223964691,0.010089956223964691,human
KCNMB2,0.009970620274543762,0.009970620274543762,0.009970620274543762,0.009970620274543762,human
APOA2,0.009863371960818768,0.009863371960818768,0.009863371960818768,0.009863371960818768,human
COL10A1,0.00980026088654995,0.00980026088654995,0.00980026088654995,0.00980026088654995,human
TAGAP,0.00968577153980732,0.00968577153980732,0.00968577153980732,0.00968577153980732,human
TTR,0.00952585507184267,0.00952585507184267,0.00952585507184267,0.00952585507184267,human
GIMAP7,0.009308035485446453,0.009308035485446453,0.009308035485446453,0.009308035485446453,human
WISP1,0.009284338913857937,0.009284338913857937,0.009284338913857937,0.009284338913857937,human
CXCL13,0.008828539401292801,0.008828539401292801,0.008828539401292801,0.008828539401292801,human
OLFM4,0.008736081421375275,0.008736081421375275,0.008736081421375275,0.008736081421375275,human
LNX1,0.0086664455011487,0.0086664455011487,0.0086664455011487,0.0086664455011487,human
SEC11C,0.008517286740243435,0.008517286740243435,0.008517286740243435,0.008517286740243435,human
RNF183,0.008511782623827457,0.008511782623827457,0.008511782623827457,0.008511782623827457,human
COL1A2,0.008406374603509903,0.008406374603509903,0.008406374603509903,0.008406374603509903,human
COL15A1,0.008395051583647728,0.008395051583647728,0.008395051583647728,0.008395051583647728,human
LINC00926,0.008393120020627975,0.008393120020627975,0.008393120020627975,0.008393120020627975,human
KRT222,0.00834005419164896,0.00834005419164896,0.00834005419164896,0.00834005419164896,human
SPINK1,0.008265869691967964,0.008265869691967964,0.008265869691967964,0.008265869691967964,human
DPP10,0.007958256639540195,0.007958256639540195,0.007958256639540195,0.007958256639540195,human
TNFRSF17,0.007901792414486408,0.007901792414486408,0.007901792414486408,0.007901792414486408,human
CALCA,0.00775466114282608,0.00775466114282608,0.00775466114282608,0.00775466114282608,human
SMIM22,0.007749113719910383,0.007749113719910383,0.007749113719910383,0.007749113719910383,human
GIPC2,0.0075710429809987545,0.0075710429809987545,0.0075710429809987545,0.0075710429809987545,human
B3GALT2,0.007374642416834831,0.007374642416834831,0.007374642416834831,0.007374642416834831,human
TNFSF11,0.007261450402438641,0.007261450402438641,0.007261450402438641,0.007261450402438641,human
TMEM61,0.007226897869259119,0.007226897869259119,0.007226897869259119,0.007226897869259119,human
SCN2A,0.007225837558507919,0.007225837558507919,0.007225837558507919,0.007225837558507919,human
PRL,0.00721411406993866,0.00721411406993866,0.00721411406993866,0.00721411406993866,human
CBX3P2,0.007152778562158346,0.007152778562158346,0.007152778562158346,0.007152778562158346,human
HOXB5,0.0071509042754769325,0.0071509042754769325,0.0071509042754769325,0.0071509042754769325,human
SPARCL1,-0.38470926880836487,-0.38470926880836487,-0.38470926880836487,-0.38470926880836487,human
MRC1,-0.23089584708213806,-0.23089584708213806,-0.23089584708213806,-0.23089584708213806,human
GGTA1P,-0.22969242930412292,-0.22969242930412292,-0.22969242930412292,-0.22969242930412292,human
TEK,-0.22233019769191742,-0.22233019769191742,-0.22233019769191742,-0.22233019769191742,human
A2M,-0.1934027522802353,-0.1934027522802353,-0.1934027522802353,-0.1934027522802353,human
CH25H,-0.18612658977508545,-0.18612658977508545,-0.18612658977508545,-0.18612658977508545,human
EMCN,-0.1802920699119568,-0.1802920699119568,-0.1802920699119568,-0.1802920699119568,human
MNDA,-0.17338190972805023,-0.17338190972805023,-0.17338190972805023,-0.17338190972805023,human
GPR183,-0.1710936427116394,-0.1710936427116394,-0.1710936427116394,-0.1710936427116394,human
FIGF,-0.14720426499843597,-0.14720426499843597,-0.14720426499843597,-0.14720426499843597,human
SELE,-0.13776789605617523,-0.13776789605617523,-0.13776789605617523,-0.13776789605617523,human
CPB2,-0.1292034089565277,-0.1292034089565277,-0.1292034089565277,-0.1292034089565277,human
EGR2,-0.12429738789796829,-0.12429738789796829,-0.12429738789796829,-0.12429738789796829,human
ATP1A2,-0.11850560456514359,-0.11850560456514359,-0.11850560456514359,-0.11850560456514359,human
C11orf96,-0.10948703438043594,-0.10948703438043594,-0.10948703438043594,-0.10948703438043594,human
P2RY14,-0.10802002251148224,-0.10802002251148224,-0.10802002251148224,-0.10802002251148224,human
PRG4,-0.10479352623224258,-0.10479352623224258,-0.10479352623224258,-0.10479352623224258,human
COL6A6,-0.10107376426458359,-0.10107376426458359,-0.10107376426458359,-0.10107376426458359,human
IGJ,-0.09367059171199799,-0.09367059171199799,-0.09367059171199799,-0.09367059171199799,human
CD2,-0.09322819113731384,-0.09322819113731384,-0.09322819113731384,-0.09322819113731384,human
CYP4B1,-0.09299075603485107,-0.09299075603485107,-0.09299075603485107,-0.09299075603485107,human
DEFA3,-0.09022311866283417,-0.09022311866283417,-0.09022311866283417,-0.09022311866283417,human
CD69,-0.088442362844944,-0.088442362844944,-0.088442362844944,-0.088442362844944,human
PROK2,-0.08766214549541473,-0.08766214549541473,-0.08766214549541473,-0.08766214549541473,human
PLEK,-0.07840941846370697,-0.07840941846370697,-0.07840941846370697,-0.07840941846370697,human
SELP,-0.07813698798418045,-0.07813698798418045,-0.07813698798418045,-0.07813698798418045,human
NLRC4,-0.07647129893302917,-0.07647129893302917,-0.07647129893302917,-0.07647129893302917,human
IL33,-0.07513164728879929,-0.07513164728879929,-0.07513164728879929,-0.07513164728879929,human
SPON1,-0.0738692507147789,-0.0738692507147789,-0.0738692507147789,-0.0738692507147789,human
CHIA,-0.07190565019845963,-0.07190565019845963,-0.07190565019845963,-0.07190565019845963,human
GZMA,-0.0716419443488121,-0.0716419443488121,-0.0716419443488121,-0.0716419443488121,human
TMEM204,-0.07138071954250336,-0.07138071954250336,-0.07138071954250336,-0.07138071954250336,human
SLC6A4,-0.07082207500934601,-0.07082207500934601,-0.07082207500934601,-0.07082207500934601,human
CX3CR1,-0.06871624290943146,-0.06871624290943146,-0.06871624290943146,-0.06871624290943146,human
OLR1,-0.06796693056821823,-0.06796693056821823,-0.06796693056821823,-0.06796693056821823,human
OGN,-0.06571731716394424,-0.06571731716394424,-0.06571731716394424,-0.06571731716394424,human
AQP9,-0.06414400041103363,-0.06414400041103363,-0.06414400041103363,-0.06414400041103363,human
CD163,-0.06309672445058823,-0.06309672445058823,-0.06309672445058823,-0.06309672445058823,human
AOC3,-0.05627141892910004,-0.05627141892910004,-0.05627141892910004,-0.05627141892910004,human
KLRB1,-0.05522354692220688,-0.05522354692220688,-0.05522354692220688,-0.05522354692220688,human
HBB,-0.05484944209456444,-0.05484944209456444,-0.05484944209456444,-0.05484944209456444,human
CCL13,-0.05439875274896622,-0.05439875274896622,-0.05439875274896622,-0.05439875274896622,human
C11orf88,-0.05352488532662392,-0.05352488532662392,-0.05352488532662392,-0.05352488532662392,human
C1orf186,-0.05336231365799904,-0.05336231365799904,-0.05336231365799904,-0.05336231365799904,human
MSR1,-0.052419018000364304,-0.052419018000364304,-0.052419018000364304,-0.052419018000364304,human
HDC,-0.0510641373693943,-0.0510641373693943,-0.0510641373693943,-0.0510641373693943,human
ACP5,-0.04914155602455139,-0.04914155602455139,-0.04914155602455139,-0.04914155602455139,human
AQP4,-0.04773060977458954,-0.04773060977458954,-0.04773060977458954,-0.04773060977458954,human
ZNF521,-0.046660564839839935,-0.046660564839839935,-0.046660564839839935,-0.046660564839839935,human
ITGA8,-0.04632655903697014,-0.04632655903697014,-0.04632655903697014,-0.04632655903697014,human
C20orf85,-0.04523516446352005,-0.04523516446352005,-0.04523516446352005,-0.04523516446352005,human
CCL2,-0.04447806999087334,-0.04447806999087334,-0.04447806999087334,-0.04447806999087334,human
TRAF3IP3,-0.04271986335515976,-0.04271986335515976,-0.04271986335515976,-0.04271986335515976,human
STEAP4,-0.04254170507192612,-0.04254170507192612,-0.04254170507192612,-0.04254170507192612,human
GPR171,-0.042444080114364624,-0.042444080114364624,-0.042444080114364624,-0.042444080114364624,human
BTK,-0.04226020723581314,-0.04226020723581314,-0.04226020723581314,-0.04226020723581314,human
LYVE1,-0.04162569344043732,-0.04162569344043732,-0.04162569344043732,-0.04162569344043732,human
LRRC25,-0.041615698486566544,-0.041615698486566544,-0.041615698486566544,-0.041615698486566544,human
CD93,-0.041468482464551926,-0.041468482464551926,-0.041468482464551926,-0.041468482464551926,human
TMEM100,-0.040587734431028366,-0.040587734431028366,-0.040587734431028366,-0.040587734431028366,human
GIMAP8,-0.04010755568742752,-0.04010755568742752,-0.04010755568742752,-0.04010755568742752,human
FAM81B,-0.03983352705836296,-0.03983352705836296,-0.03983352705836296,-0.03983352705836296,human
LRRK2,-0.039392393082380295,-0.039392393082380295,-0.039392393082380295,-0.039392393082380295,human
PIP,-0.038928065448999405,-0.038928065448999405,-0.038928065448999405,-0.038928065448999405,human
FPR2,-0.038434628397226334,-0.038434628397226334,-0.038434628397226334,-0.038434628397226334,human
SAMSN1,-0.03837279602885246,-0.03837279602885246,-0.03837279602885246,-0.03837279602885246,human
TBX5,-0.03754479065537453,-0.03754479065537453,-0.03754479065537453,-0.03754479065537453,human
CDO1,-0.037144772708415985,-0.037144772708415985,-0.037144772708415985,-0.037144772708415985,human
INPP5D,-0.037002548575401306,-0.037002548575401306,-0.037002548575401306,-0.037002548575401306,human
FAM150B,-0.03649719059467316,-0.03649719059467316,-0.03649719059467316,-0.03649719059467316,human
S100A8,-0.03579533472657204,-0.03579533472657204,-0.03579533472657204,-0.03579533472657204,human
FOS,-0.03558085858821869,-0.03558085858821869,-0.03558085858821869,-0.03558085858821869,human
GDF10,-0.035269610583782196,-0.035269610583782196,-0.035269610583782196,-0.035269610583782196,human
RGS18,-0.03467370942234993,-0.03467370942234993,-0.03467370942234993,-0.03467370942234993,human
CLEC4E,-0.03386574611067772,-0.03386574611067772,-0.03386574611067772,-0.03386574611067772,human
KCNE3,-0.03363334760069847,-0.03363334760069847,-0.03363334760069847,-0.03363334760069847,human
CCL8,-0.033166512846946716,-0.033166512846946716,-0.033166512846946716,-0.033166512846946716,human
EGR1,-0.03304741531610489,-0.03304741531610489,-0.03304741531610489,-0.03304741531610489,human
ITM2A,-0.03297916799783707,-0.03297916799783707,-0.03297916799783707,-0.03297916799783707,human
TRIM63,-0.03237096592783928,-0.03237096592783928,-0.03237096592783928,-0.03237096592783928,human
AGR3,-0.032311759889125824,-0.032311759889125824,-0.032311759889125824,-0.032311759889125824,human
CYTIP,-0.032161418348550797,-0.032161418348550797,-0.032161418348550797,-0.032161418348550797,human
DMBT1,-0.03172516077756882,-0.03172516077756882,-0.03172516077756882,-0.03172516077756882,human
ABCA6,-0.03159184008836746,-0.03159184008836746,-0.03159184008836746,-0.03159184008836746,human
CD36,-0.03148345649242401,-0.03148345649242401,-0.03148345649242401,-0.03148345649242401,human
SCGB3A1,-0.031374771147966385,-0.031374771147966385,-0.031374771147966385,-0.031374771147966385,human
