gene_symbol,logfc_dz:1012,mean_logfc,median_logfc,common_experiment,organism
ACTA1,0.13845056295394897,0.13845056295394897,0.13845056295394897,0.13845056295394897,human
IGHG1,0.12271395325660706,0.12271395325660706,0.12271395325660706,0.12271395325660706,human
GATM,0.11664482206106186,0.11664482206106186,0.11664482206106186,0.11664482206106186,human
IGLJ3,0.11032934486865997,0.11032934486865997,0.11032934486865997,0.11032934486865997,human
ALDOB,0.10957680642604828,0.10957680642604828,0.10957680642604828,0.10957680642604828,human
HLA-B,0.10683412104845047,0.10683412104845047,0.10683412104845047,0.10683412104845047,human
SLC13A1,0.09929976612329483,0.09929976612329483,0.09929976612329483,0.09929976612329483,human
SPP1,0.09165101498365402,0.09165101498365402,0.09165101498365402,0.09165101498365402,human
MMP7,0.09001599252223969,0.09001599252223969,0.09001599252223969,0.09001599252223969,human
RNU1-1,0.08985801786184311,0.08985801786184311,0.08985801786184311,0.08985801786184311,human
HLA-C,0.08394031971693039,0.08394031971693039,0.08394031971693039,0.08394031971693039,human
C7,0.08227641880512238,0.08227641880512238,0.08227641880512238,0.08227641880512238,human
SNORA38B,0.07913114875555038,0.07913114875555038,0.07913114875555038,0.07913114875555038,human
LYZ,0.07908812910318375,0.07908812910318375,0.07908812910318375,0.07908812910318375,human
APP,0.07704107463359833,0.07704107463359833,0.07704107463359833,0.07704107463359833,human
HLA-J,0.07618968188762665,0.07618968188762665,0.07618968188762665,0.07618968188762665,human
PIGR,0.07605507969856262,0.07605507969856262,0.07605507969856262,0.07605507969856262,human
TOB2,0.07412031292915344,0.07412031292915344,0.07412031292915344,0.07412031292915344,human
SCFV,0.07376539707183838,0.07376539707183838,0.07376539707183838,0.07376539707183838,human
HLA-G,0.07132408022880554,0.07132408022880554,0.07132408022880554,0.07132408022880554,human
MYL2,0.07082580775022507,0.07082580775022507,0.07082580775022507,0.07082580775022507,human
IGFBP5,0.07029309868812561,0.07029309868812561,0.07029309868812561,0.07029309868812561,human
CTSD,0.0701015442609787,0.0701015442609787,0.0701015442609787,0.0701015442609787,human
A2M,0.06950558722019196,0.06950558722019196,0.06950558722019196,0.06950558722019196,human
IGHV3-48,0.06934854388237,0.06934854388237,0.06934854388237,0.06934854388237,human
ACADM,0.0672885924577713,0.0672885924577713,0.0672885924577713,0.0672885924577713,human
LUM,0.06710077077150345,0.06710077077150345,0.06710077077150345,0.06710077077150345,human
SLC5A12,0.06681807339191437,0.06681807339191437,0.06681807339191437,0.06681807339191437,human
C4B,0.0653168261051178,0.0653168261051178,0.0653168261051178,0.0653168261051178,human
STK19,0.0653168261051178,0.0653168261051178,0.0653168261051178,0.0653168261051178,human
HLA-A,0.06429072469472885,0.06429072469472885,0.06429072469472885,0.06429072469472885,human
HSPA8,0.06316612660884857,0.06316612660884857,0.06316612660884857,0.06316612660884857,human
TNFSF10,0.06277856975793839,0.06277856975793839,0.06277856975793839,0.06277856975793839,human
RN7SK,0.061969127506017685,0.061969127506017685,0.061969127506017685,0.061969127506017685,human
LRP2,0.06127769872546196,0.06127769872546196,0.06127769872546196,0.06127769872546196,human
ACTN4,0.061190277338027954,0.061190277338027954,0.061190277338027954,0.061190277338027954,human
CYP4A11,0.060653313994407654,0.060653313994407654,0.060653313994407654,0.060653313994407654,human
TXNIP,0.05907700955867767,0.05907700955867767,0.05907700955867767,0.05907700955867767,human
ACTB,0.05852290242910385,0.05852290242910385,0.05852290242910385,0.05852290242910385,human
HLA-DPA1,0.05804271250963211,0.05804271250963211,0.05804271250963211,0.05804271250963211,human
ANXA1,0.05712072178721428,0.05712072178721428,0.05712072178721428,0.05712072178721428,human
CDH6,0.056478310376405716,0.056478310376405716,0.056478310376405716,0.056478310376405716,human
CANX,0.055055033415555954,0.055055033415555954,0.055055033415555954,0.055055033415555954,human
KCNJ15,0.05398502200841904,0.05398502200841904,0.05398502200841904,0.05398502200841904,human
RNASE1,0.053752996027469635,0.053752996027469635,0.053752996027469635,0.053752996027469635,human
GK3P,0.052025023847818375,0.052025023847818375,0.052025023847818375,0.052025023847818375,human
FHL1,0.05166979134082794,0.05166979134082794,0.05166979134082794,0.05166979134082794,human
THBS1,0.05014356970787048,0.05014356970787048,0.05014356970787048,0.05014356970787048,human
PYGM,0.04958440735936165,0.04958440735936165,0.04958440735936165,0.04958440735936165,human
F13A1,0.04923981428146362,0.04923981428146362,0.04923981428146362,0.04923981428146362,human
LHFP,0.047623876482248306,0.047623876482248306,0.047623876482248306,0.047623876482248306,human
LAPTM4A,0.04749416559934616,0.04749416559934616,0.04749416559934616,0.04749416559934616,human
HLA-E,0.047172147780656815,0.047172147780656815,0.047172147780656815,0.047172147780656815,human
CLU,0.046775933355093,0.046775933355093,0.046775933355093,0.046775933355093,human
EEF2,0.04631258547306061,0.04631258547306061,0.04631258547306061,0.04631258547306061,human
ACTG1,0.046271681785583496,0.046271681785583496,0.046271681785583496,0.046271681785583496,human
ACSM2B,0.04597868025302887,0.04597868025302887,0.04597868025302887,0.04597868025302887,human
ANPEP,0.04576744884252548,0.04576744884252548,0.04576744884252548,0.04576744884252548,human
CD74,0.043761245906353,0.043761245906353,0.043761245906353,0.043761245906353,human
PEPD,0.04332903400063515,0.04332903400063515,0.04332903400063515,0.04332903400063515,human
IGK,0.04326114431023598,0.04326114431023598,0.04326114431023598,0.04326114431023598,human
HBA2,0.04316868633031845,0.04316868633031845,0.04316868633031845,0.04316868633031845,human
SLN,0.042772624641656876,0.042772624641656876,0.042772624641656876,0.042772624641656876,human
HAVCR1,0.042688917368650436,0.042688917368650436,0.042688917368650436,0.042688917368650436,human
SLC25A6,0.041799478232860565,0.041799478232860565,0.041799478232860565,0.041799478232860565,human
GPX3,0.04036029428243637,0.04036029428243637,0.04036029428243637,0.04036029428243637,human
HLA-DPB1,0.0402282252907753,0.0402282252907753,0.0402282252907753,0.0402282252907753,human
IGHG4,0.040106400847435,0.040106400847435,0.040106400847435,0.040106400847435,human
SLC17A1,0.039808716624975204,0.039808716624975204,0.039808716624975204,0.039808716624975204,human
CD164,0.03966353088617325,0.03966353088617325,0.03966353088617325,0.03966353088617325,human
HSP90B1,0.0394657738506794,0.0394657738506794,0.0394657738506794,0.0394657738506794,human
SNORA71D,0.03945042937994003,0.03945042937994003,0.03945042937994003,0.03945042937994003,human
VIM,0.03918130695819855,0.03918130695819855,0.03918130695819855,0.03918130695819855,human
IGJ,0.03845824673771858,0.03845824673771858,0.03845824673771858,0.03845824673771858,human
ATP6V1B2,0.0383012518286705,0.0383012518286705,0.0383012518286705,0.0383012518286705,human
MYL1,0.03813191503286362,0.03813191503286362,0.03813191503286362,0.03813191503286362,human
NBPF20,0.03785780444741249,0.03785780444741249,0.03785780444741249,0.03785780444741249,human
VCAM1,0.037833187729120255,0.037833187729120255,0.037833187729120255,0.037833187729120255,human
GK,0.03759482875466347,0.03759482875466347,0.03759482875466347,0.03759482875466347,human
HLA-DRA,0.037175580859184265,0.037175580859184265,0.037175580859184265,0.037175580859184265,human
MYBPC1,0.037110570818185806,0.037110570818185806,0.037110570818185806,0.037110570818185806,human
MYH7,0.037049300968647,0.037049300968647,0.037049300968647,0.037049300968647,human
ARL6IP5,0.03683122992515564,0.03683122992515564,0.03683122992515564,0.03683122992515564,human
REN,0.03676939383149147,0.03676939383149147,0.03676939383149147,0.03676939383149147,human
PTEN,0.03647356852889061,0.03647356852889061,0.03647356852889061,0.03647356852889061,human
MAT2A,0.036206431686878204,0.036206431686878204,0.036206431686878204,0.036206431686878204,human
TM9SF2,0.03587206080555916,0.03587206080555916,0.03587206080555916,0.03587206080555916,human
UBC,0.03578011319041252,0.03578011319041252,0.03578011319041252,0.03578011319041252,human
MALAT1,0.03573659062385559,0.03573659062385559,0.03573659062385559,0.03573659062385559,human
CXCL14,0.035296764224767685,0.035296764224767685,0.035296764224767685,0.035296764224767685,human
RPL7,0.0351560115814209,0.0351560115814209,0.0351560115814209,0.0351560115814209,human
SLC22A12,0.034790392965078354,0.034790392965078354,0.034790392965078354,0.034790392965078354,human
MSN,0.034669410437345505,0.034669410437345505,0.034669410437345505,0.034669410437345505,human
SLC7A8,0.0345737598836422,0.0345737598836422,0.0345737598836422,0.0345737598836422,human
TTN,0.03449045866727829,0.03449045866727829,0.03449045866727829,0.03449045866727829,human
TMBIM6,0.03427012264728546,0.03427012264728546,0.03427012264728546,0.03427012264728546,human
DAB2,0.03397785499691963,0.03397785499691963,0.03397785499691963,0.03397785499691963,human
SLC4A4,0.03383302688598633,0.03383302688598633,0.03383302688598633,0.03383302688598633,human
PCK1,0.03372928872704506,0.03372928872704506,0.03372928872704506,0.03372928872704506,human
UBB,0.03367481753230095,0.03367481753230095,0.03367481753230095,0.03367481753230095,human
RAB7A,0.0333174504339695,0.0333174504339695,0.0333174504339695,0.0333174504339695,human
HIF1A,0.03320259600877762,0.03320259600877762,0.03320259600877762,0.03320259600877762,human
IL17RB,0.03297523409128189,0.03297523409128189,0.03297523409128189,0.03297523409128189,human
CKM,0.03255609795451164,0.03255609795451164,0.03255609795451164,0.03255609795451164,human
BBOX1,0.03226673975586891,0.03226673975586891,0.03226673975586891,0.03226673975586891,human
YBX3,0.03225899487733841,0.03225899487733841,0.03225899487733841,0.03225899487733841,human
C1QL3,0.03224943205714226,0.03224943205714226,0.03224943205714226,0.03224943205714226,human
SNX2,0.032230131328105927,0.032230131328105927,0.032230131328105927,0.032230131328105927,human
ATP5B,0.03180108964443207,0.03180108964443207,0.03180108964443207,0.03180108964443207,human
GC,0.03179950639605522,0.03179950639605522,0.03179950639605522,0.03179950639605522,human
SLC17A3,0.031644824892282486,0.031644824892282486,0.031644824892282486,0.031644824892282486,human
CALB1,0.03159483149647713,0.03159483149647713,0.03159483149647713,0.03159483149647713,human
NEB,0.03113449737429619,0.03113449737429619,0.03113449737429619,0.03113449737429619,human
CUBN,0.03110196813941002,0.03110196813941002,0.03110196813941002,0.03110196813941002,human
SPARC,0.031041963025927544,0.031041963025927544,0.031041963025927544,0.031041963025927544,human
PLTP,0.030992647632956505,0.030992647632956505,0.030992647632956505,0.030992647632956505,human
TGM2,0.030956372618675232,0.030956372618675232,0.030956372618675232,0.030956372618675232,human
PRCP,0.03044477105140686,0.03044477105140686,0.03044477105140686,0.03044477105140686,human
C3,0.030373405665159225,0.030373405665159225,0.030373405665159225,0.030373405665159225,human
SNORD13,0.030355103313922882,0.030355103313922882,0.030355103313922882,0.030355103313922882,human
C1S,0.03034292347729206,0.03034292347729206,0.03034292347729206,0.03034292347729206,human
