gene_symbol,logfc_dz:462,mean_logfc,median_logfc,common_experiment,organism
GFAP,0.18145887553691864,0.18145887553691864,0.18145887553691864,0.18145887553691864,human
HBA2,0.17186260223388672,0.17186260223388672,0.17186260223388672,0.17186260223388672,human
HBB,0.16864776611328125,0.16864776611328125,0.16864776611328125,0.16864776611328125,human
HMGN2,0.1370123326778412,0.1370123326778412,0.1370123326778412,0.1370123326778412,human
IFITM3,0.1310751885175705,0.1310751885175705,0.1310751885175705,0.1310751885175705,human
RPL37A,0.11348526924848557,0.11348526924848557,0.11348526924848557,0.11348526924848557,human
ENC1,0.10933661460876465,0.10933661460876465,0.10933661460876465,0.10933661460876465,human
EEF1A1,0.10251154750585556,0.10251154750585556,0.10251154750585556,0.10251154750585556,human
PTGDS,0.1016845628619194,0.1016845628619194,0.1016845628619194,0.1016845628619194,human
FAM107A,0.10003746300935745,0.10003746300935745,0.10003746300935745,0.10003746300935745,human
LOC100505584,0.09496204555034637,0.09496204555034637,0.09496204555034637,0.09496204555034637,human
RTN4,0.09470299631357193,0.09470299631357193,0.09470299631357193,0.09470299631357193,human
HSP90AA1,0.09218153357505798,0.09218153357505798,0.09218153357505798,0.09218153357505798,human
CLU,0.08525940030813217,0.08525940030813217,0.08525940030813217,0.08525940030813217,human
MBP,0.08158189058303833,0.08158189058303833,0.08158189058303833,0.08158189058303833,human
MT1E,0.0788358673453331,0.0788358673453331,0.0788358673453331,0.0788358673453331,human
VIM,0.07623669505119324,0.07623669505119324,0.07623669505119324,0.07623669505119324,human
GABARAP,0.07370037585496902,0.07370037585496902,0.07370037585496902,0.07370037585496902,human
TUBA1B,0.06720956414937973,0.06720956414937973,0.06720956414937973,0.06720956414937973,human
TUBB2B,0.06564504653215408,0.06564504653215408,0.06564504653215408,0.06564504653215408,human
UBB,0.06562642008066177,0.06562642008066177,0.06562642008066177,0.06562642008066177,human
RPS28,0.06513629853725433,0.06513629853725433,0.06513629853725433,0.06513629853725433,human
CAMK2A,0.06397543847560883,0.06397543847560883,0.06397543847560883,0.06397543847560883,human
COX7C,0.06223556771874428,0.06223556771874428,0.06223556771874428,0.06223556771874428,human
RPL41,0.05855590105056763,0.05855590105056763,0.05855590105056763,0.05855590105056763,human
HSPB1,0.05394502356648445,0.05394502356648445,0.05394502356648445,0.05394502356648445,human
MAOB,0.053897060453891754,0.053897060453891754,0.053897060453891754,0.053897060453891754,human
RPS11,0.052524421364068985,0.052524421364068985,0.052524421364068985,0.052524421364068985,human
NRGN,0.05216069519519806,0.05216069519519806,0.05216069519519806,0.05216069519519806,human
CNTNAP2,0.04988164082169533,0.04988164082169533,0.04988164082169533,0.04988164082169533,human
CTNNB1,0.04804721474647522,0.04804721474647522,0.04804721474647522,0.04804721474647522,human
IFITM2,0.047747839242219925,0.047747839242219925,0.047747839242219925,0.047747839242219925,human
CSRP1,0.0477118045091629,0.0477118045091629,0.0477118045091629,0.0477118045091629,human
SERPINE2,0.04733831807971001,0.04733831807971001,0.04733831807971001,0.04733831807971001,human
NPIPB9,0.04733053222298622,0.04733053222298622,0.04733053222298622,0.04733053222298622,human
