gene_symbol,logfc_dz:563,mean_logfc,median_logfc,common_experiment,organism
S100A8,0.15246015787124634,0.15246015787124634,0.15246015787124634,0.15246015787124634,human
ACTG1,0.1238258108496666,0.1238258108496666,0.1238258108496666,0.1238258108496666,human
RPS28,0.11413697153329849,0.11413697153329849,0.11413697153329849,0.11413697153329849,human
PELI1,0.11024449020624161,0.11024449020624161,0.11024449020624161,0.11024449020624161,human
B2M,0.10860485583543777,0.10860485583543777,0.10860485583543777,0.10860485583543777,human
NAMPT,0.09750594943761826,0.09750594943761826,0.09750594943761826,0.09750594943761826,human
MCL1,0.09136253595352173,0.09136253595352173,0.09136253595352173,0.09136253595352173,human
EZR,0.09008155018091202,0.09008155018091202,0.09008155018091202,0.09008155018091202,human
RPS17,0.08781561255455017,0.08781561255455017,0.08781561255455017,0.08781561255455017,human
S100A10,0.08536197245121002,0.08536197245121002,0.08536197245121002,0.08536197245121002,human
RNA18S5,0.08526620268821716,0.08526620268821716,0.08526620268821716,0.08526620268821716,human
RPL17,0.08445753157138824,0.08445753157138824,0.08445753157138824,0.08445753157138824,human
SLC2A3,0.0829259529709816,0.0829259529709816,0.0829259529709816,0.0829259529709816,human
DEFA1B,0.07988298684358597,0.07988298684358597,0.07988298684358597,0.07988298684358597,human
RPL9,0.07905948907136917,0.07905948907136917,0.07905948907136917,0.07905948907136917,human
HSPA5,0.07751761376857758,0.07751761376857758,0.07751761376857758,0.07751761376857758,human
DAD1,0.07464476674795151,0.07464476674795151,0.07464476674795151,0.07464476674795151,human
EIF1,0.07389739155769348,0.07389739155769348,0.07389739155769348,0.07389739155769348,human
HLA-G,0.07154297828674316,0.07154297828674316,0.07154297828674316,0.07154297828674316,human
HLA-B,0.07059258967638016,0.07059258967638016,0.07059258967638016,0.07059258967638016,human
RPL41P5,0.07014728337526321,0.07014728337526321,0.07014728337526321,0.07014728337526321,human
HLA-A,0.06992077827453613,0.06992077827453613,0.06992077827453613,0.06992077827453613,human
