gene_symbol,logfc_dz:163,mean_logfc,median_logfc,common_experiment,organism
CLC,0.2848598062992096,0.2848598062992096,0.2848598062992096,0.2848598062992096,human
HLA-DQA2,0.28028520941734314,0.28028520941734314,0.28028520941734314,0.28028520941734314,human
FCER1A,0.24948079884052277,0.24948079884052277,0.24948079884052277,0.24948079884052277,human
HLA-DPB1,0.19192595779895782,0.19192595779895782,0.19192595779895782,0.19192595779895782,human
IGHA2,0.15591345727443695,0.15591345727443695,0.15591345727443695,0.15591345727443695,human
RPL6,0.14799484610557556,0.14799484610557556,0.14799484610557556,0.14799484610557556,human
C3AR1,0.1341993808746338,0.1341993808746338,0.1341993808746338,0.1341993808746338,human
MS4A3,0.1103808730840683,0.1103808730840683,0.1103808730840683,0.1103808730840683,human
ALOX5AP,0.10199685394763947,0.10199685394763947,0.10199685394763947,0.10199685394763947,human
CPA3,0.09713656455278397,0.09713656455278397,0.09713656455278397,0.09713656455278397,human
LIPA,0.09542907774448395,0.09542907774448395,0.09542907774448395,0.09542907774448395,human
ANXA2,0.09395696222782135,0.09395696222782135,0.09395696222782135,0.09395696222782135,human
MBP,0.09369487315416336,0.09369487315416336,0.09369487315416336,0.09369487315416336,human
HSPA8,0.09247603267431259,0.09247603267431259,0.09247603267431259,0.09247603267431259,human
RPL14,0.0890253558754921,0.0890253558754921,0.0890253558754921,0.0890253558754921,human
CSF2RB,0.08660025894641876,0.08660025894641876,0.08660025894641876,0.08660025894641876,human
VCAN,0.08423348516225815,0.08423348516225815,0.08423348516225815,0.08423348516225815,human
CYAT1,0.07978560775518417,0.07978560775518417,0.07978560775518417,0.07978560775518417,human
EEF1B2,0.07789666950702667,0.07789666950702667,0.07789666950702667,0.07789666950702667,human
VNN2,0.07704877108335495,0.07704877108335495,0.07704877108335495,0.07704877108335495,human
RPL24,0.07648161053657532,0.07648161053657532,0.07648161053657532,0.07648161053657532,human
KARS,0.07525349408388138,0.07525349408388138,0.07525349408388138,0.07525349408388138,human
GLTSCR2,0.06939646601676941,0.06939646601676941,0.06939646601676941,0.06939646601676941,human
LYZ,0.06866328418254852,0.06866328418254852,0.06866328418254852,0.06866328418254852,human
TCN1,0.06829611212015152,0.06829611212015152,0.06829611212015152,0.06829611212015152,human
RPS27A,0.06814026832580566,0.06814026832580566,0.06814026832580566,0.06814026832580566,human
HLA-DMB,0.0679638534784317,0.0679638534784317,0.0679638534784317,0.0679638534784317,human
RAB31,0.06707282364368439,0.06707282364368439,0.06707282364368439,0.06707282364368439,human
CFD,0.06691468507051468,0.06691468507051468,0.06691468507051468,0.06691468507051468,human
IGLC7,0.06630953401327133,0.06630953401327133,0.06630953401327133,0.06630953401327133,human
HLA-J,0.06507083773612976,0.06507083773612976,0.06507083773612976,0.06507083773612976,human
RPL5,0.060424305498600006,0.060424305498600006,0.060424305498600006,0.060424305498600006,human
PLEK,0.05818383768200874,0.05818383768200874,0.05818383768200874,0.05818383768200874,human
TMEM176B,0.057213377207517624,0.057213377207517624,0.057213377207517624,0.057213377207517624,human
ADD3,0.054229479283094406,0.054229479283094406,0.054229479283094406,0.054229479283094406,human
EIF2S3,0.05269068852066994,0.05269068852066994,0.05269068852066994,0.05269068852066994,human
CCR3,0.05226974934339523,0.05226974934339523,0.05226974934339523,0.05226974934339523,human
LOC100133583,0.0506710521876812,0.0506710521876812,0.0506710521876812,0.0506710521876812,human
