gene_symbol,logfc_dz:239,mean_logfc,median_logfc,common_experiment,organism
SFN,0.17362767457962036,0.17362767457962036,0.17362767457962036,0.17362767457962036,human
GDF15,0.14779646694660187,0.14779646694660187,0.14779646694660187,0.14779646694660187,human
FTH1P5,0.12692028284072876,0.12692028284072876,0.12692028284072876,0.12692028284072876,human
TUBB4B,0.12649109959602356,0.12649109959602356,0.12649109959602356,0.12649109959602356,human
ANXA2P3,0.11840471625328064,0.11840471625328064,0.11840471625328064,0.11840471625328064,human
RPL37A,0.10171978175640106,0.10171978175640106,0.10171978175640106,0.10171978175640106,human
HSP90AA1,0.09834390878677368,0.09834390878677368,0.09834390878677368,0.09834390878677368,human
AKR1C2,0.09750445187091827,0.09750445187091827,0.09750445187091827,0.09750445187091827,human
HLA-A,0.09692749381065369,0.09692749381065369,0.09692749381065369,0.09692749381065369,human
IER3,0.09652864933013916,0.09652864933013916,0.09652864933013916,0.09652864933013916,human
EEF1A1,0.09441883862018585,0.09441883862018585,0.09441883862018585,0.09441883862018585,human
S100P,0.08726014941930771,0.08726014941930771,0.08726014941930771,0.08726014941930771,human
PRDX1,0.08717543631792068,0.08717543631792068,0.08717543631792068,0.08717543631792068,human
ACTG1,0.0816207081079483,0.0816207081079483,0.0816207081079483,0.0816207081079483,human
ATP1B3,0.07950548082590103,0.07950548082590103,0.07950548082590103,0.07950548082590103,human
FTL,0.07931924611330032,0.07931924611330032,0.07931924611330032,0.07931924611330032,human
ARF4,0.07905097305774689,0.07905097305774689,0.07905097305774689,0.07905097305774689,human
FTH1,0.07646947354078293,0.07646947354078293,0.07646947354078293,0.07646947354078293,human
CYCS,0.07404216378927231,0.07404216378927231,0.07404216378927231,0.07404216378927231,human
EIF4G2,0.06920534372329712,0.06920534372329712,0.06920534372329712,0.06920534372329712,human
YBX1,0.06709732115268707,0.06709732115268707,0.06709732115268707,0.06709732115268707,human
AREG,0.06693196296691895,0.06693196296691895,0.06693196296691895,0.06693196296691895,human
HSPA8,0.06688084453344345,0.06688084453344345,0.06688084453344345,0.06688084453344345,human
RPL41,0.0665418952703476,0.0665418952703476,0.0665418952703476,0.0665418952703476,human
RPL7,0.06562420725822449,0.06562420725822449,0.06562420725822449,0.06562420725822449,human
AKR1C3,0.06534910202026367,0.06534910202026367,0.06534910202026367,0.06534910202026367,human
NCL,0.06466063857078552,0.06466063857078552,0.06466063857078552,0.06466063857078552,human
TUBA1B,0.06335429847240448,0.06335429847240448,0.06335429847240448,0.06335429847240448,human
RPS27A,0.06303555518388748,0.06303555518388748,0.06303555518388748,0.06303555518388748,human
RAN,0.0628303736448288,0.0628303736448288,0.0628303736448288,0.0628303736448288,human
TMSB4X,0.06214050203561783,0.06214050203561783,0.06214050203561783,0.06214050203561783,human
AKR1B10,0.060972005128860474,0.060972005128860474,0.060972005128860474,0.060972005128860474,human
HSPD1,0.0597076416015625,0.0597076416015625,0.0597076416015625,0.0597076416015625,human
CCT2,0.05700983479619026,0.05700983479619026,0.05700983479619026,0.05700983479619026,human
TIMP1,0.05541771277785301,0.05541771277785301,0.05541771277785301,0.05541771277785301,human
HLA-C,0.054604340344667435,0.054604340344667435,0.054604340344667435,0.054604340344667435,human
YWHAH,0.05244801938533783,0.05244801938533783,0.05244801938533783,0.05244801938533783,human
SNRPB,0.052382539957761765,0.052382539957761765,0.052382539957761765,0.052382539957761765,human
TMED2,0.05133382976055145,0.05133382976055145,0.05133382976055145,0.05133382976055145,human
OAZ1,0.05020824074745178,0.05020824074745178,0.05020824074745178,0.05020824074745178,human
EPCAM,0.05012770742177963,0.05012770742177963,0.05012770742177963,0.05012770742177963,human
PRSS23,0.0498463399708271,0.0498463399708271,0.0498463399708271,0.0498463399708271,human
DUSP6,0.048923227936029434,0.048923227936029434,0.048923227936029434,0.048923227936029434,human
DDX21,0.048115361481904984,0.048115361481904984,0.048115361481904984,0.048115361481904984,human
CLIC1,0.04811478033661842,0.04811478033661842,0.04811478033661842,0.04811478033661842,human
FAT1,0.047714848071336746,0.047714848071336746,0.047714848071336746,0.047714848071336746,human
HNRNPK,0.046461790800094604,0.046461790800094604,0.046461790800094604,0.046461790800094604,human
ARPC2,0.04608342424035072,0.04608342424035072,0.04608342424035072,0.04608342424035072,human
NQO1,0.04407162964344025,0.04407162964344025,0.04407162964344025,0.04407162964344025,human
HMGA1,0.04378313571214676,0.04378313571214676,0.04378313571214676,0.04378313571214676,human
PHLDA2,0.04358458146452904,0.04358458146452904,0.04358458146452904,0.04358458146452904,human
RPS10,0.042749688029289246,0.042749688029289246,0.042749688029289246,0.042749688029289246,human
TUBB2A,0.04191325604915619,0.04191325604915619,0.04191325604915619,0.04191325604915619,human
MORF4L2,0.041847821325063705,0.041847821325063705,0.041847821325063705,0.041847821325063705,human
PFN1,0.04121800512075424,0.04121800512075424,0.04121800512075424,0.04121800512075424,human
CLDN4,0.04023859649896622,0.04023859649896622,0.04023859649896622,0.04023859649896622,human
CFL1,0.039630379527807236,0.039630379527807236,0.039630379527807236,0.039630379527807236,human
TAX1BP3,0.039387479424476624,0.039387479424476624,0.039387479424476624,0.039387479424476624,human
PTBP1,0.03887442126870155,0.03887442126870155,0.03887442126870155,0.03887442126870155,human
HDGF,0.03860704228281975,0.03860704228281975,0.03860704228281975,0.03860704228281975,human
TUBB,0.0385761484503746,0.0385761484503746,0.0385761484503746,0.0385761484503746,human
ATP6V0C,0.03777999430894852,0.03777999430894852,0.03777999430894852,0.03777999430894852,human
RPL37,0.036638665944337845,0.036638665944337845,0.036638665944337845,0.036638665944337845,human
POLE3,0.036239542067050934,0.036239542067050934,0.036239542067050934,0.036239542067050934,human
