gene_symbol,logfc_dz:817,mean_logfc,median_logfc,common_experiment,organism
TXNIP,0.26884782314300537,0.26884782314300537,0.26884782314300537,0.26884782314300537,human
ANKRD1,0.25026389956474304,0.25026389956474304,0.25026389956474304,0.25026389956474304,human
HSPA8,0.22090621292591095,0.22090621292591095,0.22090621292591095,0.22090621292591095,human
HSPB1,0.1856490969657898,0.1856490969657898,0.1856490969657898,0.1856490969657898,human
FABP3,0.14454293251037598,0.14454293251037598,0.14454293251037598,0.14454293251037598,human
UBC,0.12136803567409515,0.12136803567409515,0.12136803567409515,0.12136803567409515,human
MIR675,0.11175282299518585,0.11175282299518585,0.11175282299518585,0.11175282299518585,human
SPARC,0.09893262386322021,0.09893262386322021,0.09893262386322021,0.09893262386322021,human
MB,0.09502456337213516,0.09502456337213516,0.09502456337213516,0.09502456337213516,human
CD36,0.09185894578695297,0.09185894578695297,0.09185894578695297,0.09185894578695297,human
SNORD13,0.09148108959197998,0.09148108959197998,0.09148108959197998,0.09148108959197998,human
LPL,0.08805566281080246,0.08805566281080246,0.08805566281080246,0.08805566281080246,human
MYOM2,0.08793191611766815,0.08793191611766815,0.08793191611766815,0.08793191611766815,human
EIF1AY,0.08201559633016586,0.08201559633016586,0.08201559633016586,0.08201559633016586,human
TECRL,0.0745362713932991,0.0745362713932991,0.0745362713932991,0.0745362713932991,human
HSPA1A,0.06698288023471832,0.06698288023471832,0.06698288023471832,0.06698288023471832,human
HSP90AB1,0.05848390981554985,0.05848390981554985,0.05848390981554985,0.05848390981554985,human
EGLN3,0.057855214923620224,0.057855214923620224,0.057855214923620224,0.057855214923620224,human
LUM,0.05754169821739197,0.05754169821739197,0.05754169821739197,0.05754169821739197,human
MYL12B,0.05634169653058052,0.05634169653058052,0.05634169653058052,0.05634169653058052,human
USMG5,0.056130602955818176,0.056130602955818176,0.056130602955818176,0.056130602955818176,human
HSP90B1,0.05611584708094597,0.05611584708094597,0.05611584708094597,0.05611584708094597,human
PDLIM3,0.05520043522119522,0.05520043522119522,0.05520043522119522,0.05520043522119522,human
HSPB8,0.05325329303741455,0.05325329303741455,0.05325329303741455,0.05325329303741455,human
NPPB,0.05062318965792656,0.05062318965792656,0.05062318965792656,0.05062318965792656,human
THBS4,0.05051020532846451,0.05051020532846451,0.05051020532846451,0.05051020532846451,human
HSPA5,0.0504276305437088,0.0504276305437088,0.0504276305437088,0.0504276305437088,human
S100A10,0.049649596214294434,0.049649596214294434,0.049649596214294434,0.049649596214294434,human
MYL12A,0.048210643231868744,0.048210643231868744,0.048210643231868744,0.048210643231868744,human
RPL41P5,0.04811660200357437,0.04811660200357437,0.04811660200357437,0.04811660200357437,human
NEXN,0.04747778922319412,0.04747778922319412,0.04747778922319412,0.04747778922319412,human
FAM129A,0.04712848737835884,0.04712848737835884,0.04712848737835884,0.04712848737835884,human
UBB,0.0470854714512825,0.0470854714512825,0.0470854714512825,0.0470854714512825,human
TMED2,0.04457194358110428,0.04457194358110428,0.04457194358110428,0.04457194358110428,human
EIF1,0.044128116220235825,0.044128116220235825,0.044128116220235825,0.044128116220235825,human
DAD1,0.0437803715467453,0.0437803715467453,0.0437803715467453,0.0437803715467453,human
VDAC3,0.043659526854753494,0.043659526854753494,0.043659526854753494,0.043659526854753494,human
TNFRSF12A,0.043112803250551224,0.043112803250551224,0.043112803250551224,0.043112803250551224,human
ATP5C1,0.042989425361156464,0.042989425361156464,0.042989425361156464,0.042989425361156464,human
IGFBP7,0.042934805154800415,0.042934805154800415,0.042934805154800415,0.042934805154800415,human
RPL5,0.04257253184914589,0.04257253184914589,0.04257253184914589,0.04257253184914589,human
TMSB4XP6,0.039983246475458145,0.039983246475458145,0.039983246475458145,0.039983246475458145,human
ECH1,0.03880171850323677,0.03880171850323677,0.03880171850323677,0.03880171850323677,human
XIRP1,0.03800129145383835,0.03800129145383835,0.03800129145383835,0.03800129145383835,human
MDH1,0.03676366060972214,0.03676366060972214,0.03676366060972214,0.03676366060972214,human
PDK4,0.03664914518594742,0.03664914518594742,0.03664914518594742,0.03664914518594742,human
EXOC6B,0.036526553332805634,0.036526553332805634,0.036526553332805634,0.036526553332805634,human
FABP4,0.036159615963697433,0.036159615963697433,0.036159615963697433,0.036159615963697433,human
TMSB4X,0.03602399304509163,0.03602399304509163,0.03602399304509163,0.03602399304509163,human
NPY6R,0.03592746704816818,0.03592746704816818,0.03592746704816818,0.03592746704816818,human
MYOZ2,0.03548832982778549,0.03548832982778549,0.03548832982778549,0.03548832982778549,human
CANX,0.035062115639448166,0.035062115639448166,0.035062115639448166,0.035062115639448166,human
ACSL1,0.03469992056488991,0.03469992056488991,0.03469992056488991,0.03469992056488991,human
CTSD,0.034374307841062546,0.034374307841062546,0.034374307841062546,0.034374307841062546,human
SORBS2,0.03386986628174782,0.03386986628174782,0.03386986628174782,0.03386986628174782,human
SDCBP,0.033500391989946365,0.033500391989946365,0.033500391989946365,0.033500391989946365,human
RPL13AP5,0.033147260546684265,0.033147260546684265,0.033147260546684265,0.033147260546684265,human
