gene_symbol,logfc_dz:825,logfc_dz:826,logfc_dz:797,logfc_dz:292,logfc_dz:880,logfc_dz:308,logfc_dz:818,logfc_dz:806,logfc_dz:559,logfc_dz:560,logfc_dz:468,logfc_dz:558,mean_logfc,median_logfc,common_experiment,organism
HSD3B2,0.1968005746603012,-0.11074519157409668,0.0832730382680893,,,,,,,,,,0.05644280711809794,0.0832730382680893,,human
BEX1,0.14767995476722717,-0.06712020933628082,,,,,,,,,,,0.040279872715473175,0.040279872715473175,,human
STAR,0.13189908862113953,,,,,,,,,,,,0.13189908862113953,0.13189908862113953,,human
TXNDC5,0.12506359815597534,-0.06980739533901215,-0.03970963880419731,,,,,,,,,,0.005182188004255295,-0.03970963880419731,,human
MRO,0.11725280433893204,-0.030412934720516205,,,,,,,,,,,0.043419934809207916,0.043419934809207916,,human
LDHB,0.11048506945371628,0.03384345397353172,-0.04391014948487282,-0.11668787151575089,-0.11245324462652206,0.030729865655303,,,,,,,-0.016332146090765793,-0.006590141914784908,-0.11668787151575089,human
LDHA,0.10136489570140839,0.0998556986451149,-0.09464976191520691,0.040119439363479614,0.15068452060222626,,-0.017617136240005493,,,,,,0.04662627602616946,0.06998756900429726,0.040119439363479614,human
RPS29,0.09489434957504272,,-0.07192988693714142,0.015497720800340176,,0.05534670129418373,,,,,,,0.023452221183106303,0.03542221104726195,0.015497720800340176,human
NPTN,0.0900798961520195,0.07481937855482101,0.043355684727430344,,,,,,,,,,0.06941831981142361,0.07481937855482101,,human
PTS,0.08950963616371155,-0.014997498132288456,,,,,,,,,,,0.037256069015711546,0.037256069015711546,,human
NDUFA12,0.08877616375684738,-0.058615975081920624,-0.021405847743153572,,-0.01408427394926548,,,,,,,,-0.0013324832543730736,-0.017745060846209526,,human
MT2A,0.0862962007522583,-0.1110423132777214,-0.01757938042283058,-0.04895395413041115,-0.06670448929071426,0.19918426871299744,,,,,,,0.006866722057263057,-0.033266667276620865,-0.04895395413041115,human
LTA4H,0.08618667721748352,0.013959510251879692,0.016643915325403214,,,,,,,,,,0.03893003426492214,0.016643915325403214,,human
RPSA,0.08571185171604156,-0.08690721541643143,-0.038454074412584305,0.012737805023789406,0.025264738127589226,,,,,,,,-0.00032937899231910706,0.012737805023789406,0.012737805023789406,human
H2AFZ,0.08282280713319778,0.02385501004755497,,-0.013579103164374828,-0.017629271373152733,,,,,,,,0.018867360660806298,0.005137953441590071,-0.013579103164374828,human
HSD11B1,0.08019022643566132,0.013492687605321407,-0.22787818312644958,,,0.02551763691008091,,,,,,,-0.027169408043846488,0.01950516225770116,,human
COX2,0.0797998458147049,-0.10983547568321228,-0.17508451640605927,-0.04967308044433594,0.018031520769000053,,,,,,,,-0.04735234118998051,-0.04967308044433594,-0.04967308044433594,human
HNRNPA1P10,0.0793464258313179,-0.02176634967327118,-0.051408130675554276,-0.019634712487459183,-0.02476770617067814,-0.07746367901563644,,,,,,,-0.019282358698546886,-0.02326702792197466,-0.019634712487459183,human
IARS,0.07843348383903503,-0.10715935379266739,-0.020610427483916283,-0.027723262086510658,-0.017100688070058823,,,,,,,,-0.018832049518823623,-0.020610427483916283,-0.027723262086510658,human
SLC47A1,0.07830648124217987,-0.14928041398525238,0.014274807646870613,,,,-0.01889747567474842,-0.02288983017206192,-0.07707297056913376,,,,-0.029259900252024334,-0.02089365292340517,,human
TMEM14B,0.07819682359695435,-0.017109213396906853,-0.013511981815099716,,,,,,,,,,0.015858542794982593,-0.013511981815099716,,human
SH3KBP1,0.07648453116416931,-0.07261977344751358,0.18823178112506866,-0.09157996624708176,-0.1086740642786026,,,,,,,,-0.0016314983367919922,-0.07261977344751358,-0.09157996624708176,human
PIGP,0.07632045447826385,,,-0.01458820328116417,,,,,,,,,0.030866125598549843,0.030866125598549843,-0.01458820328116417,human
HIGD1A,0.07355346530675888,,,,,0.020775096490979195,,,,,,,0.04716428089886904,0.04716428089886904,,human
PARK7,0.07319225370883942,0.05850731581449509,-0.06288664788007736,-0.014942401088774204,,0.03338702395558357,,,,,,,0.017451508902013302,0.03338702395558357,-0.014942401088774204,human
BOLA3,0.07308460772037506,-0.017311805859208107,,,-0.018927574157714844,,,,,,,,0.01228174256781737,-0.017311805859208107,,human
CYP11A1,0.07203931361436844,0.06781598180532455,-0.015553228557109833,,,,,,,,,,0.04143402228752772,0.06781598180532455,,human
SLC25A3,0.07046724855899811,-0.01879091188311577,-0.07267999649047852,,,-0.04412797465920448,,,,,,,-0.016282908618450165,-0.031459443271160126,,human
MMADHC,0.0693477988243103,,-0.015580294653773308,,0.015156721696257591,-0.015510199591517448,,,,,,,0.013353506568819284,-0.0001767389476299286,,human
RPL9,0.06920432299375534,0.03591533005237579,-0.0995848998427391,-0.013053663074970245,-0.015549348667263985,,,,,,,,-0.00461365170776844,-0.013053663074970245,-0.013053663074970245,human
TMEM45A,0.06883887201547623,0.09488578885793686,,,,,-0.026145372539758682,-0.02393507771193981,,-0.05961013585329056,-0.021478863433003426,,0.005425868555903435,-0.02270697057247162,,human
MRFAP1,0.06720253080129623,0.04024539515376091,-0.020770108327269554,-0.033917274326086044,-0.04808862507343292,,,,,,,,0.0009343836456537247,-0.020770108327269554,-0.033917274326086044,human
COX7A2,0.067017562687397,,,0.013711977750062943,,,,,,-0.01775195822119713,,,0.02099252740542094,0.013711977750062943,0.013711977750062943,human
LOC100507328,0.06511211395263672,0.041136544197797775,,,,,,,,,,,0.05312432907521725,0.05312432907521725,,human
FDX1,0.06505776941776276,,0.02967699058353901,,,,,,,,,,0.04736738000065088,0.04736738000065088,,human
LUM,0.06502501666545868,0.028337959200143814,,0.011906241066753864,0.013323226012289524,,,,,,,,0.02964811073616147,0.02083059260621667,0.011906241066753864,human
RPL4,0.064381442964077,-0.07325377315282822,-0.034663401544094086,-0.01604587212204933,-0.03242536261677742,,,,,,,,-0.018401393294334413,-0.03242536261677742,-0.01604587212204933,human
DPM1,0.06427735090255737,,,,,,,,,,,,0.06427735090255737,0.06427735090255737,,human
TMEM123,0.0641104206442833,0.03985102102160454,,,,0.020706113427877426,,,,,,,0.04155585169792175,0.03985102102160454,,human
CRELD2,0.06389066576957703,,,,,,,,,,,,0.06389066576957703,0.06389066576957703,,human
SLC46A3,0.06295647472143173,0.018937617540359497,,,,,,,,,,,0.040947046130895615,0.040947046130895615,,human
ALDH9A1,0.062390655279159546,-0.016436006873846054,,,0.014926274307072163,0.016984278336167336,,,,,,,0.019466300262138247,0.01595527632161975,,human
SLC26A2,0.062354739755392075,0.0338275320827961,,,,,-0.025740480050444603,,-0.025168253108859062,,,,0.011318384669721127,0.004329639486968517,,human
GPX1,0.06208222731947899,-0.07914163917303085,,,,0.027932044118642807,,,,,,,0.003624210755030314,0.027932044118642807,,human
LGALS1,0.06129687651991844,-0.037352897226810455,,-0.021808722987771034,0.012208906002342701,0.02254663035273552,,,,,,,0.007378158532083035,0.012208906002342701,-0.021808722987771034,human
RPL22L1,0.06118933856487274,,0.02621898427605629,,,,,,,-0.018749024718999863,,,0.022886432707309723,0.02621898427605629,,human
SPCS1,0.06061115860939026,0.018780402839183807,-0.022972775623202324,-0.012235733680427074,,,,,,,,,0.011045763036236167,0.0032723345793783665,-0.012235733680427074,human
RPL6,0.05971001833677292,0.018094701692461967,-0.06712654232978821,-0.026717353612184525,-0.017372064292430878,-0.03612157329916954,,,,,,,-0.011588802250723043,-0.0220447089523077,-0.026717353612184525,human
GMNN,0.059098243713378906,,,,,,,,,,,,0.059098243713378906,0.059098243713378906,,human
TMSB10,0.05778710916638374,-0.20629793405532837,-0.19788651168346405,0.01428062841296196,,0.10333939641714096,,,,,,,-0.04575546234846115,0.01428062841296196,0.01428062841296196,human
GAPDH,0.05626050382852554,-0.05222916230559349,-0.01691487804055214,0.07306510210037231,0.04605891928076744,-0.024732640013098717,,,,,,,0.013584640808403492,0.01457202062010765,0.07306510210037231,human
UQCRQ,0.05610412731766701,-0.031636159867048264,-0.019466537982225418,0.025011703372001648,-0.018110865727066994,0.02351456880569458,,,,,,,0.00590280598650376,0.002701851539313793,0.025011703372001648,human
KPNA2,0.054704729467630386,,,,,,,,,,,,0.054704729467630386,0.054704729467630386,,human
DYNLT1,0.054536059498786926,,-0.03397074714303017,,,,-0.02056504413485527,-0.016952503472566605,,,,,-0.004238058812916279,-0.018758773803710938,,human
FAM96A,0.054433245211839676,-0.022059505805373192,,,,,,,,,,,0.016186869703233242,0.016186869703233242,,human
PPIB,0.053416069597005844,-0.059969864785671234,,,,-0.027118230238556862,,,,,,,-0.011224008475740751,-0.027118230238556862,,human
RAB13,0.05340907350182533,,-0.017428692430257797,,,,,,,,,,0.017990190535783768,0.017990190535783768,,human
SPPL2A,0.05325695872306824,,,-0.02003866620361805,,,,,,,,,0.016609146259725094,0.016609146259725094,-0.02003866620361805,human
DYNLL1,0.05187760666012764,,-0.06194375082850456,,,0.056630756705999374,,,,,,,0.015521537512540817,0.05187760666012764,,human
OAZ1,0.05137835443019867,-0.04404060170054436,-0.016987284645438194,,0.025249358266592026,,-0.018189217895269394,,,,,,-0.00051787830889225,-0.016987284645438194,,human
USMG5,0.05133672431111336,-0.035789020359516144,-0.08373388648033142,0.022613247856497765,,,,,,,,,-0.01139323366805911,-0.00658788625150919,0.022613247856497765,human
CHN1,0.051299259066581726,,,,,,,,,,,,0.051299259066581726,0.051299259066581726,,human
HMGN3,0.05125065892934799,0.01804124191403389,-0.030987218022346497,,-0.01693812571465969,,-0.017251981422305107,,,,,,0.0008229151368141175,-0.01693812571465969,,human
SMCO4,0.05030735954642296,0.04907756671309471,-0.01861480437219143,,,,,,,,,,0.02692337396244208,0.04907756671309471,,human
RPLP0P6,0.05022727698087692,-0.07726237177848816,,,0.01816648617386818,-0.04458453506231308,,,,,,,-0.013363285921514034,-0.01320902444422245,,human
HIST1H2BK,0.050088610500097275,-0.03534192591905594,,,,,,0.018755318596959114,,,,,0.011167334392666817,0.018755318596959114,,human
HTRA1,0.04943322762846947,-0.03441060334444046,-0.029965754598379135,,,0.021991001442074776,,,,,,,0.0017619677819311619,-0.00398737657815218,,human
PPA1,0.04912807419896126,0.04337862879037857,,-0.03605686500668526,,0.013987550511956215,,,,,,,0.017609347123652697,0.028683089651167393,-0.03605686500668526,human
HAT1,0.048798270523548126,,-0.015751875936985016,,,,,,,,,,0.016523197293281555,0.016523197293281555,,human
RPS26,0.04879359155893326,-0.16402103006839752,-0.03158321976661682,-0.025045009329915047,-0.03694610297679901,,,,,,,,-0.041760354116559026,-0.03158321976661682,-0.025045009329915047,human
PLOD2,0.04863269254565239,0.04002101346850395,,,,0.0141506502404809,,,,,,,0.03426811875154575,0.04002101346850395,,human
PRDX1,0.04759032279253006,,,-0.023641567677259445,-0.013982709497213364,,,,,,,,0.0033220152060190835,-0.013982709497213364,-0.023641567677259445,human
LOC100507039,0.047083597630262375,0.043891169130802155,,,,,,,,,,,0.045487383380532265,0.045487383380532265,,human
RPL39,0.04690607637166977,0.07831017673015594,-0.042707350105047226,-0.07036512345075607,-0.06691592186689377,-0.02064615860581398,,,,,,,-0.012569716821114222,-0.0316767543554306,-0.07036512345075607,human
SELK,0.046810273081064224,,,-0.012720032595098019,,,,,,,,,0.017045120242983103,0.017045120242983103,-0.012720032595098019,human
LHCGR,0.0467161200940609,0.014443803578615189,,,,,,,,,,,0.030579961836338043,0.030579961836338043,,human
EEF1B2,0.04643185809254646,-0.05289401486515999,,,0.012599622830748558,-0.022047700360417366,,,,,,,-0.003977558575570583,-0.004724038764834404,,human
SOD1,0.04624629393219948,,,-0.02318984642624855,-0.014670328237116337,,,,,,,,0.0027953730896115303,-0.014670328237116337,-0.02318984642624855,human
PRKAR2B,0.04607566073536873,-0.06075787916779518,-0.033761292695999146,,,,,,,,,,-0.016147837042808533,-0.033761292695999146,,human
