gene_symbol,logfc_dz:338,mean_logfc,median_logfc,common_experiment,organism
DEFA1B,0.23737114667892456,0.23737114667892456,0.23737114667892456,0.23737114667892456,human
HLA-DRB3,0.17510268092155457,0.17510268092155457,0.17510268092155457,0.17510268092155457,human
HBB,0.15287606418132782,0.15287606418132782,0.15287606418132782,0.15287606418132782,human
LTF,0.14522963762283325,0.14522963762283325,0.14522963762283325,0.14522963762283325,human
CAMP,0.09784194827079773,0.09784194827079773,0.09784194827079773,0.09784194827079773,human
HBA2,0.09750359505414963,0.09750359505414963,0.09750359505414963,0.09750359505414963,human
UCP2,0.09746672213077545,0.09746672213077545,0.09746672213077545,0.09746672213077545,human
ARHGDIB,0.0915740430355072,0.0915740430355072,0.0915740430355072,0.0915740430355072,human
FAIM3,0.07228605449199677,0.07228605449199677,0.07228605449199677,0.07228605449199677,human
LYZ,0.06998060643672943,0.06998060643672943,0.06998060643672943,0.06998060643672943,human
PF4,0.06636447459459305,0.06636447459459305,0.06636447459459305,0.06636447459459305,human
LTB,0.06407085061073303,0.06407085061073303,0.06407085061073303,0.06407085061073303,human
BTG2,0.06352991610765457,0.06352991610765457,0.06352991610765457,0.06352991610765457,human
MYH9,0.06093583256006241,0.06093583256006241,0.06093583256006241,0.06093583256006241,human
RPS27,0.06055900827050209,0.06055900827050209,0.06055900827050209,0.06055900827050209,human
DDX17,0.05963270738720894,0.05963270738720894,0.05963270738720894,0.05963270738720894,human
HLA-DQA1,0.05927041545510292,0.05927041545510292,0.05927041545510292,0.05927041545510292,human
ZYX,0.05908969044685364,0.05908969044685364,0.05908969044685364,0.05908969044685364,human
IL2RG,0.05830320715904236,0.05830320715904236,0.05830320715904236,0.05830320715904236,human
IL32,0.05769592523574829,0.05769592523574829,0.05769592523574829,0.05769592523574829,human
PFN1,0.056748952716588974,0.056748952716588974,0.056748952716588974,0.056748952716588974,human
SEPT9,0.055390629917383194,0.055390629917383194,0.055390629917383194,0.055390629917383194,human
RPL41,0.05519106984138489,0.05519106984138489,0.05519106984138489,0.05519106984138489,human
ZFP36L2,0.0540645606815815,0.0540645606815815,0.0540645606815815,0.0540645606815815,human
LCN2,0.053215641528367996,0.053215641528367996,0.053215641528367996,0.053215641528367996,human
NRGN,0.05260732024908066,0.05260732024908066,0.05260732024908066,0.05260732024908066,human
ANXA2P3,0.05191339924931526,0.05191339924931526,0.05191339924931526,0.05191339924931526,human
RPS15,0.0514114610850811,0.0514114610850811,0.0514114610850811,0.0514114610850811,human
EEF1A1,0.04966408386826515,0.04966408386826515,0.04966408386826515,0.04966408386826515,human
PTPRCAP,0.04956533759832382,0.04956533759832382,0.04956533759832382,0.04956533759832382,human
EEF1G,0.04821212962269783,0.04821212962269783,0.04821212962269783,0.04821212962269783,human
CEBPD,0.04804766923189163,0.04804766923189163,0.04804766923189163,0.04804766923189163,human
FLNA,0.04717445746064186,0.04717445746064186,0.04717445746064186,0.04717445746064186,human
LOC100132688,0.047112029045820236,0.047112029045820236,0.047112029045820236,0.047112029045820236,human
JUNB,0.046893518418073654,0.046893518418073654,0.046893518418073654,0.046893518418073654,human
VIM,0.046705253422260284,0.046705253422260284,0.046705253422260284,0.046705253422260284,human
HDGF,0.045019105076789856,0.045019105076789856,0.045019105076789856,0.045019105076789856,human
RPL36AP37,0.044113729149103165,0.044113729149103165,0.044113729149103165,0.044113729149103165,human
GZMM,0.04295802861452103,0.04295802861452103,0.04295802861452103,0.04295802861452103,human
DEFA4,0.04294610023498535,0.04294610023498535,0.04294610023498535,0.04294610023498535,human
MAL,0.042769089341163635,0.042769089341163635,0.042769089341163635,0.042769089341163635,human
PIM1,0.04232142120599747,0.04232142120599747,0.04232142120599747,0.04232142120599747,human
RPL13,0.04189873859286308,0.04189873859286308,0.04189873859286308,0.04189873859286308,human
TPT1,0.041437022387981415,0.041437022387981415,0.041437022387981415,0.041437022387981415,human
DUSP2,0.04087213799357414,0.04087213799357414,0.04087213799357414,0.04087213799357414,human
TNFRSF1B,0.04080238938331604,0.04080238938331604,0.04080238938331604,0.04080238938331604,human
RPS3,0.04021361470222473,0.04021361470222473,0.04021361470222473,0.04021361470222473,human
CAPNS1,0.03923596069216728,0.03923596069216728,0.03923596069216728,0.03923596069216728,human
SEPT5,0.039163801819086075,0.039163801819086075,0.039163801819086075,0.039163801819086075,human
IER2,0.03894251212477684,0.03894251212477684,0.03894251212477684,0.03894251212477684,human
GNAI2,0.03871774673461914,0.03871774673461914,0.03871774673461914,0.03871774673461914,human
WDR1,0.03853365406394005,0.03853365406394005,0.03853365406394005,0.03853365406394005,human
CCL5,0.038467034697532654,0.038467034697532654,0.038467034697532654,0.038467034697532654,human
SPI1,0.03840992599725723,0.03840992599725723,0.03840992599725723,0.03840992599725723,human
YWHAH,0.03838053345680237,0.03838053345680237,0.03838053345680237,0.03838053345680237,human
CFL1,0.03815095126628876,0.03815095126628876,0.03815095126628876,0.03815095126628876,human
RPL37A,0.03808172419667244,0.03808172419667244,0.03808172419667244,0.03808172419667244,human
RPL19,0.0377664789557457,0.0377664789557457,0.0377664789557457,0.0377664789557457,human
