gene_symbol,logfc_dz:352,mean_logfc,median_logfc,common_experiment,organism
LEP,0.16935595870018005,0.16935595870018005,0.16935595870018005,0.16935595870018005,human
CRH,0.09644939750432968,0.09644939750432968,0.09644939750432968,0.09644939750432968,human
INHBA,0.06638951599597931,0.06638951599597931,0.06638951599597931,0.06638951599597931,human
FSTL3,0.06472741812467575,0.06472741812467575,0.06472741812467575,0.06472741812467575,human
HTRA4,0.06362602859735489,0.06362602859735489,0.06362602859735489,0.06362602859735489,human
CXCL8,0.061308152973651886,0.061308152973651886,0.061308152973651886,0.061308152973651886,human
ANKRD37,0.05487765371799469,0.05487765371799469,0.05487765371799469,0.05487765371799469,human
CGB,0.05313128978013992,0.05313128978013992,0.05313128978013992,0.05313128978013992,human
PLIN2,0.052866339683532715,0.052866339683532715,0.052866339683532715,0.052866339683532715,human
FLT1,0.04853976517915726,0.04853976517915726,0.04853976517915726,0.04853976517915726,human
PAPPA2,0.04470980167388916,0.04470980167388916,0.04470980167388916,0.04470980167388916,human
WDR86-AS1,0.044235710054636,0.044235710054636,0.044235710054636,0.044235710054636,human
LTF,0.04351460188627243,0.04351460188627243,0.04351460188627243,0.04351460188627243,human
TREM1,0.04335503280162811,0.04335503280162811,0.04335503280162811,0.04335503280162811,human
PROCR,0.04266047850251198,0.04266047850251198,0.04266047850251198,0.04266047850251198,human
PSG9,0.04216198995709419,0.04216198995709419,0.04216198995709419,0.04216198995709419,human
GPER1,0.0421442948281765,0.0421442948281765,0.0421442948281765,0.0421442948281765,human
ENTPD1,0.04080497473478317,0.04080497473478317,0.04080497473478317,0.04080497473478317,human
SNRPG,0.040321215987205505,0.040321215987205505,0.040321215987205505,0.040321215987205505,human
CBLC,0.03929773345589638,0.03929773345589638,0.03929773345589638,0.03929773345589638,human
SLCO4A1,0.03767018765211105,0.03767018765211105,0.03767018765211105,0.03767018765211105,human
HTRA1,0.03759094327688217,0.03759094327688217,0.03759094327688217,0.03759094327688217,human
ARRDC3,0.0372992679476738,0.0372992679476738,0.0372992679476738,0.0372992679476738,human
LHB,0.0370064340531826,0.0370064340531826,0.0370064340531826,0.0370064340531826,human
SH3BP5,0.03632652759552002,0.03632652759552002,0.03632652759552002,0.03632652759552002,human
C17orf64,0.03605658560991287,0.03605658560991287,0.03605658560991287,0.03605658560991287,human
PSG7,0.036034028977155685,0.036034028977155685,0.036034028977155685,0.036034028977155685,human
PVRL4,0.03567966818809509,0.03567966818809509,0.03567966818809509,0.03567966818809509,human
HK2,0.035324495285749435,0.035324495285749435,0.035324495285749435,0.035324495285749435,human
ZNF766,0.03496122360229492,0.03496122360229492,0.03496122360229492,0.03496122360229492,human
EGR3,0.03479247912764549,0.03479247912764549,0.03479247912764549,0.03479247912764549,human
CTAGE10P,0.034588783979415894,0.034588783979415894,0.034588783979415894,0.034588783979415894,human
NRIP1,0.03437056392431259,0.03437056392431259,0.03437056392431259,0.03437056392431259,human
NR4A1,0.03410618379712105,0.03410618379712105,0.03410618379712105,0.03410618379712105,human
CST6,0.033713918179273605,0.033713918179273605,0.033713918179273605,0.033713918179273605,human
JHDM1D-AS1,0.03340865299105644,0.03340865299105644,0.03340865299105644,0.03340865299105644,human
