gene_symbol,logfc_dz:135,logfc_dz:485,logfc_dz:835,logfc_dz:834,logfc_dz:639,logfc_dz:638,logfc_dz:990,logfc_dz:866,logfc_dz:603,logfc_dz:991,mean_logfc,median_logfc,common_experiment,organism
RPL41,0.16443906724452972,-0.01968683861196041,0.01972452737390995,0.0192592591047287,0.14256735146045685,0.07892901450395584,-0.04221637174487114,0.09486281871795654,0.019888082519173622,,0.05308521228531996,0.019888082519173622,0.07892901450395584,human
GAPDH,0.15476739406585693,-0.14940769970417023,-0.0181911438703537,-0.034671902656555176,0.14857988059520721,0.15912628173828125,-0.016073299571871758,,-0.03389469161629677,0.015178480185568333,0.025045922129518457,-0.016073299571871758,0.15912628173828125,human
CD63,0.15054886043071747,0.051279451698064804,-0.017727069556713104,-0.02132312022149563,0.1483437567949295,0.09190401434898376,-0.017483975738286972,-0.020519429817795753,0.02996833436191082,,0.04388786914447943,0.02996833436191082,0.09190401434898376,human
TGFBI,0.11123552918434143,,,,0.13062557578086853,0.03771710768342018,0.016436642035841942,-0.03831413760781288,0.034377604722976685,,0.04867972029993931,0.03604735620319843,0.03771710768342018,human
HLA-B,0.10648173838853836,,-0.01770411990582943,0.06346738338470459,0.1120113879442215,,0.03436768800020218,0.0420212596654892,,-0.041181232780218124,0.04278058638530118,0.0420212596654892,,human
VIM,0.1013387143611908,,,,0.09436483681201935,0.21377944946289062,,,0.01739257015287876,,0.10671889269724488,0.09785177558660507,0.21377944946289062,human
LGALS1,0.10003910213708878,,-0.01703169010579586,-0.02348014898598194,0.08959753066301346,0.10183481872081757,-0.036562103778123856,0.016322527080774307,-0.013062423095107079,-0.07155551016330719,0.016233566941486463,-0.013062423095107079,0.10183481872081757,human
FTL,0.0975271463394165,0.01739058643579483,0.028366420418024063,,0.09120670706033707,0.09480905532836914,0.03125956654548645,0.02798611670732498,,,0.055506514119250436,0.03125956654548645,0.09480905532836914,human
TUBA1C,0.09664898365736008,-0.23350279033184052,-0.03660484030842781,-0.026141580194234848,0.1067899838089943,0.08884353190660477,-0.016303645446896553,0.029308732599020004,0.017574945464730263,0.060986995697021484,0.008760031685233116,0.023441839031875134,0.08884353190660477,human
RPL23A,0.09340614080429077,,,,0.08543871343135834,0.0841878205537796,-0.015812288969755173,0.010157172568142414,0.04935843497514725,,0.051122665560493864,0.06677312776446342,0.0841878205537796,human
IGFBP3,0.09144356101751328,,,-0.016223199665546417,0.06423456966876984,0.05038583651185036,,,,,0.04746019188314676,0.0573102030903101,0.05038583651185036,human
RPLP1,0.08916763216257095,,,,0.08248697221279144,0.06269728392362595,,,,,0.07811729609966278,0.08248697221279144,0.06269728392362595,human
UBC,0.08851639181375504,-0.01867024414241314,-0.022794226184487343,-0.01678312197327614,0.0707717090845108,0.09576611965894699,-0.02486949786543846,0.027463028207421303,-0.019365042448043823,0.030766380950808525,0.021080149710178374,0.005339953117072582,0.09576611965894699,human
ACTB,0.08709121495485306,,-0.06331311911344528,-0.052757684141397476,0.08996947854757309,0.03584956377744675,-0.026464829221367836,0.055694568902254105,-0.023404404520988464,-0.0642772763967514,0.004265279198686282,-0.023404404520988464,0.03584956377744675,human
SPON2,0.0844447985291481,,0.13400502502918243,0.042734336107969284,0.07377307116985321,,0.018328996375203133,,0.01951407454907894,0.019222352653741837,0.05600323634488242,0.042734336107969284,,human
