gene_symbol,logfc_dz:754,logfc_dz:837,logfc_dz:836,logfc_dz:982,logfc_dz:813,logfc_dz:690,logfc_dz:697,mean_logfc,median_logfc,common_experiment,organism
RPS26,0.22059734165668488,0.0179610475897789,0.02985057793557644,0.0209178663790226,,,,0.0723317083902657,0.02538422215729952,,human
LGALS7B,0.2152169644832611,,0.029976824298501015,,0.047029055655002594,0.01775505393743515,,0.07749447459354997,0.038502939976751804,0.047029055655002594,human
HBA2,0.19706927239894867,0.08115274459123611,-0.08730992674827576,,,-0.041858967393636703,0.017423702403903008,0.033295365050435066,0.017423702403903008,,human
FLG2,0.17486843466758728,,,,-0.018549159169197083,,,0.0781596377491951,0.0781596377491951,-0.018549159169197083,human
S100A7,0.1685439497232437,0.035194773226976395,0.04435897618532181,0.03093840554356575,0.026043951511383057,0.4392923414707184,,0.12406206627686818,0.0397768747061491,0.026043951511383057,human
RPS7,0.14896509051322937,,0.016256660223007202,0.08427229523658752,,-0.03269876912236214,,0.05419881921261549,0.05026447772979736,,human
RPS18,0.14741377532482147,,,0.07161132246255875,-0.031697604805231094,,,0.06244249766071638,0.07161132246255875,-0.031697604805231094,human
KRT5,0.13753949105739594,,0.058492258191108704,0.133242666721344,0.020609162747859955,-0.011006277054548264,,0.06777546033263207,0.058492258191108704,0.020609162747859955,human
DSG1,0.13537956774234772,,0.04395199939608574,-0.028625722974538803,,0.010052751749753952,,0.04018964897841215,0.027002375572919846,,human
RPL34,0.13046279549598694,,0.012321162037551403,,,,,0.07139197876676917,0.07139197876676917,,human
HSPB1,0.11915354430675507,,0.06613431870937347,-0.02300797402858734,0.01524670422077179,0.03470334783196449,,0.04244598820805549,0.03470334783196449,0.01524670422077179,human
DSC1,0.11890357732772827,,0.0846712738275528,,0.026468196883797646,0.04234848544001579,-0.007599391974508762,0.05295842830091715,0.04234848544001579,0.026468196883797646,human
RPL19,0.1180778220295906,,,0.019084053114056587,0.016287943348288536,-0.024442434310913086,,0.03225184604525566,0.01768599823117256,0.016287943348288536,human
TYRP1,0.11002354323863983,,,0.06684889644384384,0.13126792013645172,0.08701396733522415,,0.09878858178853989,0.09851875528693199,0.13126792013645172,human
DBI,0.10854583978652954,,0.03081631287932396,0.02741422690451145,0.04744298383593559,,,0.053554840851575136,0.039129648357629776,0.04744298383593559,human
SNHG5,0.1063523218035698,,,,-0.03897077590227127,,,0.03369077295064926,0.03369077295064926,-0.03897077590227127,human
TUBA1C,0.10364056378602982,,,,0.02244265004992485,,,0.06304160691797733,0.06304160691797733,0.02244265004992485,human
ANXA8L1,0.1000158041715622,,0.04062299057841301,,,-0.021778495982289314,,0.03962009958922863,0.04062299057841301,,human
CXCL14,0.09902650862932205,,-0.017526419833302498,0.04490404203534126,-0.10528472065925598,-0.05100749433040619,,-0.005977616831660271,-0.017526419833302498,-0.10528472065925598,human
RPL11,0.09735042601823807,,-0.01771439239382744,,0.023961205035448074,-0.04226205125451088,,0.015333796851336956,0.003123406320810318,0.023961205035448074,human
RPL36A,0.0968867838382721,,0.024342162534594536,0.08609149605035782,,-0.04560786858201027,,0.040428143460303545,0.05521682929247618,,human
KRT14,0.09254726767539978,,-0.01349722035229206,0.06075214967131615,-0.10931780934333801,-0.051548268646001816,,-0.0042127761989831924,-0.01349722035229206,-0.10931780934333801,human
FAU,0.08868519961833954,,-0.03818008303642273,0.07392650842666626,,-0.020389363169670105,,0.02601056545972824,0.026768572628498077,,human
GAPDH,0.08232823759317398,,0.020882893353700638,0.03338191285729408,,0.016767200082540512,,0.0383400609716773,0.02713240310549736,,human
RPS8,0.07735316455364227,,,-0.06419482082128525,-0.028772467747330666,,,-0.005204708004991214,-0.028772467747330666,-0.028772467747330666,human
CRIP1,0.07719938457012177,,-0.03353230282664299,0.0994100272655487,-0.10320109874010086,-0.043788596987724304,,-0.0007825173437595367,-0.03353230282664299,-0.10320109874010086,human
EEF1B2,0.07695909589529037,,,,,0.010749761015176773,,0.043854428455233574,0.043854428455233574,,human
RPL4,0.07391563802957535,,-0.016291389241814613,0.02035517431795597,,,,0.025993141035238903,0.02035517431795597,,human
RPL41,0.07172296941280365,,,0.10115691274404526,,0.024270489811897278,,0.06571679065624873,0.07172296941280365,,human
RPL35,0.07125310599803925,,0.02352745272219181,0.09062118083238602,-0.04946500062942505,-0.01724986545741558,,0.02373737469315529,0.02352745272219181,-0.04946500062942505,human
RPLP0P6,0.0703662857413292,,0.036522142589092255,,,0.02108355239033699,,0.04265732690691948,0.036522142589092255,,human
RPL36,0.06994390487670898,,-0.03531452640891075,,,-0.020323248580098152,,0.004768709962566693,-0.020323248580098152,,human
KRT1,0.06981983035802841,,-0.05352512747049332,0.1702815443277359,0.09713731706142426,0.010305396281182766,0.0071992408484220505,0.05020303356771668,0.04006261331960559,0.09713731706142426,human
RPL8,0.0697053074836731,,,,,-0.03451371192932129,,0.017595797777175903,0.017595797777175903,,human
RPL12,0.06761109828948975,,,0.012528517283499241,-0.030381912365555763,,,0.01658590106914441,0.012528517283499241,-0.030381912365555763,human
SH3KBP1,0.06715422123670578,,,-0.00862395204603672,,,,0.02926513459533453,0.02926513459533453,,human
C19orf33,0.06700852513313293,0.019407100975513458,,0.010791231878101826,,,,0.03240228599558274,0.019407100975513458,,human
PTMA,0.06696224957704544,,-0.039961013942956924,-0.013694887980818748,-0.025896383449435234,-0.009600188583135605,,-0.004438044875860215,-0.013694887980818748,-0.025896383449435234,human
APCDD1,0.06514151394367218,,,0.0314948745071888,-0.014992223121225834,,,0.027214721776545048,0.0314948745071888,-0.014992223121225834,human
LCE1B,0.0647144690155983,,,-0.015390940941870213,-0.027350449934601784,,,0.007324359379708767,-0.015390940941870213,-0.027350449934601784,human
RPL36AL,0.0635959804058075,,,0.018563542515039444,,-0.017976360395550728,,0.02139438750843207,0.018563542515039444,,human
EIF3CL,0.06341516226530075,,0.023140793666243553,,,0.013997450470924377,,0.03351780213415623,0.023140793666243553,,human
SPRR2G,0.0623430460691452,0.0633801817893982,,,0.09240688383579254,,,0.07271003723144531,0.0633801817893982,0.09240688383579254,human
ARPC2,0.06164802238345146,,0.021741492673754692,,,0.008684714324772358,,0.030691409793992836,0.021741492673754692,,human
KRTDAP,0.06150699034333229,,,,0.2712697386741638,,,0.16638836450874805,0.16638836450874805,0.2712697386741638,human
DAPL1,0.06026587635278702,0.01746729575097561,,0.010400627739727497,0.022209230810403824,,,0.027585757663473487,0.019838263280689716,0.022209230810403824,human
PLP2,0.06018711254000664,,0.015920491889119148,,,,,0.03805380221456289,0.03805380221456289,,human
TUBA4A,0.05994071811437607,,0.04263231158256531,-0.022339459508657455,-0.022437017410993576,,,0.014449138194322586,0.010146426036953926,-0.022437017410993576,human
SNRPD2,0.059849996119737625,,0.02081039734184742,,,0.01830369420349598,,0.03298802922169367,0.02081039734184742,,human
RPL21,0.058681420981884,,,0.10083793848752975,,,,0.07975967973470688,0.07975967973470688,,human
DYNLL1,0.05742449685931206,,0.06401775032281876,-0.012263563461601734,0.06813327968120575,0.02126595564186573,,0.03971558380872011,0.05742449685931206,0.06813327968120575,human
UBA52,0.05483332648873329,,-0.02620718628168106,0.20308102667331696,-0.017756376415491104,,,0.05348769761621952,0.018538475036621094,-0.017756376415491104,human
