gene_symbol,logfc_dz:511,mean_logfc,median_logfc,common_experiment,organism
TMSB10,0.0580434612929821,0.0580434612929821,0.0580434612929821,0.0580434612929821,human
MIF,0.05802452936768532,0.05802452936768532,0.05802452936768532,0.05802452936768532,human
TUBA1C,0.05706443637609482,0.05706443637609482,0.05706443637609482,0.05706443637609482,human
RPS18,0.05675433576107025,0.05675433576107025,0.05675433576107025,0.05675433576107025,human
EEF1G,0.051165781915187836,0.051165781915187836,0.051165781915187836,0.051165781915187836,human
GAPDH,0.051064375787973404,0.051064375787973404,0.051064375787973404,0.051064375787973404,human
RPLP0,0.047016046941280365,0.047016046941280365,0.047016046941280365,0.047016046941280365,human
ACTB,0.0455622524023056,0.0455622524023056,0.0455622524023056,0.0455622524023056,human
KRT14,0.04523535072803497,0.04523535072803497,0.04523535072803497,0.04523535072803497,human
CDK2AP1,0.04506840929389,0.04506840929389,0.04506840929389,0.04506840929389,human
MT2A,0.04505491256713867,0.04505491256713867,0.04505491256713867,0.04505491256713867,human
GABRP,0.04432821646332741,0.04432821646332741,0.04432821646332741,0.04432821646332741,human
RPL32,0.044016432017087936,0.044016432017087936,0.044016432017087936,0.044016432017087936,human
ACTG1,0.04343120753765106,0.04343120753765106,0.04343120753765106,0.04343120753765106,human
RPSA,0.03936739265918732,0.03936739265918732,0.03936739265918732,0.03936739265918732,human
CFL1,0.038533661514520645,0.038533661514520645,0.038533661514520645,0.038533661514520645,human
RPS10,0.03789496049284935,0.03789496049284935,0.03789496049284935,0.03789496049284935,human
KRT5,0.036692194640636444,0.036692194640636444,0.036692194640636444,0.036692194640636444,human
RPS4X,0.0363132506608963,0.0363132506608963,0.0363132506608963,0.0363132506608963,human
EFHD1,0.03472775220870972,0.03472775220870972,0.03472775220870972,0.03472775220870972,human
VCAN,0.03224581852555275,0.03224581852555275,0.03224581852555275,0.03224581852555275,human
HNRNPA1P10,0.032080527395009995,0.032080527395009995,0.032080527395009995,0.032080527395009995,human
SPARC,0.030903398990631104,0.030903398990631104,0.030903398990631104,0.030903398990631104,human
TUBB,0.029776113107800484,0.029776113107800484,0.029776113107800484,0.029776113107800484,human
DSP,0.02869982272386551,0.02869982272386551,0.02869982272386551,0.02869982272386551,human
EN1,0.027703354135155678,0.027703354135155678,0.027703354135155678,0.027703354135155678,human
LAMB1,0.027313776314258575,0.027313776314258575,0.027313776314258575,0.027313776314258575,human
APEX1,0.027278248220682144,0.027278248220682144,0.027278248220682144,0.027278248220682144,human
LOC728026,0.027174869552254677,0.027174869552254677,0.027174869552254677,0.027174869552254677,human
DDIT4,0.027025433257222176,0.027025433257222176,0.027025433257222176,0.027025433257222176,human
PTMA,0.0265989750623703,0.0265989750623703,0.0265989750623703,0.0265989750623703,human
EEF2,0.026541726663708687,0.026541726663708687,0.026541726663708687,0.026541726663708687,human
KRT15,0.026527326554059982,0.026527326554059982,0.026527326554059982,0.026527326554059982,human
RPS2,0.02641257271170616,0.02641257271170616,0.02641257271170616,0.02641257271170616,human
RPL13A,0.025801565498113632,0.025801565498113632,0.025801565498113632,0.025801565498113632,human
