gene_symbol,logfc_dz:109,logfc_dz:505,logfc_dz:481,logfc_dz:506,logfc_dz:507,mean_logfc,median_logfc,common_experiment,organism
TUBA1C,0.16254830360412598,-0.01884252391755581,0.015809111297130585,,,0.05317163032790025,0.015809111297130585,0.16254830360412598,human
ANXA2,0.13048306107521057,,,,,0.13048306107521057,0.13048306107521057,0.13048306107521057,human
TUBA1B,0.12007467448711395,-0.01717371679842472,0.01670689508318901,,,0.03986928425729275,0.01670689508318901,0.12007467448711395,human
RPL7A,0.11859920620918274,,,,,0.11859920620918274,0.11859920620918274,0.11859920620918274,human
RPLP0,0.11529012024402618,,-0.018590765073895454,,,0.048349677585065365,0.048349677585065365,0.11529012024402618,human
RPS10,0.11510047316551208,,-0.03752179443836212,,,0.03878933936357498,0.03878933936357498,0.11510047316551208,human
RPL41,0.11257724463939667,0.018335402011871338,-0.03539365157485008,,,0.03183966502547264,0.018335402011871338,0.11257724463939667,human
ACTB,0.11072955280542374,-0.019287222996354103,0.04590312018990517,-0.016776712611317635,,0.03014218434691429,0.014563203789293766,0.11072955280542374,human
VIM,0.11005387455224991,,,,-0.01659637875854969,0.04672874789685011,0.04672874789685011,0.11005387455224991,human
EEF1G,0.10909832268953323,,,,,0.10909832268953323,0.10909832268953323,0.10909832268953323,human
IFITM3,0.1082560196518898,-0.0226016603410244,0.04708162322640419,,,0.044245327512423195,0.04708162322640419,0.1082560196518898,human
FTL,0.10783300548791885,,0.034502554684877396,,,0.07116778008639812,0.07116778008639812,0.10783300548791885,human
ACTG1,0.10498466342687607,-0.01574324071407318,,,,0.044620711356401443,0.044620711356401443,0.10498466342687607,human
GAPDH,0.10397619009017944,-0.016867808997631073,,-0.016126148402690887,,0.023660744229952495,-0.016126148402690887,0.10397619009017944,human
RPL23A,0.10238873958587646,,-0.05656340718269348,,,0.02291266620159149,0.02291266620159149,0.10238873958587646,human
LGALS1,0.09896192699670792,,,-0.019669504836201668,,0.039646211080253124,0.039646211080253124,0.09896192699670792,human
RPL3,0.09665060043334961,,-0.01916228048503399,,,0.03874415997415781,0.03874415997415781,0.09665060043334961,human
MT2A,0.09462008625268936,,0.02032593823969364,,,0.0574730122461915,0.0574730122461915,0.09462008625268936,human
